Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height
1,0,50.2603,31.2493,Warrior,78.4358,76.8631,16.9534,20.1119,7.6358,1.8841,200,55.2022,508.4338,410.6683,523.9290,238.4127,373.0318,0.0369
1,1,53.0692,36.3713,Warrior,81.7648,80.1253,17.6729,12.4771,7.9599,1.8841,200,55.2022,541.2863,322.6928,642.2095,161.9507,272.4500,0.0408
1,2,53.0692,41.4435,Warrior,81.7648,80.1253,17.6729,12.4771,7.9599,1.8841,200,55.2022,421.5563,232.1927,668.1865,130.2470,115.2214,0.0406
1,3,55.1258,45.2491,Warrior,84.2434,82.5543,18.2087,6.7925,8.2011,1.8841,200,55.2022,247.7295,193.0616,542.1704,57.9896,68.6939,0.0341
1,4,55.1258,48.3596,Warrior,84.2434,82.5543,18.2087,6.7925,8.2011,1.8841,200,55.2022,159.7242,151.8839,369.7552,19.8634,29.2902,0.0138
1,5,55.1258,51.3802,Warrior,84.2434,82.5543,18.2087,6.7925,8.2011,1.8841,200,55.2022,82.3459,63.5001,144.6611,6.2282,18.7966,0.0042
1,6,55.1258,52.7255,Warrior,84.2434,82.5543,18.2087,6.7925,8.2011,1.8841,200,55.2022,42.7348,39.6472,58.8486,7.1551,13.2879,0.0001
1,7,55.2022,53.6996,Warrior,84.3452,82.6540,18.2307,6.8007,7.9695,1.8841,200,55.2022,20.4626,14.2697,27.9996,7.4850,5.9169,0.0001
1,8,55.2022,54.4416,Warrior,84.3452,82.6540,18.2307,6.8007,7.9695,1.8841,200,55.2022,2.8915,2.6666,3.0038,4.7810,1.8060,0.0000
2,0,48.4990,30.8381,Warrior,95.8621,61.8323,30.5213,1.4612,10.3231,1.4408,200,58.8983,647.8663,508.3811,335.1818,385.7536,408.7031,0.0490
2,1,49.8651,36.0603,Warrior,98.3840,63.4590,31.3243,1.4996,5.3331,1.4408,200,58.8983,438.4753,353.0389,205.3868,261.3881,239.5901,0.0418
2,2,52.1169,40.4013,Warrior,69.5179,58.7106,53.6187,1.7616,16.3912,1.9228,200,58.8983,323.1623,259.9585,164.9061,153.3024,233.2214,0.0390
2,3,53.5359,43.9275,Warrior,83.5539,52.3951,47.8510,1.5721,14.6280,1.9228,200,58.8983,212.4533,221.0245,190.1647,109.8424,226.9520,0.0361
2,4,56.5507,47.0853,Warrior,71.6220,79.5235,42.5991,1.3887,4.8667,1.9425,200,58.8983,200.7282,170.2267,199.8297,128.2176,172.8661,0.0431
2,5,56.5507,50.3321,Warrior,71.6220,79.5235,42.5991,1.3887,4.8667,1.9425,200,58.8983,124.5175,125.5773,195.0814,99.8294,81.4746,0.0277
2,6,58.4088,52.9028,Warrior,93.5414,66.8629,33.0045,1.5801,5.0111,1.9228,200,58.8983,110.5583,75.2485,137.1903,43.6006,36.2775,0.0201
2,7,57.0793,54.2199,Warrior,71.6220,79.5235,42.5991,1.3887,4.8667,1.9228,200,58.8983,60.1258,74.0157,72.0792,12.9922,23.0608,0.0140
2,8,57.0968,55.5016,Warrior,84.7700,69.6155,34.3632,1.2001,10.0511,1.9228,200,58.8983,62.1614,76.5858,53.2365,0.0261,16.7037,0.0050
2,9,57.3278,56.0024,Warrior,87.6865,61.3431,44.5495,1.4254,4.9955,1.9425,200,58.8983,66.4821,79.0350,47.5112,0.0154,16.7595,0.0025
2,10,58.7079,56.4134,Warrior,90.6485,68.9058,34.0129,1.4281,5.0048,1.9228,200,58.8983,62.4300,75.1756,41.2845,0.0128,17.2531,0.0001
2,11,58.8686,56.9571,Warrior,88.8168,67.5134,38.0782,1.2413,4.3502,1.9228,200,58.8983,55.2051,56.9437,32.5150,0.0114,8.1648,0.0001
2,12,58.8686,57.4360,Warrior,88.8168,67.5134,38.0782,1.2413,4.3502,1.9228,200,58.8983,38.5512,42.3249,30.6784,0.0133,6.5731,0.0001
2,13,58.8983,57.9309,Warrior,90.8322,69.0454,34.2360,1.4375,4.4489,1.9228,200,58.8983,31.8709,30.0315,19.1735,0.0128,4.5611,0.0001
3,0,42.3254,28.5604,Warrior,76.7440,62.3251,26.5154,6.4606,27.9550,1.4129,200,54.5003,423.3558,578.3984,551.1281,473.2157,542.5382,0.0394
3,1,48.1007,32.5369,Warrior,56.8277,70.9828,53.5650,8.1878,10.4367,1.9484,200,54.5003,260.3050,532.4976,543.0179,364.9502,423.0126,0.0461
3,2,48.1007,36.3758,Warrior,56.8277,70.9828,53.5650,8.1878,10.4367,1.9484,200,54.5003,176.1970,363.2424,262.2115,267.5180,339.0240,0.0483
3,3,49.8818,40.7893,Warrior,61.7418,77.1210,40.9021,8.8959,11.3392,1.9484,200,54.5003,140.9050,277.4182,217.7387,175.0798,250.1044,0.0521
3,4,49.8818,44.6036,Warrior,61.7418,77.1210,40.9021,8.8959,11.3392,1.9484,200,54.5003,155.0856,162.8838,146.0104,69.0026,152.2866,0.0532
3,5,50.5386,46.8187,Warrior,63.7191,67.9458,50.5074,7.8375,9.9902,1.9484,200,54.5003,139.6597,90.0839,94.0238,16.4119,50.9902,0.0441
3,6,50.7077,47.8883,Warrior,63.5196,76.8795,40.7740,8.8680,9.9589,1.9484,200,54.5003,120.9201,45.0114,63.1492,10.1620,18.9702,0.0324
3,7,53.0180,48.5342,Warrior,75.3245,61.8123,46.6447,7.1300,9.0884,1.9484,200,54.5003,117.5329,50.0974,60.2802,1.2577,8.0484,0.0285
3,8,53.2205,49.4971,Warrior,77.0150,60.9742,46.0123,7.0333,8.9652,1.9484,200,54.5003,129.0596,64.2080,52.9789,1.2758,1.7423,0.0122
3,9,53.2205,50.0031,Warrior,77.0150,60.9742,46.0123,7.0333,8.9652,1.9484,200,54.5003,106.6272,63.5687,41.4770,1.3694,1.5604,0.0101
3,10,53.2205,50.7101,Warrior,77.0150,60.9742,46.0123,7.0333,8.9652,1.9484,200,54.5003,80.1437,67.0899,26.2279,1.5735,1.5271,0.0030
3,11,53.8531,51.3148,Warrior,76.0766,66.2048,42.9612,8.1216,6.6358,1.9484,200,54.5003,58.2579,58.5098,24.0278,1.8505,1.2001,0.0024
3,12,53.8531,52.2513,Warrior,76.0766,66.2048,42.9612,8.1216,6.6358,1.9484,200,54.5003,32.0090,36.4638,12.3650,2.2852,0.7408,0.0012
3,13,54.4605,52.6642,Warrior,79.6025,65.3229,41.0297,7.3225,6.7224,1.9484,200,54.5003,17.5909,21.2531,8.0588,2.1837,0.5979,0.0006
3,14,54.4605,53.1893,Warrior,79.6025,65.3229,41.0297,7.3225,6.7224,1.9484,200,54.5003,7.7680,10.1638,6.1785,1.1736,1.0331,0.0005
3,15,54.5003,53.5077,Warrior,79.7571,65.4497,40.7798,7.2779,6.7355,1.9484,200,54.5003,5.1369,8.1582,4.7005,0.5161,1.5009,0.0003
4,0,39.2971,28.2956,Warrior,56.0746,63.6627,20.1126,23.6215,36.5286,1.9285,200,54.4372,332.6530,422.8259,696.6892,455.3806,390.5585,0.0348
4,1,42.2588,32.1709,Warrior,61.4369,59.2222,35.2126,34.3877,9.7407,1.9459,200,54.4372,223.6022,467.0166,477.9671,278.5003,201.1400,0.0385
4,2,50.1349,35.0603,Warrior,84.7748,55.6200,32.9549,6.0644,20.5859,1.9459,200,54.4372,207.6107,350.5989,380.3184,212.4332,169.3568,0.0426
4,3,50.1349,38.9942,Warrior,84.7748,55.6200,32.9549,6.0644,20.5859,1.9459,200,54.4372,166.0723,197.3492,303.5953,139.7951,125.5956,0.0463
4,4,53.7002,42.7628,Warrior,88.8045,58.2638,36.8864,5.8417,10.2037,1.9459,200,54.4372,187.3720,133.8709,221.2463,126.6826,104.1982,0.0417
4,5,54.0304,47.0387,Warrior,83.3840,62.4924,37.7170,5.9732,10.4334,1.9459,200,54.4372,198.8372,63.8956,146.8236,50.5898,48.1491,0.0251
4,6,54.0304,48.7412,Warrior,83.3840,62.4924,37.7170,5.9732,10.4334,1.9459,200,54.4372,129.2956,32.9682,92.0680,51.1194,31.1401,0.0155
4,7,54.0304,50.5686,Warrior,83.3840,62.4924,37.7170,5.9732,10.4334,1.9459,200,54.4372,83.3222,18.5326,65.0758,24.8320,30.9233,0.0082
4,8,54.3855,52.2965,Warrior,86.6205,61.5529,36.5984,5.2755,9.9527,1.9459,200,54.4372,29.3483,14.9785,36.3357,12.1637,19.4230,0.0024
4,9,54.3855,53.2137,Warrior,86.6205,61.5529,36.5984,5.2755,9.9527,1.9459,200,54.4372,14.1203,10.8500,19.2801,3.1489,10.3926,0.0009
4,10,54.4372,53.8929,Warrior,83.8782,62.8628,37.9405,5.3067,10.0117,1.9459,200,54.4372,4.8508,4.5009,3.1540,0.1949,1.0701,0.0000
5,0,43.1709,30.3575,Warrior,71.8120,50.4102,43.5294,7.4814,26.7671,1.7922,200,48.8734,350.1937,291.8916,418.3962,384.5175,272.3445,0.0465
5,1,43.1709,33.5905,Warrior,71.8120,50.4102,43.5294,7.4814,26.7671,1.7922,200,48.8734,232.3017,236.3301,312.8727,338.2691,216.6989,0.0436
5,2,43.3688,36.3802,Warrior,69.7313,48.9496,49.7298,5.5977,25.9915,1.7922,200,48.8734,199.8679,128.3410,157.6058,150.6134,111.4992,0.0413
5,3,43.9200,39.2882,Warrior,68.0503,57.2064,42.8194,6.5589,25.3650,1.7922,200,48.8734,151.4985,65.7344,72.3262,43.6027,75.0716,0.0301
5,4,44.9314,41.1551,Warrior,71.8126,45.6723,42.1971,6.4636,33.8543,1.9356,200,48.8734,93.7134,46.8520,22.0681,12.4714,41.0835,0.0208
5,5,48.0619,42.5979,Warrior,68.0503,57.2064,42.8194,6.5589,25.3650,1.9393,200,48.8734,45.8512,38.5618,14.4739,4.2321,25.2844,0.0102
5,6,48.0619,43.6684,Warrior,68.0503,57.2064,42.8194,6.5589,25.3650,1.9393,200,48.8734,14.3200,24.8827,9.7499,2.7069,23.6298,0.0062
5,7,48.6097,44.4044,Warrior,71.6208,55.6584,41.6607,6.3814,24.6786,1.9393,200,48.8734,8.5416,20.3792,7.1950,1.3589,24.4748,0.0070
5,8,48.6097,45.2180,Warrior,71.6208,55.6584,41.6607,6.3814,24.6786,1.9393,200,48.8734,8.6462,25.6840,5.1998,0.6649,23.4443,0.0043
5,9,48.6097,46.0968,Warrior,71.6208,55.6584,41.6607,6.3814,24.6786,1.9393,200,48.8734,8.1212,30.5608,4.4305,0.4568,24.1224,0.0024
5,10,48.7015,47.3271,Warrior,70.4631,56.6077,42.3713,6.2783,24.2796,1.9393,200,48.8734,5.1552,21.7383,2.8893,0.2990,17.4357,0.0008
5,11,48.8734,47.7932,Warrior,71.9371,55.9042,41.8447,6.0936,24.2204,1.9393,200,48.8734,4.5682,15.1019,2.1916,0.1881,10.9893,0.0006
5,12,48.8734,48.1984,Warrior,71.9371,55.9042,41.8447,6.0936,24.2204,1.9393,200,48.8734,1.9505,7.1410,1.3150,0.1562,8.2162,0.0000
6,0,49.5030,31.7380,Warrior,60.8967,67.8649,51.5352,9.4791,10.2241,1.9392,200,54.8044,436.9302,375.0843,407.6472,493.2680,412.4255,0.0464
6,1,49.5030,35.7345,Warrior,60.8967,67.8649,51.5352,9.4791,10.2241,1.9392,200,54.8044,323.0625,353.3012,294.0805,389.9390,277.0686,0.0431
6,2,50.7848,40.1612,Warrior,64.5562,71.9432,42.9509,9.7111,10.8386,1.9392,200,54.8044,174.7656,192.5780,153.7500,157.3512,217.0065,0.0439
