Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height
1,0,49.0850,49.0850,Warrior,73.5425,70.6936,26.4477,19.4037,9.9125,1.9528,200,49.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,0,48.3262,48.3262,Warrior,57.6489,88.7690,37.1337,8.8658,7.5826,1.9618,200,48.3262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,0,42.8786,42.8786,Warrior,50.8029,62.8175,50.1250,4.7500,31.5047,1.9394,200,42.8786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,0,53.8132,53.4571,Warrior,82.5079,74.6359,29.0934,9.1689,4.5939,1.9672,200,53.8132,1.7319,1.3014,0.3751,7.1762,0.0190,0.0000
5,0,47.2033,45.9497,Warrior,59.9812,53.6631,67.3068,7.6074,11.4416,1.8785,200,54.4961,81.8846,154.8553,368.3629,3.7080,6.5408,0.0045
5,1,50.4637,47.8898,Warrior,83.9610,76.3544,12.2120,10.9068,16.5657,1.8785,200,54.4961,61.6359,79.4173,286.8049,2.4409,5.0785,0.0000
5,2,53.0621,51.5867,Warrior,87.6528,79.7117,12.7490,7.9419,11.9447,1.8785,200,54.4961,40.9813,77.2392,244.4674,2.9437,4.7200,0.0000
5,3,54.4750,52.8642,Warrior,89.6436,81.5222,13.0385,6.3081,9.4875,1.8785,200,54.4961,4.2223,3.4719,17.5387,0.8199,0.6448,0.0000
5,4,54.4750,53.9008,Warrior,89.6436,81.5222,13.0385,6.3081,9.4875,1.8785,200,54.4961,1.0938,0.9979,0.0355,0.7407,1.6160,0.0000
5,5,54.4961,54.4300,Warrior,89.1028,82.0056,13.1158,6.3455,9.4303,1.8785,200,54.4961,0.2026,0.1554,0.0119,0.0568,0.0641,0.0000
6,0,52.3562,52.3007,Warrior,83.0287,54.7538,42.5377,6.0564,13.6234,1.9404,200,52.3562,0.8795,3.8440,12.1281,0.0323,0.1635,0.0000
7,0,53.2418,52.2718,Warrior,71.1865,58.0906,59.7780,2.8913,8.0535,1.8852,200,53.2418,71.2071,73.8039,6.0714,0.0801,11.1851,0.0006
7,1,53.2418,53.2296,Warrior,71.1865,58.0906,59.7780,2.8913,8.0535,1.8852,200,53.2418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001
8,0,51.6076,50.7668,Warrior,75.2249,67.1259,31.7263,8.2083,17.7145,1.9149,200,51.6076,49.8491,14.4272,3.2229,0.2157,1.0048,0.0217
8,1,51.6076,51.6076,Warrior,75.2249,67.1259,31.7263,8.2083,17.7145,1.9149,200,51.6076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,0,48.2159,46.9854,Warrior,82.0198,48.8046,38.7063,14.7878,15.6815,1.9312,200,51.2729,57.6762,28.2911,33.5999,16.8496,17.9503,0.0002
9,1,51.0453,49.4573,Warrior,85.6152,50.9440,40.4030,6.6689,16.3689,1.9312,200,51.2729,8.3772,10.8011,15.3899,14.7240,1.8568,0.0000
9,2,51.2729,50.8559,Warrior,82.8147,49.2776,46.7272,6.1313,15.0493,1.9312,200,51.2729,4.9954,1.6065,12.5076,0.5060,0.4160,0.0000
10,0,51.8239,51.2260,Warrior,80.9260,89.9358,5.7469,8.1618,15.2294,1.9028,200,56.1945,71.2278,109.7600,432.4675,3.9563,6.9120,0.0037
10,1,53.8480,52.4517,Warrior,74.4920,65.1144,43.4580,5.9093,11.0262,1.9028,200,56.1945,47.3594,91.8027,324.8844,1.1641,4.4113,0.0000
10,2,55.2051,53.7641,Warrior,76.1723,71.5967,37.5845,5.1106,9.5360,1.9028,200,56.1945,38.8807,113.2101,269.4350,0.9722,2.0545,0.0000
10,3,56.1680,54.8862,Warrior,78.8468,74.9246,33.2652,4.5233,8.4401,1.9028,200,56.1945,18.8580,56.7541,114.5182,0.2659,0.9142,0.0000
10,4,56.1945,55.6548,Warrior,78.9944,75.0648,32.9979,4.4869,8.4559,1.9028,200,56.1945,5.4645,11.0866,11.6448,0.1085,0.2525,0.0000
