Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height
1,0,45.5681,38.0407,Warrior,60.2958,101.5425,32.6590,4.1428,1.3599,1.4579,200,51.0153,200.2360,1026.1494,186.0331,380.4283,517.3173,0.0316
1,1,49.1123,44.7219,Warrior,76.3069,94.9998,21.2290,5.6196,1.8447,1.4579,200,51.0153,50.9393,327.8760,43.1946,52.1962,165.4501,0.0053
1,2,49.6515,47.8241,Warrior,79.1742,70.7158,42.8844,5.4399,1.7857,1.4579,200,51.0153,53.8696,84.6072,44.8679,8.6854,45.5055,0.0027
1,3,49.8404,48.7761,Warrior,78.2742,94.6186,21.1438,4.1262,1.8373,1.4579,200,51.0153,26.1691,17.1267,21.7852,0.3516,0.0361,0.0000
1,4,50.6377,49.0890,Warrior,87.8520,80.8138,24.4409,4.7696,2.1238,1.4579,200,51.0153,15.3562,19.9243,13.9529,0.4098,0.0274,0.0000
1,5,50.7671,49.4056,Warrior,89.4519,82.2855,21.8384,4.2617,2.1624,1.4579,200,51.0153,16.4598,34.3039,15.2301,0.5181,0.0247,0.0000
1,6,50.8898,49.7048,Warrior,89.6959,80.1134,24.0718,4.2401,1.8787,1.4579,200,51.0153,34.9816,41.4898,9.7193,0.5602,0.0399,0.0000
1,7,50.8955,49.9677,Warrior,89.6521,82.4697,21.8894,4.1291,1.8597,1.4579,200,51.0153,42.5127,50.6455,11.5378,0.4539,0.0467,0.0000
1,8,50.9572,50.2472,Warrior,90.1704,84.4309,19.7957,3.8631,1.7399,1.4579,200,51.0153,38.7454,41.8420,6.1620,0.3572,0.0411,0.0000
1,9,51.0757,50.4911,Warrior,86.8238,82.8966,24.9081,3.8744,1.4971,1.4579,200,51.0153,25.1978,26.3166,1.3994,0.2856,0.0335,0.0000
1,10,51.0153,50.6279,Warrior,89.8254,82.6291,21.9317,3.8706,1.7433,1.4579,200,51.0153,16.7934,17.8266,1.7511,0.2325,0.0362,0.0000
2,0,58.4047,47.6870,Warrior,87.9737,67.8745,39.3060,4.6011,0.2446,1.9400,200,58.4047,428.1388,325.0736,157.8594,330.5958,361.8104,0.0391
2,1,58.4047,55.9152,Warrior,87.9737,67.8745,39.3060,4.6011,0.2446,1.9400,200,58.4047,101.8235,120.5838,15.7827,79.9847,81.9878,0.0134
2,2,58.4047,58.2546,Warrior,87.9737,67.8745,39.3060,4.6011,0.2446,1.9400,200,58.4047,5.6358,2.0689,0.6938,0.0095,0.0000,0.0015
3,0,51.2376,42.9149,Warrior,85.6722,86.1838,3.3480,12.5012,12.2948,1.8931,200,51.2376,380.8836,654.7526,337.0954,380.7750,204.8054,0.0208
3,1,51.2376,49.3499,Warrior,85.6722,86.1838,3.3480,12.5012,12.2948,1.8931,200,51.2376,33.8338,204.3066,79.6204,52.9301,41.6369,0.0069
3,2,51.2376,50.8066,Warrior,85.6722,86.1838,3.3480,12.5012,12.2948,1.8931,200,51.2376,2.3934,29.4753,1.3425,19.6943,1.9035,0.0008
4,0,47.2606,40.5566,Warrior,70.0811,69.9210,27.3731,9.0842,23.5405,1.8476,200,48.8591,331.3743,298.4129,181.8793,341.7142,240.0744,0.0267
4,1,48.4132,45.1332,Warrior,76.2015,63.6756,30.4124,8.2728,21.4378,1.8476,200,48.8591,133.1456,121.9366,18.6231,80.6943,122.3308,0.0082
4,2,48.6447,46.6595,Warrior,76.1667,64.9187,29.8011,8.1065,21.0069,1.8476,200,48.8591,48.7381,49.9874,7.9638,12.2621,10.5536,0.0064
4,3,48.8163,47.3797,Warrior,75.1987,69.0325,27.0253,8.0035,20.7400,1.8476,200,48.8591,24.6145,28.7175,6.4536,0.1053,0.7257,0.0020
4,4,48.8163,47.7796,Warrior,75.1987,69.0325,27.0253,8.0035,20.7400,1.8476,200,48.8591,17.2835,22.1511,8.0711,0.1368,0.8531,0.0004
4,5,48.8239,48.0709,Warrior,75.4796,66.8952,29.0136,8.3434,20.2683,1.8476,200,48.8591,8.6638,18.1789,7.4325,0.1301,0.8908,0.0002
4,6,48.8239,48.2175,Warrior,75.4796,66.8952,29.0136,8.3434,20.2683,1.8476,200,48.8591,5.6085,11.2112,3.9523,0.1092,0.8798,0.0002
4,7,48.8591,48.3922,Warrior,75.9662,66.2874,29.2102,7.9458,20.5904,1.8476,200,48.8591,3.8926,10.1555,3.0377,0.0861,0.6910,0.0000
5,0,49.0663,40.2846,Warrior,73.5189,55.4373,41.4013,12.9673,16.6752,1.8966,200,49.0663,363.6461,228.0063,200.4965,350.8553,163.9736,0.0320
5,1,49.0663,47.5339,Warrior,73.5189,55.4373,41.4013,12.9673,16.6752,1.8966,200,49.0663,93.2329,43.8698,13.7184,89.8074,37.4499,0.0026
5,2,49.0663,48.7968,Warrior,73.5189,55.4373,41.4013,12.9673,16.6752,1.8966,200,49.0663,13.9853,2.7111,1.6484,10.3087,1.6418,0.0000
6,0,53.4973,44.5025,Warrior,73.2430,93.2806,18.5182,10.3273,4.6308,1.8835,200,56.6391,317.1870,721.1037,139.5499,322.4277,355.7661,0.0315
6,1,54.4855,51.7164,Warrior,73.6141,95.8895,19.4759,10.8615,0.1590,1.8835,200,56.6391,55.6141,186.2180,6.7858,118.6538,51.0704,0.0008
6,2,54.5160,53.1817,Warrior,78.0677,89.7301,17.8133,9.9343,4.4546,1.8835,200,56.6391,5.5609,24.8067,1.1304,29.9267,0.2295,0.0004
6,3,54.6239,53.4999,Warrior,82.7476,82.4905,18.8812,10.5298,5.3510,1.8835,200,56.6391,5.4688,10.2794,1.2368,0.1618,0.8398,0.0002
