Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,31.0462,18.7139,Warrior,41.6749,61.4609,37.2402,5.2796,4.3444,1.9138,150,36.8106,192.3277,226.7145,200.0911,189.2211,189.2165,0.0376,0.0454,Population structure converged. Difference: 0.0309
1,1,33.5675,21.7349,Warrior,50.0088,53.8947,36.6302,5.1931,4.2733,1.9138,150,36.8106,124.2327,188.0162,167.7513,158.1371,178.4762,0.0315,0.0454,Population structure converged. Difference: 0.0309
1,2,35.7686,24.4341,Warrior,57.9078,62.4075,18.7231,6.0134,4.9483,1.9138,150,36.8106,63.4226,144.6600,167.9680,91.5422,129.7213,0.0343,0.0454,Population structure converged. Difference: 0.0309
1,3,34.6263,27.0618,Warrior,53.2379,78.5136,5.9541,6.7444,5.5498,1.9138,150,36.8106,36.6116,172.4398,138.0004,56.4287,101.1958,0.0217,0.0454,Population structure converged. Difference: 0.0309
1,4,34.7558,29.1187,Warrior,63.2379,44.2655,31.8501,5.8406,4.8061,1.9138,150,36.8106,22.9382,133.4540,70.2624,20.1869,37.4158,0.0159,0.0454,Population structure converged. Difference: 0.0309
1,5,35.2037,30.4621,Warrior,64.0235,53.6815,19.1262,8.3031,4.8658,1.9138,150,36.8106,26.0046,103.5455,75.8425,11.3003,22.5878,0.0041,0.0454,Population structure converged. Difference: 0.0309
1,6,36.5210,31.8234,Warrior,65.5731,54.9808,19.5891,5.4074,4.4496,1.9138,150,36.8106,54.6638,88.8686,106.4601,2.8264,9.9032,0.0018,0.0454,Population structure converged. Difference: 0.0309
1,7,36.6071,33.2580,Warrior,65.6491,55.0445,19.6118,4.7053,4.9893,1.9138,150,36.8106,77.9952,127.7365,153.9987,2.0042,0.7844,0.0017,0.0454,Population structure converged. Difference: 0.0309
1,8,36.6154,34.2712,Warrior,59.9024,74.3725,5.6401,5.5325,4.5526,1.9138,150,36.8106,62.9097,117.1438,134.4985,2.1255,0.5241,0.0017,0.0454,Population structure converged. Difference: 0.0309
1,9,36.8106,34.9732,Warrior,62.5370,71.5180,5.4236,6.1435,4.3778,1.9138,150,36.8106,48.7534,97.2889,114.3755,1.5231,0.1614,0.0017,0.0454,Population structure converged. Difference: 0.0309
1,10,36.8106,35.7075,Warrior,62.5370,71.5180,5.4236,6.1435,4.3778,1.9138,150,36.8106,22.5925,111.6913,97.8289,0.9614,0.1144,0.0000,0.0454,Population structure converged. Difference: 0.0309
2,0,29.0840,18.4330,Warrior,42.9684,64.9897,22.7161,2.3049,17.0209,1.9646,150,31.7648,315.0531,320.3531,181.6244,253.1367,158.0491,0.0375,0.0436,Population structure converged. Difference: 0.0422
2,1,29.0840,22.3365,Warrior,42.9684,64.9897,22.7161,2.3049,17.0209,1.9646,150,31.7648,133.4011,322.9847,161.8542,124.6281,93.6778,0.0373,0.0436,Population structure converged. Difference: 0.0422
2,2,29.1725,24.9057,Warrior,47.7213,72.1785,14.4017,2.2608,13.4376,1.7959,150,31.7648,56.2070,291.9729,128.2563,93.0259,58.4120,0.0348,0.0436,Population structure converged. Difference: 0.0422
2,3,30.2359,27.3266,Warrior,46.5945,70.4743,14.0617,2.2505,16.6190,1.9646,150,31.7648,41.2837,157.7814,58.3724,39.1203,26.1091,0.0271,0.0436,Population structure converged. Difference: 0.0422
2,4,30.2359,28.3406,Warrior,46.5945,70.4743,14.0617,2.2505,16.6190,1.9646,150,31.7648,10.6539,80.2671,36.3554,29.8478,8.2984,0.0116,0.0436,Population structure converged. Difference: 0.0422
2,5,30.9085,28.9284,Warrior,51.2060,52.6073,27.4143,2.7816,15.9908,1.9646,150,31.7648,4.0656,33.7516,20.1372,15.8027,4.2259,0.0026,0.0436,Population structure converged. Difference: 0.0422
2,6,31.0682,29.2787,Warrior,51.3880,52.7942,27.5117,2.2585,16.0476,1.9646,150,31.7648,5.7662,23.0484,10.5001,0.2738,2.2102,0.0006,0.0436,Population structure converged. Difference: 0.0422
2,7,31.7648,29.5464,Warrior,56.3695,57.9120,15.9492,2.5526,17.2168,1.9646,150,31.7648,8.9612,32.4122,17.8113,0.2765,2.1781,0.0003,0.0436,Population structure converged. Difference: 0.0422
2,8,31.7648,29.9846,Warrior,56.3695,57.9120,15.9492,2.5526,17.2168,1.9646,150,31.7648,14.1008,56.8616,32.5146,0.2751,1.8082,0.0003,0.0436,Population structure converged. Difference: 0.0422
2,9,31.7648,30.4773,Warrior,56.3695,57.9120,15.9492,2.5526,17.2168,1.9646,150,31.7648,14.9906,52.8928,26.1991,0.2770,1.7600,0.0003,0.0436,Population structure converged. Difference: 0.0422
3,0,35.7399,19.0547,Warrior,60.8032,64.2752,15.1493,6.2838,3.4885,1.8657,150,36.2868,222.5143,238.2758,228.3220,227.5416,297.6401,0.0400,0.0219,Population structure converged. Difference: 0.0493
3,1,35.7399,22.1404,Warrior,60.8032,64.2752,15.1493,6.2838,3.4885,1.8657,150,36.2868,195.8751,226.9101,146.1679,148.2512,323.8456,0.0390,0.0219,Population structure converged. Difference: 0.0493
3,2,35.7399,26.8051,Warrior,60.8032,64.2752,15.1493,6.2838,3.4885,1.8657,150,36.2868,180.7742,198.9287,131.2123,93.0792,159.9074,0.0315,0.0219,Population structure converged. Difference: 0.0493
3,3,35.7399,31.6678,Warrior,60.8032,64.2752,15.1493,6.2838,3.4885,1.8657,150,36.2868,131.5655,153.3218,87.4309,32.3651,94.1890,0.0137,0.0219,Population structure converged. Difference: 0.0493
3,4,36.2868,34.5815,Warrior,66.5991,60.0895,14.1628,5.8746,3.2741,1.8657,150,36.2868,51.1884,60.8971,21.1708,12.5303,30.5538,0.0009,0.0219,Population structure converged. Difference: 0.0493
4,0,24.3401,17.9092,Warrior,48.1133,42.3542,33.5393,2.8624,23.1308,1.5468,150,35.9087,200.7104,214.7894,224.4592,180.0472,242.9415,0.0360,0.0428,Population structure converged. Difference: 0.0471
4,1,28.5284,20.5781,Warrior,52.2835,65.8432,13.8769,9.8420,8.1544,1.4464,150,35.9087,188.6402,191.1928,177.6581,148.2999,134.6071,0.0362,0.0428,Population structure converged. Difference: 0.0471
4,2,33.5143,22.8598,Warrior,68.9818,37.9617,30.0610,2.5656,10.4300,1.9092,150,35.9087,139.0925,179.6524,120.1890,104.5824,98.0372,0.0368,0.0428,Population structure converged. Difference: 0.0471
4,3,33.5143,24.6089,Warrior,68.9818,37.9617,30.0610,2.5656,10.4300,1.9092,150,35.9087,117.8118,192.9087,98.9402,83.8081,61.8702,0.0363,0.0428,Population structure converged. Difference: 0.0471
4,4,33.5598,27.0969,Warrior,71.2090,39.1874,26.1885,2.6484,10.7667,1.9092,150,35.9087,70.4391,201.9658,92.9754,28.7391,49.6482,0.0403,0.0428,Population structure converged. Difference: 0.0471
4,5,33.9402,29.0250,Warrior,62.2682,57.5761,12.1346,8.6063,9.4149,1.9092,150,35.9087,61.8776,192.3985,86.6337,21.0737,31.8514,0.0503,0.0428,Population structure converged. Difference: 0.0471
4,6,35.3976,30.8699,Warrior,59.0795,54.6276,24.8474,2.5128,8.9328,1.9092,150,35.9087,70.6060,170.1448,72.5746,16.1252,13.5183,0.0528,0.0428,Population structure converged. Difference: 0.0471
4,7,35.3976,32.5071,Warrior,59.0795,54.6276,24.8474,2.5128,8.9328,1.9092,150,35.9087,57.6573,144.9701,47.5842,11.0341,1.9239,0.0335,0.0428,Population structure converged. Difference: 0.0471
4,8,35.9087,33.4522,Warrior,64.7099,51.2447,23.3086,2.3572,8.3796,1.9092,150,35.9087,46.5865,131.2791,35.0378,5.0049,0.9033,0.0177,0.0428,Population structure converged. Difference: 0.0471
