Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.4946,28.6064,Warrior,42.8426,90.1416,57.2252,4.8936,4.8971,1.8317,200,58.1159,359.3428,618.6387,564.0509,417.2038,423.7788,0.0397,0.0863,Population structure converged. Difference: 0.0444
1,1,41.0735,31.5100,Warrior,69.3937,84.2830,10.0467,19.7206,16.5561,1.4236,200,58.1159,299.8943,557.5455,530.7518,363.1276,339.1329,0.0410,0.0863,Population structure converged. Difference: 0.0444
1,2,43.2242,34.8714,Warrior,75.9223,81.8386,9.7553,12.2649,20.2188,1.7756,200,58.1159,219.1999,524.0873,484.5944,206.5847,246.6924,0.0458,0.0863,Population structure converged. Difference: 0.0444
1,3,46.3589,36.9762,Warrior,56.3725,65.0436,49.6738,10.9156,17.9944,1.9008,200,58.1159,161.8709,421.7877,352.2326,114.5117,176.5515,0.0467,0.0863,Population structure converged. Difference: 0.0444
1,4,47.1549,39.2110,Warrior,73.5374,79.2679,9.4489,23.9339,13.8119,1.9108,200,58.1159,128.6912,373.0320,341.1326,75.5129,112.5369,0.0422,0.0863,Population structure converged. Difference: 0.0444
1,5,51.1914,41.0027,Warrior,65.1471,77.3482,49.1035,4.1990,4.2021,1.8317,200,58.1159,100.6991,265.9463,325.7857,28.6873,82.4317,0.0376,0.0863,Population structure converged. Difference: 0.0444
1,6,52.8979,42.1078,Warrior,81.1035,96.2930,12.1447,5.2275,5.2313,1.8317,200,58.1159,109.2397,277.1957,328.8409,30.1617,61.1869,0.0253,0.0863,Population structure converged. Difference: 0.0444
1,7,52.8979,43.8882,Warrior,81.1035,96.2930,12.1447,5.2275,5.2313,1.8317,200,58.1159,80.8389,202.6388,296.2391,36.5109,51.6947,0.0166,0.0863,Population structure converged. Difference: 0.0444
1,8,52.8979,45.8232,Warrior,81.1035,96.2930,12.1447,5.2275,5.2313,1.8317,200,58.1159,63.7842,152.6836,318.6083,42.6048,44.9560,0.0110,0.0863,Population structure converged. Difference: 0.0444
1,9,52.8979,47.2319,Warrior,81.1035,96.2930,12.1447,5.2275,5.2313,1.8317,200,58.1159,63.2416,154.9137,355.6362,46.2224,40.9978,0.0079,0.0863,Population structure converged. Difference: 0.0444
1,10,53.7839,48.6826,Warrior,75.0798,71.8687,33.5579,4.6419,14.8517,1.9108,200,58.1159,60.7842,108.7736,313.5750,37.7087,44.2708,0.0018,0.0863,Population structure converged. Difference: 0.0444
1,11,54.4699,49.9346,Warrior,79.1394,93.9612,11.8506,9.9442,5.1047,1.9008,200,58.1159,77.3722,76.1355,316.2874,35.7192,37.2784,0.0014,0.0863,Population structure converged. Difference: 0.0444
1,12,55.0881,50.7156,Warrior,67.0109,77.3184,47.5374,4.0651,4.0681,1.9108,200,58.1159,72.0186,87.3259,304.1419,29.8419,32.1646,0.0014,0.0863,Population structure converged. Difference: 0.0444
1,13,56.4436,51.7036,Warrior,73.6541,71.9870,45.7000,3.9080,4.7508,1.9108,200,58.1159,80.3377,95.7047,309.8364,19.9456,30.3935,0.0014,0.0863,Population structure converged. Difference: 0.0444
1,14,56.4436,52.5713,Warrior,73.6541,71.9870,45.7000,3.9080,4.7508,1.9108,200,58.1159,65.2449,83.6622,286.9277,19.2440,27.3715,0.0014,0.0863,Population structure converged. Difference: 0.0444
1,15,57.2094,53.3869,Warrior,93.5069,82.8263,13.5842,4.9240,5.1586,1.9108,200,58.1159,63.9062,83.8317,278.9712,15.9687,22.9885,0.0010,0.0863,Population structure converged. Difference: 0.0444
1,16,57.4984,54.1271,Warrior,94.8001,83.9718,12.5549,4.3350,4.3382,1.9008,200,58.1159,88.9415,81.2252,272.4141,11.7107,19.7955,0.0005,0.0863,Population structure converged. Difference: 0.0444
1,17,57.9354,55.0282,Warrior,81.4617,72.1570,38.8411,3.3215,4.2188,1.9008,200,58.1159,81.4823,88.3108,247.8381,6.9718,11.4643,0.0004,0.0863,Population structure converged. Difference: 0.0444
1,18,58.1159,55.6463,Warrior,82.1244,72.7440,37.4025,3.1984,4.5307,1.9108,200,58.1159,67.4831,93.7909,242.1551,5.4444,6.9800,0.0003,0.0863,Population structure converged. Difference: 0.0444
2,0,47.2162,30.2149,Warrior,70.6414,55.7998,50.0326,0.8786,22.6476,1.8152,200,58.3965,324.4143,423.0356,475.9365,323.9285,364.9733,0.0410,0.0436,Population structure converged. Difference: 0.0491
2,1,47.2162,33.1854,Warrior,70.6414,55.7998,50.0326,0.8786,22.6476,1.8152,200,58.3965,197.0861,411.4217,419.8948,261.0208,326.0539,0.0404,0.0436,Population structure converged. Difference: 0.0491
2,2,47.2162,36.5348,Warrior,70.6414,55.7998,50.0326,0.8786,22.6476,1.8152,200,58.3965,198.1306,344.2362,525.2608,191.6665,363.1175,0.0453,0.0436,Population structure converged. Difference: 0.0491
2,3,53.8205,40.1648,Warrior,78.2944,65.7623,41.9491,11.9896,2.0046,1.8747,200,58.3965,134.1860,236.1397,489.9814,107.4043,270.3965,0.0474,0.0436,Population structure converged. Difference: 0.0491
2,4,53.8205,43.2090,Warrior,78.2944,65.7623,41.9491,11.9896,2.0046,1.8747,200,58.3965,112.1621,182.7513,400.2179,66.3986,156.8039,0.0350,0.0436,Population structure converged. Difference: 0.0491
2,5,53.8205,46.1477,Warrior,78.2944,65.7623,41.9491,11.9896,2.0046,1.8747,200,58.3965,78.5414,124.0330,216.6904,48.4011,93.7580,0.0180,0.0436,Population structure converged. Difference: 0.0491
2,6,57.7840,48.6069,Warrior,82.4818,65.1526,48.9804,1.0446,2.3406,1.8747,200,58.3965,59.0225,103.8700,195.3447,29.6425,113.7617,0.0109,0.0436,Population structure converged. Difference: 0.0491
2,7,57.7840,50.6142,Warrior,82.4818,65.1526,48.9804,1.0446,2.3406,1.8747,200,58.3965,31.0588,81.7198,158.5885,13.4119,92.7832,0.0049,0.0436,Population structure converged. Difference: 0.0491
2,8,58.3826,52.4286,Warrior,82.8554,69.5933,44.3929,1.0370,2.1214,1.8747,200,58.3965,12.5680,16.8229,21.7803,13.2381,51.1801,0.0019,0.0436,Population structure converged. Difference: 0.0491
2,9,58.3826,52.9273,Warrior,82.8554,69.5933,44.3929,1.0370,2.1214,1.8747,200,58.3965,8.7275,16.6605,27.6844,20.0950,36.5991,0.0015,0.0436,Population structure converged. Difference: 0.0491
2,10,58.3826,53.9533,Warrior,82.8554,69.5933,44.3929,1.0370,2.1214,1.8747,200,58.3965,6.5116,5.5836,27.6297,21.0051,15.9533,0.0008,0.0436,Population structure converged. Difference: 0.0491
2,11,58.3965,54.6294,Warrior,82.8728,69.6079,44.4022,1.0384,2.0787,1.8747,200,58.3965,5.4464,6.4132,27.8000,21.4410,8.0613,0.0009,0.0436,Population structure converged. Difference: 0.0491
2,12,58.3965,55.6631,Warrior,82.8728,69.6079,44.4022,1.0384,2.0787,1.8747,200,58.3965,5.6611,5.1868,21.3955,18.2048,8.0331,0.0007,0.0436,Population structure converged. Difference: 0.0491
3,0,42.1607,30.4300,Warrior,54.4423,114.8152,0.9092,24.0490,5.7843,1.9236,200,57.7037,248.1852,494.3755,453.7172,397.0863,364.1711,0.0334,0.0446,Population structure converged. Difference: 0.0494
3,1,42.1607,33.2893,Warrior,54.4423,114.8152,0.9092,24.0490,5.7843,1.9236,200,57.7037,156.9916,620.5820,456.3590,219.0947,406.4897,0.0341,0.0446,Population structure converged. Difference: 0.0494
3,2,42.1607,35.6771,Warrior,54.4423,114.8152,0.9092,24.0490,5.7843,1.9236,200,57.7037,174.8133,630.9577,451.3368,190.1028,363.9509,0.0405,0.0446,Population structure converged. Difference: 0.0494
3,3,45.7922,38.6012,Warrior,51.4986,76.4987,55.7606,8.2592,7.9829,1.8651,200,57.7037,127.7753,652.3531,535.3867,86.7197,185.8110,0.0416,0.0446,Population structure converged. Difference: 0.0494
3,4,46.8327,39.7439,Warrior,58.7592,64.7614,50.6480,19.5883,6.2430,1.9236,200,57.7037,88.9782,901.5915,647.8543,51.4278,160.8734,0.0354,0.0446,Population structure converged. Difference: 0.0494
3,5,48.6446,41.6625,Warrior,72.5900,97.6885,1.2122,20.7969,7.7125,1.9236,200,57.7037,81.7072,872.7619,678.5461,55.8014,124.9986,0.0181,0.0446,Population structure converged. Difference: 0.0494
3,6,51.3220,42.8458,Warrior,63.8244,67.3186,52.6479,9.4280,6.7812,1.9236,200,57.7037,114.6133,633.9602,593.8907,66.3678,107.4187,0.0180,0.0446,Population structure converged. Difference: 0.0494
3,7,54.1365,44.7660,Warrior,73.0010,65.1795,47.3541,6.7093,7.7562,1.9236,200,57.7037,198.6896,480.1792,613.4597,59.2974,75.3431,0.0082,0.0446,Population structure converged. Difference: 0.0494
3,8,55.6648,46.6028,Warrior,85.9787,59.1445,43.1109,5.9403,5.8257,1.9236,200,57.7037,217.2945,363.2472,660.4066,67.1491,39.2145,0.0069,0.0446,Population structure converged. Difference: 0.0494
3,9,55.6648,48.3624,Warrior,85.9787,59.1445,43.1109,5.9403,5.8257,1.9236,200,57.7037,171.3859,264.1494,586.6615,66.0415,17.2865,0.0060,0.0446,Population structure converged. Difference: 0.0494
3,10,56.4861,50.1925,Warrior,71.9928,70.9036,49.8444,0.5174,6.7417,1.9236,200,57.7037,143.0330,144.6220,480.7336,63.0846,6.6284,0.0041,0.0446,Population structure converged. Difference: 0.0494
3,11,56.8032,51.9143,Warrior,72.3364,71.2420,50.0822,0.5199,5.8195,1.9236,200,57.7037,89.7051,64.0972,308.7300,63.0064,2.2132,0.0012,0.0446,Population structure converged. Difference: 0.0494
3,12,56.8032,53.5163,Warrior,72.3364,71.2420,50.0822,0.5199,5.8195,1.9236,200,57.7037,74.0147,52.7187,191.1783,51.1470,2.1758,0.0005,0.0446,Population structure converged. Difference: 0.0494
3,13,57.7037,54.9861,Warrior,76.5879,68.3820,49.6809,0.6062,4.7430,1.9236,200,57.7037,51.1879,40.8213,86.3078,21.1800,1.6059,0.0003,0.0446,Population structure converged. Difference: 0.0494
4,0,53.0139,29.3245,Warrior,72.5483,61.5078,48.2069,5.1560,12.5809,1.9057,200,55.0646,516.3105,517.7111,411.3183,347.3190,391.8055,0.0359,0.0311,Population structure converged. Difference: 0.0320
4,1,53.0139,33.3646,Warrior,72.5483,61.5078,48.2069,5.1560,12.5809,1.9057,200,55.0646,333.1416,440.6633,324.1616,310.6047,311.8919,0.0420,0.0311,Population structure converged. Difference: 0.0320
4,2,53.9584,37.5107,Warrior,81.1164,68.7721,30.2798,5.7650,14.0667,1.9057,200,55.0646,266.4818,377.0984,219.3347,254.0027,227.8028,0.0391,0.0311,Population structure converged. Difference: 0.0320
4,3,54.1725,41.6338,Warrior,74.0513,66.0635,43.7779,4.6823,11.4250,1.9057,200,55.0646,163.5459,188.9341,234.7781,227.5050,171.4285,0.0353,0.0311,Population structure converged. Difference: 0.0320
4,4,54.1725,46.5657,Warrior,74.0513,66.0635,43.7779,4.6823,11.4250,1.9057,200,55.0646,121.7101,125.8831,172.7217,135.6500,80.4959,0.0281,0.0311,Population structure converged. Difference: 0.0320
