Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,37.0360,29.3438,Warrior,54.7583,40.4172,61.9500,8.6257,34.2489,1.4542,200,44.8467,267.3473,339.3599,354.1624,353.1568,415.4234,0.0396,0.0451,Population structure converged. Difference: 0.0084
1,1,38.7456,32.3250,Warrior,61.8052,59.4432,22.0572,24.3799,32.3145,1.8196,200,44.8467,139.0838,189.0196,261.3006,242.4363,264.9931,0.0433,0.0451,Population structure converged. Difference: 0.0084
1,2,38.7456,34.5891,Warrior,61.8052,59.4432,22.0572,24.3799,32.3145,1.8196,200,44.8467,63.1958,109.0937,273.5178,188.4773,175.8165,0.0336,0.0451,Population structure converged. Difference: 0.0084
1,3,43.8760,36.1713,Warrior,58.9597,57.4430,47.9599,22.6347,13.0027,1.9517,200,44.8467,28.6450,68.5473,280.9581,120.4529,75.6721,0.0277,0.0451,Population structure converged. Difference: 0.0084
1,4,43.8760,37.3005,Warrior,58.9597,57.4430,47.9599,22.6347,13.0027,1.9517,200,44.8467,19.5967,70.0634,326.9308,65.7850,27.6967,0.0312,0.0451,Population structure converged. Difference: 0.0084
1,5,43.9951,38.7351,Warrior,61.7300,55.0207,45.9375,23.6983,13.6137,1.9517,200,44.8467,13.7712,76.3975,336.0114,54.7588,19.3522,0.0154,0.0451,Population structure converged. Difference: 0.0084
1,6,43.9951,39.8206,Warrior,61.7300,55.0207,45.9375,23.6983,13.6137,1.9517,200,44.8467,12.5672,63.4141,220.9525,52.3854,44.8393,0.0090,0.0451,Population structure converged. Difference: 0.0084
1,7,44.1181,41.4775,Warrior,61.9191,55.1893,46.0782,23.7709,13.0426,1.9517,200,44.8467,16.3648,46.2585,98.2153,32.6359,74.8314,0.0070,0.0451,Population structure converged. Difference: 0.0084
1,8,44.1443,43.0491,Warrior,59.9629,58.4204,45.3729,23.0199,13.2240,1.9517,200,44.8467,8.6357,27.6244,31.8260,14.6830,47.4965,0.0014,0.0451,Population structure converged. Difference: 0.0084
1,9,44.8467,43.5451,Warrior,62.5566,55.7574,46.5526,21.3375,13.7960,1.9517,200,44.8467,5.8113,11.6889,20.0988,7.0245,30.8857,0.0009,0.0451,Population structure converged. Difference: 0.0084
1,10,44.8467,43.8582,Warrior,62.5566,55.7574,46.5526,21.3375,13.7960,1.9517,200,44.8467,4.6595,3.3158,8.9381,2.7040,17.1688,0.0004,0.0451,Population structure converged. Difference: 0.0084
1,11,44.8467,44.1036,Warrior,62.5566,55.7574,46.5526,21.3375,13.7960,1.9517,200,44.8467,2.4320,1.8977,11.6258,0.7181,11.0590,0.0004,0.0451,Population structure converged. Difference: 0.0084
1,12,44.8467,44.4727,Warrior,62.5566,55.7574,46.5526,21.3375,13.7960,1.9517,200,44.8467,1.3413,0.7111,0.2192,1.0121,2.1038,0.0000,0.0451,Population structure converged. Difference: 0.0084
2,0,44.3306,31.7322,Warrior,88.9842,55.5182,34.5820,6.7135,14.2021,1.7431,200,55.2689,455.3327,485.3559,379.5186,364.9620,444.9467,0.0336,0.0412,Population structure converged. Difference: 0.0088
2,1,54.1560,36.9626,Warrior,84.6329,70.7400,25.3924,0.0687,19.1661,1.8976,200,55.2689,260.4727,417.4567,433.7522,165.4891,262.7297,0.0229,0.0412,Population structure converged. Difference: 0.0088
2,2,54.1560,41.0044,Warrior,84.6329,70.7400,25.3924,0.0687,19.1661,1.8976,200,55.2689,185.2412,144.3635,253.4992,61.8653,180.9241,0.0109,0.0412,Population structure converged. Difference: 0.0088
2,3,54.1560,44.0099,Warrior,84.6329,70.7400,25.3924,0.0687,19.1661,1.8976,200,55.2689,102.1920,47.7425,73.0492,22.8515,95.0890,0.0061,0.0412,Population structure converged. Difference: 0.0088
2,4,54.1560,46.6043,Warrior,84.6329,70.7400,25.3924,0.0687,19.1661,1.8976,200,55.2689,25.5202,68.1450,59.7480,9.3780,35.7561,0.0060,0.0412,Population structure converged. Difference: 0.0088
2,5,54.1560,51.2604,Warrior,84.6329,70.7400,25.3924,0.0687,19.1661,1.8976,200,55.2689,7.5574,70.7152,58.7556,10.0863,13.5369,0.0052,0.0412,Population structure converged. Difference: 0.0088
2,6,55.2673,52.6841,Warrior,84.5756,72.5937,26.0578,0.0705,16.7025,1.9082,200,55.2689,5.4198,15.4417,5.8745,6.3937,19.1923,0.0032,0.0412,Population structure converged. Difference: 0.0088
2,7,55.2689,53.9463,Warrior,84.5776,72.5954,26.0584,0.0657,16.7029,1.9082,200,55.2689,1.0350,5.0602,3.3326,2.5218,0.8374,0.0005,0.0412,Population structure converged. Difference: 0.0088
2,8,55.2689,54.0191,Warrior,84.5776,72.5954,26.0584,0.0657,16.7029,1.9082,200,55.2689,1.4233,5.6189,5.1931,1.4351,0.8278,0.0005,0.0412,Population structure converged. Difference: 0.0088
2,9,55.2689,54.3221,Warrior,84.5776,72.5954,26.0584,0.0657,16.7029,1.9082,200,55.2689,2.1048,5.9078,10.4907,0.4416,1.0960,0.0003,0.0412,Population structure converged. Difference: 0.0088
