Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.8157,33.2034,Warrior,59.7994,58.5331,63.7700,4.2523,13.6451,1.8412,200,46.8157,237.2769,449.7959,477.3546,320.1399,222.7790,0.0362,0.0278,Population structure converged. Difference: 0.0093
1,1,46.8157,38.4450,Warrior,59.7994,58.5331,63.7700,4.2523,13.6451,1.8412,200,46.8157,113.5526,394.5500,356.5651,167.2806,202.3282,0.0246,0.0278,Population structure converged. Difference: 0.0093
1,2,46.8157,42.3008,Warrior,59.7994,58.5331,63.7700,4.2523,13.6451,1.8412,200,46.8157,54.8861,243.9383,169.9141,114.2769,126.9620,0.0160,0.0278,Population structure converged. Difference: 0.0093
1,3,46.8157,45.2639,Warrior,59.7994,58.5331,63.7700,4.2523,13.6451,1.8412,200,46.8157,28.2813,127.2623,37.9818,76.6711,38.7129,0.0031,0.0278,Population structure converged. Difference: 0.0093
1,4,46.8157,46.0505,Warrior,59.7994,58.5331,63.7700,4.2523,13.6451,1.8412,200,46.8157,13.2579,49.6634,23.2211,43.4988,26.5017,0.0013,0.0278,Population structure converged. Difference: 0.0093
1,5,46.8157,46.3834,Warrior,59.7994,58.5331,63.7700,4.2523,13.6451,1.8412,200,46.8157,8.2995,31.4357,16.1600,32.7189,15.1378,0.0007,0.0278,Population structure converged. Difference: 0.0093
2,0,46.8255,34.2671,Warrior,80.0551,78.7807,4.8261,34.4659,1.8721,1.9178,200,46.8255,375.0024,539.8635,477.5172,389.5332,516.0780,0.0383,0.0145,Population structure converged. Difference: 0.0072
2,1,46.8255,40.7782,Warrior,80.0551,78.7807,4.8261,34.4659,1.8721,1.9178,200,46.8255,222.6833,398.8559,414.6123,288.9817,267.7291,0.0211,0.0145,Population structure converged. Difference: 0.0072
2,2,46.8255,44.4923,Warrior,80.0551,78.7807,4.8261,34.4659,1.8721,1.9178,200,46.8255,121.3564,230.3373,358.2985,217.0007,172.8080,0.0081,0.0145,Population structure converged. Difference: 0.0072
2,3,46.8255,46.4896,Warrior,80.0551,78.7807,4.8261,34.4659,1.8721,1.9178,200,46.8255,46.4487,16.9933,131.9211,104.8344,89.0128,0.0014,0.0145,Population structure converged. Difference: 0.0072
3,0,39.7592,32.9202,Warrior,50.7124,91.9480,43.1582,14.0649,0.1165,1.4232,200,39.7592,284.2668,455.9109,422.0975,369.6080,427.4818,0.0493,0.0312,Population structure converged. Difference: 0.0056
