Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.2167,32.0982,Warrior,56.5981,87.1587,30.3255,24.6760,1.2417,1.8691,200,53.5574,310.0132,688.7656,342.7732,305.9617,398.0668,0.0435,0.0425,Population structure converged. Difference: 0.0052
1,1,47.1491,37.3812,Warrior,80.5414,87.7050,11.6109,13.7646,6.3781,1.9992,200,53.5574,224.8815,506.6349,313.9874,147.6351,410.8418,0.0387,0.0425,Population structure converged. Difference: 0.0052
1,2,53.5574,40.5219,Warrior,82.6644,90.0168,11.9169,14.1274,1.2744,1.8691,200,53.5574,116.8768,250.4707,196.3287,80.2091,307.4325,0.0267,0.0425,Population structure converged. Difference: 0.0052
1,3,53.5574,42.0259,Warrior,82.6644,90.0168,11.9169,14.1274,1.2744,1.8691,200,53.5574,117.2972,255.9117,147.7066,60.1324,199.1498,0.0193,0.0425,Population structure converged. Difference: 0.0052
1,4,53.5574,44.4722,Warrior,82.6644,90.0168,11.9169,14.1274,1.2744,1.8691,200,53.5574,123.6250,292.1394,134.5633,46.9216,160.3326,0.0108,0.0425,Population structure converged. Difference: 0.0052
1,5,53.5574,47.9832,Warrior,82.6644,90.0168,11.9169,14.1274,1.2744,1.8691,200,53.5574,98.5240,174.0175,103.0086,31.2672,48.5875,0.0073,0.0425,Population structure converged. Difference: 0.0052
1,6,53.5574,51.6886,Warrior,82.6644,90.0168,11.9169,14.1274,1.2744,1.8691,200,53.5574,53.8783,50.9480,51.4173,15.8431,2.6505,0.0017,0.0425,Population structure converged. Difference: 0.0052
1,7,53.5574,53.2796,Warrior,82.6644,90.0168,11.9169,14.1274,1.2744,1.8691,200,53.5574,1.8403,18.5424,10.7000,3.2909,0.5179,0.0003,0.0425,Population structure converged. Difference: 0.0052
2,0,44.6105,31.9039,Warrior,76.6224,42.1884,41.5042,18.0022,21.6829,1.9208,200,44.6105,338.7524,324.3721,312.2745,217.2326,350.7339,0.0391,0.0216,Population structure converged. Difference: 0.0097
2,1,44.6105,36.8550,Warrior,76.6224,42.1884,41.5042,18.0022,21.6829,1.9208,200,44.6105,300.2100,217.9777,242.1989,137.2506,235.2274,0.0295,0.0216,Population structure converged. Difference: 0.0097
2,2,44.6105,40.6310,Warrior,76.6224,42.1884,41.5042,18.0022,21.6829,1.9208,200,44.6105,233.7328,161.6659,196.8756,96.0456,124.2102,0.0142,0.0216,Population structure converged. Difference: 0.0097
2,3,44.6105,42.5819,Warrior,76.6224,42.1884,41.5042,18.0022,21.6829,1.9208,200,44.6105,146.5810,74.4517,63.8702,64.0606,62.7340,0.0060,0.0216,Population structure converged. Difference: 0.0097
2,4,44.6105,44.1802,Warrior,76.6224,42.1884,41.5042,18.0022,21.6829,1.9208,200,44.6105,19.7893,12.0162,12.9959,9.2525,1.8521,0.0020,0.0216,Population structure converged. Difference: 0.0097
3,0,54.4248,34.4180,Warrior,73.5096,74.7785,40.3014,5.0731,6.3374,1.9579,200,55.6326,376.9244,523.2846,729.0595,465.9216,416.8577,0.0516,0.0332,Population structure converged. Difference: 0.0055
3,1,54.4248,43.6061,Warrior,73.5096,74.7785,40.3014,5.0731,6.3374,1.9579,200,55.6326,176.7668,430.0793,434.6563,366.1247,239.6865,0.0243,0.0332,Population structure converged. Difference: 0.0055
3,2,54.4341,51.4881,Warrior,91.1795,92.4497,4.4539,5.2983,6.6187,1.9579,200,55.6326,68.4934,135.0321,183.8692,123.2885,120.2028,0.0058,0.0332,Population structure converged. Difference: 0.0055
3,3,54.4341,52.9742,Warrior,91.1795,92.4497,4.4539,5.2983,6.6187,1.9579,200,55.6326,78.5678,142.5722,259.6565,32.6799,68.3580,0.0036,0.0332,Population structure converged. Difference: 0.0055
