Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.0846,31.0214,Warrior,79.1656,67.5284,31.8879,20.1072,1.3109,1.8952,200,59.9504,379.1362,435.0907,395.2505,371.5762,451.9312,0.0329,0.0385,Population structure converged. Difference: 0.0479
1,1,52.0846,34.5766,Warrior,79.1656,67.5284,31.8879,20.1072,1.3109,1.8952,200,59.9504,366.1660,412.5281,335.5081,317.4578,416.2945,0.0357,0.0385,Population structure converged. Difference: 0.0479
1,2,53.3359,39.1058,Warrior,60.1779,79.5828,56.7488,1.6876,1.8029,1.8952,200,59.9504,250.9902,312.2991,272.2030,167.1742,332.3189,0.0319,0.0385,Population structure converged. Difference: 0.0479
1,3,54.4716,42.7273,Warrior,75.3342,74.7887,35.3163,13.1090,1.4519,1.8952,200,59.9504,141.1442,283.4057,290.6545,117.1960,269.6921,0.0283,0.0385,Population structure converged. Difference: 0.0479
1,4,54.7386,45.5830,Warrior,84.5231,93.9970,7.4428,12.6374,1.3996,1.8952,200,59.9504,150.5630,230.6096,260.9379,86.9088,209.2786,0.0289,0.0385,Population structure converged. Difference: 0.0479
1,5,57.3965,48.3071,Warrior,89.9452,91.7824,10.2851,6.0749,1.9123,1.8952,200,59.9504,125.6958,165.7276,253.4282,65.0260,155.5200,0.0171,0.0385,Population structure converged. Difference: 0.0479
1,6,57.7865,50.5316,Warrior,85.1391,72.6238,34.2940,6.5333,1.4098,1.8952,200,59.9504,133.3455,134.1282,201.2215,71.4263,69.8783,0.0031,0.0385,Population structure converged. Difference: 0.0479
1,7,57.8185,52.3548,Warrior,85.1812,72.6598,34.3109,6.5365,1.3116,1.8952,200,59.9504,137.9764,140.9062,188.5471,52.8307,52.4238,0.0008,0.0385,Population structure converged. Difference: 0.0479
1,8,57.8198,54.1021,Warrior,85.1826,72.6609,34.3115,6.5334,1.3116,1.8952,200,59.9504,138.7242,122.6100,176.1809,42.2416,26.1320,0.0005,0.0385,Population structure converged. Difference: 0.0479
1,9,59.7583,55.2894,Warrior,90.0051,72.5017,34.2809,1.6687,1.5436,1.8952,200,59.9504,127.6547,129.6343,164.5551,30.7350,16.3572,0.0004,0.0385,Population structure converged. Difference: 0.0479
1,10,59.7583,56.5153,Warrior,90.0051,72.5017,34.2809,1.6687,1.5436,1.8952,200,59.9504,90.9675,92.7447,123.9809,22.4638,6.3271,0.0004,0.0385,Population structure converged. Difference: 0.0479
1,11,59.9504,57.2112,Warrior,86.2249,76.8800,34.0419,1.3425,1.5107,1.8952,200,59.9504,92.9037,89.7352,112.3873,11.5918,3.9901,0.0003,0.0385,Population structure converged. Difference: 0.0479
2,0,47.5934,29.8875,Warrior,82.3441,56.6864,30.1575,21.9257,8.8864,1.9578,200,60.3036,297.3966,352.3712,343.1707,354.7659,370.7080,0.0357,0.0420,Population structure converged. Difference: 0.0367
2,1,47.5934,32.6188,Warrior,82.3441,56.6864,30.1575,21.9257,8.8864,1.9578,200,60.3036,257.3134,304.7326,317.0095,225.0941,344.0432,0.0349,0.0420,Population structure converged. Difference: 0.0367
2,2,47.5934,35.4922,Warrior,82.3441,56.6864,30.1575,21.9257,8.8864,1.9578,200,60.3036,161.3502,328.9751,296.5683,178.4800,344.3639,0.0338,0.0420,Population structure converged. Difference: 0.0367
2,3,52.2866,38.1765,Warrior,79.9786,55.0580,48.6750,4.4460,11.8425,1.9578,200,60.3036,127.0251,319.6044,313.2520,151.3580,271.0477,0.0350,0.0420,Population structure converged. Difference: 0.0367
2,4,53.9122,41.2165,Warrior,62.4100,72.0584,64.5173,0.0655,0.9488,1.9409,200,60.3036,123.4327,275.9518,353.7746,132.7297,248.6814,0.0349,0.0420,Population structure converged. Difference: 0.0367
2,5,54.3296,43.5197,Warrior,88.4747,60.3057,38.3453,3.8283,9.0461,1.9578,200,60.3036,146.8660,242.2218,428.0544,145.6014,220.7175,0.0298,0.0420,Population structure converged. Difference: 0.0367
2,6,55.8079,46.3347,Warrior,70.0018,72.3348,56.2867,0.0890,1.2877,1.9578,200,60.3036,130.1639,176.1279,379.8954,129.5652,176.9433,0.0293,0.0420,Population structure converged. Difference: 0.0367
