Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.8123,30.1790,Warrior,62.7219,56.3571,42.3256,0.2881,38.3073,1.9517,200,59.6260,360.6128,423.4036,363.2915,414.0062,432.9029,0.0366,0.0518,Population structure converged. Difference: 0.0454
1,1,46.9778,33.3236,Warrior,60.7046,85.2125,24.8331,0.2793,28.9706,1.9517,200,59.6260,227.9361,330.3615,323.6330,292.9190,331.9225,0.0338,0.0518,Population structure converged. Difference: 0.0454
1,2,56.1361,36.4032,Warrior,70.3107,102.8498,25.2469,0.3720,1.2206,1.9517,200,59.6260,154.0383,313.8974,338.1695,226.3544,327.4200,0.0428,0.0518,Population structure converged. Difference: 0.0454
1,3,56.1361,39.4375,Warrior,70.3107,102.8498,25.2469,0.3720,1.2206,1.9517,200,59.6260,152.0057,349.8549,258.5325,193.7671,293.7218,0.0447,0.0518,Population structure converged. Difference: 0.0454
1,4,56.1361,43.1341,Warrior,70.3107,102.8498,25.2469,0.3720,1.2206,1.9517,200,59.6260,138.8202,328.3204,194.4593,136.0702,267.5811,0.0394,0.0518,Population structure converged. Difference: 0.0454
1,5,58.6687,46.5145,Warrior,79.0408,90.9074,28.3817,0.2979,1.3721,1.9517,200,59.6260,145.9065,321.4102,141.1056,133.8924,210.1676,0.0298,0.0518,Population structure converged. Difference: 0.0454
1,6,59.3075,48.9624,Warrior,86.7198,89.4932,21.9547,0.3269,1.5054,1.9517,200,59.6260,150.5853,305.5875,150.2143,110.1712,174.7389,0.0158,0.0518,Population structure converged. Difference: 0.0454
1,7,59.3603,52.8079,Warrior,84.3190,83.4522,30.2769,0.4881,1.4637,1.9517,200,59.6260,100.3676,282.3488,138.0941,51.0944,96.8806,0.0143,0.0518,Population structure converged. Difference: 0.0454
1,8,59.3603,53.9489,Warrior,84.3190,83.4522,30.2769,0.4881,1.4637,1.9517,200,59.6260,88.4074,261.3807,116.4928,49.2282,66.0635,0.0120,0.0518,Population structure converged. Difference: 0.0454
1,9,59.6244,55.7203,Warrior,87.8540,83.7291,26.7326,0.3919,1.2924,1.9517,200,59.6260,74.2498,197.4275,107.7755,35.3224,29.0368,0.0077,0.0518,Population structure converged. Difference: 0.0454
1,10,59.6260,57.0345,Warrior,87.8897,83.6819,26.7434,0.3921,1.2929,1.9517,200,59.6260,52.5861,130.0188,77.1987,23.6740,23.3722,0.0057,0.0518,Population structure converged. Difference: 0.0454
2,0,44.8707,29.7106,Warrior,84.7617,55.9853,37.8015,4.8345,16.6170,1.5030,200,59.5567,378.2398,321.4240,348.8374,379.4454,388.3968,0.0444,0.0411,Population structure converged. Difference: 0.0446
2,1,46.7588,33.0800,Warrior,65.9753,40.4086,71.3979,0.2617,21.9565,1.9356,200,59.5567,269.9395,253.6000,254.5290,296.4709,368.1714,0.0515,0.0411,Population structure converged. Difference: 0.0446
2,2,50.0983,37.2353,Warrior,70.5809,54.4749,57.0816,4.0257,13.8370,1.8567,200,59.5567,187.9064,223.7439,289.2335,258.6002,303.1996,0.0466,0.0411,Population structure converged. Difference: 0.0446
2,3,56.8747,40.3125,Warrior,74.5192,80.7829,37.7045,6.9758,0.0176,1.9356,200,59.5567,177.7385,212.6950,251.4857,240.3547,194.6572,0.0405,0.0411,Population structure converged. Difference: 0.0446
2,4,57.7129,43.1601,Warrior,86.5714,74.9537,30.3567,8.1041,0.0141,1.9356,200,59.5567,168.9828,198.4288,230.5129,235.3580,128.1581,0.0368,0.0411,Population structure converged. Difference: 0.0446
2,5,58.7138,46.7919,Warrior,81.4241,77.6019,36.3130,4.6441,0.0169,1.9356,200,59.5567,100.7014,182.4890,264.3999,152.5392,96.6153,0.0306,0.0411,Population structure converged. Difference: 0.0446
2,6,58.7138,48.8803,Warrior,81.4241,77.6019,36.3130,4.6441,0.0169,1.9356,200,59.5567,106.6852,171.2223,223.3289,91.4989,90.8201,0.0261,0.0411,Population structure converged. Difference: 0.0446
2,7,58.9884,50.6701,Warrior,85.0858,78.3245,31.7219,4.8530,0.0148,1.9356,200,59.5567,87.5890,204.1182,219.2108,70.7593,81.8815,0.0194,0.0411,Population structure converged. Difference: 0.0446
2,8,59.4009,53.4109,Warrior,86.8770,75.8744,33.3803,3.8518,0.0165,1.9356,200,59.5567,93.5454,162.4869,156.6215,37.6172,54.6809,0.0111,0.0411,Population structure converged. Difference: 0.0446
2,9,59.4411,55.6516,Warrior,87.6041,76.5094,31.9874,3.8841,0.0149,1.9356,200,59.5567,61.4906,94.1027,115.9952,21.8454,25.6189,0.0062,0.0411,Population structure converged. Difference: 0.0446
2,10,59.5567,57.0125,Warrior,86.8954,78.9643,30.4704,3.6543,0.0157,1.9356,200,59.5567,36.4663,50.5360,79.3103,7.4021,10.2114,0.0042,0.0411,Population structure converged. Difference: 0.0446
