Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.0074,37.6041,Warrior,59.6995,62.2792,63.1703,2.2540,12.5970,1.9225,200,55.4434,72.1056,214.5989,431.6064,263.5018,327.8023,0.0175,0.0197,Population structure converged. Difference: 0.0085
1,1,53.7809,44.9668,Warrior,76.2130,79.5063,24.4710,3.7282,16.0815,1.9225,200,55.4434,32.3713,133.3367,345.1716,42.1715,57.1039,0.0049,0.0197,Population structure converged. Difference: 0.0085
1,2,54.9418,50.4708,Warrior,77.5644,80.9161,24.9049,3.7943,12.8203,1.9225,200,55.4434,70.8512,140.3596,391.8472,0.4082,7.5206,0.0019,0.0197,Population structure converged. Difference: 0.0085
1,3,55.0395,53.0093,Warrior,85.5349,69.8968,27.4641,4.1842,12.9200,1.9225,200,55.4434,39.1499,72.1295,168.3489,0.4269,4.2786,0.0004,0.0197,Population structure converged. Difference: 0.0085
1,4,55.2604,54.0061,Warrior,84.7058,69.3022,29.4664,2.5082,14.0175,1.9225,200,55.4434,16.6447,21.1583,17.5366,0.3033,3.2310,0.0000,0.0197,Population structure converged. Difference: 0.0085
1,5,55.4434,54.6803,Warrior,77.9894,79.2585,27.3287,2.5173,12.9060,1.9225,200,55.4434,13.0016,19.3942,3.3819,0.2742,2.0708,0.0000,0.0197,Population structure converged. Difference: 0.0085
1,6,55.4434,54.9785,Warrior,77.9894,79.2585,27.3287,2.5173,12.9060,1.9225,200,55.4434,14.6513,25.4029,3.3599,0.4191,1.2001,0.0000,0.0197,Population structure converged. Difference: 0.0085
2,0,48.3969,40.7334,Warrior,77.0723,61.0381,27.7686,1.0423,33.0787,1.8975,200,57.0073,138.5749,604.6555,499.2017,173.7342,159.4675,0.0371,0.0191,Population structure converged. Difference: 0.0074
2,1,54.7122,47.9092,Warrior,72.7262,111.5000,9.4380,1.0765,5.2593,1.8975,200,57.0073,26.2484,115.5543,117.6850,5.2580,22.3288,0.0043,0.0191,Population structure converged. Difference: 0.0074
2,2,56.6728,49.3141,Warrior,80.9845,103.6630,8.7747,0.7213,5.8565,1.8975,200,57.0073,11.0087,104.7115,22.3488,0.0084,70.3597,0.0000,0.0191,Population structure converged. Difference: 0.0074
2,3,56.7786,54.5184,Warrior,80.3311,102.8266,10.3175,0.7155,5.8092,1.8975,200,57.0073,15.2236,77.3917,7.5307,0.0197,69.4352,0.0000,0.0191,Population structure converged. Difference: 0.0074
2,4,56.9607,56.3365,Warrior,80.5526,103.1101,10.3460,0.7175,5.2738,1.8975,200,57.0073,6.1033,6.5678,0.6220,0.0374,0.0573,0.0000,0.0191,Population structure converged. Difference: 0.0074
2,5,57.0073,56.5876,Warrior,80.8052,102.8306,10.3542,0.7197,5.2903,1.8975,200,57.0073,1.9968,2.0056,0.5853,0.0452,0.0605,0.0000,0.0191,Population structure converged. Difference: 0.0074
3,0,49.4005,40.7682,Warrior,59.7270,86.7561,44.9920,3.5892,4.9358,1.8299,200,49.4005,110.0169,459.6569,284.3473,301.1877,307.6574,0.0212,0.0076,Population structure converged. Difference: 0.0000
3,1,49.4005,49.4005,Warrior,59.7270,86.7561,44.9920,3.5892,4.9358,1.8299,200,49.4005,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0076,Population structure converged. Difference: 0.0000
4,0,50.9297,38.2016,Warrior,87.9290,50.3967,48.0906,12.3551,1.2285,1.9678,200,51.6647,190.7192,296.2822,317.4301,180.8892,290.1808,0.0486,0.0185,Population structure converged. Difference: 0.0080
4,1,51.2684,46.2174,Warrior,88.3289,50.6259,48.3094,11.5017,1.2341,1.9678,200,51.6647,61.3521,93.8587,103.2192,19.1024,91.2775,0.0176,0.0185,Population structure converged. Difference: 0.0080
4,2,51.4701,50.1015,Warrior,84.2968,53.1089,49.5718,11.8447,1.1777,1.9678,200,51.6647,29.4119,23.5212,19.8616,0.8453,11.5837,0.0043,0.0185,Population structure converged. Difference: 0.0080
4,3,51.4701,50.8379,Warrior,84.2968,53.1089,49.5718,11.8447,1.1777,1.9678,200,51.6647,22.8421,26.4677,2.5649,0.1833,1.9635,0.0008,0.0185,Population structure converged. Difference: 0.0080
4,4,51.6647,51.0856,Warrior,84.6712,54.5857,47.3860,12.1741,1.1830,1.9678,200,51.6647,5.4960,2.2084,1.0561,0.1589,0.0039,0.0003,0.0185,Population structure converged. Difference: 0.0080
4,5,51.6647,51.2572,Warrior,84.6712,54.5857,47.3860,12.1741,1.1830,1.9678,200,51.6647,5.1326,2.9485,0.5948,0.1477,0.0021,0.0000,0.0185,Population structure converged. Difference: 0.0080
5,0,49.4057,40.1227,Warrior,61.5632,77.8568,47.2009,3.5755,9.8035,1.8341,200,56.1362,95.1015,308.8885,260.7770,141.0745,179.8115,0.0324,0.0273,Population structure converged. Difference: 0.0099
5,1,50.3323,46.7536,Warrior,87.1390,53.0048,36.6417,12.9117,10.3028,1.9486,200,56.1362,41.4615,89.4417,54.3030,12.0993,34.4962,0.0044,0.0273,Population structure converged. Difference: 0.0099
5,2,55.4005,48.2291,Warrior,77.3757,69.5151,41.3800,3.1345,8.5946,1.9486,200,56.1362,45.8512,84.5350,54.8274,19.3113,18.5278,0.0021,0.0273,Population structure converged. Difference: 0.0099
5,3,55.7590,50.9762,Warrior,84.2860,71.0980,31.8394,3.4145,9.3621,1.9486,200,56.1362,76.0690,76.5793,40.6832,13.3231,3.7288,0.0031,0.0273,Population structure converged. Difference: 0.0099
5,4,56.1152,54.7344,Warrior,84.7297,71.4724,32.0070,3.1510,8.6398,1.9486,200,56.1362,16.9807,16.9202,12.8419,3.5285,0.2742,0.0010,0.0273,Population structure converged. Difference: 0.0099
5,5,56.1152,55.4459,Warrior,84.7297,71.4724,32.0070,3.1510,8.6398,1.9486,200,56.1362,5.4765,1.0015,8.4202,0.0250,0.0720,0.0000,0.0273,Population structure converged. Difference: 0.0099
5,6,56.1362,55.5834,Warrior,84.7559,71.4945,32.0169,3.1355,8.5972,1.9486,200,56.1362,9.8810,2.2062,15.6488,0.0291,0.0720,0.0000,0.0273,Population structure converged. Difference: 0.0099
6,0,52.1830,38.8692,Warrior,83.2823,82.1302,11.5096,8.1581,14.9198,1.8866,200,52.6675,190.2345,336.7491,473.8841,181.1206,237.5581,0.0240,0.0121,Population structure converged. Difference: 0.0080
6,1,52.6481,47.3987,Warrior,83.9185,82.7576,11.5976,8.2204,13.5059,1.8866,200,52.6675,18.0193,41.8537,23.1046,70.7739,10.1076,0.0002,0.0121,Population structure converged. Difference: 0.0080
6,2,52.6675,51.3925,Warrior,83.9447,82.7834,11.6012,8.1606,13.5101,1.8866,200,52.6675,9.5938,12.6011,1.1371,33.0182,0.8397,0.0000,0.0121,Population structure converged. Difference: 0.0080
6,3,52.6675,52.2496,Warrior,83.9447,82.7834,11.6012,8.1606,13.5101,1.8866,200,52.6675,0.5074,0.7523,0.0159,0.0393,0.4587,0.0000,0.0121,Population structure converged. Difference: 0.0080
7,0,47.6967,38.1646,Warrior,60.6715,67.7029,41.2854,7.3088,23.0314,1.8954,200,54.4211,164.4593,440.2667,545.7251,153.6261,162.4793,0.0365,0.0283,Population structure converged. Difference: 0.0083
7,1,50.7415,44.3577,Warrior,80.8277,90.1950,4.3953,8.2827,16.2992,1.9463,200,54.4211,65.4784,50.5334,334.7608,118.7021,34.5933,0.0006,0.0283,Population structure converged. Difference: 0.0083
7,2,51.3500,47.8882,Warrior,72.1410,80.5016,23.6840,9.1258,14.5475,1.9463,200,54.4211,76.0842,88.5371,375.1759,64.6377,23.8477,0.0005,0.0283,Population structure converged. Difference: 0.0083
7,3,52.1489,50.3471,Warrior,68.3448,76.2654,36.5733,7.3281,11.4884,1.9463,200,54.4211,59.0578,71.4881,242.5724,0.8100,7.4943,0.0002,0.0283,Population structure converged. Difference: 0.0083
7,4,53.6543,51.0538,Warrior,76.0792,71.7850,34.4247,6.8976,10.8135,1.9463,200,54.4211,34.1655,68.3157,209.4243,0.7259,3.1465,0.0001,0.0283,Population structure converged. Difference: 0.0083
7,5,53.8554,51.7473,Warrior,72.6225,81.0389,30.4934,5.3983,10.4468,1.9463,200,54.4211,29.3664,68.4115,187.5092,1.0174,3.7722,0.0001,0.0283,Population structure converged. Difference: 0.0083
7,6,53.8554,52.7761,Warrior,72.6225,81.0389,30.4934,5.3983,10.4468,1.9463,200,54.4211,14.7482,28.1471,69.7743,1.1901,1.9834,0.0000,0.0283,Population structure converged. Difference: 0.0083
7,7,54.2229,53.3884,Warrior,77.4414,81.9429,24.1080,5.5006,11.0071,1.9463,200,54.4211,7.2507,15.6184,16.0407,0.8234,0.5683,0.0000,0.0283,Population structure converged. Difference: 0.0083
7,8,54.4211,53.7579,Warrior,78.3574,73.9345,31.3946,5.5578,10.7556,1.9463,200,54.4211,4.1843,16.1275,7.8281,0.5547,0.1980,0.0000,0.0283,Population structure converged. Difference: 0.0083
7,9,54.4211,53.9740,Warrior,78.3574,73.9345,31.3946,5.5578,10.7556,1.9463,200,54.4211,4.1166,14.5549,12.2775,0.1240,0.1317,0.0000,0.0283,Population structure converged. Difference: 0.0083
8,0,45.7101,36.2521,Warrior,61.0532,44.1794,69.9400,5.2997,19.5276,1.8976,200,53.3696,235.6589,345.2802,347.8780,286.7481,332.1762,0.0335,0.0307,Population structure converged. Difference: 0.0090
8,1,48.5502,42.7568,Warrior,59.7540,75.9036,37.7779,5.6705,20.8939,1.8976,200,53.3696,35.7779,100.9248,86.2128,58.7331,23.8594,0.0043,0.0307,Population structure converged. Difference: 0.0090
8,2,51.4131,45.9379,Warrior,67.5877,73.0473,36.3563,5.4572,17.5516,1.8976,200,53.3696,43.6888,175.3569,154.5515,21.2218,17.6332,0.0031,0.0307,Population structure converged. Difference: 0.0090
8,3,51.7446,48.3336,Warrior,70.2784,70.9338,35.3044,5.0129,18.4706,1.8976,200,53.3696,47.7438,234.1919,154.1595,16.0350,3.8854,0.0002,0.0307,Population structure converged. Difference: 0.0090
8,4,52.6279,50.2259,Warrior,70.1331,70.7872,39.1284,5.8732,14.0781,1.8976,200,53.3696,34.9126,104.1415,60.1221,0.2410,2.4145,0.0000,0.0307,Population structure converged. Difference: 0.0090
8,5,52.6279,51.2913,Warrior,70.1331,70.7872,39.1284,5.8732,14.0781,1.8976,200,53.3696,5.5951,22.7423,24.0803,0.1801,1.8122,0.0000,0.0307,Population structure converged. Difference: 0.0090
8,6,52.9224,51.7077,Warrior,72.0257,68.7088,39.4446,5.3629,14.4580,1.8976,200,53.3696,2.8262,11.6879,12.2992,0.1918,2.1229,0.0000,0.0307,Population structure converged. Difference: 0.0090
8,7,53.1834,52.1162,Warrior,71.8890,72.5595,36.1135,5.0372,14.4008,1.8976,200,53.3696,2.2746,4.9925,5.9746,0.2346,2.9406,0.0000,0.0307,Population structure converged. Difference: 0.0090
8,8,53.1834,52.5897,Warrior,71.8890,72.5595,36.1135,5.0372,14.4008,1.8976,200,53.3696,1.6000,3.7900,4.3219,0.2176,1.5341,0.0000,0.0307,Population structure converged. Difference: 0.0090
8,9,53.3696,52.8950,Warrior,72.0783,72.7506,36.2086,4.5238,14.4387,1.8976,200,53.3696,1.1307,3.0160,3.0271,0.1466,0.3761,0.0000,0.0307,Population structure converged. Difference: 0.0090
9,0,49.7937,42.5093,Warrior,70.9762,56.2729,46.9029,10.7056,15.1423,1.8953,200,49.7937,130.6245,197.1645,247.6018,156.7692,183.5222,0.0393,0.0075,Population structure converged. Difference: 0.0024
9,1,49.7937,49.6769,Warrior,70.9762,56.2729,46.9029,10.7056,15.1423,1.8953,200,49.7937,0.2464,0.7254,0.1771,1.1384,8.0422,0.0014,0.0075,Population structure converged. Difference: 0.0024
