Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.2972,39.4386,Warrior,71.0189,66.1214,38.6739,8.9708,15.2152,1.8651,200,50.4706,336.9496,353.8205,205.2339,492.5714,382.2363,0.0336,0.0106,Population structure converged. Difference: 0.0034
1,1,50.3801,47.7931,Warrior,74.0797,62.4127,39.0724,9.0632,15.3720,1.8651,200,50.4706,112.4298,47.0487,75.2431,133.7726,68.1691,0.0129,0.0106,Population structure converged. Difference: 0.0034
1,2,50.4706,49.8570,Warrior,74.3204,62.6155,38.7995,8.9999,15.2646,1.8651,200,50.4706,20.7065,11.6331,8.0340,27.7432,11.4655,0.0029,0.0106,Population structure converged. Difference: 0.0034
1,3,50.4706,50.2983,Warrior,74.3204,62.6155,38.7995,8.9999,15.2646,1.8651,200,50.4706,0.2163,0.3240,0.0144,0.0004,0.0011,0.0000,0.0106,Population structure converged. Difference: 0.0034
2,0,48.3623,39.6436,Warrior,75.4600,79.1285,30.8924,10.6401,3.8790,1.7801,200,48.4403,291.8347,489.4397,263.9448,330.0301,366.5801,0.0273,0.0084,Population structure converged. Difference: 0.0075
2,1,48.3623,46.1216,Warrior,75.4600,79.1285,30.8924,10.6401,3.8790,1.7801,200,48.4403,56.9317,220.8165,58.9869,120.0129,67.8917,0.0128,0.0084,Population structure converged. Difference: 0.0075
2,2,48.4403,48.0788,Warrior,76.7948,77.9837,30.4455,10.8283,3.9476,1.7801,200,48.4403,8.0815,32.6956,4.0024,17.6491,9.3562,0.0041,0.0084,Population structure converged. Difference: 0.0075
3,0,50.8302,37.8688,Warrior,65.1670,71.5367,47.2198,15.0037,1.0727,1.9475,200,51.1550,277.2365,528.2293,210.5033,194.1532,629.2906,0.0376,0.0166,Population structure converged. Difference: 0.0082
3,1,50.8302,45.1028,Warrior,65.1670,71.5367,47.2198,15.0037,1.0727,1.9475,200,51.1550,90.5246,270.0853,114.1214,45.5875,256.2844,0.0211,0.0166,Population structure converged. Difference: 0.0082
3,2,50.8302,48.7059,Warrior,65.1670,71.5367,47.2198,15.0037,1.0727,1.9475,200,51.1550,6.5687,66.9410,63.4563,2.9293,47.0123,0.0040,0.0166,Population structure converged. Difference: 0.0082
3,3,51.1550,49.8829,Warrior,65.7270,71.5363,47.2195,14.4818,1.0354,1.9475,200,51.1550,3.0585,30.1184,37.3633,1.1157,47.2888,0.0014,0.0166,Population structure converged. Difference: 0.0082
3,4,51.1550,50.5344,Warrior,65.7270,71.5363,47.2195,14.4818,1.0354,1.9475,200,51.1550,1.1394,3.9512,7.5394,0.0963,0.7452,0.0001,0.0166,Population structure converged. Difference: 0.0082
3,5,51.1550,50.7371,Warrior,65.7270,71.5363,47.2195,14.4818,1.0354,1.9475,200,51.1550,0.1624,2.5939,2.4841,0.0731,0.0007,0.0000,0.0166,Population structure converged. Difference: 0.0082
4,0,50.1429,38.6011,Warrior,80.8370,48.5716,49.3814,14.2407,6.9693,1.9391,200,54.2526,482.2886,271.1060,269.9013,421.4669,238.6275,0.0273,0.0309,Population structure converged. Difference: 0.0094
4,1,52.8099,46.0996,Warrior,83.8208,50.3645,51.2041,7.3841,7.2265,1.9391,200,54.2526,121.2920,78.1980,150.8193,150.9043,48.9130,0.0140,0.0309,Population structure converged. Difference: 0.0094
4,2,52.8099,48.9690,Warrior,83.8208,50.3645,51.2041,7.3841,7.2265,1.9391,200,54.2526,78.3435,44.6421,83.7664,24.1573,31.3474,0.0014,0.0309,Population structure converged. Difference: 0.0094
4,3,53.5899,50.4982,Warrior,79.8473,57.0513,49.0931,7.0797,6.9286,1.9455,200,54.2526,71.6414,17.7092,55.0081,7.1541,18.2652,0.0003,0.0309,Population structure converged. Difference: 0.0094
4,4,53.5899,51.5647,Warrior,79.8473,57.0513,49.0931,7.0797,6.9286,1.9455,200,54.2526,52.6508,11.7884,26.3709,3.3389,1.9041,0.0000,0.0309,Population structure converged. Difference: 0.0094
4,5,53.6441,52.4017,Warrior,79.6076,56.8800,48.9457,7.3619,7.2048,1.9391,200,54.2526,29.0747,8.0139,11.3391,1.1993,1.1890,0.0000,0.0309,Population structure converged. Difference: 0.0094
4,6,53.8480,52.7967,Warrior,79.8473,57.0513,49.0931,7.0797,6.9286,1.9391,200,54.2526,19.0525,10.3407,6.9753,0.5439,0.7027,0.0000,0.0309,Population structure converged. Difference: 0.0094
4,7,53.8970,53.1418,Warrior,80.5923,56.6976,48.7887,7.0358,6.8856,1.9391,200,54.2526,9.2355,9.0437,4.6669,0.4810,0.3933,0.0000,0.0309,Population structure converged. Difference: 0.0094
4,8,54.1324,53.3769,Warrior,80.1812,57.2898,49.2984,6.6867,6.5440,1.9391,200,54.2526,3.0496,6.9359,2.4005,0.3513,0.1801,0.0000,0.0309,Population structure converged. Difference: 0.0094
4,9,54.1324,53.5713,Warrior,80.1812,57.2898,49.2984,6.6867,6.5440,1.9391,200,54.2526,2.3557,4.0751,2.0025,0.0724,0.0625,0.0000,0.0309,Population structure converged. Difference: 0.0094
4,10,54.2526,53.6493,Warrior,81.0701,56.9617,49.0161,6.5459,6.4062,1.9391,200,54.2526,1.5485,3.3261,1.8048,0.0601,0.0513,0.0000,0.0309,Population structure converged. Difference: 0.0094
4,11,54.2526,53.7489,Warrior,81.0701,56.9617,49.0161,6.5459,6.4062,1.9391,200,54.2526,0.8642,1.7335,1.2757,0.0612,0.0620,0.0000,0.0309,Population structure converged. Difference: 0.0094
5,0,58.0374,41.3651,Warrior,77.6715,85.5858,34.2796,2.3313,0.1318,1.8680,200,59.0688,241.1970,953.3129,210.1650,420.5590,362.3180,0.0277,0.0197,Population structure converged. Difference: 0.0099
5,1,58.0374,50.4709,Warrior,77.6715,85.5858,34.2796,2.3313,0.1318,1.8680,200,59.0688,161.4159,447.1711,78.1998,184.6293,218.3902,0.0055,0.0197,Population structure converged. Difference: 0.0099
5,2,58.6327,54.8893,Warrior,85.9844,73.3404,37.9485,2.5808,0.1459,1.8680,200,59.0688,95.5830,205.4262,36.6015,31.0366,78.9411,0.0023,0.0197,Population structure converged. Difference: 0.0099
