Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.9351,32.5034,Warrior,59.3402,42.1354,76.4197,8.7666,13.3381,1.8449,200,55.7211,378.8466,434.8754,435.3364,285.6405,292.7825,0.0410,0.0278,Population structure converged. Difference: 0.0081
1,1,47.8988,38.1498,Warrior,62.7257,73.0622,32.7165,16.2019,15.2937,1.9068,200,55.7211,83.8740,209.1545,421.1502,149.5086,148.6221,0.0377,0.0278,Population structure converged. Difference: 0.0081
1,2,51.1501,43.4251,Warrior,63.9548,74.4939,42.7667,12.6412,6.1434,1.9068,200,55.7211,47.5474,200.4449,342.7495,74.5749,70.7572,0.0142,0.0278,Population structure converged. Difference: 0.0081
1,3,54.2824,47.8446,Warrior,83.4731,59.2713,41.7199,9.4485,6.0872,1.9068,200,55.7211,68.9420,148.3402,221.4921,25.2667,25.7201,0.0023,0.0278,Population structure converged. Difference: 0.0081
1,4,55.4095,51.1165,Warrior,78.4409,73.8781,33.0819,8.8789,5.7202,1.9068,200,55.7211,60.7980,74.2401,17.2231,10.1788,16.7530,0.0006,0.0278,Population structure converged. Difference: 0.0081
1,5,55.4114,53.4143,Warrior,78.4432,73.8802,33.0828,8.8792,5.7146,1.9068,200,55.7211,54.9016,58.8530,15.1894,3.5495,7.1722,0.0002,0.0278,Population structure converged. Difference: 0.0081
1,6,55.7211,54.5894,Warrior,81.4244,72.0648,32.2699,8.6610,5.5798,1.9068,200,55.7211,18.6875,37.0768,14.8236,0.8693,0.4689,0.0000,0.0278,Population structure converged. Difference: 0.0081
1,7,55.7211,55.1035,Warrior,81.4244,72.0648,32.2699,8.6610,5.5798,1.9068,200,55.7211,5.9866,23.5178,12.7662,0.0676,0.0274,0.0000,0.0278,Population structure converged. Difference: 0.0081
1,8,55.7211,55.2717,Warrior,81.4244,72.0648,32.2699,8.6610,5.5798,1.9068,200,55.7211,3.9590,12.3574,8.7667,0.0480,0.0258,0.0000,0.0278,Population structure converged. Difference: 0.0081
2,0,54.3312,42.8196,Warrior,75.0131,74.3796,34.5881,8.4723,7.5469,1.8912,200,55.4102,303.5538,452.3891,433.8158,229.9670,308.9538,0.0341,0.0260,Population structure converged. Difference: 0.0100
2,1,54.6653,52.6579,Warrior,76.3262,75.6816,32.2929,7.9101,7.7893,1.8912,200,55.4102,10.7235,48.7978,115.5759,6.5125,8.1069,0.0018,0.0260,Population structure converged. Difference: 0.0100
2,2,54.7042,53.5976,Warrior,83.9259,83.2171,16.3462,8.7323,7.7785,1.8912,200,55.4102,10.9051,34.7314,93.3933,3.6132,0.3265,0.0001,0.0260,Population structure converged. Difference: 0.0100
2,3,54.7042,54.0846,Warrior,83.9259,83.2171,16.3462,8.7323,7.7785,1.8912,200,55.4102,11.9870,32.9889,78.0885,1.7103,0.3132,0.0000,0.0260,Population structure converged. Difference: 0.0100
2,4,55.3373,54.3117,Warrior,78.4780,77.8152,29.2649,7.1684,7.2736,1.8912,200,55.4102,10.3996,26.5851,56.9162,0.5362,0.2776,0.0000,0.0260,Population structure converged. Difference: 0.0100
2,5,55.3373,54.4524,Warrior,78.4780,77.8152,29.2649,7.1684,7.2736,1.8912,200,55.4102,11.4587,24.7209,50.0097,0.3290,0.2784,0.0000,0.0260,Population structure converged. Difference: 0.0100
2,6,55.3976,54.6550,Warrior,81.1282,75.5619,28.4175,6.9608,7.9317,1.8912,200,55.4102,6.0972,27.6774,47.5675,0.3540,0.2829,0.0000,0.0260,Population structure converged. Difference: 0.0100
2,7,55.4102,54.8623,Warrior,82.2760,72.9174,30.0013,7.3488,7.4566,1.8912,200,55.4102,6.9729,22.4748,36.2003,0.2961,0.2308,0.0000,0.0260,Population structure converged. Difference: 0.0100
3,0,44.4407,33.8292,Warrior,64.6554,62.9234,32.2614,26.9913,13.1685,1.8710,200,54.0299,177.7524,311.9646,325.0072,264.1072,310.1532,0.0465,0.0372,Population structure converged. Difference: 0.0076
3,1,51.0372,40.2553,Warrior,77.8697,67.1920,34.4499,12.7752,7.7132,1.8486,200,54.0299,66.9503,177.2673,308.7513,53.0573,229.1478,0.0457,0.0372,Population structure converged. Difference: 0.0076
3,2,51.4380,46.1367,Warrior,85.4766,63.0069,32.3042,11.9795,7.2328,1.8486,200,54.0299,108.3745,159.8461,214.6856,34.1271,45.1594,0.0098,0.0372,Population structure converged. Difference: 0.0076
3,3,52.1241,50.2605,Warrior,77.8697,67.1920,34.4499,12.7752,7.7132,1.8710,200,54.0299,27.0173,37.3224,64.2439,14.9524,2.7195,0.0000,0.0372,Population structure converged. Difference: 0.0076
3,4,52.4079,51.2227,Warrior,75.6387,71.0279,37.4867,9.3190,6.5276,1.8486,200,54.0299,9.3174,9.7422,14.5402,1.2451,0.1190,0.0000,0.0372,Population structure converged. Difference: 0.0076
3,5,52.4079,51.4884,Warrior,75.6387,71.0279,37.4867,9.3190,6.5276,1.8486,200,54.0299,11.2314,8.8613,9.2216,1.2821,0.1489,0.0001,0.0372,Population structure converged. Difference: 0.0076
3,6,52.8923,51.8263,Warrior,79.7843,68.6601,36.2371,9.0084,6.3100,1.8486,200,54.0299,8.6618,9.1962,6.9416,1.9761,0.2390,0.0001,0.0372,Population structure converged. Difference: 0.0076
3,7,53.5368,52.1947,Warrior,75.6387,71.0279,37.4867,9.3190,6.5276,1.8710,200,54.0299,5.6461,8.0027,4.2158,2.4490,0.3132,0.0001,0.0372,Population structure converged. Difference: 0.0076
3,8,53.6699,52.5050,Warrior,79.0046,67.3047,37.7379,9.3815,6.5714,1.8710,200,54.0299,5.5963,5.4982,3.2386,1.7514,0.2617,0.0001,0.0372,Population structure converged. Difference: 0.0076
3,9,53.8777,52.9068,Warrior,79.9444,68.9821,35.1913,9.5591,6.3231,1.8710,200,54.0299,4.1509,3.6978,2.7705,1.4258,0.3645,0.0001,0.0372,Population structure converged. Difference: 0.0076
3,10,53.9390,53.3125,Warrior,78.3380,69.6007,36.7335,9.1318,6.1960,1.8710,200,54.0299,3.3895,1.8376,1.8558,0.5554,0.3490,0.0001,0.0372,Population structure converged. Difference: 0.0076
3,11,54.0299,53.6227,Warrior,79.4627,68.8991,36.3632,9.0397,6.2352,1.8710,200,54.0299,1.4801,1.1989,1.2759,0.0609,0.3123,0.0000,0.0372,Population structure converged. Difference: 0.0076
4,0,47.7062,37.9559,Warrior,69.9124,60.0842,40.0020,4.2257,25.7758,1.8494,200,50.4778,324.6060,487.9648,561.4294,273.2566,209.4400,0.0235,0.0235,Population structure converged. Difference: 0.0098
4,1,47.7062,44.4345,Warrior,69.9124,60.0842,40.0020,4.2257,25.7758,1.8494,200,50.4778,51.1582,44.0622,136.1250,30.2353,28.5892,0.0028,0.0235,Population structure converged. Difference: 0.0098
