Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.9243,38.4335,Warrior,88.5407,47.1181,61.6474,1.4811,1.2127,1.9740,200,54.1387,525.7248,197.8657,240.2997,254.8028,560.5008,0.0499,0.0248,Population structure converged. Difference: 0.0424
1,1,53.7903,46.4157,Warrior,94.8845,49.8254,52.4033,1.5872,1.2996,1.9740,200,54.1387,158.6766,41.7753,76.1545,83.4815,196.0652,0.0231,0.0248,Population structure converged. Difference: 0.0424
1,2,53.8188,49.7591,Warrior,94.9334,49.8511,52.4303,1.5880,1.1973,1.9740,200,54.1387,12.7641,7.8159,31.9268,45.5895,0.0103,0.0007,0.0248,Population structure converged. Difference: 0.0424
1,3,54.1387,51.9374,Warrior,91.0166,51.7094,54.3848,1.6472,1.2419,1.9740,200,54.1387,10.5893,1.7949,32.6664,39.5562,0.0051,0.0000,0.0248,Population structure converged. Difference: 0.0424
2,0,49.5140,36.8668,Warrior,78.5812,75.4606,16.2635,5.9076,23.7871,1.9526,200,55.7449,222.5754,448.7828,352.2738,357.7919,211.3950,0.0453,0.0333,Population structure converged. Difference: 0.0486
2,1,49.5593,44.9506,Warrior,73.5373,80.5391,17.3580,6.3052,22.2603,1.9526,200,55.7449,50.3603,116.3171,185.0976,96.7188,65.9824,0.0112,0.0333,Population structure converged. Difference: 0.0486
2,2,51.7040,47.1959,Warrior,78.9716,52.8782,52.7634,10.8793,4.5075,1.9526,200,55.7449,29.3235,136.9803,187.1062,13.9393,22.7563,0.0008,0.0333,Population structure converged. Difference: 0.0486
2,3,51.7040,48.2250,Warrior,78.9716,52.8782,52.7634,10.8793,4.5075,1.9526,200,55.7449,30.8923,167.8427,235.5737,8.6302,26.8000,0.0008,0.0333,Population structure converged. Difference: 0.0486
2,4,55.2818,49.3659,Warrior,82.2690,87.1206,18.7765,6.8205,5.0135,1.8678,200,55.7449,28.2225,144.8656,234.5509,6.8466,54.2204,0.0005,0.0333,Population structure converged. Difference: 0.0486
2,5,55.4658,51.2420,Warrior,86.7216,83.2777,17.9483,6.5196,5.5329,1.8678,200,55.7449,37.8456,185.4363,250.6003,4.8237,72.6653,0.0010,0.0333,Population structure converged. Difference: 0.0486
2,6,55.7449,53.1619,Warrior,84.9909,85.1544,18.3527,6.7361,4.7658,1.9526,200,55.7449,37.8485,186.2047,218.7228,4.5861,28.2772,0.0014,0.0333,Population structure converged. Difference: 0.0486
3,0,47.1904,35.2549,Warrior,69.8715,56.5290,46.1338,0.0183,27.4474,1.8322,200,53.4892,317.6255,393.8389,258.4430,398.9324,300.7557,0.0326,0.0170,Population structure converged. Difference: 0.0275
3,1,52.6984,43.1754,Warrior,76.8274,62.1566,50.7265,0.6364,9.6531,1.8322,200,53.4892,71.2215,190.5171,104.6623,142.3761,126.0568,0.0151,0.0170,Population structure converged. Difference: 0.0275
3,2,53.3055,47.0567,Warrior,78.8826,63.8194,47.3679,0.0188,9.9114,1.8322,200,53.4892,37.3895,76.0474,43.9600,34.2496,93.5134,0.0111,0.0170,Population structure converged. Difference: 0.0275
3,3,53.4652,50.6040,Warrior,81.4356,65.8849,41.6177,0.6324,10.4294,1.8322,200,53.4892,32.2032,45.3782,14.6001,5.5380,68.2733,0.0040,0.0170,Population structure converged. Difference: 0.0275
3,4,53.4892,52.0584,Warrior,79.2398,64.0273,47.4612,0.5734,8.6982,1.8322,200,53.4892,16.0380,15.3512,6.4518,1.2639,19.5410,0.0010,0.0170,Population structure converged. Difference: 0.0275
4,0,49.0129,38.7477,Warrior,77.8059,74.7837,22.3554,2.2288,22.8262,1.8289,200,50.6100,330.1532,461.2014,340.0626,339.8454,225.6775,0.0288,0.0102,Population structure converged. Difference: 0.0382
4,1,50.6100,46.4347,Warrior,77.8059,74.7837,22.3554,2.2288,22.8262,1.8588,200,50.6100,129.4185,165.8270,102.9446,133.9734,95.9650,0.0097,0.0102,Population structure converged. Difference: 0.0382
