Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.0718,36.0392,Warrior,74.8987,70.6669,28.3689,18.5698,7.4957,1.9196,200,54.4112,338.0444,268.3424,258.8251,309.0255,439.9609,0.0411,0.0219,Population structure converged. Difference: 0.0490
1,1,52.9892,43.6923,Warrior,77.0753,72.7205,29.1934,15.2712,5.7396,1.9196,200,54.4112,139.4432,166.6554,178.7881,177.8978,144.0911,0.0280,0.0219,Population structure converged. Difference: 0.0490
1,2,52.4896,47.9293,Warrior,76.4044,72.0876,28.9393,15.1383,7.4305,1.9196,200,54.4112,58.4723,85.6777,181.8711,45.4782,14.0967,0.0143,0.0219,Population structure converged. Difference: 0.0490
1,3,53.1744,50.1108,Warrior,72.7502,76.9756,30.9015,12.6686,6.7041,1.9196,200,54.4112,36.8363,49.3039,139.4767,14.0048,6.3923,0.0036,0.0219,Population structure converged. Difference: 0.0490
1,4,53.9283,50.9276,Warrior,75.4700,76.0037,30.5114,12.5086,5.5063,1.9196,200,54.4112,21.2156,50.1334,94.5761,7.4953,2.2996,0.0053,0.0219,Population structure converged. Difference: 0.0490
1,5,54.1401,51.5568,Warrior,78.2548,73.8334,29.6401,12.1794,6.0924,1.9196,200,54.4112,18.7660,35.5334,74.5491,6.2909,2.2271,0.0018,0.0219,Population structure converged. Difference: 0.0490
1,6,54.4112,51.8695,Warrior,78.6484,74.2048,29.7892,12.6160,4.7417,1.9196,200,54.4112,15.7287,28.2248,64.1925,5.9959,0.7315,0.0000,0.0219,Population structure converged. Difference: 0.0490
2,0,50.4899,38.0906,Warrior,74.8457,83.1135,23.0680,14.2496,4.7232,1.8357,200,50.6025,394.1192,625.4322,257.4261,446.4854,380.7807,0.0269,0.0108,Population structure converged. Difference: 0.0107
2,1,50.4899,47.7572,Warrior,74.8457,83.1135,23.0680,14.2496,4.7232,1.8357,200,50.6025,92.4962,274.5643,83.6981,110.1646,123.7439,0.0042,0.0108,Population structure converged. Difference: 0.0107
2,2,50.6025,50.0683,Warrior,75.0086,83.2945,23.1183,14.2807,4.2980,1.8357,200,50.6025,4.2305,37.3072,24.3299,25.4682,2.7961,0.0005,0.0108,Population structure converged. Difference: 0.0107
3,0,52.2251,37.8033,Warrior,78.3057,66.8065,30.3485,0.0884,24.4509,1.9088,200,60.0066,318.1525,459.4424,338.0685,330.8360,229.1397,0.0429,0.0157,Population structure converged. Difference: 0.0434
3,1,57.6740,43.9813,Warrior,105.5486,62.1413,28.2292,0.1192,3.9617,1.9088,200,60.0066,329.7198,383.7164,153.8106,252.6716,106.8830,0.0443,0.0157,Population structure converged. Difference: 0.0434
3,2,59.7483,50.5150,Warrior,89.6775,74.7661,31.0656,0.1311,4.3597,1.9088,200,60.0066,243.5370,199.6109,89.9857,36.1262,50.9906,0.0394,0.0157,Population structure converged. Difference: 0.0434
3,3,59.8045,55.1627,Warrior,88.4507,73.7432,33.6284,0.0980,4.0798,1.9088,200,60.0066,173.4624,73.3641,49.6645,4.4982,48.8732,0.0159,0.0157,Population structure converged. Difference: 0.0434
3,4,60.0066,57.5107,Warrior,88.0781,72.9339,35.5784,0.1036,3.3059,1.9088,200,60.0066,119.3182,63.7463,46.9614,2.6088,17.0945,0.0049,0.0157,Population structure converged. Difference: 0.0434
4,0,47.0456,33.6775,Warrior,62.7145,53.5152,64.4485,19.2645,0.0573,1.8975,200,57.8626,517.3354,250.4372,383.9789,392.9075,323.5958,0.0439,0.0165,Population structure converged. Difference: 0.0487
4,1,55.9900,39.9741,Warrior,73.4145,71.1994,47.6924,7.6266,0.0670,1.8975,200,57.8626,250.8089,148.5814,187.1705,259.7914,236.0158,0.0274,0.0165,Population structure converged. Difference: 0.0487
4,2,57.6021,48.4896,Warrior,85.8467,72.3774,33.4399,8.2633,0.0726,1.8975,200,57.8626,50.7338,67.3512,76.1362,26.8257,257.1768,0.0084,0.0165,Population structure converged. Difference: 0.0487
4,3,57.8626,52.0830,Warrior,86.1233,72.6106,33.5476,7.6512,0.0673,1.8975,200,57.8626,34.5272,65.1691,54.8766,22.8107,214.2103,0.0012,0.0165,Population structure converged. Difference: 0.0487
4,4,57.8626,55.1755,Warrior,86.1233,72.6106,33.5476,7.6512,0.0673,1.8975,200,57.8626,20.1689,25.9155,22.0790,3.0196,81.7490,0.0003,0.0165,Population structure converged. Difference: 0.0487
5,0,49.0508,32.4503,Warrior,66.7591,62.9799,44.8775,0.6223,24.7612,1.8606,200,52.4529,529.7287,549.8281,410.4983,428.0337,333.7206,0.0458,0.0161,Population structure converged. Difference: 0.0318
5,1,51.1928,40.1216,Warrior,69.1331,65.2196,46.4734,0.6445,18.5295,1.8606,200,52.4529,393.8442,281.6605,299.9703,316.1579,104.0005,0.0270,0.0161,Population structure converged. Difference: 0.0318
5,2,52.1257,45.9751,Warrior,74.7436,62.4234,44.4810,0.6168,17.7351,1.8606,200,52.4529,122.5292,286.9270,203.5756,117.9739,31.2686,0.0116,0.0161,Population structure converged. Difference: 0.0318
5,3,52.4330,49.1848,Warrior,83.6302,61.8186,44.0500,0.4456,10.0556,1.9852,200,52.4529,53.0390,205.0584,116.1542,18.6803,5.6963,0.0039,0.0161,Population structure converged. Difference: 0.0318
5,4,52.4529,50.8356,Warrior,74.5724,64.5989,43.0900,0.5962,17.1425,1.8606,200,52.4529,20.0983,76.6220,44.7152,0.0102,2.8799,0.0035,0.0161,Population structure converged. Difference: 0.0318
6,0,50.9244,33.4941,Warrior,67.2248,68.9268,43.7198,10.4323,9.6963,1.9494,200,54.4937,501.8780,319.6634,341.6648,304.5581,390.4030,0.0501,0.0193,Population structure converged. Difference: 0.0352
6,1,53.2210,41.3536,Warrior,72.3184,74.1494,36.4854,6.6158,10.4310,1.9494,200,54.4937,253.6985,247.3960,121.1258,273.6969,267.6897,0.0383,0.0193,Population structure converged. Difference: 0.0352
6,2,53.2210,47.1681,Warrior,72.3184,74.1494,36.4854,6.6158,10.4310,1.9494,200,54.4937,174.2701,170.3150,33.3931,59.1819,134.9069,0.0200,0.0193,Population structure converged. Difference: 0.0352
6,3,54.0572,50.4240,Warrior,80.7437,67.2358,35.5054,6.4381,10.0771,1.9494,200,54.4937,81.3226,82.7366,19.8071,20.4072,18.4649,0.0046,0.0193,Population structure converged. Difference: 0.0352
6,4,54.4937,51.7969,Warrior,82.7794,68.0743,33.4962,6.0737,9.5764,1.9494,200,54.4937,41.7904,46.6602,10.8954,13.0672,2.5793,0.0000,0.0193,Population structure converged. Difference: 0.0352
6,5,54.4937,52.6410,Warrior,82.7794,68.0743,33.4962,6.0737,9.5764,1.9494,200,54.4937,24.4517,28.3280,9.5137,2.6143,1.2139,0.0000,0.0193,Population structure converged. Difference: 0.0352
7,0,53.6282,39.1304,Warrior,83.3581,96.7688,7.9645,7.3044,4.6042,1.9653,200,54.9637,391.6398,507.2221,264.1942,467.8659,556.9519,0.0409,0.0127,Population structure converged. Difference: 0.0475
7,1,53.7390,47.7883,Warrior,69.3784,80.5401,41.5219,4.7276,3.8320,1.9653,200,54.9637,130.8826,257.2103,200.1217,183.9677,169.7734,0.0237,0.0127,Population structure converged. Difference: 0.0475
7,2,54.6491,51.2656,Warrior,76.2879,69.5798,45.6572,5.1984,3.2767,1.9653,200,54.9637,47.0243,141.1884,226.7774,50.1163,26.8896,0.0088,0.0127,Population structure converged. Difference: 0.0475
7,3,54.9637,52.4729,Warrior,92.7287,84.5750,12.3948,6.3187,3.9829,1.9653,200,54.9637,49.1651,60.0317,188.8636,0.8384,0.2718,0.0000,0.0127,Population structure converged. Difference: 0.0475
8,0,58.5567,39.5379,Warrior,94.8406,88.0325,11.5145,2.5237,3.0887,1.9288,200,59.3042,364.6037,248.1961,563.8244,470.9959,702.3329,0.0453,0.0139,Population structure converged. Difference: 0.0447
8,1,58.9370,50.3462,Warrior,95.3676,88.5217,11.5785,2.0380,2.4943,1.9288,200,59.3042,159.8979,215.9453,494.8859,108.7810,198.8421,0.0158,0.0139,Population structure converged. Difference: 0.0447
8,2,59.3042,54.4862,Warrior,95.8760,88.9936,11.6402,1.5694,1.9208,1.9288,200,59.3042,125.7940,384.1139,810.1135,15.6217,16.5670,0.0029,0.0139,Population structure converged. Difference: 0.0447
8,3,59.3042,56.7674,Warrior,95.8760,88.9936,11.6402,1.5694,1.9208,1.9288,200,59.3042,115.9815,323.2365,713.8753,5.3677,1.9980,0.0010,0.0139,Population structure converged. Difference: 0.0447
