Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.7220,38.8931,Warrior,67.8173,68.2294,42.6652,18.6776,2.6105,1.9199,200,52.2021,120.0524,216.2135,400.2738,165.3024,361.2434,0.0314,0.0091,Population structure converged. Difference: 0.0469
1,1,52.2021,46.7935,Warrior,72.2321,66.7838,41.7612,16.4424,2.7805,1.9073,200,52.2021,17.7542,92.2107,206.1375,21.4633,87.4746,0.0044,0.0091,Population structure converged. Difference: 0.0469
1,2,52.2021,49.8640,Warrior,72.2321,66.7838,41.7612,16.4424,2.7805,1.9073,200,52.2021,9.1255,44.9856,39.9518,4.7386,35.6182,0.0002,0.0091,Population structure converged. Difference: 0.0469
2,0,47.1871,37.0935,Warrior,76.5726,34.2505,80.3884,2.1896,6.5990,1.8517,200,54.1742,534.7473,256.5862,269.4804,347.7737,294.2298,0.0382,0.0124,Population structure converged. Difference: 0.0497
2,1,53.1623,43.6452,Warrior,71.5169,65.7974,52.4558,1.7471,8.4828,1.8517,200,54.1742,291.5285,154.3095,153.3394,66.4560,57.9717,0.0271,0.0124,Population structure converged. Difference: 0.0497
2,2,53.7285,48.3197,Warrior,72.1969,66.4231,52.9546,1.7637,6.6617,1.8517,200,54.1742,110.3679,104.6249,104.3403,21.4174,12.1251,0.0466,0.0124,Population structure converged. Difference: 0.0497
2,3,54.1742,51.6113,Warrior,78.9958,61.8690,49.3239,1.8349,7.9763,1.8517,200,54.1742,36.9850,63.6060,41.1077,1.7240,6.5828,0.0161,0.0124,Population structure converged. Difference: 0.0497
3,0,53.0696,37.0251,Warrior,62.4189,90.1118,38.9147,8.1516,0.4030,1.9315,200,53.3025,148.7912,361.7802,299.1896,368.4909,420.2609,0.0200,0.0099,Population structure converged. Difference: 0.0145
3,1,53.0696,47.2986,Warrior,62.4189,90.1118,38.9147,8.1516,0.4030,1.9315,200,53.3025,21.2464,166.0169,104.0297,118.9773,159.3106,0.0032,0.0099,Population structure converged. Difference: 0.0145
3,2,53.3025,52.5430,Warrior,62.6091,90.3864,39.0332,7.5957,0.3756,1.9315,200,53.3025,3.5146,14.0605,15.8081,7.0506,12.0946,0.0002,0.0099,Population structure converged. Difference: 0.0145
4,0,49.7766,37.6662,Warrior,68.0877,76.3255,32.2259,11.8206,11.5404,1.8568,200,51.3052,236.8604,715.9684,404.5353,281.2414,326.2589,0.0226,0.0116,Population structure converged. Difference: 0.0500
4,1,49.7766,45.0073,Warrior,68.0877,76.3255,32.2259,11.8206,11.5404,1.8568,200,51.3052,32.7284,153.8440,130.7769,44.7752,49.4166,0.0053,0.0116,Population structure converged. Difference: 0.0500
4,2,50.8732,47.0616,Warrior,66.3317,69.2416,47.3776,5.3575,11.6916,1.8568,200,51.3052,0.2976,2.9278,10.3245,2.0380,0.3124,0.0011,0.0116,Population structure converged. Difference: 0.0500
4,3,51.3052,48.8627,Warrior,68.0786,68.3367,46.7585,5.2875,11.5388,1.8568,200,51.3052,0.6255,3.7624,13.3157,2.7477,0.4567,0.0009,0.0116,Population structure converged. Difference: 0.0500
5,0,55.4346,39.1329,Warrior,88.7757,80.4040,18.8221,11.4675,0.5307,1.8716,200,55.5156,495.4940,749.1570,483.8078,279.0569,493.1440,0.0408,0.0090,Population structure converged. Difference: 0.0224
5,1,55.5156,49.1537,Warrior,85.9809,84.1690,18.2295,11.1065,0.5140,1.8716,200,55.5156,157.5664,157.0305,187.6346,21.4413,139.8373,0.0294,0.0090,Population structure converged. Difference: 0.0224
