Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.5784,38.7429,Warrior,77.5481,97.6858,6.3069,4.7051,13.7541,1.8657,200,53.4338,497.4854,693.7218,506.2769,453.5204,215.4365,0.0457,0.0359,Population structure converged. Difference: 0.0095
1,1,52.8220,45.9040,Warrior,85.8281,91.0805,5.8804,4.3870,12.8241,1.8657,200,53.4338,150.2561,487.8822,197.1873,186.7610,101.8224,0.0223,0.0359,Population structure converged. Difference: 0.0095
1,2,52.8724,48.7796,Warrior,85.1279,90.3375,5.8324,4.3512,14.3510,1.9472,200,53.4338,67.0223,171.8154,69.6485,109.9141,40.8185,0.0109,0.0359,Population structure converged. Difference: 0.0095
1,3,53.2848,50.2780,Warrior,85.2025,90.4167,6.6724,4.9778,12.7306,1.9472,200,53.4338,25.5320,125.4900,31.5074,34.1033,40.4136,0.0040,0.0359,Population structure converged. Difference: 0.0095
1,4,53.3802,51.3689,Warrior,88.3163,88.5102,5.7145,4.2632,13.1959,1.9472,200,53.4338,6.7749,9.8192,0.1936,0.1020,25.7927,0.0017,0.0359,Population structure converged. Difference: 0.0095
1,5,53.4794,51.9669,Warrior,88.5682,88.0759,6.0682,4.5270,12.7607,1.9472,200,53.4338,6.9110,7.5395,0.1784,0.0758,19.6714,0.0017,0.0359,Population structure converged. Difference: 0.0095
1,6,53.4825,52.2929,Warrior,86.9509,89.6992,6.1800,4.3702,12.7996,1.9472,200,53.4338,4.8087,5.3020,0.1257,0.0556,13.3186,0.0017,0.0359,Population structure converged. Difference: 0.0095
1,7,53.4825,52.5983,Warrior,86.9509,89.6992,6.1800,4.3702,12.7996,1.9472,200,53.4338,3.7373,3.8171,0.1106,0.0467,5.4803,0.0017,0.0359,Population structure converged. Difference: 0.0095
1,8,53.4825,52.6921,Warrior,86.9509,89.6992,6.1800,4.3702,12.7996,1.9472,200,53.4338,2.5624,2.1195,0.1204,0.0339,4.6343,0.0016,0.0359,Population structure converged. Difference: 0.0095
1,9,53.4225,52.7919,Warrior,87.4789,89.6051,5.6603,4.4467,12.8091,1.9472,200,53.4338,1.8831,1.7773,0.0984,0.0202,4.1020,0.0015,0.0359,Population structure converged. Difference: 0.0095
