Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.1500,36.6480,Warrior,70.5309,62.8609,34.8271,3.7252,28.0558,1.9229,200,58.1024,315.8625,309.3395,279.1083,276.5526,204.5309,0.0396,0.0370,Population structure converged. Difference: 0.0064
1,1,52.1587,44.9489,Warrior,97.6449,67.8930,13.8155,14.2012,6.4454,1.9229,200,58.1024,127.8418,130.7235,206.2727,53.8905,88.2594,0.0155,0.0370,Population structure converged. Difference: 0.0064
1,2,52.5039,48.0511,Warrior,96.0430,66.7792,16.8698,13.9682,6.3396,1.9229,200,58.1024,59.0949,43.3273,73.9658,32.7380,41.1457,0.0021,0.0370,Population structure converged. Difference: 0.0064
1,3,56.0424,48.9821,Warrior,83.8894,65.1753,37.8724,4.0510,9.0119,1.9229,200,58.1024,56.1580,32.3404,60.1454,36.8217,50.0316,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,4,56.2576,50.5452,Warrior,93.4206,59.0027,37.5002,4.0112,6.0654,1.9229,200,58.1024,69.2601,29.0772,69.7014,36.8329,79.2081,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,5,56.7649,53.6455,Warrior,96.3214,74.0990,18.7190,4.5026,6.3580,1.9229,200,58.1024,54.0425,28.5630,93.8437,28.4985,45.3400,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,6,57.0462,55.7552,Warrior,85.3222,66.2885,38.1407,4.0797,6.1690,1.9229,200,58.1024,26.3126,22.6270,61.8886,7.8321,4.3636,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,7,57.3461,56.1639,Warrior,89.2019,66.0584,35.2000,3.7484,5.7915,1.9229,200,58.1024,28.2598,26.4324,56.6884,1.0685,1.9614,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,8,57.7318,56.3984,Warrior,90.1320,80.0478,20.2218,3.7714,5.8270,1.9229,200,58.1024,31.5472,36.7493,56.9835,0.0618,1.8673,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,9,57.9117,56.6577,Warrior,83.8523,74.4706,32.7475,3.5086,5.4210,1.9229,200,58.1024,33.6693,34.2282,70.5551,0.1214,1.5149,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,10,57.8581,57.0039,Warrior,82.0207,76.9504,32.1173,3.4354,5.4763,1.9229,200,58.1024,30.4968,28.5518,75.9012,0.1406,0.5321,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,11,58.0657,57.2924,Warrior,84.6689,75.1959,31.4389,3.2224,5.4738,1.9229,200,58.1024,16.5646,27.8712,57.8014,0.1505,0.3741,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,12,58.1004,57.5205,Warrior,84.6648,75.1923,31.5567,3.2345,5.3518,1.9229,200,58.1024,11.4537,26.9498,43.7054,0.0958,0.0847,0.0000,0.0370,Population structure converged. Difference: 0.0064
1,13,58.1024,57.7337,Warrior,84.7155,75.2373,31.4562,3.2363,5.3547,1.9229,200,58.1024,6.8606,23.4123,33.3371,0.0435,0.0522,0.0000,0.0370,Population structure converged. Difference: 0.0064
2,0,47.9409,34.4250,Warrior,105.8524,70.0995,11.4703,8.9815,3.5963,1.7856,200,54.1300,772.8226,489.0709,444.9301,338.4996,512.4431,0.0352,0.0159,Population structure converged. Difference: 0.0016
2,1,54.1300,42.5773,Warrior,94.7376,70.9963,21.0049,8.3095,4.9517,1.9613,200,54.1300,665.7735,231.6647,291.1960,187.8821,346.5971,0.0110,0.0159,Population structure converged. Difference: 0.0016
2,2,54.1300,48.4168,Warrior,94.7376,70.9963,21.0049,8.3095,4.9517,1.9613,200,54.1300,145.2947,70.2719,85.4018,9.5368,17.4547,0.0075,0.0159,Population structure converged. Difference: 0.0016
2,3,54.1300,50.6812,Warrior,94.7376,70.9963,21.0049,8.3095,4.9517,1.9613,200,54.1300,99.6597,61.3057,44.4201,2.2195,0.0901,0.0078,0.0159,Population structure converged. Difference: 0.0016
2,4,54.1300,53.3409,Warrior,94.7376,70.9963,21.0049,8.3095,4.9517,1.9613,200,54.1300,43.3568,34.5310,11.2778,1.2240,0.0270,0.0026,0.0159,Population structure converged. Difference: 0.0016
2,5,54.1300,54.0425,Warrior,94.7376,70.9963,21.0049,8.3095,4.9517,1.9613,200,54.1300,12.7658,13.4333,0.7339,0.6228,0.0012,0.0000,0.0159,Population structure converged. Difference: 0.0016
3,0,51.9994,37.0510,Warrior,81.0877,46.4781,57.8063,5.2879,9.3400,1.8937,200,52.2178,405.6844,322.5827,433.8859,273.1753,402.7919,0.0461,0.0112,Population structure converged. Difference: 0.0042
