Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.3493,35.7653,Warrior,89.4138,63.9931,18.3051,7.8673,20.4207,1.8477,200,54.3739,228.6810,370.6791,458.1051,265.3921,204.0838,0.0317,0.0135,Population structure converged. Difference: 0.0157
1,1,53.6360,43.1522,Warrior,89.1143,82.5337,14.4045,6.1909,7.7566,1.8477,200,54.3739,190.4358,252.0228,341.3084,71.2311,54.4165,0.0186,0.0135,Population structure converged. Difference: 0.0157
1,2,54.3739,48.5867,Warrior,87.7326,77.3109,22.3655,4.9547,7.6364,1.8477,200,54.3739,109.7216,183.8006,407.7198,7.5819,18.0204,0.0229,0.0135,Population structure converged. Difference: 0.0157
1,3,54.3739,51.4582,Warrior,87.7326,77.3109,22.3655,4.9547,7.6364,1.8477,200,54.3739,58.6865,100.0373,192.3624,2.2390,21.7366,0.0034,0.0135,Population structure converged. Difference: 0.0157
1,4,54.3739,53.5316,Warrior,87.7326,77.3109,22.3655,4.9547,7.6364,1.8477,200,54.3739,15.5716,29.0711,41.1001,0.4783,5.0905,0.0000,0.0135,Population structure converged. Difference: 0.0157
2,0,43.2758,33.0144,Warrior,64.1075,61.8774,52.7989,8.7324,12.4838,1.4891,200,50.0427,266.1396,322.2132,475.4940,175.1954,358.1610,0.0234,0.0155,Population structure converged. Difference: 0.0324
2,1,45.9323,39.1346,Warrior,66.9843,59.6684,50.9139,7.5623,14.8711,1.7990,200,50.0427,182.4900,200.1093,276.2070,120.2220,21.1464,0.0181,0.0155,Population structure converged. Difference: 0.0324
2,2,48.4452,41.7452,Warrior,69.2071,61.6484,52.6035,7.8132,8.7278,1.8158,200,50.0427,194.0511,83.0655,117.8565,49.8604,9.3835,0.0212,0.0155,Population structure converged. Difference: 0.0324
2,3,49.1064,44.5212,Warrior,83.6227,55.3502,47.2293,7.0150,6.7828,1.7990,200,50.0427,269.2094,63.6338,162.6487,0.8195,10.0865,0.0217,0.0155,Population structure converged. Difference: 0.0324
2,4,49.4260,46.9287,Warrior,89.5008,50.7269,45.5496,7.5153,6.7074,1.8158,200,50.0427,144.0297,33.6310,79.8109,0.4913,10.7018,0.0075,0.0155,Population structure converged. Difference: 0.0324
2,5,50.0427,48.4723,Warrior,83.6559,69.5960,27.8115,10.3455,8.5911,1.8158,200,50.0427,96.9489,37.1920,57.2632,0.5885,2.5814,0.0000,0.0155,Population structure converged. Difference: 0.0324
3,0,46.8589,34.8603,Warrior,71.3919,52.6511,54.6872,16.1397,5.1300,1.9780,200,52.5788,169.8456,271.9031,428.7145,142.4024,237.9305,0.0368,0.0152,Population structure converged. Difference: 0.0405
3,1,49.2849,42.1539,Warrior,67.2385,62.5046,55.7931,7.5899,6.8740,1.9780,200,52.5788,115.7848,248.8984,427.7896,38.7811,36.3132,0.0651,0.0152,Population structure converged. Difference: 0.0405
3,2,49.9697,45.9316,Warrior,74.5802,55.0025,57.1294,7.9288,5.3591,1.9780,200,52.5788,41.0110,117.7866,245.7897,17.4242,16.8350,0.0457,0.0152,Population structure converged. Difference: 0.0405
3,3,51.5759,47.5189,Warrior,81.3806,75.6511,25.4623,9.1862,8.3198,1.9780,200,52.5788,17.4772,64.2180,137.1628,20.3929,5.2437,0.0091,0.0152,Population structure converged. Difference: 0.0405
3,4,52.1237,49.3348,Warrior,82.0975,76.3175,25.6866,8.3426,7.5558,1.9780,200,52.5788,20.1956,38.4978,99.4053,12.8056,0.9914,0.0059,0.0152,Population structure converged. Difference: 0.0405
3,5,52.5788,50.5321,Warrior,82.6906,76.8689,25.8722,7.6447,6.9237,1.9780,200,52.5788,16.4105,48.8231,123.1000,1.6486,0.9803,0.0000,0.0152,Population structure converged. Difference: 0.0405
4,0,48.9721,38.6735,Warrior,85.3550,85.0819,7.2838,17.6744,4.6049,1.8265,200,55.9575,195.6970,368.1484,281.9904,143.2102,253.7546,0.0425,0.0134,Population structure converged. Difference: 0.0145
4,1,55.4586,48.2018,Warrior,83.8300,73.3499,28.9113,8.4113,5.4974,1.9434,200,55.9575,22.0239,57.9809,59.3591,24.5864,105.6493,0.0110,0.0134,Population structure converged. Difference: 0.0145
4,2,55.7635,49.4811,Warrior,84.2415,73.7099,29.0532,8.4526,4.5427,1.9434,200,55.9575,26.2371,48.4241,99.6402,17.9426,33.5028,0.0026,0.0134,Population structure converged. Difference: 0.0145
4,3,55.9575,52.0936,Warrior,83.2607,80.8600,23.3985,7.9909,4.4899,1.9434,200,55.9575,32.4952,54.2675,157.4606,24.3364,3.4941,0.0026,0.0134,Population structure converged. Difference: 0.0145
4,4,55.9575,55.1573,Warrior,83.2607,80.8600,23.3985,7.9909,4.4899,1.9434,200,55.9575,12.1953,23.7589,27.0021,2.6988,0.4757,0.0001,0.0134,Population structure converged. Difference: 0.0145
