Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.0843,32.3302,Warrior,68.8839,73.3030,38.7348,18.2557,0.8226,1.8791,200,55.1919,407.5830,321.8989,399.1010,265.3034,408.8333,0.0309,0.0612,Population structure converged. Difference: 0.0075
1,1,51.0843,38.2333,Warrior,68.8839,73.3030,38.7348,18.2557,0.8226,1.8791,200,55.1919,254.5287,317.9558,327.2026,124.7422,255.1703,0.0193,0.0612,Population structure converged. Difference: 0.0075
1,2,51.0843,43.9738,Warrior,68.8839,73.3030,38.7348,18.2557,0.8226,1.8791,200,55.1919,164.1014,211.5931,156.6608,73.4409,140.4132,0.0135,0.0612,Population structure converged. Difference: 0.0075
1,3,52.1046,48.0752,Warrior,70.3751,71.3449,37.7001,10.3142,10.2658,1.8893,200,55.1919,72.5350,122.0127,98.9478,40.3289,88.9203,0.0055,0.0612,Population structure converged. Difference: 0.0075
1,4,52.1046,50.4450,Warrior,70.3751,71.3449,37.7001,10.3142,10.2658,1.8893,200,55.1919,16.3710,8.9347,26.4295,6.2606,12.0553,0.0021,0.0612,Population structure converged. Difference: 0.0075
1,5,52.1046,51.1420,Warrior,70.3751,71.3449,37.7001,10.3142,10.2658,1.8893,200,55.1919,0.0995,0.1482,0.0464,3.0074,4.2990,0.0000,0.0612,Population structure converged. Difference: 0.0075
1,6,54.8431,51.2144,Warrior,72.9728,76.0088,39.3831,10.7746,0.8607,1.8893,200,55.1919,0.3511,0.5840,0.1196,6.1185,8.7833,0.0000,0.0612,Population structure converged. Difference: 0.0075
1,7,55.0651,51.5838,Warrior,75.3645,73.6832,38.9357,11.1278,0.8889,1.8893,200,55.1919,1.5657,1.1717,0.2429,12.2927,15.3475,0.0000,0.0612,Population structure converged. Difference: 0.0075
1,8,55.0825,52.3464,Warrior,75.5841,73.5166,38.8476,11.1602,0.8915,1.8893,200,55.1919,3.3620,2.3516,0.5054,14.3364,20.4052,0.0000,0.0612,Population structure converged. Difference: 0.0075
1,9,55.0870,53.5032,Warrior,75.3851,73.7033,38.9463,11.0761,0.8891,1.8893,200,55.1919,4.1458,3.3081,0.6643,7.3241,18.1442,0.0000,0.0612,Population structure converged. Difference: 0.0075
1,10,55.1916,54.5081,Warrior,75.4835,73.7995,38.9972,10.8295,0.8903,1.8893,200,55.1919,3.0491,1.9829,0.3236,2.6434,6.4079,0.0000,0.0612,Population structure converged. Difference: 0.0075
1,11,55.1919,54.7810,Warrior,75.4838,73.7998,38.9973,10.8296,0.8895,1.8893,200,55.1919,2.4754,1.1107,0.1885,2.0647,1.6546,0.0000,0.0612,Population structure converged. Difference: 0.0075
2,0,50.0511,31.6731,Warrior,77.8273,68.0711,42.2721,8.6097,3.2197,1.7964,200,56.6535,502.0468,270.4316,444.1257,317.9285,334.1884,0.0338,0.0410,Population structure converged. Difference: 0.0087
2,1,50.4423,37.5594,Warrior,78.4553,68.6204,42.6132,8.6792,1.6318,1.7964,200,56.6535,308.8531,197.8101,346.2483,256.9073,325.6283,0.0304,0.0410,Population structure converged. Difference: 0.0087
2,2,56.2447,42.9583,Warrior,80.8448,68.3938,45.8951,3.4959,1.3704,1.8534,200,56.6535,190.7214,113.0660,278.6052,141.4514,223.2773,0.0322,0.0410,Population structure converged. Difference: 0.0087
2,3,56.5063,47.9484,Warrior,82.0990,69.6849,43.2743,3.5501,1.3916,1.8534,200,56.6535,83.7975,50.6695,104.5009,75.4070,80.8545,0.0246,0.0410,Population structure converged. Difference: 0.0087
2,4,56.5182,50.6564,Warrior,81.7703,70.2068,43.1010,3.5359,1.3861,1.8534,200,56.6535,81.1012,29.2943,18.3402,43.3267,61.1645,0.0128,0.0410,Population structure converged. Difference: 0.0087
2,5,56.5343,54.2864,Warrior,81.7866,70.2208,43.1096,3.4966,1.3863,1.8534,200,56.6535,3.0674,2.2751,2.5681,5.5109,4.3444,0.0032,0.0410,Population structure converged. Difference: 0.0087
2,6,56.5467,55.9773,Warrior,80.8235,70.6917,43.8995,3.2088,1.3764,1.8534,200,56.6535,0.5727,0.7111,1.5559,1.0506,0.0900,0.0002,0.0410,Population structure converged. Difference: 0.0087
