Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.0238,32.6159,Warrior,67.0028,62.6527,50.8033,6.3221,13.2191,1.8849,200,52.5536,359.5488,312.4046,382.6253,351.7154,350.4617,0.0418,0.0151,Population structure converged. Difference: 0.0375
1,1,51.5510,39.2989,Warrior,68.9292,64.4540,46.5138,6.5039,13.5992,1.8849,200,52.5536,213.0584,267.6698,358.4871,263.8918,211.2152,0.0280,0.0151,Population structure converged. Difference: 0.0375
1,2,52.5132,45.3027,Warrior,71.4308,77.0805,31.0494,6.6126,13.8266,1.8849,200,52.5536,46.5324,132.7955,263.1891,112.5746,97.3775,0.0135,0.0151,Population structure converged. Difference: 0.0375
1,3,52.2265,48.7618,Warrior,68.4109,63.9693,51.8710,6.4985,9.2503,1.8849,200,52.5536,31.7369,46.6572,70.0877,55.0972,33.8768,0.0039,0.0151,Population structure converged. Difference: 0.0375
1,4,52.5536,50.6522,Warrior,64.1329,73.7790,47.7327,5.9002,8.4553,1.9047,200,52.5536,7.3960,27.2527,48.0037,11.9726,6.1658,0.0003,0.0151,Population structure converged. Difference: 0.0375
2,0,51.0299,36.2187,Warrior,87.8878,64.5704,25.5348,4.0705,17.9364,1.8512,200,53.1398,546.2392,449.6770,462.6963,348.0703,266.1003,0.0348,0.0133,Population structure converged. Difference: 0.0393
2,1,52.8353,44.8387,Warrior,87.8878,64.5704,25.5348,4.0705,17.9364,1.9005,200,53.1398,319.2859,278.4470,202.6135,158.1476,165.7345,0.0189,0.0133,Population structure converged. Difference: 0.0393
2,2,52.8353,49.3085,Warrior,87.8878,64.5704,25.5348,4.0705,17.9364,1.9005,200,53.1398,117.2676,55.5578,47.0569,51.2469,40.8092,0.0038,0.0133,Population structure converged. Difference: 0.0393
2,3,53.1398,51.1324,Warrior,83.9974,61.7121,33.2577,3.8903,17.1425,1.9005,200,53.1398,1.5013,0.8927,2.3414,8.6647,0.0625,0.0002,0.0133,Population structure converged. Difference: 0.0393
3,0,53.4963,33.4704,Warrior,66.0091,86.3638,36.5964,0.7371,10.2936,1.9511,200,58.3532,282.6689,570.7240,246.5206,403.6273,359.4176,0.0424,0.0230,Population structure converged. Difference: 0.0478
3,1,55.3897,41.2834,Warrior,72.4426,62.5535,60.1380,0.9837,3.8822,1.9445,200,58.3532,157.2900,583.7986,162.5354,259.5109,260.2804,0.0356,0.0230,Population structure converged. Difference: 0.0478
3,2,55.4449,47.6802,Warrior,72.4920,62.5961,60.1790,0.8480,3.8848,1.9445,200,58.3532,76.5115,282.6686,113.3333,103.6058,112.8843,0.0274,0.0230,Population structure converged. Difference: 0.0478
3,3,55.6624,52.6246,Warrior,78.2366,71.7583,38.4236,0.7739,10.8076,1.9511,200,58.3532,49.3572,150.0999,73.0907,23.2855,15.3034,0.0113,0.0230,Population structure converged. Difference: 0.0478
3,4,58.2035,53.9699,Warrior,82.2222,70.9981,41.5368,0.8366,4.4063,1.9445,200,58.3532,37.4374,117.3329,84.4871,1.2433,10.7459,0.0028,0.0230,Population structure converged. Difference: 0.0478
3,5,58.3215,54.9393,Warrior,82.3775,71.1322,41.6153,0.9856,3.8895,1.9445,200,58.3532,21.8690,92.2288,96.7488,0.0141,15.6408,0.0000,0.0230,Population structure converged. Difference: 0.0478
3,6,58.3532,55.6933,Warrior,82.4097,71.1599,41.6315,0.9078,3.8910,1.9445,200,58.3532,23.0285,74.6917,91.0844,0.0132,13.4982,0.0000,0.0230,Population structure converged. Difference: 0.0478
4,0,43.9029,31.3902,Warrior,79.4810,46.9471,38.1398,13.9743,21.4578,1.8216,200,48.6678,542.9953,278.4249,270.7002,325.4548,352.4796,0.0353,0.0206,Population structure converged. Difference: 0.0486
4,1,46.0913,38.7464,Warrior,86.9346,44.0437,35.7810,13.1100,20.1308,1.9448,200,48.6678,370.6017,88.9246,84.1705,131.6589,162.4192,0.0093,0.0206,Population structure converged. Difference: 0.0486
4,2,46.3102,42.5268,Warrior,79.5140,46.9667,38.1556,13.9801,21.3835,1.9448,200,48.6678,170.8018,19.0513,27.6151,10.7675,75.5077,0.0035,0.0206,Population structure converged. Difference: 0.0486
4,3,46.7923,43.9640,Warrior,70.3394,51.7498,43.6307,13.5199,20.7602,1.9448,200,48.6678,44.6303,12.6087,15.0276,4.6561,15.0236,0.0027,0.0206,Population structure converged. Difference: 0.0486
4,4,48.1494,44.6989,Warrior,83.8454,62.2768,20.0404,12.8460,20.9915,1.9448,200,48.6678,34.7541,10.8628,9.1589,1.3097,3.7190,0.0036,0.0206,Population structure converged. Difference: 0.0486
4,5,48.1494,45.7049,Warrior,83.8454,62.2768,20.0404,12.8460,20.9915,1.9448,200,48.6678,36.8703,14.3795,17.0397,0.5452,1.3246,0.0030,0.0206,Population structure converged. Difference: 0.0486
4,6,48.6678,46.4127,Warrior,84.5403,62.8951,20.2393,12.7490,19.5763,1.9448,200,48.6678,39.5759,20.1215,31.7037,0.4652,1.1044,0.0016,0.0206,Population structure converged. Difference: 0.0486
5,0,51.3907,34.8156,Warrior,69.5171,67.5285,52.5034,1.6668,8.7842,1.8277,200,56.2640,374.2299,414.2370,355.5446,491.4381,455.3054,0.0354,0.0183,Population structure converged. Difference: 0.0345
5,1,55.5587,42.0483,Warrior,77.4233,67.9193,45.2850,2.0824,7.2900,1.8683,200,56.2640,215.4692,258.1909,165.1254,257.5391,353.9070,0.0220,0.0183,Population structure converged. Difference: 0.0345
5,2,55.5587,47.4770,Warrior,77.4233,67.9193,45.2850,2.0824,7.2900,1.8683,200,56.2640,130.4489,108.9013,28.4940,79.5437,210.9642,0.0115,0.0183,Population structure converged. Difference: 0.0345
5,3,55.9680,50.7561,Warrior,74.8493,73.3970,44.1942,1.8117,5.7479,1.8683,200,56.2640,32.1744,8.6126,17.0243,6.2154,46.1963,0.0050,0.0183,Population structure converged. Difference: 0.0345
5,4,56.2640,53.1265,Warrior,78.8537,68.5880,44.8812,1.8398,5.8372,1.8683,200,56.2640,33.1765,6.7336,13.6409,0.0916,45.6978,0.0047,0.0183,Population structure converged. Difference: 0.0345
5,5,56.2640,54.3858,Warrior,78.8537,68.5880,44.8812,1.8398,5.8372,1.8683,200,56.2640,19.1505,6.4835,10.6390,0.0610,23.5106,0.0027,0.0183,Population structure converged. Difference: 0.0345
6,0,46.4685,32.5228,Warrior,61.6897,58.2941,53.3485,4.9706,21.6971,1.9688,200,57.3455,287.0866,475.4571,406.5458,412.4653,385.0431,0.0297,0.0208,Population structure converged. Difference: 0.0366
6,1,51.7369,38.5858,Warrior,80.8183,66.2748,28.4762,12.5465,11.8842,1.9400,200,57.3455,252.0918,451.2549,310.8847,298.4820,290.8063,0.0238,0.0208,Population structure converged. Difference: 0.0366
6,2,55.0717,43.8519,Warrior,84.7595,69.5067,29.8649,3.4052,12.4638,1.9400,200,57.3455,145.5727,424.9234,234.5127,124.0953,125.2361,0.0256,0.0208,Population structure converged. Difference: 0.0366
6,3,55.2628,47.3623,Warrior,85.0058,69.7087,29.9517,3.4151,11.9188,1.9400,200,57.3455,93.8706,247.6061,173.1542,71.8806,74.9419,0.0223,0.0208,Population structure converged. Difference: 0.0366
6,4,57.0373,51.1251,Warrior,87.3769,71.6531,30.7871,4.4146,5.7682,1.9400,200,57.3455,72.9798,106.1701,128.8709,35.9183,31.4692,0.0094,0.0208,Population structure converged. Difference: 0.0366
6,5,57.3210,53.7665,Warrior,89.1956,70.9535,30.4865,3.4760,5.8883,1.9400,200,57.3455,27.4065,57.6710,92.7906,13.0391,16.6247,0.0011,0.0208,Population structure converged. Difference: 0.0366
6,6,57.3455,55.3233,Warrior,88.3479,72.4494,29.6907,3.3853,6.1266,1.9400,200,57.3455,23.8517,29.4676,82.5249,5.5114,14.3998,0.0000,0.0208,Population structure converged. Difference: 0.0366
7,0,50.9651,33.2978,Warrior,69.9946,58.4138,50.1236,2.1822,19.2858,1.9438,200,52.6608,392.3171,387.2966,384.5538,435.2707,407.5017,0.0377,0.0152,Population structure converged. Difference: 0.0383
7,1,52.5632,42.6218,Warrior,71.8436,59.9569,51.4476,2.2398,14.5120,1.9438,200,52.6608,139.9472,193.3876,165.4137,308.8930,155.1467,0.0251,0.0152,Population structure converged. Difference: 0.0383
7,2,52.5632,47.8458,Warrior,71.8436,59.9569,51.4476,2.2398,14.5120,1.9438,200,52.6608,27.4497,71.0962,57.5537,89.8732,26.8118,0.0056,0.0152,Population structure converged. Difference: 0.0383
7,3,52.6608,49.6844,Warrior,72.7712,59.4138,50.9816,2.1340,14.6994,1.9438,200,52.6608,23.3287,13.3991,40.6257,28.4380,1.8318,0.0016,0.0152,Population structure converged. Difference: 0.0383
7,4,52.6608,50.7162,Warrior,72.7712,59.4138,50.9816,2.1340,14.6994,1.9438,200,52.6608,12.3993,4.2439,24.5934,0.0070,1.6905,0.0015,0.0152,Population structure converged. Difference: 0.0383
8,0,48.0537,31.6778,Warrior,72.3881,48.5915,58.0618,10.0250,10.9335,1.8500,200,54.4539,280.2912,403.2729,407.0062,285.9345,305.6996,0.0326,0.0300,Population structure converged. Difference: 0.0448
8,1,49.0547,37.8418,Warrior,72.3881,48.5915,58.0618,10.0250,10.9335,1.8736,200,54.4539,132.6022,307.0455,399.5192,143.9520,299.7317,0.0384,0.0300,Population structure converged. Difference: 0.0448
8,2,49.0547,42.3426,Warrior,72.3881,48.5915,58.0618,10.0250,10.9335,1.8736,200,54.4539,97.9607,180.2947,264.4830,123.0071,189.3824,0.0242,0.0300,Population structure converged. Difference: 0.0448
8,3,49.4315,45.9235,Warrior,70.9186,48.8436,58.3629,10.0770,11.7978,1.9250,200,54.4539,43.2312,87.9812,126.1057,43.4551,81.1572,0.0073,0.0300,Population structure converged. Difference: 0.0448
8,4,52.0366,47.5831,Warrior,69.2216,53.4262,63.8386,0.6199,12.8937,1.9250,200,54.4539,14.6115,55.3499,77.1052,20.5492,24.0599,0.0008,0.0300,Population structure converged. Difference: 0.0448
8,5,52.1063,48.5607,Warrior,71.9116,49.7780,65.7571,0.5902,11.9630,1.9250,200,54.4539,8.3905,24.1218,16.2389,13.1600,7.3144,0.0008,0.0300,Population structure converged. Difference: 0.0448
8,6,52.7548,49.3872,Warrior,73.1934,51.8036,61.8998,0.6011,12.5021,1.9250,200,54.4539,4.7675,8.8733,14.2932,15.3061,0.5600,0.0010,0.0300,Population structure converged. Difference: 0.0448
8,7,52.7548,50.2140,Warrior,73.1934,51.8036,61.8998,0.6011,12.5021,1.9250,200,54.4539,4.7011,3.8727,10.9304,20.4962,1.0132,0.0009,0.0300,Population structure converged. Difference: 0.0448
8,8,54.4539,51.3740,Warrior,74.8478,57.3471,56.2549,0.6177,10.9326,1.9250,200,54.4539,4.8200,4.7720,12.3217,16.0374,1.3182,0.0010,0.0300,Population structure converged. Difference: 0.0448
8,9,54.4539,52.1200,Warrior,74.8478,57.3471,56.2549,0.6177,10.9326,1.9250,200,54.4539,3.6005,4.6183,10.2246,10.3727,1.1768,0.0007,0.0300,Population structure converged. Difference: 0.0448
