Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.0042,33.0639,Warrior,81.0552,55.3731,54.5021,5.4232,3.6464,1.4950,200,56.6354,235.7525,265.2296,480.8857,344.2971,355.0569,0.0366,0.0332,Population structure converged. Difference: 0.0086
1,1,48.0826,39.5923,Warrior,91.2536,62.3402,36.1954,6.1055,4.1052,1.4950,200,56.6354,120.8724,148.4936,240.5193,123.6386,295.3877,0.0322,0.0332,Population structure converged. Difference: 0.0086
1,2,48.4622,44.9022,Warrior,91.7855,62.7036,36.4064,4.9754,4.1291,1.4950,200,56.6354,30.2013,10.2132,32.7993,28.7047,36.5498,0.0089,0.0332,Population structure converged. Difference: 0.0086
1,3,48.7716,46.1636,Warrior,87.0380,66.7638,36.9562,5.0505,4.1915,1.4950,200,56.6354,35.6570,12.6036,44.4059,2.4349,14.7971,0.0123,0.0332,Population structure converged. Difference: 0.0086
1,4,54.7376,47.1197,Warrior,82.7640,60.6443,44.1399,7.4456,5.0062,1.9456,200,56.6354,62.1383,24.2527,72.6540,4.3306,32.2080,0.0267,0.0332,Population structure converged. Difference: 0.0086
1,5,55.2187,48.4789,Warrior,81.1379,59.4528,49.5250,4.9764,4.9079,1.9456,200,56.6354,92.3644,31.7817,85.6351,0.4043,49.4937,0.0445,0.0332,Population structure converged. Difference: 0.0086
1,6,56.1659,50.1386,Warrior,78.1463,71.0526,41.2540,5.4896,4.0575,1.9456,200,56.6354,69.6680,31.9665,64.8969,0.8250,49.7974,0.0511,0.0332,Population structure converged. Difference: 0.0086
1,7,56.1659,52.9073,Warrior,78.1463,71.0526,41.2540,5.4896,4.0575,1.9456,200,56.6354,27.3794,24.5363,41.4071,1.0196,45.3464,0.0097,0.0332,Population structure converged. Difference: 0.0086
1,8,56.4053,54.8010,Warrior,81.3353,68.9297,40.0214,4.8905,4.8231,1.9456,200,56.6354,7.4664,29.6115,28.4604,1.1303,7.0200,0.0000,0.0332,Population structure converged. Difference: 0.0086
1,9,56.4876,55.7781,Warrior,78.8686,71.7094,40.3913,4.9357,4.0950,1.9456,200,56.6354,6.3262,24.4506,12.7865,0.4679,0.1785,0.0000,0.0332,Population structure converged. Difference: 0.0086
