Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.7896,32.5007,Warrior,85.8627,69.1691,29.7453,11.8494,3.3735,1.8290,200,56.8611,250.2955,374.9843,299.3262,193.2439,385.1613,0.0404,0.0241,Population structure converged. Difference: 0.0100
1,1,51.9792,39.3467,Warrior,86.3330,69.5480,29.9082,12.8917,1.3190,1.8290,200,56.8611,230.2242,257.6195,307.1728,144.8695,332.4193,0.0323,0.0241,Population structure converged. Difference: 0.0100
1,2,54.4451,46.4354,Warrior,82.6998,58.3964,57.1834,0.4569,1.2635,1.8290,200,56.8611,76.7229,52.8338,119.9260,71.8778,63.2966,0.0120,0.0241,Population structure converged. Difference: 0.0100
1,3,56.8022,49.8623,Warrior,92.1069,74.1993,31.9085,0.4848,1.3006,1.8290,200,56.8611,17.1309,32.4219,72.1212,64.5756,3.9425,0.0012,0.0241,Population structure converged. Difference: 0.0100
1,4,56.8292,51.9272,Warrior,89.6888,75.8340,32.6114,0.4955,1.3703,1.8290,200,56.8611,5.7114,11.6805,37.6352,15.5446,0.9771,0.0000,0.0241,Population structure converged. Difference: 0.0100
1,5,56.8383,52.8568,Warrior,88.8995,76.4051,32.8570,0.4992,1.3392,1.8290,200,56.8611,9.3421,9.9757,39.0322,22.3798,0.7974,0.0000,0.0241,Population structure converged. Difference: 0.0100
1,6,56.8493,54.2786,Warrior,91.3602,75.2192,31.6498,0.4809,1.2900,1.8290,200,56.8611,15.1995,23.4023,67.3743,33.5826,0.2014,0.0000,0.0241,Population structure converged. Difference: 0.0100
1,7,56.8611,56.3007,Warrior,88.9295,76.4309,32.8681,0.4810,1.2905,1.8290,200,56.8611,10.7288,8.8986,14.1785,9.9487,0.0835,0.0000,0.0241,Population structure converged. Difference: 0.0100
2,0,45.6467,32.1886,Warrior,86.7940,86.6778,13.1979,1.4863,11.8440,1.7167,200,57.1499,332.9745,501.2764,449.5501,290.8634,329.5675,0.0331,0.0356,Population structure converged. Difference: 0.0067
2,1,45.6467,38.1879,Warrior,86.7940,86.6778,13.1979,1.4863,11.8440,1.7167,200,57.1499,247.1768,328.1160,476.9042,172.5297,200.1123,0.0250,0.0356,Population structure converged. Difference: 0.0067
2,2,45.7875,41.9498,Warrior,87.0317,86.9152,13.2340,1.5165,11.3026,1.7167,200,57.1499,222.9060,241.4090,399.6169,83.6275,78.5134,0.0194,0.0356,Population structure converged. Difference: 0.0067
2,3,45.7875,44.2413,Warrior,87.0317,86.9152,13.2340,1.5165,11.3026,1.7167,200,57.1499,120.2625,123.8541,114.6609,25.9429,21.2080,0.0050,0.0356,Population structure converged. Difference: 0.0067
2,4,52.4518,45.2586,Warrior,82.2090,82.1302,12.5007,1.2855,21.8747,1.9070,200,57.1499,48.4768,39.1738,43.4806,3.7189,3.8724,0.0007,0.0356,Population structure converged. Difference: 0.0067
2,5,55.8131,46.2754,Warrior,86.4582,86.3753,13.1468,1.5767,12.4430,1.9070,200,57.1499,15.7406,13.3443,6.1646,1.0088,12.5508,0.0036,0.0356,Population structure converged. Difference: 0.0067
2,6,56.8424,48.1611,Warrior,81.0142,80.9057,26.1473,1.4116,10.5211,1.9070,200,57.1499,22.9530,7.0945,9.4823,0.2347,25.0330,0.0082,0.0356,Population structure converged. Difference: 0.0067
2,7,57.0874,52.0807,Warrior,81.9845,81.9059,24.7943,1.3386,9.9767,1.9070,200,57.1499,23.8026,9.6190,16.1376,0.3591,30.0577,0.0052,0.0356,Population structure converged. Difference: 0.0067
