Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,54.4883,32.4063,Warrior,100.0202,54.3790,38.0821,6.9434,0.5752,1.9538,200,58.7918,672.6298,358.3038,396.3265,426.1801,458.6256,0.0385,0.0414,Population structure converged. Difference: 0.0083
1,1,57.0343,39.7999,Warrior,101.1694,68.1895,25.5890,4.6656,0.3865,1.9538,200,58.7918,707.9740,293.9934,328.9321,320.8757,370.4945,0.0295,0.0414,Population structure converged. Difference: 0.0083
1,2,57.1183,46.6271,Warrior,100.2781,67.5888,27.1255,4.6245,0.3831,1.9538,200,58.7918,489.0068,172.5009,166.7967,168.1948,269.8736,0.0138,0.0414,Population structure converged. Difference: 0.0083
1,3,57.1895,51.6316,Warrior,94.8667,63.9414,36.1199,4.5264,0.5456,1.9538,200,58.7918,199.7898,60.5021,75.7568,43.6322,112.8491,0.0059,0.0414,Population structure converged. Difference: 0.0083
1,4,57.3893,53.8828,Warrior,97.1009,70.1419,27.2333,4.9654,0.5584,1.9538,200,58.7918,48.9486,19.9844,16.7033,3.6562,62.8626,0.0059,0.0414,Population structure converged. Difference: 0.0083
1,5,57.6575,55.6440,Warrior,93.1658,67.2993,34.6561,4.3430,0.5358,1.9538,200,58.7918,9.3536,10.6702,12.6185,0.3334,0.2463,0.0040,0.0414,Population structure converged. Difference: 0.0083
1,6,57.5050,56.5518,Warrior,93.0638,66.4309,35.4335,4.5366,0.5352,1.9538,200,58.7918,7.2201,6.8731,12.9782,0.1179,0.4647,0.0019,0.0414,Population structure converged. Difference: 0.0083
1,7,58.2826,56.9478,Warrior,98.9622,69.7124,26.1605,4.7698,0.3951,1.8944,200,58.7918,6.0369,3.8663,11.8163,0.1021,0.6669,0.0008,0.0414,Population structure converged. Difference: 0.0083
1,8,58.2984,57.2092,Warrior,98.7097,69.2110,26.9393,4.5977,0.5424,1.8944,200,58.7918,6.0176,3.6282,13.4033,0.0850,0.2218,0.0002,0.0414,Population structure converged. Difference: 0.0083
1,9,58.4599,57.3277,Warrior,94.5270,66.2783,34.2875,4.3899,0.5174,1.8944,200,58.7918,6.1393,4.0825,14.4145,0.0541,0.2272,0.0003,0.0414,Population structure converged. Difference: 0.0083
