Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.4136,36.2205,Warrior,64.9792,52.0968,71.4185,3.1931,8.3124,1.9697,200,49.2198,286.9453,123.0047,653.9087,145.1768,257.8795,0.0428,0.0097,Population structure converged. Difference: 0.0198
1,1,48.4136,43.6144,Warrior,64.9792,52.0968,71.4185,3.1931,8.3124,1.9697,200,49.2198,82.0944,24.4652,231.2086,85.3976,49.2250,0.0070,0.0097,Population structure converged. Difference: 0.0198
1,2,49.2198,48.2654,Warrior,67.5438,52.4557,67.9049,3.4551,8.6405,1.9697,200,49.2198,0.4720,0.6484,1.7960,0.0031,2.9679,0.0000,0.0097,Population structure converged. Difference: 0.0198
2,0,43.2421,37.2025,Warrior,60.3468,50.1358,58.9676,29.6629,0.8867,1.9090,200,43.2526,179.6104,90.3320,192.3570,129.0420,217.4478,0.0577,0.0061,Population structure converged. Difference: 0.0113
2,1,43.2526,42.7708,Warrior,60.3670,50.1526,58.9874,29.6728,0.8201,1.9090,200,43.2526,21.9543,4.9092,6.1276,6.7561,13.3081,0.0020,0.0061,Population structure converged. Difference: 0.0113
3,0,44.4427,36.5235,Warrior,58.8240,63.1624,36.4388,14.2648,27.3100,1.9291,200,49.3707,216.2168,341.8639,390.3862,171.6457,165.4032,0.0372,0.0146,Population structure converged. Difference: 0.0403
3,1,47.5522,42.8867,Warrior,62.2263,56.1271,52.9118,7.2080,21.5268,1.9291,200,49.3707,18.4805,59.6137,132.3697,5.8679,7.7463,0.0007,0.0146,Population structure converged. Difference: 0.0403
3,2,48.2293,43.7885,Warrior,62.2649,66.8570,40.7212,5.5473,24.6096,1.9291,200,49.3707,17.0939,49.8577,331.1118,21.9749,14.4329,0.0010,0.0146,Population structure converged. Difference: 0.0403
3,3,49.2958,46.0030,Warrior,70.6880,52.6799,49.6621,6.7653,20.2046,1.9291,200,49.3707,20.2710,63.2857,325.2201,22.1473,15.3537,0.0008,0.0146,Population structure converged. Difference: 0.0403
3,4,49.3707,47.4570,Warrior,69.3420,63.5896,36.6853,7.6215,22.7616,1.9291,200,49.3707,8.9341,17.4537,47.3934,5.2256,6.2013,0.0002,0.0146,Population structure converged. Difference: 0.0403
