Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.3784,34.8894,Warrior,67.6619,69.7142,31.6661,6.8687,24.0892,1.7255,200,41.6552,268.8277,265.6034,358.8785,364.8078,161.1705,0.0327,0.0085,Population structure converged. Difference: 0.0178
1,1,41.7214,39.7294,Warrior,68.1960,70.2646,31.9160,6.5726,23.0508,1.7255,200,41.6552,51.5753,149.5394,98.8456,154.5287,36.4884,0.0204,0.0085,Population structure converged. Difference: 0.0178
1,2,41.6552,40.9267,Warrior,68.1803,70.2484,31.6588,6.8671,23.0455,1.7255,200,41.6552,16.9613,48.3303,32.5658,27.7066,10.0211,0.0131,0.0085,Population structure converged. Difference: 0.0178
2,0,50.3764,38.2682,Warrior,65.9132,77.7238,33.2538,18.6215,4.4877,1.9189,200,57.9738,473.9917,257.4443,348.1530,248.5905,235.5913,0.0424,0.0178,Population structure converged. Difference: 0.0396
2,1,53.3008,44.4725,Warrior,74.8551,65.2340,42.2631,12.5513,5.0965,1.9189,200,57.9738,211.5079,153.7712,235.9287,87.1461,117.2519,0.0264,0.0178,Population structure converged. Difference: 0.0396
2,2,53.7282,49.6865,Warrior,95.4655,76.3879,10.1730,12.7830,5.1906,1.9189,200,57.9738,108.4691,84.4071,167.7090,39.3964,35.4024,0.0067,0.0178,Population structure converged. Difference: 0.0396
2,3,54.8406,52.0279,Warrior,84.1717,69.7941,29.8611,13.3447,2.8284,1.9189,200,57.9738,91.4235,52.8741,162.7957,22.3016,12.9661,0.0007,0.0178,Population structure converged. Difference: 0.0396
2,4,57.9738,53.1478,Warrior,92.2939,73.8500,25.0782,3.7884,4.9895,1.9189,200,57.9738,89.2833,31.1985,177.0531,18.2987,14.4352,0.0003,0.0178,Population structure converged. Difference: 0.0396
2,5,57.9738,54.0636,Warrior,92.2939,73.8500,25.0782,3.7884,4.9895,1.9189,200,57.9738,59.3994,26.9318,127.6737,14.9671,12.0617,0.0003,0.0178,Population structure converged. Difference: 0.0396
2,6,57.9738,55.7649,Warrior,92.2939,73.8500,25.0782,3.7884,4.9895,1.9189,200,57.9738,25.2333,12.3685,30.5510,21.8628,10.7804,0.0001,0.0178,Population structure converged. Difference: 0.0396
3,0,48.3431,36.4959,Warrior,62.7599,68.6139,45.7816,4.7626,18.0820,1.8479,200,48.8097,234.3070,365.5936,197.1816,416.1450,202.8854,0.0218,0.0106,Population structure converged. Difference: 0.0325
3,1,48.4343,43.1271,Warrior,64.2050,65.5886,46.8358,4.8722,18.4984,1.8479,200,48.8097,51.0614,111.0370,62.5429,148.8953,90.7472,0.0070,0.0106,Population structure converged. Difference: 0.0325
3,2,48.7556,45.6361,Warrior,66.0321,65.9369,43.9954,5.0109,19.0248,1.8479,200,48.8097,6.6906,32.5837,4.5674,10.4400,45.0075,0.0005,0.0106,Population structure converged. Difference: 0.0325
3,3,48.8097,47.2756,Warrior,64.5766,69.1919,43.1384,4.4876,18.6055,1.8479,200,48.8097,4.4637,28.7052,4.2115,0.2004,35.9602,0.0000,0.0106,Population structure converged. Difference: 0.0325
4,0,48.6262,36.8855,Warrior,80.6999,56.9940,57.0512,4.1783,1.0766,1.4330,200,54.0196,352.3728,270.8566,256.2547,466.3068,346.0570,0.0270,0.0211,Population structure converged. Difference: 0.0293
4,1,48.6262,42.9020,Warrior,80.6999,56.9940,57.0512,4.1783,1.0766,1.4330,200,54.0196,170.8692,43.7130,175.9095,208.5576,139.0836,0.0169,0.0211,Population structure converged. Difference: 0.0293
4,2,50.0419,46.4427,Warrior,82.3062,58.1285,58.1869,0.2804,1.0980,1.4330,200,54.0196,62.4211,32.5639,48.7991,20.0527,22.2312,0.0147,0.0211,Population structure converged. Difference: 0.0293
4,3,51.8468,48.2153,Warrior,85.3491,60.2775,48.2953,4.9308,1.1474,1.8021,200,54.0196,39.9169,18.9046,33.6940,7.1548,6.7791,0.0112,0.0211,Population structure converged. Difference: 0.0293
4,4,52.2034,49.1433,Warrior,86.4846,61.0795,46.8735,4.3997,1.1626,1.8021,200,54.0196,13.3894,10.5715,17.6470,2.5680,1.5883,0.0113,0.0211,Population structure converged. Difference: 0.0293
4,5,54.0049,49.9959,Warrior,85.5990,65.7559,47.2169,0.2862,1.1420,1.8021,200,54.0196,14.3504,13.4454,22.7717,3.9929,1.3443,0.0289,0.0211,Population structure converged. Difference: 0.0293
4,6,54.0196,51.2269,Warrior,85.6203,65.7723,47.2286,0.2804,1.0983,1.8021,200,54.0196,6.1260,9.8342,21.3200,5.1336,0.0034,0.0333,0.0211,Population structure converged. Difference: 0.0293
4,7,54.0196,52.4831,Warrior,85.6203,65.7723,47.2286,0.2804,1.0983,1.8021,200,54.0196,4.3848,11.2374,19.9392,4.8481,0.0031,0.0124,0.0211,Population structure converged. Difference: 0.0293
