Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.2991,36.2590,Warrior,77.7394,66.1237,38.3254,12.7732,5.0382,1.9881,200,56.3982,314.2701,505.2214,329.7174,570.6524,486.3774,0.0544,0.0310,Population structure converged. Difference: 0.0428
1,1,51.3215,44.5793,Warrior,72.4436,61.4342,61.4162,0.0251,4.6809,1.9881,200,56.3982,103.9845,337.8277,233.0676,97.4409,136.0141,0.0455,0.0310,Population structure converged. Difference: 0.0428
1,2,53.4128,47.9251,Warrior,74.7908,85.8888,34.4620,0.0259,4.8326,1.9881,200,56.3982,39.5967,120.7575,86.8367,29.5441,43.9146,0.0322,0.0310,Population structure converged. Difference: 0.0428
1,3,53.4128,49.5359,Warrior,74.7908,85.8888,34.4620,0.0259,4.8326,1.9881,200,56.3982,22.0462,48.3651,39.5977,17.8907,3.0227,0.0075,0.0310,Population structure converged. Difference: 0.0428
1,4,54.3733,50.7051,Warrior,82.7861,76.5784,35.6145,0.0268,4.9942,1.9881,200,56.3982,18.8335,48.5874,46.3818,24.7839,0.0881,0.0001,0.0310,Population structure converged. Difference: 0.0428
1,5,55.8928,51.8328,Warrior,76.9725,80.5815,37.7823,0.0250,4.6387,1.9725,200,56.3982,15.8823,47.5338,59.7535,32.4163,0.1040,0.0000,0.0310,Population structure converged. Difference: 0.0428
1,6,56.3837,53.0566,Warrior,82.7174,76.5149,35.5850,0.0277,5.1551,1.9725,200,56.3982,10.1920,52.3125,61.3553,22.2762,0.1446,0.0000,0.0310,Population structure converged. Difference: 0.0428
1,7,56.3982,54.0823,Warrior,82.8617,76.6483,35.3025,0.0234,5.1641,1.9725,200,56.3982,7.8251,33.5249,37.6576,8.9329,0.0924,0.0001,0.0310,Population structure converged. Difference: 0.0428
2,0,45.5471,34.9043,Warrior,75.1955,71.7265,29.9694,13.2105,9.8980,1.4476,200,46.3153,375.3027,440.9323,280.7595,304.6657,526.9411,0.0285,0.0100,Population structure converged. Difference: 0.0446
2,1,45.5471,40.9693,Warrior,75.1955,71.7265,29.9694,13.2105,9.8980,1.4476,200,46.3153,190.0104,200.3764,108.3398,109.3187,286.2711,0.0181,0.0100,Population structure converged. Difference: 0.0446
2,2,46.3153,44.3365,Warrior,77.0090,73.4564,30.6922,8.8929,9.9495,1.4108,200,46.3153,32.9323,75.8365,46.1130,20.3851,62.8225,0.0024,0.0100,Population structure converged. Difference: 0.0446
3,0,53.0893,35.3502,Warrior,82.3209,43.3462,68.2850,4.5460,1.5020,1.9151,200,59.3057,599.8495,231.9185,491.9686,313.6245,533.9549,0.0417,0.0216,Population structure converged. Difference: 0.0459
3,1,54.0271,44.4541,Warrior,85.7767,49.4337,58.0475,3.8644,2.8777,1.9536,200,59.3057,264.1636,133.2298,584.3534,94.3475,133.2671,0.0143,0.0216,Population structure converged. Difference: 0.0459
3,2,57.3975,48.8555,Warrior,101.5223,79.8169,11.2022,5.6063,1.8523,1.9151,200,59.3057,116.7599,84.1033,472.2402,94.8922,14.6171,0.0056,0.0216,Population structure converged. Difference: 0.0459
3,3,57.3975,51.9226,Warrior,101.5223,79.8169,11.2022,5.6063,1.8523,1.9151,200,59.3057,101.5878,124.0857,405.1076,35.1382,0.4815,0.0003,0.0216,Population structure converged. Difference: 0.0459
3,4,58.2809,54.1806,Warrior,82.4302,64.8067,48.2980,3.2154,1.2497,1.9151,200,59.3057,128.8130,265.7577,681.6445,11.5547,0.2489,0.0002,0.0216,Population structure converged. Difference: 0.0459
3,5,59.3057,55.9441,Warrior,86.7333,68.1898,41.2623,2.7470,1.0676,1.9151,200,59.3057,103.2283,287.6135,595.7871,6.2058,0.2158,0.0001,0.0216,Population structure converged. Difference: 0.0459
3,6,59.3057,56.7011,Warrior,86.7333,68.1898,41.2623,2.7470,1.0676,1.9151,200,59.3057,90.0505,232.0631,453.9939,4.3495,0.1415,0.0001,0.0216,Population structure converged. Difference: 0.0459
4,0,46.3611,34.2507,Warrior,69.6044,44.6808,64.3509,18.7282,2.6357,1.8734,200,58.1182,335.6858,248.1845,338.3146,364.8512,414.4066,0.0349,0.0221,Population structure converged. Difference: 0.0427
4,1,46.3611,39.3663,Warrior,69.6044,44.6808,64.3509,18.7282,2.6357,1.8734,200,58.1182,130.0066,181.6456,217.2853,215.0409,219.8066,0.0216,0.0221,Population structure converged. Difference: 0.0427
4,2,51.9132,43.4213,Warrior,74.0851,52.9170,61.7990,8.1396,3.0594,1.8734,200,58.1182,36.1557,79.9451,121.3002,62.3029,106.9793,0.0050,0.0221,Population structure converged. Difference: 0.0427
4,3,53.7167,45.9728,Warrior,83.9178,70.7613,25.5400,2.7075,17.0733,1.8870,200,58.1182,32.9587,57.9180,133.9343,49.5871,101.3524,0.0023,0.0221,Population structure converged. Difference: 0.0427
4,4,58.0073,49.1242,Warrior,90.2409,76.0931,27.4644,2.9115,3.2900,1.8734,200,58.1182,61.8970,78.5441,188.9289,42.1054,88.4984,0.0001,0.0221,Population structure converged. Difference: 0.0427
