Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.7648,32.1030,Warrior,72.2267,43.3358,64.3636,6.2811,13.7928,1.8892,200,53.6744,224.5035,395.7812,338.4544,315.3725,263.1721,0.0338,0.0221,Population structure converged. Difference: 0.0460
1,1,50.4967,37.2451,Warrior,81.0795,48.6474,47.7388,7.0509,15.4834,1.8892,200,53.6744,141.0548,282.6118,324.3599,228.9134,243.2475,0.0241,0.0221,Population structure converged. Difference: 0.0460
1,2,51.1779,43.3890,Warrior,79.2664,51.9397,49.4636,5.6050,13.7253,1.9537,200,53.6744,119.9743,138.3570,196.8346,133.6188,147.2127,0.0117,0.0221,Population structure converged. Difference: 0.0460
1,3,52.9116,47.6945,Warrior,72.8048,75.1725,31.7882,6.3313,13.9032,1.8892,200,53.6744,66.9486,71.2460,100.6660,32.7593,23.8033,0.0025,0.0221,Population structure converged. Difference: 0.0460
1,4,52.9359,49.4967,Warrior,75.3272,62.5870,43.0154,5.4728,13.5977,1.8892,200,53.6744,19.6169,47.9422,63.4937,0.3357,7.9440,0.0004,0.0221,Population structure converged. Difference: 0.0460
1,5,53.6744,50.3689,Warrior,77.8582,72.1859,30.5253,6.0798,13.3509,1.8892,200,53.6744,17.1564,63.3830,72.6809,0.4203,1.7901,0.0004,0.0221,Population structure converged. Difference: 0.0460
1,6,53.6744,51.3161,Warrior,77.8582,72.1859,30.5253,6.0798,13.3509,1.8892,200,53.6744,19.6811,101.0127,77.6935,0.4589,0.6323,0.0006,0.0221,Population structure converged. Difference: 0.0460
2,0,45.2064,33.1149,Warrior,79.2807,74.0910,12.3478,8.9823,25.2982,1.9859,200,55.3536,228.8380,460.1999,430.6005,342.6243,321.8627,0.0459,0.0332,Population structure converged. Difference: 0.0394
2,1,46.9757,36.8444,Warrior,81.9853,76.6186,12.7690,7.5009,21.1261,1.9859,200,55.3536,187.7571,358.2587,422.7053,252.6126,152.2338,0.0474,0.0332,Population structure converged. Difference: 0.0394
2,2,46.9757,41.0504,Warrior,81.9853,76.6186,12.7690,7.5009,21.1261,1.9859,200,55.3536,126.0672,176.3585,246.6945,137.3151,76.4042,0.0356,0.0332,Population structure converged. Difference: 0.0394
2,3,50.8056,44.3823,Warrior,85.6127,80.0086,17.9924,11.1031,5.2832,1.9859,200,55.3536,79.8850,74.2916,154.5468,46.3857,33.0808,0.0144,0.0332,Population structure converged. Difference: 0.0394
2,4,50.8056,45.9426,Warrior,85.6127,80.0086,17.9924,11.1031,5.2832,1.9859,200,55.3536,36.6186,39.3319,57.2208,24.5492,22.9164,0.0036,0.0332,Population structure converged. Difference: 0.0394
2,5,51.9647,47.1141,Warrior,87.1416,81.4373,18.3137,7.7299,5.3775,1.9859,200,55.3536,26.4553,40.0408,70.7593,12.3008,35.4967,0.0021,0.0332,Population structure converged. Difference: 0.0394
2,6,52.8856,48.4285,Warrior,84.1017,81.0654,18.2301,11.2498,5.3530,1.9665,200,55.3536,35.3620,69.1985,131.4388,9.5554,62.0290,0.0002,0.0332,Population structure converged. Difference: 0.0394
2,7,54.5255,50.1616,Warrior,76.5190,71.5101,42.4013,4.8476,4.7220,1.9665,200,55.3536,32.8163,51.1260,111.5130,4.2864,50.6115,0.0000,0.0332,Population structure converged. Difference: 0.0394
2,8,54.8810,51.5085,Warrior,77.2394,74.4508,38.9415,4.4521,4.9162,1.9665,200,55.3536,18.0138,22.9864,80.7347,4.1160,20.0424,0.0001,0.0332,Population structure converged. Difference: 0.0394
2,9,55.2552,52.4063,Warrior,81.9605,71.2784,37.2821,4.2624,5.2167,1.9665,200,55.3536,21.3269,22.9546,104.9371,4.2503,4.8009,0.0001,0.0332,Population structure converged. Difference: 0.0394
2,10,55.3536,53.2545,Warrior,86.9527,84.1980,18.9345,4.3804,5.5344,1.9665,200,55.3536,24.8498,32.3962,121.9315,4.9172,0.1005,0.0001,0.0332,Population structure converged. Difference: 0.0394
3,0,56.8712,34.5898,Warrior,86.5507,92.4484,14.3326,0.8007,5.8675,1.8652,200,59.0912,478.6205,390.9473,410.3317,364.7270,375.0623,0.0472,0.0159,Population structure converged. Difference: 0.0311
3,1,58.1358,45.3747,Warrior,86.5507,92.4484,14.3326,0.8007,5.8675,1.8982,200,59.0912,206.7150,317.2478,236.9799,235.2101,140.6919,0.0250,0.0159,Population structure converged. Difference: 0.0311
3,2,58.7606,52.2729,Warrior,86.0345,73.8831,33.5695,0.8521,5.6608,1.8982,200,59.0912,84.2256,224.6559,121.8386,66.8121,75.4413,0.0101,0.0159,Population structure converged. Difference: 0.0311
3,3,58.7606,55.7265,Warrior,86.0345,73.8831,33.5695,0.8521,5.6608,1.8982,200,59.0912,32.9845,152.3319,85.9766,19.3204,35.2810,0.0003,0.0159,Population structure converged. Difference: 0.0311
3,4,59.0912,57.3111,Warrior,85.7352,80.4467,28.0156,0.6968,5.1058,1.8982,200,59.0912,16.8776,66.8754,54.4665,3.6860,8.6629,0.0003,0.0159,Population structure converged. Difference: 0.0311
