Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.4219,31.0246,Warrior,63.1844,65.7113,51.7193,5.1959,14.1891,1.5062,200,51.4665,315.4273,360.6821,284.5535,544.3566,386.4500,0.0472,0.0562,Population structure converged. Difference: 0.0371
1,1,46.3008,35.8599,Warrior,75.4550,47.0351,59.4063,4.8525,13.2512,1.9941,200,51.4665,227.5775,288.4722,270.4289,369.2929,385.3274,0.0456,0.0562,Population structure converged. Difference: 0.0371
1,2,48.0888,39.0291,Warrior,73.5726,71.3260,34.0601,5.6399,15.4014,1.9941,200,51.4665,114.6536,208.9456,250.5640,175.7521,272.0117,0.0423,0.0562,Population structure converged. Difference: 0.0371
1,3,48.5015,42.2386,Warrior,70.4833,68.3310,44.5048,4.4711,12.2098,1.9941,200,51.4665,86.7778,183.2125,159.0790,46.4587,140.5687,0.0487,0.0562,Population structure converged. Difference: 0.0371
1,4,48.9917,44.5060,Warrior,87.7375,62.1617,32.0046,4.8505,13.2457,1.9941,200,51.4665,78.3304,160.3617,144.4066,9.4304,53.2594,0.0649,0.0562,Population structure converged. Difference: 0.0371
1,5,49.5910,46.0780,Warrior,84.1304,67.8286,30.6888,4.6511,12.7012,1.9941,200,51.4665,45.5356,126.4305,119.6525,0.6215,30.0750,0.0602,0.0562,Population structure converged. Difference: 0.0371
1,6,49.7503,47.1447,Warrior,73.0095,67.4841,48.1018,5.5487,5.8560,1.9941,200,51.4665,47.8521,95.0336,111.9041,0.5903,19.9004,0.0380,0.0562,Population structure converged. Difference: 0.0371
1,7,51.2547,47.8087,Warrior,86.7812,69.9657,31.6558,5.4017,6.1955,1.9941,200,51.4665,50.6187,83.6276,102.5878,0.4490,18.2484,0.0264,0.0562,Population structure converged. Difference: 0.0371
1,8,51.3184,48.3136,Warrior,86.8625,70.0313,31.6854,5.2195,6.2013,1.9941,200,51.4665,54.0366,60.2974,76.2109,0.4704,14.4541,0.0182,0.0562,Population structure converged. Difference: 0.0371
1,9,51.4665,48.8507,Warrior,85.4459,65.8870,38.5595,3.7864,6.3213,1.9941,200,51.4665,45.9897,60.9142,55.1892,0.6509,13.8743,0.0047,0.0562,Population structure converged. Difference: 0.0371
1,10,51.4665,49.6242,Warrior,85.4459,65.8870,38.5595,3.7864,6.3213,1.9941,200,51.4665,37.4001,49.3039,61.9146,0.8494,11.7731,0.0024,0.0562,Population structure converged. Difference: 0.0371
2,0,42.2687,29.2384,Warrior,63.9041,61.1188,55.8048,12.0806,7.0917,1.5111,200,51.9000,444.4895,419.8545,648.3773,464.4521,483.7912,0.0341,0.0515,Population structure converged. Difference: 0.0500
2,1,48.5166,34.6585,Warrior,63.9041,61.1188,55.8048,12.0806,7.0917,1.9608,200,51.9000,252.4676,379.8646,558.2502,268.2515,277.7251,0.0352,0.0515,Population structure converged. Difference: 0.0500
2,2,48.5166,38.5640,Warrior,63.9041,61.1188,55.8048,12.0806,7.0917,1.9608,200,51.9000,118.3808,256.9316,455.6503,143.2031,277.7471,0.0354,0.0515,Population structure converged. Difference: 0.0500
2,3,51.0699,42.9864,Warrior,77.9045,54.8314,50.0641,10.8379,6.3621,1.9608,200,51.9000,74.6184,108.8862,313.9964,84.1721,204.8642,0.0524,0.0515,Population structure converged. Difference: 0.0500
2,4,50.9681,45.6843,Warrior,76.6792,73.3371,26.9787,14.4957,8.5094,1.9608,200,51.9000,37.8965,52.7725,222.1755,57.2961,103.5092,0.0493,0.0515,Population structure converged. Difference: 0.0500
2,5,51.3534,47.8476,Warrior,85.4834,60.1656,34.1141,13.2559,6.9811,1.9608,200,51.9000,38.1789,26.0170,113.8596,9.6840,41.1179,0.0280,0.0515,Population structure converged. Difference: 0.0500
2,6,51.4699,48.8879,Warrior,72.6974,78.3902,28.8377,12.5027,7.5721,1.9608,200,51.9000,28.2654,20.9156,85.8341,1.8121,1.2629,0.0090,0.0515,Population structure converged. Difference: 0.0500
2,7,51.9000,49.4306,Warrior,77.3003,72.8173,29.6928,12.7217,7.4680,1.9608,200,51.9000,28.0186,36.8696,109.0380,2.6827,0.7796,0.0027,0.0515,Population structure converged. Difference: 0.0500
3,0,47.6012,30.8676,Warrior,73.4016,63.9038,52.3114,4.3470,6.0362,1.4696,200,55.3801,317.9524,516.5918,366.0608,312.7647,575.4206,0.0430,0.0437,Population structure converged. Difference: 0.0429
3,1,48.3612,36.8039,Warrior,76.8589,66.9137,45.3551,4.5518,6.3205,1.4696,200,55.3801,262.1718,356.2350,257.1440,240.6990,459.0733,0.0401,0.0437,Population structure converged. Difference: 0.0429
3,2,52.1218,41.7275,Warrior,64.6852,71.4508,52.2540,4.8606,6.7494,1.8694,200,55.3801,173.4675,220.0323,160.7687,154.6436,172.7001,0.0340,0.0437,Population structure converged. Difference: 0.0429
3,3,55.0539,45.3176,Warrior,79.3888,63.6868,46.5759,4.3324,6.0160,1.8694,200,55.3801,95.5185,113.7314,85.3436,80.3748,119.6287,0.0296,0.0437,Population structure converged. Difference: 0.0429
3,4,55.0539,48.4953,Warrior,79.3888,63.6868,46.5759,4.3324,6.0160,1.8694,200,55.3801,38.2885,32.7174,63.0102,21.5392,60.7427,0.0212,0.0437,Population structure converged. Difference: 0.0429
3,5,55.1128,50.6885,Warrior,80.6549,62.9299,46.0224,4.2809,6.1119,1.8694,200,55.3801,44.7897,29.8561,59.0704,13.5713,41.7954,0.0115,0.0437,Population structure converged. Difference: 0.0429
3,6,55.2752,52.1878,Warrior,79.3200,65.7166,44.6239,4.3287,6.0108,1.8694,200,55.3801,34.7590,18.1434,31.7837,5.3867,23.7414,0.0032,0.0437,Population structure converged. Difference: 0.0429
3,7,55.3801,53.1040,Warrior,76.4516,70.0732,43.6239,4.0578,5.7934,1.8694,200,55.3801,33.1515,13.1455,24.8325,3.5338,12.9559,0.0016,0.0437,Population structure converged. Difference: 0.0429
4,0,48.1731,30.9506,Warrior,57.0074,58.5665,71.2397,0.7064,12.4801,1.9421,200,53.9338,290.6886,376.4396,417.5194,406.6245,376.2627,0.0458,0.0541,Population structure converged. Difference: 0.0344
4,1,52.4961,36.4121,Warrior,68.3872,51.5335,75.6776,0.7504,3.6513,1.9055,200,53.9338,192.0651,255.7942,387.5863,329.7449,284.7101,0.0491,0.0541,Population structure converged. Difference: 0.0344
4,2,52.4974,41.2904,Warrior,68.3883,51.5344,75.6789,0.7470,3.6514,1.9055,200,53.9338,66.3532,81.0066,374.2145,232.9124,187.7850,0.0551,0.0541,Population structure converged. Difference: 0.0344
4,3,54.0304,45.3443,Warrior,69.1083,57.0808,69.4325,0.6885,3.6898,1.9055,200,53.9338,45.3335,32.7172,287.0599,155.9286,123.8394,0.0399,0.0541,Population structure converged. Difference: 0.0344
4,4,54.0418,48.5702,Warrior,69.1216,57.0918,69.4459,0.6886,3.6520,1.9055,200,53.9338,37.0747,14.6472,114.6511,88.7538,43.9869,0.0235,0.0541,Population structure converged. Difference: 0.0344
4,5,54.0304,50.9070,Warrior,69.1083,57.0808,69.4325,0.6885,3.6898,1.9055,200,53.9338,14.0173,10.2959,49.1377,26.3048,17.0688,0.0110,0.0541,Population structure converged. Difference: 0.0344
4,6,53.9338,52.1405,Warrior,68.6689,57.3162,69.7189,0.7535,3.5426,1.9055,200,53.9338,5.8019,7.6268,10.2460,8.8624,4.8777,0.0026,0.0541,Population structure converged. Difference: 0.0344
5,0,46.3762,30.8646,Warrior,82.7995,71.9949,9.6226,30.4088,5.1741,1.8673,200,57.7772,409.4992,935.9375,624.5001,345.3253,531.1542,0.0377,0.0529,Population structure converged. Difference: 0.0392
5,1,49.8140,36.7214,Warrior,87.6029,76.1715,10.1809,22.2576,3.7872,1.8673,200,57.7772,270.5387,1626.3215,831.8925,171.3389,395.9101,0.0257,0.0529,Population structure converged. Difference: 0.0392
5,2,51.4683,41.6846,Warrior,78.1976,79.8704,20.2004,18.3510,3.3806,1.8673,200,57.7772,221.4960,1335.8043,629.1382,91.4879,316.2916,0.0177,0.0529,Population structure converged. Difference: 0.0392
5,3,54.1409,45.4293,Warrior,70.6541,61.4344,63.7085,1.1485,3.0545,1.8673,200,57.7772,219.8335,734.4174,300.1791,53.8897,143.0581,0.0092,0.0529,Population structure converged. Difference: 0.0392
5,4,54.9468,48.0387,Warrior,77.7364,110.9845,6.6548,1.2636,3.3606,1.8673,200,57.7772,151.7481,288.0809,127.8540,21.8859,4.6469,0.0023,0.0529,Population structure converged. Difference: 0.0392
5,5,57.0559,50.3177,Warrior,94.1193,92.2246,8.0573,1.5300,4.0689,1.8673,200,57.7772,73.6277,160.8349,131.7316,50.0620,0.3082,0.0005,0.0529,Population structure converged. Difference: 0.0392
5,6,57.4756,52.0584,Warrior,101.1546,83.1321,11.4775,1.1575,3.0783,1.8673,200,57.7772,62.8659,198.3997,255.7713,89.6459,0.2346,0.0001,0.0529,Population structure converged. Difference: 0.0392
5,7,57.6653,54.2402,Warrior,94.9983,93.0859,8.1325,1.0338,2.7495,1.8673,200,57.7772,71.6370,225.8427,292.1501,79.7709,0.2264,0.0000,0.0529,Population structure converged. Difference: 0.0392
5,8,57.7772,55.6003,Warrior,98.0467,85.2525,12.4574,1.1596,3.0838,1.8673,200,57.7772,80.4898,192.4658,245.1206,42.8503,0.2688,0.0000,0.0529,Population structure converged. Difference: 0.0392
6,0,50.7167,31.8160,Warrior,62.8597,63.2354,55.3715,2.9947,15.5387,1.9135,200,55.1345,410.6164,361.3086,479.2944,381.5643,336.2387,0.0383,0.0400,Population structure converged. Difference: 0.0444
6,1,50.7167,37.7409,Warrior,62.8597,63.2354,55.3715,2.9947,15.5387,1.9135,200,55.1345,271.2899,460.0109,347.5236,287.9538,257.0579,0.0311,0.0400,Population structure converged. Difference: 0.0444
6,2,52.9150,43.5524,Warrior,62.5596,69.1235,60.5273,3.2735,4.5160,1.9135,200,55.1345,115.3896,282.7016,180.5411,164.7317,117.6995,0.0172,0.0400,Population structure converged. Difference: 0.0444
6,3,54.0052,48.2914,Warrior,66.4282,66.8252,58.5149,3.4594,4.7723,1.9135,200,55.1345,29.5169,121.8533,63.5885,58.9528,21.8624,0.0083,0.0400,Population structure converged. Difference: 0.0444
6,4,54.7160,50.3724,Warrior,68.9081,65.5962,57.4387,3.1065,4.9505,1.9135,200,55.1345,10.9813,34.0544,8.1863,7.3297,15.7951,0.0004,0.0400,Population structure converged. Difference: 0.0444
6,5,55.0146,51.2315,Warrior,70.4683,64.6671,56.6252,3.1768,5.0626,1.9135,200,55.1345,3.7513,8.8248,5.1587,0.6469,18.1831,0.0000,0.0400,Population structure converged. Difference: 0.0444
6,6,55.1345,51.8800,Warrior,68.7260,69.1368,54.2650,2.9348,4.9374,1.9135,200,55.1345,7.3389,12.3215,6.9739,0.3528,28.0452,0.0000,0.0400,Population structure converged. Difference: 0.0444
6,7,55.1345,52.7925,Warrior,68.7260,69.1368,54.2650,2.9348,4.9374,1.9135,200,55.1345,9.2618,12.6888,5.7550,0.2095,25.5310,0.0000,0.0400,Population structure converged. Difference: 0.0444
7,0,49.1205,32.3565,Warrior,70.5825,88.4896,36.1746,0.6402,4.1131,1.4771,200,49.8524,558.4052,832.7908,502.6381,522.8551,513.2950,0.0339,0.0207,Population structure converged. Difference: 0.0287
7,1,49.2448,39.5231,Warrior,102.9543,78.4611,11.6512,0.9338,5.9995,1.4771,200,49.8524,297.1774,816.7404,252.5727,459.2713,357.7040,0.0224,0.0207,Population structure converged. Difference: 0.0287
7,2,49.5105,45.6330,Warrior,73.7745,92.4914,28.7658,0.6692,4.2991,1.4771,200,49.8524,203.7022,432.0841,151.0573,193.7300,128.4885,0.0104,0.0207,Population structure converged. Difference: 0.0287
7,3,49.8524,48.4628,Warrior,104.0889,79.3258,11.7796,0.6473,4.1584,1.4771,200,49.8524,118.5053,88.1572,55.7646,25.6393,17.7765,0.0030,0.0207,Population structure converged. Difference: 0.0287
8,0,47.2371,31.5854,Warrior,69.2683,62.4881,58.9883,9.2133,0.0420,1.7859,200,56.2240,356.3601,471.3434,436.7732,310.2941,500.7081,0.0415,0.0301,Population structure converged. Difference: 0.0270
8,1,55.3506,36.8474,Warrior,73.3807,78.4027,38.2657,9.9057,0.0452,1.8851,200,56.2240,252.2617,418.0079,291.5749,311.6008,371.1103,0.0334,0.0301,Population structure converged. Difference: 0.0270
8,2,55.7142,43.3904,Warrior,75.0475,80.1835,34.8074,9.9164,0.0452,1.8851,200,56.2240,158.2779,254.4651,187.4175,189.5164,285.9382,0.0308,0.0301,Population structure converged. Difference: 0.0270
8,3,56.0889,50.3194,Warrior,85.9034,75.7900,26.6576,11.5962,0.0529,1.8851,200,56.2240,60.1401,64.5570,135.5377,37.9043,133.7913,0.0164,0.0301,Population structure converged. Difference: 0.0270
8,4,55.6844,52.5799,Warrior,76.2869,76.1848,37.1833,10.2980,0.0470,1.8851,200,56.2240,24.9217,36.9295,84.3331,44.9705,53.5815,0.0133,0.0301,Population structure converged. Difference: 0.0270
8,5,56.2240,54.7452,Warrior,74.1778,79.2543,38.6814,7.8408,0.0457,1.8851,200,56.2240,6.8815,15.7541,31.9505,12.0018,3.8177,0.0028,0.0301,Population structure converged. Difference: 0.0270
