Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,41.9911,30.7804,Warrior,66.2440,31.7828,64.9201,13.5576,23.4956,1.9002,200,56.7267,363.1688,334.3136,464.7032,429.6048,301.9403,0.0385,0.0385,Population structure converged. Difference: 0.0095
1,1,43.8143,34.8975,Warrior,75.0967,44.1780,40.8948,28.6910,11.1395,1.9002,200,56.7267,192.1409,264.8097,543.0405,256.0167,236.1804,0.0383,0.0385,Population structure converged. Difference: 0.0095
1,2,50.2754,38.4228,Warrior,63.6921,80.6059,31.6320,4.1677,19.9023,1.9002,200,56.7267,102.5319,226.5165,409.8472,148.1417,175.8466,0.0308,0.0385,Population structure converged. Difference: 0.0095
1,3,53.2877,41.6092,Warrior,96.2697,62.3480,23.2204,4.5654,13.5965,1.9002,200,56.7267,94.2502,234.0667,347.0314,100.4384,82.3391,0.0068,0.0385,Population structure converged. Difference: 0.0095
1,4,55.7594,45.0256,Warrior,83.6766,72.7877,28.5640,3.7635,11.2083,1.9002,200,56.7267,108.9225,324.6226,308.9123,97.6708,38.2199,0.0004,0.0385,Population structure converged. Difference: 0.0095
1,5,55.7594,49.0308,Warrior,83.6766,72.7877,28.5640,3.7635,11.2083,1.9002,200,56.7267,124.5959,324.7718,210.2773,61.9092,22.5515,0.0001,0.0385,Population structure converged. Difference: 0.0095
1,6,55.7594,52.0578,Warrior,83.6766,72.7877,28.5640,3.7635,11.2083,1.9002,200,56.7267,130.2187,176.9613,102.7731,21.9849,14.7535,0.0000,0.0385,Population structure converged. Difference: 0.0095
1,7,55.9095,54.1865,Warrior,81.0045,76.9632,27.6766,3.6465,10.7093,1.9002,200,56.7267,75.5386,87.3078,41.3255,1.3355,6.3517,0.0000,0.0385,Population structure converged. Difference: 0.0095
1,8,56.3235,55.2172,Warrior,79.8965,70.3334,37.5331,3.0760,9.1610,1.9002,200,56.7267,27.5066,26.7470,22.4730,0.1693,2.4440,0.0000,0.0385,Population structure converged. Difference: 0.0095
1,9,56.4511,55.6355,Warrior,87.4085,76.0340,23.4199,3.3024,9.8352,1.9002,200,56.7267,11.2323,11.8486,9.9832,0.0535,0.5335,0.0000,0.0385,Population structure converged. Difference: 0.0095
1,10,56.6988,55.8271,Warrior,87.3166,76.8654,23.3430,3.1359,9.3391,1.9002,200,56.7267,7.5239,7.0113,6.8006,0.0400,0.4366,0.0000,0.0385,Population structure converged. Difference: 0.0095
1,11,56.6988,56.0228,Warrior,87.3166,76.8654,23.3430,3.1359,9.3391,1.9002,200,56.7267,7.2235,6.0534,7.6064,0.0531,0.4007,0.0000,0.0385,Population structure converged. Difference: 0.0095
1,12,56.7267,56.1907,Warrior,81.5319,71.7730,35.0465,2.9281,8.7204,1.9002,200,56.7267,4.6727,2.9663,6.7109,0.0501,0.2587,0.0000,0.0385,Population structure converged. Difference: 0.0095
2,0,47.6821,31.6544,Warrior,83.7714,52.8294,36.3121,3.5544,23.5327,1.9769,200,54.8128,414.0928,338.7232,348.9194,329.0112,414.7128,0.0436,0.0425,Population structure converged. Difference: 0.0072
2,1,47.6821,37.9401,Warrior,83.7714,52.8294,36.3121,3.5544,23.5327,1.9769,200,54.8128,278.1914,261.6757,225.9769,213.7606,325.6208,0.0359,0.0425,Population structure converged. Difference: 0.0072
2,2,51.7557,43.2111,Warrior,90.6642,49.5171,50.3840,3.3315,6.1032,1.9769,200,54.8128,117.7762,119.2330,93.5128,80.7534,204.6536,0.0159,0.0425,Population structure converged. Difference: 0.0072
2,3,53.2884,45.6431,Warrior,87.5632,60.3671,41.7857,3.8603,6.4237,1.9769,200,54.8128,88.6983,90.0317,90.6677,56.1547,124.2755,0.0055,0.0425,Population structure converged. Difference: 0.0072
2,4,53.4746,48.1155,Warrior,80.4074,66.8501,42.3462,4.1450,6.2512,1.9769,200,54.8128,89.0986,69.8371,89.1144,59.0276,75.9995,0.0029,0.0425,Population structure converged. Difference: 0.0072
2,5,53.4746,50.6139,Warrior,80.4074,66.8501,42.3462,4.1450,6.2512,1.9769,200,54.8128,74.6500,50.5769,74.6061,38.4122,25.5188,0.0022,0.0425,Population structure converged. Difference: 0.0072
2,6,53.7271,52.0925,Warrior,80.4289,68.6471,40.8180,3.6867,6.4192,1.9769,200,54.8128,55.4253,52.6009,76.2774,12.3734,11.4522,0.0010,0.0425,Population structure converged. Difference: 0.0072
2,7,54.0600,52.9596,Warrior,85.3619,65.9154,39.3419,3.6345,5.7462,1.9769,200,54.8128,38.9516,34.4898,56.3609,1.9829,0.4212,0.0000,0.0425,Population structure converged. Difference: 0.0072
2,8,54.4939,53.3405,Warrior,88.2205,77.6059,24.4787,3.7562,5.9387,1.9769,200,54.8128,24.8628,27.4974,50.9587,0.1345,0.2389,0.0000,0.0425,Population structure converged. Difference: 0.0072
2,9,54.4939,53.5883,Warrior,88.2205,77.6059,24.4787,3.7562,5.9387,1.9769,200,54.8128,22.5398,25.9381,50.5281,0.1507,0.1407,0.0000,0.0425,Population structure converged. Difference: 0.0072
2,10,54.6869,53.8238,Warrior,84.9711,70.5923,36.0373,3.0958,5.3034,1.9769,200,54.8128,20.9525,29.2686,57.2450,0.2107,0.1716,0.0000,0.0425,Population structure converged. Difference: 0.0072
2,11,54.6869,54.0391,Warrior,84.9711,70.5923,36.0373,3.0958,5.3034,1.9769,200,54.8128,14.7605,28.4410,54.5557,0.1542,0.1928,0.0000,0.0425,Population structure converged. Difference: 0.0072
2,12,54.8128,54.2512,Warrior,88.8004,77.5132,24.9087,3.2354,5.5424,1.9769,200,54.8128,11.4528,24.1264,44.5303,0.1540,0.1537,0.0000,0.0425,Population structure converged. Difference: 0.0072
2,13,54.8128,54.4211,Warrior,88.8004,77.5132,24.9087,3.2354,5.5424,1.9769,200,54.8128,9.9660,14.5518,33.1125,0.1051,0.1287,0.0000,0.0425,Population structure converged. Difference: 0.0072
3,0,48.4396,33.3444,Warrior,74.4070,61.6882,52.2631,10.2737,1.3680,1.7937,200,60.6713,324.4396,492.2081,491.7080,373.7991,413.5748,0.0406,0.0502,Population structure converged. Difference: 0.0073
3,1,51.3753,39.3999,Warrior,102.7978,86.7389,7.9047,0.5016,2.0569,1.7744,200,60.6713,227.4443,408.0060,368.5750,192.1807,373.2247,0.0270,0.0502,Population structure converged. Difference: 0.0073
3,2,52.7493,44.7830,Warrior,87.0663,101.4963,9.2496,0.5870,1.6008,1.7937,200,60.6713,163.5240,212.7629,378.5357,37.0226,186.7148,0.0119,0.0502,Population structure converged. Difference: 0.0073
3,3,52.7493,47.9624,Warrior,87.0663,101.4963,9.2496,0.5870,1.6008,1.7937,200,60.6713,166.8150,185.9371,398.9053,24.9357,44.6476,0.0024,0.0502,Population structure converged. Difference: 0.0073
3,4,53.5726,49.7621,Warrior,71.4615,63.1350,53.4888,10.5146,1.4001,1.9029,200,60.6713,178.0905,218.2275,440.1808,26.2379,7.9256,0.0004,0.0502,Population structure converged. Difference: 0.0073
3,5,59.1892,51.1338,Warrior,98.5269,87.0469,10.8986,0.6916,2.8360,1.9029,200,60.6713,136.6066,172.0396,352.7600,13.4286,0.2298,0.0007,0.0502,Population structure converged. Difference: 0.0073
3,6,59.6774,52.7567,Warrior,99.2394,87.6763,10.9774,0.6966,1.4102,1.9029,200,60.6713,104.1667,141.7781,277.2523,9.5055,0.2676,0.0025,0.0502,Population structure converged. Difference: 0.0073
3,7,59.6774,54.8994,Warrior,99.2394,87.6763,10.9774,0.6966,1.4102,1.9029,200,60.6713,115.9642,160.9608,333.9947,17.3977,0.3565,0.0035,0.0502,Population structure converged. Difference: 0.0073
3,8,60.0468,57.9135,Warrior,94.0314,67.9001,36.0979,0.4800,1.4907,1.9029,200,60.6713,89.8105,107.0476,241.3930,11.3558,0.4530,0.0011,0.0502,Population structure converged. Difference: 0.0073
3,9,60.1823,58.9837,Warrior,84.8913,75.0000,37.8471,0.4894,1.7723,1.9029,200,60.6713,56.4111,78.8960,164.4339,6.6001,0.3729,0.0000,0.0502,Population structure converged. Difference: 0.0073
3,10,60.1823,59.5167,Warrior,84.8913,75.0000,37.8471,0.4894,1.7723,1.9029,200,60.6713,22.0177,85.8591,153.3297,0.0076,0.3053,0.0000,0.0502,Population structure converged. Difference: 0.0073
3,11,60.4762,59.6569,Warrior,88.4193,77.7714,31.5368,0.4193,1.8531,1.9029,200,60.6713,22.2239,97.5971,163.4875,0.0112,0.2126,0.0000,0.0502,Population structure converged. Difference: 0.0073
3,12,60.6713,59.7619,Warrior,88.5069,78.1943,31.5750,0.4198,1.3039,1.9029,200,60.6713,32.6957,98.2260,168.3220,0.0149,0.1363,0.0000,0.0502,Population structure converged. Difference: 0.0073
3,13,60.6713,59.9885,Warrior,88.5069,78.1943,31.5750,0.4198,1.3039,1.9029,200,60.6713,33.4700,71.9183,121.2465,0.0150,0.0700,0.0000,0.0502,Population structure converged. Difference: 0.0073
3,14,60.6713,60.2312,Warrior,88.5069,78.1943,31.5750,0.4198,1.3039,1.9029,200,60.6713,21.6774,28.4237,49.0056,0.0168,0.0744,0.0000,0.0502,Population structure converged. Difference: 0.0073
4,0,45.9075,30.7441,Warrior,58.9534,61.1991,51.9611,20.5851,7.3013,1.8908,200,57.0062,330.7709,274.5823,497.5568,355.8331,483.6880,0.0414,0.0396,Population structure converged. Difference: 0.0074
4,1,50.0980,36.3569,Warrior,63.6500,56.4867,66.0113,5.9690,7.8830,1.8908,200,57.0062,196.6784,276.1682,371.3253,181.2707,229.7371,0.0351,0.0396,Population structure converged. Difference: 0.0074
4,2,54.3926,41.6969,Warrior,79.9531,70.9551,31.6919,7.4978,9.9021,1.8908,200,57.0062,127.6647,253.6960,295.9509,88.3171,139.1040,0.0199,0.0396,Population structure converged. Difference: 0.0074
4,3,54.3926,45.6081,Warrior,79.9531,70.9551,31.6919,7.4978,9.9021,1.8908,200,57.0062,113.2457,184.3950,189.5694,44.8753,126.0372,0.0098,0.0396,Population structure converged. Difference: 0.0074
4,4,55.5716,49.0504,Warrior,81.4651,72.2969,32.2912,7.6396,6.3072,1.8908,200,57.0062,105.4246,162.9050,194.9966,22.2586,75.9382,0.0002,0.0396,Population structure converged. Difference: 0.0074
4,5,55.7942,51.6544,Warrior,81.6683,72.4772,32.3717,6.6187,6.8640,1.8908,200,57.0062,82.9683,122.7225,139.5954,11.6819,34.1128,0.0001,0.0396,Population structure converged. Difference: 0.0074
4,6,56.6309,53.7110,Warrior,82.5990,73.3032,32.7407,4.8939,6.4632,1.8908,200,57.0062,33.4664,68.6728,94.0306,3.2420,4.7621,0.0000,0.0396,Population structure converged. Difference: 0.0074
4,7,56.6309,54.4560,Warrior,82.5990,73.3032,32.7407,4.8939,6.4632,1.8908,200,57.0062,14.1874,45.8504,62.6805,2.2503,4.8365,0.0001,0.0396,Population structure converged. Difference: 0.0074
4,8,56.6737,55.1701,Warrior,82.6493,73.3478,32.7606,4.8435,6.3989,1.8908,200,57.0062,8.6148,25.7300,32.4937,1.4186,2.8107,0.0001,0.0396,Population structure converged. Difference: 0.0074
4,9,57.0062,55.6938,Warrior,83.0394,73.6940,32.9152,4.4605,5.8908,1.8908,200,57.0062,5.0489,8.6713,14.5622,1.3967,0.9280,0.0000,0.0396,Population structure converged. Difference: 0.0074
4,10,57.0062,56.0356,Warrior,83.0394,73.6940,32.9152,4.4605,5.8908,1.8908,200,57.0062,2.5857,4.8657,5.3747,1.5748,0.2665,0.0000,0.0396,Population structure converged. Difference: 0.0074
4,11,57.0062,56.3534,Warrior,83.0394,73.6940,32.9152,4.4605,5.8908,1.8908,200,57.0062,2.6440,5.0501,4.2533,0.9933,0.1937,0.0000,0.0396,Population structure converged. Difference: 0.0074
4,12,57.0062,56.5868,Warrior,83.0394,73.6940,32.9152,4.4605,5.8908,1.8908,200,57.0062,2.2408,4.0400,4.5702,0.2363,0.1041,0.0000,0.0396,Population structure converged. Difference: 0.0074
5,0,49.5873,32.7244,Warrior,77.2855,80.4857,33.5069,0.3795,8.3425,1.4728,200,59.4173,290.2129,504.3275,328.0111,453.4487,459.8210,0.0378,0.0351,Population structure converged. Difference: 0.0069
5,1,49.6339,37.1519,Warrior,77.3518,80.5548,33.5356,0.3798,8.1780,1.4728,200,59.4173,174.8979,483.6156,228.8291,358.2945,290.7079,0.0295,0.0351,Population structure converged. Difference: 0.0069
5,2,58.3216,42.5692,Warrior,74.9014,78.0029,42.6278,0.3678,4.1002,1.9102,200,59.4173,111.6776,272.3408,100.3586,233.0260,140.2549,0.0193,0.0351,Population structure converged. Difference: 0.0069
5,3,58.6134,47.9412,Warrior,76.4324,83.8549,34.9095,0.3953,4.4078,1.9102,200,59.4173,58.2967,53.1041,33.8195,44.1785,63.1442,0.0252,0.0351,Population structure converged. Difference: 0.0069
5,4,58.6134,51.7658,Warrior,76.4324,83.8549,34.9095,0.3953,4.4078,1.9102,200,59.4173,17.1209,9.2999,23.2751,7.9364,24.3927,0.0383,0.0351,Population structure converged. Difference: 0.0069
