Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.5172,37.3873,Warrior,87.3398,76.2964,20.2872,5.1184,10.9581,1.8369,200,52.6572,421.8015,336.0910,409.2309,270.1208,329.5418,0.0448,0.0085,Population structure converged. Difference: 0.0395
1,1,52.6572,46.2513,Warrior,87.5430,76.4739,20.3344,5.1303,10.5183,1.8369,200,52.6572,119.6738,177.3151,169.2631,109.9667,72.6513,0.0478,0.0085,Population structure converged. Difference: 0.0395
1,2,52.6572,50.6541,Warrior,87.5430,76.4739,20.3344,5.1303,10.5183,1.8369,200,52.6572,21.2842,50.0615,24.2066,32.7938,2.9737,0.0247,0.0085,Population structure converged. Difference: 0.0395
2,0,51.5619,38.2315,Warrior,93.1053,73.2954,17.2508,0.6471,15.7014,1.9789,200,56.0170,466.6262,377.0851,443.7279,366.8380,353.9645,0.0484,0.0155,Population structure converged. Difference: 0.0254
2,1,55.7483,49.3832,Warrior,99.5443,78.3643,18.4438,0.6919,2.9557,1.9789,200,56.0170,147.1569,99.2144,174.4491,139.8218,35.8060,0.0237,0.0155,Population structure converged. Difference: 0.0254
2,2,55.7542,51.7132,Warrior,98.7897,77.7703,19.5699,0.7341,3.1361,1.9789,200,56.0170,2.3582,1.2363,0.1035,0.0002,6.2681,0.0000,0.0155,Population structure converged. Difference: 0.0254
2,3,55.9942,52.4888,Warrior,96.2026,80.9712,19.0574,0.7149,3.0540,1.9789,200,56.0170,10.1459,3.9013,0.4468,0.0010,27.2647,0.0000,0.0155,Population structure converged. Difference: 0.0254
2,4,56.0170,54.6291,Warrior,95.9475,80.7565,19.5180,0.7322,3.0459,1.9789,200,56.0170,11.4165,5.9420,0.7599,0.0019,29.3052,0.0000,0.0155,Population structure converged. Difference: 0.0254
3,0,51.7338,37.2214,Warrior,69.5483,73.3541,50.0688,0.3076,6.7212,1.8149,200,58.3680,298.4936,446.5234,417.1079,253.4695,214.0041,0.0355,0.0114,Population structure converged. Difference: 0.0437
3,1,56.9742,45.6346,Warrior,72.2442,73.7759,47.3349,0.2908,6.3542,1.9165,200,58.3680,75.5813,257.7130,405.0048,68.9041,44.3900,0.0132,0.0114,Population structure converged. Difference: 0.0437
3,2,57.4978,51.2158,Warrior,90.3561,93.9504,7.7480,0.3477,7.5977,1.9165,200,58.3680,40.8808,100.2901,408.5169,75.2878,45.5989,0.0018,0.0114,Population structure converged. Difference: 0.0437
3,3,58.3680,55.9229,Warrior,76.5029,78.1249,39.7868,0.2444,5.3409,1.9165,200,58.3680,39.9755,71.1961,212.1273,11.0137,18.2207,0.0007,0.0114,Population structure converged. Difference: 0.0437
4,0,56.6959,35.9112,Warrior,85.2790,63.2642,42.3755,5.1595,3.9218,1.8926,200,57.3906,256.2229,305.4424,730.4269,280.0752,509.1102,0.0311,0.0113,Population structure converged. Difference: 0.0189
4,1,57.1633,46.0060,Warrior,78.5829,74.0007,39.0482,4.7544,3.6138,1.8926,200,57.3906,137.5264,253.1000,531.9600,140.9443,92.6823,0.0091,0.0113,Population structure converged. Difference: 0.0189
4,2,57.1633,53.3211,Warrior,78.5829,74.0007,39.0482,4.7544,3.6138,1.8926,200,57.3906,49.9285,123.9477,237.0319,46.1926,19.8812,0.0015,0.0113,Population structure converged. Difference: 0.0189
4,3,57.3906,56.3262,Warrior,89.8298,73.7959,26.8085,5.4348,4.1311,1.8926,200,57.3906,10.2844,24.1024,40.2615,0.6702,3.0216,0.0005,0.0113,Population structure converged. Difference: 0.0189
5,0,42.9082,33.0221,Warrior,74.6719,72.2638,26.6400,10.2624,16.1620,1.5381,200,46.6171,194.7421,392.5907,513.1255,302.4622,199.3479,0.0327,0.0138,Population structure converged. Difference: 0.0215
5,1,46.5844,38.5134,Warrior,80.3426,77.7516,28.6631,2.0155,11.2273,1.5381,200,46.6171,56.6052,206.6231,258.3973,117.7786,128.8694,0.0216,0.0138,Population structure converged. Difference: 0.0215
5,2,46.5844,41.8688,Warrior,80.3426,77.7516,28.6631,2.0155,11.2273,1.5381,200,46.6171,11.7968,22.4915,10.9003,29.2882,35.4038,0.0027,0.0138,Population structure converged. Difference: 0.0215
5,3,46.5844,43.6693,Warrior,80.3426,77.7516,28.6631,2.0155,11.2273,1.5381,200,46.6171,10.7290,11.1065,3.3849,29.8484,8.6939,0.0000,0.0138,Population structure converged. Difference: 0.0215
5,4,46.6171,45.6368,Warrior,80.5132,77.9167,28.4334,1.9993,11.1373,1.5381,200,46.6171,7.1101,9.3977,2.7054,14.2553,4.6444,0.0000,0.0138,Population structure converged. Difference: 0.0215
6,0,49.7649,35.4139,Warrior,89.2788,72.5380,34.9736,0.2931,2.9164,1.5269,200,59.5385,317.1182,303.7724,444.4334,215.2705,401.9765,0.0348,0.0131,Population structure converged. Difference: 0.0396
6,1,58.8777,43.2935,Warrior,84.5697,69.1219,42.4159,0.3555,3.5370,1.8874,200,59.5385,116.5048,111.2843,110.4037,119.6484,228.1647,0.0308,0.0131,Population structure converged. Difference: 0.0396
6,2,59.3782,50.6531,Warrior,89.0027,72.3136,34.8654,0.2922,3.5261,1.8874,200,59.5385,57.6793,57.3820,50.1261,67.1993,86.4131,0.0350,0.0131,Population structure converged. Difference: 0.0396
6,3,59.5385,57.2682,Warrior,89.2788,72.5380,34.9736,0.2931,2.9164,1.8858,200,59.5385,11.7064,13.7661,15.3340,9.4972,6.7841,0.0138,0.0131,Population structure converged. Difference: 0.0396
7,0,45.2834,34.7756,Warrior,65.8152,77.3080,24.9846,23.0933,8.7989,1.9779,200,46.4161,348.5322,434.1931,444.7726,218.6278,344.0267,0.0440,0.0088,Population structure converged. Difference: 0.0289
