Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.3395,31.9194,Warrior,79.6540,45.0820,60.3980,1.0741,13.7919,1.9757,200,55.8842,264.6483,352.4190,421.3784,309.3327,500.6080,0.0452,0.0629,Population structure converged. Difference: 0.0078
1,1,51.7501,35.4203,Warrior,73.9774,62.7704,49.4456,0.9975,12.8090,1.9757,200,55.8842,155.4386,349.9320,322.2793,201.4633,399.0190,0.0499,0.0629,Population structure converged. Difference: 0.0078
1,2,51.7501,38.6994,Warrior,73.9774,62.7704,49.4456,0.9975,12.8090,1.9757,200,55.8842,118.1143,249.8221,257.2830,154.3251,369.2206,0.0499,0.0629,Population structure converged. Difference: 0.0078
1,3,51.7501,42.2479,Warrior,73.9774,62.7704,49.4456,0.9975,12.8090,1.9757,200,55.8842,117.3931,125.2104,216.8101,124.1742,287.8590,0.0542,0.0629,Population structure converged. Difference: 0.0078
1,4,55.4357,45.9882,Warrior,78.7218,66.7961,52.6167,1.0730,0.7924,1.9757,200,55.8842,84.7927,73.2397,118.4378,100.4335,142.5806,0.0428,0.0629,Population structure converged. Difference: 0.0078
1,5,55.4357,48.9778,Warrior,78.7218,66.7961,52.6167,1.0730,0.7924,1.9757,200,55.8842,51.1996,62.8371,37.8329,70.7510,56.7051,0.0272,0.0629,Population structure converged. Difference: 0.0078
1,6,55.7277,50.9080,Warrior,78.6918,66.7130,52.5512,1.0717,0.9723,1.9728,200,55.8842,32.5451,33.6961,19.3681,28.4959,43.0412,0.0146,0.0629,Population structure converged. Difference: 0.0078
1,7,55.9410,52.3392,Warrior,81.6264,67.2209,49.1777,1.1007,0.8743,1.9757,200,55.8842,11.7512,21.2158,13.3896,13.9476,31.9829,0.0051,0.0629,Population structure converged. Difference: 0.0078
1,8,55.9410,53.2912,Warrior,81.6264,67.2209,49.1777,1.1007,0.8743,1.9757,200,55.8842,11.8098,14.8661,7.2107,3.1410,35.5566,0.0026,0.0629,Population structure converged. Difference: 0.0078
1,9,55.9410,54.5233,Warrior,81.6264,67.2209,49.1777,1.1007,0.8743,1.9757,200,55.8842,6.7502,3.9050,3.3435,0.0018,25.5110,0.0000,0.0629,Population structure converged. Difference: 0.0078
