Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.5241,30.0846,Warrior,68.3997,58.0268,50.5324,8.9916,14.0495,1.8718,200,52.9162,415.8014,484.7323,439.2903,457.8433,627.1816,0.0309,0.0327,Population structure converged. Difference: 0.0397
1,1,49.5241,36.4102,Warrior,68.3997,58.0268,50.5324,8.9916,14.0495,1.8718,200,52.9162,240.7253,335.1901,375.1360,340.8930,462.1449,0.0304,0.0327,Population structure converged. Difference: 0.0397
1,2,52.3669,42.2078,Warrior,72.0770,61.1464,53.2491,9.4750,4.0524,1.8718,200,52.9162,133.4317,161.9566,198.8483,185.3224,244.4313,0.0292,0.0327,Population structure converged. Difference: 0.0397
1,3,52.3817,45.3429,Warrior,74.1152,58.9712,53.0037,9.7430,4.1670,1.8718,200,52.9162,91.9062,104.6838,124.3615,168.1657,108.2179,0.0229,0.0327,Population structure converged. Difference: 0.0397
1,4,52.4861,48.0183,Warrior,75.5732,65.4949,41.5362,12.6181,4.7776,1.8718,200,52.9162,30.9854,34.3892,26.7100,42.2830,23.8523,0.0111,0.0327,Population structure converged. Difference: 0.0397
1,5,52.5051,49.1725,Warrior,73.1799,60.5162,52.7003,9.4895,4.1142,1.8718,200,52.9162,18.1513,15.8095,25.7766,0.7814,22.9343,0.0071,0.0327,Population structure converged. Difference: 0.0397
1,6,52.7221,49.7121,Warrior,76.0006,59.4962,50.2394,9.9908,4.2730,1.8718,200,52.9162,12.2278,6.0740,13.5538,0.6753,19.5816,0.0046,0.0327,Population structure converged. Difference: 0.0397
1,7,52.7884,50.0393,Warrior,73.9088,60.3785,52.5804,8.8585,4.2739,1.8718,200,52.9162,14.6055,7.8953,15.0670,1.0795,23.2272,0.0034,0.0327,Population structure converged. Difference: 0.0397
1,8,52.9162,50.8967,Warrior,71.3061,69.7094,44.2090,9.5319,5.2436,1.8718,200,52.9162,11.0794,7.0617,12.4333,1.1848,21.5261,0.0017,0.0327,Population structure converged. Difference: 0.0397
2,0,41.4542,29.7227,Warrior,69.4190,42.5027,56.8580,11.7583,19.4620,1.7797,200,51.9951,248.4941,366.3442,515.7525,366.0539,332.1514,0.0405,0.0466,Population structure converged. Difference: 0.0380
2,1,46.0022,33.5609,Warrior,66.8758,40.9456,64.7704,8.6593,18.7490,1.8973,200,51.9951,196.1855,359.8681,506.4092,342.1514,297.7097,0.0388,0.0466,Population structure converged. Difference: 0.0380
2,2,47.7986,36.8634,Warrior,73.1815,44.8063,53.4148,8.0806,20.5168,1.8973,200,51.9951,121.0709,298.5702,386.5848,231.9484,225.5901,0.0331,0.0466,Population structure converged. Difference: 0.0380
2,3,47.7986,40.5158,Warrior,73.1815,44.8063,53.4148,8.0806,20.5168,1.8973,200,51.9951,68.5537,243.1284,298.5765,69.9950,131.3881,0.0153,0.0466,Population structure converged. Difference: 0.0380
2,4,48.1932,41.8582,Warrior,73.7287,45.1414,53.8142,8.1411,19.1746,1.8973,200,51.9951,56.9273,252.6165,225.5599,45.9753,82.9376,0.0108,0.0466,Population structure converged. Difference: 0.0380
2,5,48.7798,43.4762,Warrior,64.3551,66.2547,40.4473,10.9006,18.0423,1.8973,200,51.9951,46.5727,147.7801,115.6614,14.5580,59.9984,0.0085,0.0466,Population structure converged. Difference: 0.0380
2,6,51.8074,45.0594,Warrior,67.6474,66.1157,46.5421,6.2223,13.4725,1.8973,200,51.9951,44.6905,121.3851,53.9485,10.8057,40.9716,0.0043,0.0466,Population structure converged. Difference: 0.0380
2,7,49.9443,46.6682,Warrior,80.0841,47.8475,47.5640,7.7418,16.7625,1.8973,200,51.9951,27.9138,86.3445,59.1672,3.2591,1.8135,0.0011,0.0466,Population structure converged. Difference: 0.0380
2,8,50.8996,47.3066,Warrior,71.6061,63.8010,38.9494,8.2695,17.3741,1.8973,200,51.9951,29.4330,68.9718,44.7708,3.2305,2.3408,0.0004,0.0466,Population structure converged. Difference: 0.0380
2,9,50.8110,47.9453,Warrior,70.9072,63.1783,40.5212,8.1888,17.2045,1.8973,200,51.9951,23.0493,52.5204,35.6817,2.8818,2.3716,0.0001,0.0466,Population structure converged. Difference: 0.0380
2,10,51.9951,48.6466,Warrior,72.5431,61.0694,45.3848,6.8659,14.1368,1.8973,200,51.9951,25.0900,65.9034,31.2108,2.1178,3.1211,0.0000,0.0466,Population structure converged. Difference: 0.0380
2,11,51.9951,49.4047,Warrior,72.5431,61.0694,45.3848,6.8659,14.1368,1.8973,200,51.9951,30.4224,76.1274,33.1079,1.0828,2.5655,0.0000,0.0466,Population structure converged. Difference: 0.0380
2,12,51.9951,50.0915,Warrior,72.5431,61.0694,45.3848,6.8659,14.1368,1.8973,200,51.9951,26.2213,61.9340,25.5909,0.9134,2.3029,0.0000,0.0466,Population structure converged. Difference: 0.0380
3,0,51.4430,31.0836,Warrior,66.3388,88.1501,24.7037,9.4676,11.3398,1.9074,200,57.4520,511.5996,410.6630,502.4879,491.1306,370.8886,0.0419,0.0268,Population structure converged. Difference: 0.0494
3,1,55.7310,36.7887,Warrior,102.8783,72.7538,14.8729,8.7901,0.7049,1.8874,200,57.4520,480.5119,401.0961,399.0686,408.1986,216.8747,0.0340,0.0268,Population structure converged. Difference: 0.0494
3,2,56.2465,43.7965,Warrior,97.7427,69.1221,23.4705,8.9950,0.6697,1.8874,200,57.4520,301.5059,236.1657,240.1056,162.1814,146.4216,0.0222,0.0268,Population structure converged. Difference: 0.0494
3,3,56.3701,48.5741,Warrior,90.8208,77.7270,19.1968,11.3456,0.9098,1.9074,200,57.4520,317.8728,200.6893,117.1874,90.4949,126.2544,0.0101,0.0268,Population structure converged. Difference: 0.0494
3,4,57.3198,51.4840,Warrior,90.4127,86.6270,14.6159,7.7250,0.6195,1.8874,200,57.4520,275.8480,155.7665,72.5012,38.2684,106.6558,0.0053,0.0268,Population structure converged. Difference: 0.0494
3,5,57.3721,52.8746,Warrior,81.3262,85.9334,24.0825,7.9495,0.7085,1.9313,200,57.4520,259.8677,106.5319,50.6919,44.5464,75.3008,0.0007,0.0268,Population structure converged. Difference: 0.0494
3,6,57.4520,54.7486,Warrior,90.0875,77.0994,23.0648,8.8395,0.9088,1.9074,200,57.4520,149.8169,78.5776,48.3258,9.0163,38.6860,0.0006,0.0268,Population structure converged. Difference: 0.0494
4,0,46.4822,33.1264,Warrior,83.6821,68.4719,19.2819,15.6604,12.9037,1.8085,200,55.9536,449.3507,295.2014,328.9209,338.9633,259.6779,0.0415,0.0421,Population structure converged. Difference: 0.0457
4,1,50.2563,38.5016,Warrior,82.5940,75.1580,22.4284,18.2160,1.6036,1.9778,200,55.9536,314.2791,323.1800,303.7365,167.1165,245.9018,0.0314,0.0421,Population structure converged. Difference: 0.0457
4,2,50.7309,41.5771,Warrior,88.0478,72.9932,20.5551,16.6945,1.7095,1.9778,200,55.9536,230.8436,246.5039,267.5701,120.2735,178.8797,0.0231,0.0421,Population structure converged. Difference: 0.0457
4,3,50.7309,44.1635,Warrior,88.0478,72.9932,20.5551,16.6945,1.7095,1.9778,200,55.9536,149.9444,137.5883,158.2951,74.2529,117.2669,0.0154,0.0421,Population structure converged. Difference: 0.0457
4,4,52.1060,46.0414,Warrior,87.1245,72.1606,21.5339,17.4895,1.6916,1.8609,200,55.9536,55.1089,72.9243,82.0498,11.9618,54.9629,0.0093,0.0421,Population structure converged. Difference: 0.0457
4,5,52.7661,47.1386,Warrior,87.9286,72.8266,21.7327,15.8049,1.7072,1.8609,200,55.9536,22.9393,59.7220,70.4055,13.4895,32.5525,0.0063,0.0421,Population structure converged. Difference: 0.0457
4,6,52.7661,48.2292,Warrior,87.9286,72.8266,21.7327,15.8049,1.7072,1.8609,200,55.9536,17.6227,52.8305,107.2885,13.0145,34.7107,0.0061,0.0421,Population structure converged. Difference: 0.0457
4,7,54.7879,49.0872,Warrior,81.9889,64.4359,43.7497,8.1795,1.6461,1.8609,200,55.9536,24.0305,36.7445,102.6599,16.2694,31.2993,0.0065,0.0421,Population structure converged. Difference: 0.0457
4,8,54.9320,49.9917,Warrior,85.3926,62.5774,42.4878,7.9436,1.5986,1.8609,200,55.9536,27.3331,37.9855,113.2831,17.0668,27.7624,0.0057,0.0421,Population structure converged. Difference: 0.0457
4,9,55.6508,51.6307,Warrior,92.3475,73.1706,24.5707,8.1970,1.7143,1.8609,200,55.9536,30.8916,34.7678,128.2594,16.9080,13.6542,0.0045,0.0421,Population structure converged. Difference: 0.0457
4,10,55.9536,52.6774,Warrior,92.7227,73.4679,24.6705,7.4177,1.7212,1.8609,200,55.9536,29.8230,34.6034,124.0830,17.6915,10.0192,0.0034,0.0421,Population structure converged. Difference: 0.0457
4,11,55.9536,53.5090,Warrior,92.7227,73.4679,24.6705,7.4177,1.7212,1.8609,200,55.9536,27.9994,30.5625,110.6878,14.6511,5.7460,0.0031,0.0421,Population structure converged. Difference: 0.0457
5,0,52.2611,33.7474,Warrior,65.9461,97.5107,21.1126,6.9816,8.4490,1.9219,200,56.1049,458.1133,860.8250,376.6017,387.8553,576.5165,0.0366,0.0280,Population structure converged. Difference: 0.0392
5,1,53.8615,40.6251,Warrior,72.7021,91.3242,19.7731,7.3300,8.8706,1.9219,200,56.1049,351.4688,595.9488,188.7470,208.3910,377.5804,0.0404,0.0280,Population structure converged. Difference: 0.0392
5,2,54.6099,45.9916,Warrior,70.8878,94.4504,22.6947,7.5047,4.4625,1.9219,200,56.1049,169.8465,314.3977,95.8143,100.6531,168.0023,0.0357,0.0280,Population structure converged. Difference: 0.0392
5,3,54.6539,48.4425,Warrior,70.9383,94.5176,22.7108,7.5101,4.3232,1.9219,200,56.1049,130.5021,231.2034,75.8877,70.5121,86.3746,0.0233,0.0280,Population structure converged. Difference: 0.0392
5,4,55.3715,51.6878,Warrior,74.4692,93.5440,20.2537,7.2982,4.4349,1.9219,200,56.1049,30.3001,56.5081,10.9194,16.9712,22.6245,0.0095,0.0280,Population structure converged. Difference: 0.0392
5,5,55.3715,52.6559,Warrior,74.4692,93.5440,20.2537,7.2982,4.4349,1.9219,200,56.1049,12.3913,30.7211,1.2617,13.1956,4.7047,0.0037,0.0280,Population structure converged. Difference: 0.0392
5,6,55.7676,53.0977,Warrior,77.5753,86.3371,23.0795,8.2127,4.7953,1.9219,200,56.1049,13.1878,24.5383,1.6805,11.1732,4.8284,0.0025,0.0280,Population structure converged. Difference: 0.0392
5,7,56.1049,53.9871,Warrior,77.9295,86.7313,23.1849,7.3370,4.8172,1.9219,200,56.1049,8.1495,14.1441,1.5136,2.4077,4.0679,0.0000,0.0280,Population structure converged. Difference: 0.0392
6,0,50.4287,31.8807,Warrior,85.2264,68.4029,42.5995,2.6366,1.1346,1.4868,200,57.4457,775.3446,551.0965,288.7710,521.1228,608.4724,0.0390,0.0298,Population structure converged. Difference: 0.0284
6,1,52.7233,39.9015,Warrior,65.3430,90.5658,37.2078,5.6679,1.2154,1.8512,200,57.4457,692.9930,369.8746,213.7635,331.3485,427.6202,0.0339,0.0298,Population structure converged. Difference: 0.0284
6,2,56.9413,44.0722,Warrior,85.2264,68.4029,42.5995,2.6366,1.1346,1.8512,200,57.4457,433.6570,336.8944,150.6113,144.5712,341.5666,0.0357,0.0298,Population structure converged. Difference: 0.0284
6,3,56.9413,47.9701,Warrior,85.2264,68.4029,42.5995,2.6366,1.1346,1.8512,200,57.4457,256.3267,291.9012,102.9810,86.8752,150.7024,0.0404,0.0298,Population structure converged. Difference: 0.0284
6,4,56.9413,50.6542,Warrior,85.2264,68.4029,42.5995,2.6366,1.1346,1.8512,200,57.4457,189.5699,204.0382,64.8994,47.1440,101.4403,0.0363,0.0298,Population structure converged. Difference: 0.0284
6,5,57.2864,53.1515,Warrior,88.3869,65.6507,41.5217,2.5699,1.8708,1.9596,200,57.4457,113.8269,146.8586,40.0076,10.2384,29.6795,0.0283,0.0298,Population structure converged. Difference: 0.0284
6,6,57.9789,54.8705,Warrior,82.7385,83.0228,30.5417,2.5847,1.1122,1.9596,200,57.4457,68.7554,97.0455,32.0977,2.5969,1.6960,0.0154,0.0298,Population structure converged. Difference: 0.0284
6,7,57.4457,55.8588,Warrior,83.7317,69.0022,43.4512,2.6893,1.1256,1.9596,200,57.4457,45.6238,69.7977,24.7165,2.2037,0.7714,0.0050,0.0298,Population structure converged. Difference: 0.0284
7,0,57.6285,35.1505,Warrior,90.9400,75.0889,25.0439,4.9534,3.9738,1.8925,200,58.2705,485.5014,525.7062,437.3192,528.0675,476.4136,0.0434,0.0209,Population structure converged. Difference: 0.0375
7,1,57.6708,42.3029,Warrior,90.9985,75.1372,25.0600,4.9565,3.8477,1.8925,200,58.2705,318.7409,398.3641,435.2955,323.0336,372.1555,0.0351,0.0209,Population structure converged. Difference: 0.0375
7,2,57.6872,47.0268,Warrior,89.3710,76.2610,25.4348,4.9567,3.9765,1.8925,200,58.2705,297.0378,270.7482,359.8146,188.1807,291.7591,0.0268,0.0209,Population structure converged. Difference: 0.0375
7,3,57.9296,52.7175,Warrior,91.3571,75.4333,25.1588,4.9761,3.0746,1.8925,200,58.2705,185.8096,171.5725,346.5657,17.6075,92.8093,0.0061,0.0209,Population structure converged. Difference: 0.0375
7,4,57.9798,54.6952,Warrior,87.4924,78.2749,26.1065,5.1635,2.9626,1.8925,200,58.2705,97.8281,122.8840,237.7608,7.4011,34.7033,0.0061,0.0209,Population structure converged. Difference: 0.0375
7,5,58.2705,56.1621,Warrior,86.8440,79.2995,26.4482,4.1761,3.2322,1.8925,200,58.2705,78.5692,85.5980,169.2652,2.6087,1.0193,0.0005,0.0209,Population structure converged. Difference: 0.0375
8,0,49.4135,32.0863,Warrior,87.7664,51.4794,36.7536,18.9141,5.0866,1.9457,200,56.9905,492.2956,276.0675,366.0357,337.7738,509.9073,0.0520,0.0286,Population structure converged. Difference: 0.0371
8,1,49.8261,41.3373,Warrior,89.4548,52.4698,34.9203,17.9707,5.1844,1.9457,200,56.9905,378.9901,159.8702,191.4233,214.6103,321.9025,0.0441,0.0286,Population structure converged. Difference: 0.0371
8,2,55.8431,46.3668,Warrior,85.9528,63.7749,39.3919,5.8990,4.9815,1.9457,200,56.9905,180.2838,51.9964,74.7779,58.1206,182.4789,0.0195,0.0286,Population structure converged. Difference: 0.0371
