Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.2007,35.5799,Warrior,63.4771,68.3743,46.4291,10.9266,10.7930,1.9558,200,53.8169,130.6677,335.2237,278.8174,315.2489,467.1184,0.0469,0.0373,Population structure converged. Difference: 0.0460
1,1,49.2007,43.2217,Warrior,63.4771,68.3743,46.4291,10.9266,10.7930,1.9558,200,53.8169,39.0920,101.6073,96.1248,74.9346,83.9670,0.0403,0.0373,Population structure converged. Difference: 0.0460
1,2,52.1191,45.9526,Warrior,67.2974,80.2069,34.9493,14.5377,3.0088,1.8950,200,53.8169,15.3846,37.9289,38.2633,21.5461,36.0677,0.0650,0.0373,Population structure converged. Difference: 0.0460
1,3,52.2697,47.9117,Warrior,69.6387,75.0113,36.8494,15.3282,3.1724,1.8950,200,53.8169,7.8390,17.8055,35.1497,2.1452,11.1866,0.0573,0.0373,Population structure converged. Difference: 0.0460
1,4,52.4993,49.4068,Warrior,68.7773,79.2147,34.5169,14.3579,3.1331,1.8950,200,53.8169,7.3469,17.2137,34.2429,2.8860,9.5975,0.0162,0.0373,Population structure converged. Difference: 0.0460
1,5,53.6171,50.5284,Warrior,68.6341,81.8000,35.6435,10.8538,3.0686,1.8950,200,53.8169,8.7440,23.2495,38.1454,4.7644,14.6002,0.0060,0.0373,Population structure converged. Difference: 0.0460
1,6,53.8169,51.4491,Warrior,68.8127,82.0129,35.7362,10.3617,3.0765,1.8950,200,53.8169,4.4470,17.9367,18.5490,4.0992,10.1170,0.0008,0.0373,Population structure converged. Difference: 0.0460
2,0,53.5936,41.7734,Warrior,83.6920,76.5550,21.1910,7.0881,11.4740,1.8731,200,53.5936,401.8554,613.0673,414.2427,332.8908,303.4283,0.0402,0.0111,Population structure converged. Difference: 0.0339
2,1,53.5936,51.8356,Warrior,83.6920,76.5550,21.1910,7.0881,11.4740,1.8731,200,53.5936,107.5220,119.3766,33.0722,70.5776,34.2801,0.0053,0.0111,Population structure converged. Difference: 0.0339
3,0,44.9479,36.1393,Warrior,94.4183,28.0331,64.6414,11.5698,1.3374,1.9637,200,54.1837,566.6014,396.6769,451.6114,236.3980,420.3600,0.0448,0.0261,Population structure converged. Difference: 0.0442
3,1,45.9077,42.3567,Warrior,79.8304,65.1782,21.2817,32.5789,1.1308,1.9637,200,54.1837,337.1537,184.1261,264.9635,148.3678,172.5552,0.0148,0.0261,Population structure converged. Difference: 0.0442
3,2,53.6035,44.6686,Warrior,89.0419,72.6990,23.7374,13.0170,1.5047,1.9637,200,54.1837,55.2539,104.5403,137.9768,37.7282,29.4802,0.0006,0.0261,Population structure converged. Difference: 0.0442
3,3,54.1837,47.4966,Warrior,89.7665,73.2907,23.9305,11.6640,1.3483,1.9637,200,54.1837,44.2560,392.9337,409.7176,25.2708,11.5195,0.0005,0.0261,Population structure converged. Difference: 0.0442
3,4,54.1837,51.8911,Warrior,89.7665,73.2907,23.9305,11.6640,1.3483,1.9637,200,54.1837,50.7873,224.1177,206.2905,5.3997,0.0440,0.0000,0.0261,Population structure converged. Difference: 0.0442
4,0,46.7417,33.2419,Warrior,66.1457,47.5160,71.9539,8.6361,5.7484,1.9714,200,54.2515,448.4127,313.3629,408.3954,428.1384,338.9354,0.0308,0.0325,Population structure converged. Difference: 0.0442
4,1,48.9523,39.3223,Warrior,71.8612,51.6218,60.8896,9.3823,6.2451,1.9714,200,54.2515,134.8663,89.5656,280.8549,123.1362,223.3459,0.0317,0.0325,Population structure converged. Difference: 0.0442
4,2,50.4852,43.7132,Warrior,90.3842,66.3732,27.8587,9.2361,6.1478,1.8105,200,54.2515,73.5453,61.0299,335.7746,48.3391,207.6852,0.0396,0.0325,Population structure converged. Difference: 0.0442
4,3,53.8471,47.3356,Warrior,80.3573,75.3950,31.6455,5.6188,6.9835,1.9714,200,54.2515,63.4488,48.8098,253.8093,9.6593,96.3171,0.0262,0.0325,Population structure converged. Difference: 0.0442
4,4,54.1971,49.6911,Warrior,86.0691,71.7956,30.1347,5.3505,6.6501,1.9714,200,54.2515,62.1591,82.2773,195.9276,7.5663,25.1382,0.0065,0.0325,Population structure converged. Difference: 0.0442
4,5,54.2515,51.9573,Warrior,87.3113,71.0870,29.8372,5.2977,6.4668,1.9714,200,54.2515,33.3066,82.8641,92.2654,7.4933,8.4947,0.0044,0.0325,Population structure converged. Difference: 0.0442
5,0,43.6731,34.5017,Warrior,75.2149,64.2695,18.1755,17.8129,24.5272,1.8312,200,47.8356,206.7560,557.7282,371.6673,344.1692,243.2272,0.0327,0.0267,Population structure converged. Difference: 0.0376
5,1,47.3319,40.4146,Warrior,71.0368,72.1322,27.0204,9.5551,20.2555,1.8312,200,47.8356,122.1673,416.2597,310.8240,111.9437,69.0287,0.0376,0.0267,Population structure converged. Difference: 0.0376
5,2,47.4763,43.1452,Warrior,70.6058,59.2498,43.1404,7.8486,19.1553,1.8312,200,47.8356,35.9756,177.3702,168.5237,41.3368,10.3029,0.0221,0.0267,Population structure converged. Difference: 0.0376
5,3,47.4763,44.6384,Warrior,70.6058,59.2498,43.1404,7.8486,19.1553,1.8312,200,47.8356,25.6903,122.0306,157.1320,14.7004,7.1095,0.0065,0.0267,Population structure converged. Difference: 0.0376
5,4,47.8356,46.1023,Warrior,74.4735,70.2099,26.3003,9.3005,19.7157,1.8312,200,47.8356,25.5134,91.8852,127.5567,9.6189,4.4735,0.0014,0.0267,Population structure converged. Difference: 0.0376
6,0,45.2833,35.9998,Warrior,54.8553,68.1659,47.1498,9.9856,19.8433,1.8732,200,55.9277,237.4043,716.9259,418.1226,300.6061,260.3663,0.0322,0.0421,Population structure converged. Difference: 0.0327
6,1,48.8524,42.5616,Warrior,70.3332,69.1900,29.5923,9.4250,21.4595,1.8733,200,55.9277,108.5277,369.5136,290.5516,54.7728,120.0921,0.0262,0.0421,Population structure converged. Difference: 0.0327
6,2,50.0394,44.6333,Warrior,77.4691,78.1774,16.0734,9.4671,18.8130,1.8732,200,55.9277,76.9409,174.3780,176.2966,1.5101,62.4673,0.0117,0.0421,Population structure converged. Difference: 0.0327
6,3,50.7757,46.1995,Warrior,80.6578,81.3952,12.1300,8.6425,17.1744,1.8732,200,55.9277,65.8093,134.0260,156.0832,1.3824,34.3836,0.0053,0.0421,Population structure converged. Difference: 0.0327
6,4,54.7336,48.3180,Warrior,76.7565,92.5344,19.6106,11.0799,0.0187,1.8732,200,55.9277,59.8093,137.4257,121.7754,1.4526,45.9886,0.0027,0.0421,Population structure converged. Difference: 0.0327
6,5,55.9260,50.4086,Warrior,85.5025,86.2842,17.7402,10.4488,0.0244,1.8732,200,55.9277,38.3472,134.5394,73.8071,2.5663,84.5278,0.0000,0.0421,Population structure converged. Difference: 0.0327
6,6,55.9260,53.0123,Warrior,85.5025,86.2842,17.7402,10.4488,0.0244,1.8732,200,55.9277,28.1545,76.6217,46.1449,3.3663,61.8346,0.0000,0.0421,Population structure converged. Difference: 0.0327
6,7,55.9277,54.1593,Warrior,85.5049,86.2866,17.7407,10.4491,0.0187,1.8732,200,55.9277,31.5612,39.3603,15.9169,1.6568,23.6597,0.0000,0.0421,Population structure converged. Difference: 0.0327
7,0,52.3054,37.7009,Warrior,68.7676,72.2126,48.1264,8.8352,2.0582,1.8525,200,54.5911,199.9948,230.5672,322.8514,367.9783,165.2496,0.0492,0.0276,Population structure converged. Difference: 0.0392
7,1,53.9097,45.6769,Warrior,68.7676,72.2126,48.1264,8.8352,2.0582,1.9389,200,54.5911,58.3006,46.1468,57.0011,93.1093,63.6527,0.0171,0.0276,Population structure converged. Difference: 0.0392
7,2,53.9097,48.9159,Warrior,68.7676,72.2126,48.1264,8.8352,2.0582,1.9389,200,54.5911,20.7070,46.4186,31.6904,18.7628,53.6843,0.0047,0.0276,Population structure converged. Difference: 0.0392
7,3,54.4244,51.5094,Warrior,68.9468,72.9477,48.6163,7.4101,2.0791,1.9389,200,54.5911,11.3700,33.8175,27.9328,0.6419,49.5076,0.0019,0.0276,Population structure converged. Difference: 0.0392
7,4,54.5911,52.5319,Warrior,71.5070,68.2297,50.4217,7.6853,2.1563,1.9389,200,54.5911,7.3897,27.4814,13.0454,0.6100,19.3180,0.0019,0.0276,Population structure converged. Difference: 0.0392
8,0,49.0562,36.1239,Warrior,73.3837,60.5355,51.1565,9.2953,5.6290,1.8129,200,56.8493,295.3879,375.3568,372.3140,190.9487,377.1444,0.0399,0.0380,Population structure converged. Difference: 0.0326
8,1,50.4432,42.5416,Warrior,94.6413,70.9739,16.3611,11.2257,6.7980,1.9800,200,56.8493,175.5557,290.2368,442.3330,76.7640,132.0152,0.0294,0.0380,Population structure converged. Difference: 0.0326
8,2,54.7467,46.1907,Warrior,78.5743,58.9249,51.2920,9.3200,1.8888,1.9148,200,56.8493,92.4975,202.4469,353.4119,59.4641,53.3011,0.0130,0.0380,Population structure converged. Difference: 0.0326
8,3,55.1795,48.8554,Warrior,74.5004,69.4040,43.4265,7.8908,4.7784,1.9148,200,56.8493,80.1865,126.3332,254.7509,14.6024,23.4913,0.0086,0.0380,Population structure converged. Difference: 0.0326
8,4,56.4523,51.9347,Warrior,78.1118,68.9954,43.1708,7.8443,1.8777,1.9148,200,56.8493,37.2359,55.8416,187.5485,4.8805,18.0326,0.0058,0.0380,Population structure converged. Difference: 0.0326
8,5,56.8493,54.1170,Warrior,86.1121,64.5777,39.6396,7.6006,2.0700,1.9148,200,56.8493,17.9369,36.5292,71.0246,1.1654,4.9864,0.0012,0.0380,Population structure converged. Difference: 0.0326
8,6,56.8493,55.0527,Warrior,86.1121,64.5777,39.6396,7.6006,2.0700,1.9148,200,56.8493,26.1831,32.1409,68.0801,1.0405,4.7957,0.0004,0.0380,Population structure converged. Difference: 0.0326
