Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.2842,31.0055,Warrior,61.6573,62.2554,61.2268,2.6287,12.2318,1.8841,200,56.3887,388.0810,352.1609,421.1747,417.5880,413.3231,0.0354,0.0390,Population structure converged. Difference: 0.0478
1,1,51.1215,38.1220,Warrior,86.2342,43.3030,56.7008,2.4344,11.3276,1.9554,200,56.3887,326.9101,243.8886,310.6280,285.8387,380.2608,0.0230,0.0390,Population structure converged. Difference: 0.0478
1,2,53.2061,45.3671,Warrior,77.1745,55.7149,54.7944,2.1786,10.1375,1.9554,200,56.3887,275.8550,151.1175,175.9374,122.7597,189.5619,0.0072,0.0390,Population structure converged. Difference: 0.0478
1,3,53.3513,49.3282,Warrior,65.0610,65.6922,64.6068,2.7738,1.8662,1.8841,200,56.3887,158.6691,112.0860,35.6006,49.9218,39.7088,0.0025,0.0390,Population structure converged. Difference: 0.0478
1,4,55.6754,50.6170,Warrior,80.2338,57.9235,57.7323,2.2650,1.8454,1.9554,200,56.3887,133.2178,91.0329,19.9283,28.6103,27.1828,0.0017,0.0390,Population structure converged. Difference: 0.0478
1,5,56.3887,52.4012,Warrior,80.2338,57.9235,57.7323,2.2650,1.8454,1.8841,200,56.3887,128.1305,71.3146,24.0174,9.9901,22.9311,0.0012,0.0390,Population structure converged. Difference: 0.0478
1,6,56.3887,53.8163,Warrior,80.2338,57.9235,57.7323,2.2650,1.8454,1.8841,200,56.3887,79.5893,49.4688,20.4203,0.6452,20.7782,0.0011,0.0390,Population structure converged. Difference: 0.0478
2,0,55.1281,36.8534,Warrior,88.6560,58.1842,44.2867,6.5084,2.3646,1.9550,200,57.8845,480.9593,233.9982,407.9607,423.5351,444.9320,0.0329,0.0324,Population structure converged. Difference: 0.0478
2,1,55.1281,47.7424,Warrior,88.6560,58.1842,44.2867,6.5084,2.3646,1.9550,200,57.8845,186.2554,102.2721,277.0203,161.4158,159.3309,0.0123,0.0324,Population structure converged. Difference: 0.0478
2,2,57.5826,52.2078,Warrior,91.4375,60.0097,45.6762,0.4351,2.4415,1.9550,200,57.8845,52.8594,22.7975,151.9705,41.3524,12.6354,0.0026,0.0324,Population structure converged. Difference: 0.0478
