Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.4434,28.9384,Warrior,82.6382,53.6197,45.2755,4.1334,14.3332,1.8050,200,55.0251,334.0491,537.4244,519.1746,436.8070,481.0501,0.0400,0.0567,Population structure converged. Difference: 0.0304
1,1,49.4357,35.5159,Warrior,69.1205,59.7956,50.4903,4.6095,15.9841,1.8448,200,55.0251,287.7432,360.5461,384.7841,350.3278,321.8836,0.0324,0.0567,Population structure converged. Difference: 0.0304
1,2,50.1569,40.8737,Warrior,81.7686,53.0555,44.7991,4.5610,15.8159,1.8448,200,55.0251,231.4598,244.5948,217.2084,311.7071,182.4339,0.0175,0.0567,Population structure converged. Difference: 0.0304
1,3,50.2356,45.0887,Warrior,82.6039,72.0344,28.1784,0.0516,17.1317,1.8050,200,55.0251,141.2711,105.0827,107.6469,143.1531,84.8826,0.0050,0.0567,Population structure converged. Difference: 0.0304
1,4,51.1109,47.4983,Warrior,81.7686,53.0555,44.7991,4.5610,15.8159,1.8646,200,55.0251,81.5955,51.2394,38.3481,66.9991,13.8254,0.0027,0.0567,Population structure converged. Difference: 0.0304
1,5,51.5887,48.5847,Warrior,82.4459,53.4949,45.1702,4.6764,14.2127,1.8646,200,55.0251,58.1383,47.3141,21.7148,21.4219,7.0455,0.0008,0.0567,Population structure converged. Difference: 0.0304
1,6,51.8661,49.3170,Warrior,74.5896,76.9519,30.1021,0.0551,18.3012,1.8448,200,55.0251,35.9337,28.8724,30.0774,1.4935,4.2018,0.0008,0.0567,Population structure converged. Difference: 0.0304
1,7,52.4667,49.8922,Warrior,80.9788,62.7524,40.4154,4.5169,11.3365,1.8448,200,55.0251,27.7933,40.3731,42.5078,2.1076,5.1653,0.0008,0.0567,Population structure converged. Difference: 0.0304
1,8,53.9418,50.4651,Warrior,84.1531,73.3854,28.7069,0.0526,13.7020,1.8448,200,55.0251,27.5492,45.9831,47.3238,2.8692,5.3251,0.0006,0.0567,Population structure converged. Difference: 0.0304
1,9,53.9418,51.0070,Warrior,84.1531,73.3854,28.7069,0.0526,13.7020,1.8448,200,55.0251,27.9866,54.4559,57.9922,3.5813,5.7494,0.0004,0.0567,Population structure converged. Difference: 0.0304
1,10,54.3212,51.7240,Warrior,83.2716,72.6166,28.4062,0.0520,15.6537,1.8646,200,55.0251,21.3206,51.1968,54.6308,4.4460,6.2144,0.0003,0.0567,Population structure converged. Difference: 0.0304
1,11,55.0251,52.2789,Warrior,84.1531,73.3854,28.7069,0.0526,13.7020,1.8646,200,55.0251,17.3421,44.8094,52.2314,4.7358,5.5822,0.0002,0.0567,Population structure converged. Difference: 0.0304
1,12,55.7389,53.0399,Warrior,85.0529,74.1700,29.0139,0.0531,11.7100,1.8646,200,55.0251,10.7107,33.7016,38.0756,5.0381,3.7673,0.0001,0.0567,Population structure converged. Difference: 0.0304
1,13,55.0251,53.4028,Warrior,84.1531,73.3854,28.7069,0.0526,13.7020,1.8646,200,55.0251,13.4972,24.1297,30.9818,4.1461,3.5776,0.0001,0.0567,Population structure converged. Difference: 0.0304
2,0,52.6457,33.9043,Warrior,67.6441,95.2173,22.9236,3.3694,10.8455,1.9468,200,55.6957,446.6613,966.4525,492.7723,590.7980,517.2237,0.0474,0.0226,Population structure converged. Difference: 0.0430
2,1,54.3130,42.0357,Warrior,76.5560,81.4125,25.9438,3.8133,12.2744,1.9468,200,55.6957,317.3933,827.0939,254.9043,387.6867,327.1806,0.0471,0.0226,Population structure converged. Difference: 0.0430
2,2,54.3130,47.8540,Warrior,76.5560,81.4125,25.9438,3.8133,12.2744,1.9468,200,55.6957,128.5517,391.4259,131.4460,146.7721,196.2818,0.0324,0.0226,Population structure converged. Difference: 0.0430
2,3,54.5574,50.8603,Warrior,91.6020,68.6936,24.1171,4.5468,11.0405,1.9468,200,55.6957,43.9680,86.1840,63.2327,14.2159,86.9644,0.0137,0.0226,Population structure converged. Difference: 0.0430
2,4,55.6957,52.6457,Warrior,81.8029,85.0314,20.4714,3.0089,9.6853,1.9468,200,55.6957,22.4896,30.2740,5.3638,3.7230,0.3084,0.0033,0.0226,Population structure converged. Difference: 0.0430
2,5,55.6957,52.9861,Warrior,81.8029,85.0314,20.4714,3.0089,9.6853,1.9468,200,55.6957,32.3298,41.5331,6.3475,3.7892,0.2674,0.0000,0.0226,Population structure converged. Difference: 0.0430
