Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.4338,30.0796,Warrior,91.4073,51.9685,27.8298,9.3515,19.4429,1.9433,200,53.1112,558.4626,459.8837,450.4848,424.5371,501.6392,0.0414,0.1542,Population structure converged. Difference: 0.0095
1,1,48.4338,33.8797,Warrior,91.4073,51.9685,27.8298,9.3515,19.4429,1.9433,200,53.1112,682.4741,357.4870,396.7078,410.1127,438.3436,0.0406,0.1542,Population structure converged. Difference: 0.0095
1,2,50.5546,38.4992,Warrior,76.8763,80.7623,15.3606,2.0421,24.9586,1.9433,200,53.1112,539.5286,266.0854,260.4200,266.0237,335.4676,0.0380,0.1542,Population structure converged. Difference: 0.0095
1,3,50.8907,42.5465,Warrior,95.4910,54.2903,29.0731,9.7693,11.3762,1.9433,200,53.1112,376.1536,146.5388,198.2422,122.2563,191.0400,0.0273,0.1542,Population structure converged. Difference: 0.0095
1,4,51.6875,44.7272,Warrior,78.6656,65.7922,31.0089,7.8006,16.7327,1.9433,200,53.1112,259.5903,146.5988,141.1263,50.4607,99.6926,0.0244,0.1542,Population structure converged. Difference: 0.0095
1,5,51.6875,45.9333,Warrior,78.6656,65.7922,31.0089,7.8006,16.7327,1.9433,200,53.1112,195.0634,125.8312,110.0317,22.6390,53.3634,0.0170,0.1542,Population structure converged. Difference: 0.0095
1,6,51.6875,47.0202,Warrior,78.6656,65.7922,31.0089,7.8006,16.7327,1.9433,200,53.1112,135.5045,101.6923,97.2668,13.4104,34.1059,0.0125,0.1542,Population structure converged. Difference: 0.0095
1,7,51.6875,48.1331,Warrior,78.6656,65.7922,31.0089,7.8006,16.7327,1.9433,200,53.1112,85.8386,61.8873,59.6080,2.0425,12.5427,0.0078,0.1542,Population structure converged. Difference: 0.0095
1,8,51.6875,48.8821,Warrior,78.6656,65.7922,31.0089,7.8006,16.7327,1.9433,200,53.1112,52.2350,55.2848,40.6321,1.8858,12.6351,0.0000,0.1542,Population structure converged. Difference: 0.0095
1,9,51.9410,49.4470,Warrior,85.6262,62.0179,29.2301,7.3531,15.7728,1.9433,200,53.1112,38.3534,58.3707,27.5406,1.1971,4.3359,0.0000,0.1542,Population structure converged. Difference: 0.0095
1,10,52.2593,49.8847,Warrior,76.0394,72.1750,28.9117,7.2730,15.6010,1.9433,200,53.1112,34.8542,65.9875,29.3560,0.7722,2.3257,0.0000,0.1542,Population structure converged. Difference: 0.0095
1,11,52.2593,50.2820,Warrior,76.0394,72.1750,28.9117,7.2730,15.6010,1.9433,200,53.1112,29.4506,74.0847,27.1883,0.6728,1.9710,0.0000,0.1542,Population structure converged. Difference: 0.0095
