Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.7395,30.9368,Warrior,63.2248,94.2521,27.5361,1.9923,12.9947,1.9810,200,59.7694,335.3645,457.1726,387.0328,396.4334,556.4081,0.0412,0.1555,Population structure converged. Difference: 0.0091
1,1,50.3074,32.5748,Warrior,84.0059,60.5603,35.8965,2.5972,16.9401,1.9810,200,59.7694,338.6445,463.4500,438.7806,388.3952,504.1852,0.0443,0.1555,Population structure converged. Difference: 0.0091
1,2,53.9967,36.2912,Warrior,67.8251,84.9522,35.1793,2.5453,9.4981,1.9450,200,59.7694,231.2571,444.9337,396.1040,405.0693,390.9631,0.0515,0.1555,Population structure converged. Difference: 0.0091
1,3,55.5443,41.5745,Warrior,87.6025,63.1530,36.6854,2.6543,9.9047,1.9450,200,59.7694,248.1637,446.1217,357.2238,370.7274,297.4855,0.0393,0.1555,Population structure converged. Difference: 0.0091
1,4,55.5443,44.0447,Warrior,87.6025,63.1530,36.6854,2.6543,9.9047,1.9450,200,59.7694,229.5987,429.7131,284.7962,299.8080,130.4462,0.0344,0.1555,Population structure converged. Difference: 0.0091
1,5,56.1661,47.8215,Warrior,77.7182,78.5936,32.5462,2.3548,8.7872,1.9450,200,59.7694,121.8303,279.6822,225.4695,108.9785,61.3786,0.0224,0.1555,Population structure converged. Difference: 0.0091
1,6,56.1661,50.1838,Warrior,77.7182,78.5936,32.5462,2.3548,8.7872,1.9450,200,59.7694,85.8491,168.5410,155.4741,29.2899,24.3885,0.0117,0.1555,Population structure converged. Difference: 0.0091
1,7,56.7612,51.3357,Warrior,83.2954,75.0090,31.0618,2.2474,8.3864,1.9450,200,59.7694,87.0834,117.8202,124.3982,14.0444,10.4231,0.0102,0.1555,Population structure converged. Difference: 0.0091
1,8,57.9991,52.3882,Warrior,78.2585,71.3307,45.9751,2.9369,1.4988,1.9375,200,59.7694,99.8875,95.4476,116.3288,11.1446,11.4764,0.0003,0.1555,Population structure converged. Difference: 0.0091
1,9,58.7922,53.0861,Warrior,82.5408,75.2340,37.5468,3.0976,1.5808,1.9375,200,59.7694,95.7304,104.7140,89.9513,2.3546,9.5653,0.0003,0.1555,Population structure converged. Difference: 0.0091
1,10,58.7922,53.0634,Warrior,82.5408,75.2340,37.5468,3.0976,1.5808,1.9375,200,59.7694,110.4739,91.9785,111.5767,2.9609,10.3864,0.0002,0.1555,Population structure converged. Difference: 0.0091
1,11,58.7922,53.6323,Warrior,82.5408,75.2340,37.5468,3.0976,1.5808,1.9375,200,59.7694,93.3681,91.1467,113.2082,4.3207,15.2311,0.0002,0.1555,Population structure converged. Difference: 0.0091
1,12,59.0584,54.3204,Warrior,88.6098,71.3467,35.6068,2.9375,1.4992,1.9375,200,59.7694,74.7113,71.8761,84.3438,0.8792,18.9462,0.0002,0.1555,Population structure converged. Difference: 0.0091
1,13,59.0254,54.8314,Warrior,82.7755,75.4479,37.6536,2.5422,1.5809,1.9375,200,59.7694,47.0197,72.5013,57.1518,0.9600,19.2649,0.0002,0.1555,Population structure converged. Difference: 0.0091
1,14,59.0239,54.8220,Warrior,82.7736,75.4462,37.6527,2.5421,1.5853,1.9375,200,59.7694,63.4181,51.0665,60.8086,0.7361,19.5135,0.0002,0.1555,Population structure converged. Difference: 0.0091
1,15,59.0239,55.4271,Warrior,82.7736,75.4462,37.6527,2.5421,1.5853,1.9375,200,59.7694,60.7308,39.5710,47.0451,0.8385,20.3477,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,16,59.0894,56.1904,Warrior,84.9250,73.4845,37.3949,2.6516,1.5441,1.9375,200,59.7694,24.8265,36.7682,9.2609,0.4700,19.7604,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,17,59.0894,56.3323,Warrior,84.9250,73.4845,37.3949,2.6516,1.5441,1.9375,200,59.7694,23.0052,30.9751,8.3275,0.6773,19.0734,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,18,59.7374,56.8731,Warrior,85.5948,74.0641,37.6898,1.0951,1.5563,1.9375,200,59.7694,18.6251,30.7270,7.9694,0.6147,18.8420,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,19,59.4023,57.1409,Warrior,81.2971,76.8463,39.1056,1.1362,1.6147,1.9375,200,59.7694,18.2925,25.0447,8.7991,0.5336,17.3322,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,20,59.4023,57.1433,Warrior,81.2971,76.8463,39.1056,1.1362,1.6147,1.9375,200,59.7694,23.6071,24.9016,7.8076,0.5465,16.8673,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,21,59.5885,57.1615,Warrior,85.4204,73.9132,37.6130,1.2117,1.8417,1.9375,200,59.7694,18.5908,22.7522,7.4171,0.5253,17.3643,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,22,59.3655,57.0212,Warrior,90.4393,70.2812,36.5921,1.0432,1.6443,1.9450,200,59.7694,16.8606,22.3001,7.1317,0.5244,18.3736,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,23,59.3655,57.0771,Warrior,90.4393,70.2812,36.5921,1.0432,1.6443,1.9450,200,59.7694,13.4475,20.9028,6.4974,0.5207,18.4740,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,24,59.6308,57.4093,Warrior,86.3195,71.5946,39.4278,1.0741,1.5840,1.9375,200,59.7694,13.7706,18.9460,8.1073,0.5975,17.3567,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,25,59.3655,57.6786,Warrior,90.4393,70.2812,36.5921,1.0432,1.6443,1.9450,200,59.7694,14.8569,16.9824,8.1234,0.4715,13.8036,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,26,59.4087,57.9391,Warrior,90.4966,70.3257,36.6153,1.0438,1.5185,1.9450,200,59.7694,12.1019,15.1391,8.1483,0.4891,12.1087,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,27,59.7345,58.1588,Warrior,86.5149,72.8891,37.9499,1.0819,1.5642,1.9375,200,59.7694,8.4729,11.6722,5.7871,0.4778,9.8554,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,28,59.7307,58.2290,Warrior,86.2688,73.0526,38.0350,1.0605,1.5830,1.9375,200,59.7694,7.4117,12.5071,5.8196,0.4767,9.8853,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,29,59.7307,58.4436,Warrior,86.2688,73.0526,38.0350,1.0605,1.5830,1.9375,200,59.7694,8.3336,13.0059,7.3500,0.5231,5.6662,0.0001,0.1555,Population structure converged. Difference: 0.0091
1,30,59.7533,58.5879,Warrior,86.2970,73.0765,38.0475,1.0609,1.5181,1.9375,200,59.7694,7.5347,13.0785,7.6469,0.5035,4.8066,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,31,59.6912,58.5342,Warrior,86.0058,73.1663,38.0942,1.0860,1.6477,1.9375,200,59.7694,7.5109,12.1433,6.5354,0.4363,5.5740,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,32,59.7461,58.5429,Warrior,86.7432,72.7519,37.8785,1.0799,1.5465,1.9375,200,59.7694,6.6405,12.6114,5.2624,0.5170,6.9672,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,33,59.6912,58.5932,Warrior,86.0058,73.1663,38.0942,1.0860,1.6477,1.9375,200,59.7694,6.6044,14.0669,5.4555,0.5541,7.5654,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,34,59.7200,58.6927,Warrior,87.2774,72.3890,37.5940,1.0717,1.6679,1.9375,200,59.7694,7.5036,11.8633,5.5070,0.5700,7.0754,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,35,59.7179,58.6829,Warrior,85.7690,73.4740,38.1082,1.0864,1.5623,1.9375,200,59.7694,8.2068,8.0493,4.9714,0.5747,7.9817,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,36,59.7670,58.9059,Warrior,87.8193,72.7033,36.7461,1.0975,1.6338,1.9375,200,59.7694,6.9473,6.4839,4.3086,0.5279,2.9413,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,37,59.7670,58.9823,Warrior,87.8193,72.7033,36.7461,1.0975,1.6338,1.9375,200,59.7694,6.3324,7.0642,2.9738,0.4757,2.1880,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,38,59.7694,59.0000,Warrior,88.0094,72.5801,36.6838,1.0957,1.6310,1.9375,200,59.7694,4.9477,5.1933,3.2766,0.4546,3.5554,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,39,59.7694,59.1369,Warrior,88.0094,72.5801,36.6838,1.0957,1.6310,1.9375,200,59.7694,4.9369,4.2604,2.2327,0.4639,1.6393,0.0000,0.1555,Population structure converged. Difference: 0.0091
1,40,59.7694,59.2276,Warrior,88.0094,72.5801,36.6838,1.0957,1.6310,1.9375,200,59.7694,4.4654,3.9273,1.9689,0.4439,1.1710,0.0000,0.1555,Population structure converged. Difference: 0.0091
2,0,47.4756,30.0358,Warrior,106.1809,63.1076,6.2331,20.6703,3.8082,1.9490,200,58.8184,702.2782,381.3589,405.6714,394.9245,444.4576,0.0459,0.1232,Population structure converged. Difference: 0.0099
2,1,50.7062,35.1319,Warrior,80.4757,51.8806,49.0912,15.6662,2.8862,1.9490,200,58.8184,925.0828,295.5054,353.4573,297.8536,476.8309,0.0557,0.1232,Population structure converged. Difference: 0.0099
2,2,50.7062,38.0663,Warrior,80.4757,51.8806,49.0912,15.6662,2.8862,1.9490,200,58.8184,979.0037,285.3468,407.8194,225.9347,393.3039,0.0465,0.1232,Population structure converged. Difference: 0.0099
2,3,53.5445,41.6033,Warrior,117.2942,69.7127,6.8855,1.9008,4.2067,1.9490,200,58.8184,700.3719,238.9916,319.3797,113.8342,316.4655,0.0416,0.1232,Population structure converged. Difference: 0.0099
2,4,56.1662,44.0987,Warrior,107.1531,79.0417,7.8069,2.1552,3.8430,1.9490,200,58.8184,433.6210,114.6037,275.0801,54.7994,117.9948,0.0342,0.1232,Population structure converged. Difference: 0.0099
2,5,56.1662,44.8828,Warrior,107.1531,79.0417,7.8069,2.1552,3.8430,1.9490,200,58.8184,432.6473,119.2156,229.2719,62.8249,101.5433,0.0343,0.1232,Population structure converged. Difference: 0.0099
2,6,56.1662,46.6129,Warrior,107.1531,79.0417,7.8069,2.1552,3.8430,1.9490,200,58.8184,353.2493,127.4195,217.0623,64.3291,96.8022,0.0170,0.1232,Population structure converged. Difference: 0.0099
2,7,57.2002,48.4890,Warrior,98.8617,66.8324,28.0470,2.2489,4.0100,1.9490,200,58.8184,257.5727,83.8444,195.8526,61.4764,53.7051,0.0036,0.1232,Population structure converged. Difference: 0.0099
2,8,57.9369,49.5761,Warrior,97.1387,71.9792,25.3641,2.0337,3.4843,1.9490,200,58.8184,215.6864,101.1849,177.9943,76.0443,42.6738,0.0001,0.1232,Population structure converged. Difference: 0.0099
2,9,57.9259,50.2185,Warrior,87.2370,74.6631,31.3332,2.5124,4.2544,1.9490,200,58.8184,172.7273,100.7238,155.4516,80.0831,22.4275,0.0002,0.1232,Population structure converged. Difference: 0.0099
2,10,57.9259,50.8082,Warrior,87.2370,74.6631,31.3332,2.5124,4.2544,1.9490,200,58.8184,146.6231,100.1910,136.9206,87.4222,17.5289,0.0003,0.1232,Population structure converged. Difference: 0.0099
2,11,58.4326,51.0405,Warrior,82.1381,80.5415,32.6458,1.7228,2.9517,1.9490,200,58.8184,174.1463,125.8530,179.5776,84.9198,20.3901,0.0004,0.1232,Population structure converged. Difference: 0.0099
2,12,58.4326,51.8012,Warrior,82.1381,80.5415,32.6458,1.7228,2.9517,1.9490,200,58.8184,142.4662,110.3874,155.8642,95.5470,11.3684,0.0004,0.1232,Population structure converged. Difference: 0.0099
2,13,58.4302,53.1365,Warrior,97.0036,70.3831,28.5283,1.5055,2.5794,1.9490,200,58.8184,149.6762,95.8037,176.9572,89.9417,1.6826,0.0002,0.1232,Population structure converged. Difference: 0.0099
