Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.2354,33.9490,Warrior,65.6482,68.3031,47.1145,1.7760,17.1582,1.8526,200,50.8646,199.4508,447.6346,353.0522,518.3601,305.2060,0.0383,0.0242,Population structure converged. Difference: 0.0264
1,1,50.2354,41.3632,Warrior,65.6482,68.3031,47.1145,1.7760,17.1582,1.8526,200,50.8646,120.8459,396.3524,204.7596,285.2750,198.4663,0.0264,0.0242,Population structure converged. Difference: 0.0264
1,2,50.5858,46.4817,Warrior,67.0951,69.8086,43.7446,1.8151,17.5364,1.8526,200,50.8646,46.9465,146.2674,95.3507,124.2193,40.8837,0.0054,0.0242,Population structure converged. Difference: 0.0264
1,3,50.5858,47.9867,Warrior,67.0951,69.8086,43.7446,1.8151,17.5364,1.8526,200,50.8646,30.9969,73.2650,62.4944,48.7407,26.7313,0.0032,0.0242,Population structure converged. Difference: 0.0264
1,4,50.8646,49.5587,Warrior,67.4054,70.1314,43.9469,1.8203,16.6959,1.8526,200,50.8646,10.1777,35.2465,39.5901,1.5330,5.1400,0.0000,0.0242,Population structure converged. Difference: 0.0264
2,0,50.9852,34.9774,Warrior,84.6317,71.7807,17.4410,3.9019,22.2448,1.9472,200,56.4429,371.0922,451.7129,362.9872,458.8612,191.5603,0.0495,0.0234,Population structure converged. Difference: 0.0449
2,1,55.1827,42.8905,Warrior,72.9415,71.8709,44.1209,0.2589,10.8078,1.9472,200,56.4429,261.9294,356.0401,329.5251,237.1920,97.5007,0.0311,0.0234,Population structure converged. Difference: 0.0449
2,2,55.9952,47.8032,Warrior,78.2515,68.8673,42.2770,0.2480,10.3561,1.9472,200,56.4429,141.1553,173.2489,251.9436,104.1678,78.5975,0.0108,0.0234,Population structure converged. Difference: 0.0449
2,3,56.4105,51.7575,Warrior,84.8928,83.6468,20.2986,0.2611,10.9007,1.9472,200,56.4429,43.9870,91.1197,209.2395,11.1801,60.6147,0.0045,0.0234,Population structure converged. Difference: 0.0449
2,4,56.4429,54.0198,Warrior,84.9331,83.6866,20.3083,0.2590,10.8130,1.9472,200,56.4429,25.0405,36.2418,122.0895,4.2942,26.8402,0.0018,0.0234,Population structure converged. Difference: 0.0449
3,0,52.6595,36.2458,Warrior,72.9519,75.2267,35.9005,12.7296,3.1912,1.9576,200,55.0010,431.9389,415.4613,296.8170,307.3214,564.8782,0.0495,0.0204,Population structure converged. Difference: 0.0452
3,1,52.6595,45.2656,Warrior,72.9519,75.2267,35.9005,12.7296,3.1912,1.9576,200,55.0010,173.1869,170.8157,195.0854,118.0402,305.4658,0.0308,0.0204,Population structure converged. Difference: 0.0452
3,2,53.3103,49.1644,Warrior,76.7744,72.9634,34.8203,12.3466,3.0952,1.9576,200,55.0010,57.1598,72.5215,51.6151,66.1687,80.9634,0.0091,0.0204,Population structure converged. Difference: 0.0452
3,3,54.5370,51.0970,Warrior,78.3035,70.1027,35.5139,12.5925,3.4874,1.9107,200,55.0010,11.4424,22.0255,21.3051,16.8336,0.5317,0.0024,0.0204,Population structure converged. Difference: 0.0452
3,4,54.7191,51.8864,Warrior,81.3565,72.8360,29.1006,13.0835,3.6234,1.9107,200,55.0010,1.8133,1.8618,9.4486,6.4610,0.0246,0.0002,0.0204,Population structure converged. Difference: 0.0452
3,5,55.0010,52.6228,Warrior,81.6574,73.1054,29.2082,12.3923,3.6368,1.9107,200,55.0010,3.1673,3.0768,13.8320,9.4169,0.0299,0.0003,0.0204,Population structure converged. Difference: 0.0452
4,0,49.4768,33.4213,Warrior,83.0055,80.9534,26.1374,1.7464,8.1573,1.4179,200,49.6813,396.4192,626.0172,299.2185,536.4463,401.2992,0.0393,0.0103,Population structure converged. Difference: 0.0394
4,1,49.6813,43.1970,Warrior,83.3112,81.2515,26.2336,1.6230,7.5807,1.4179,200,49.6813,189.1729,410.8483,146.9998,283.8109,183.1688,0.0169,0.0103,Population structure converged. Difference: 0.0394
4,2,49.6813,47.7978,Warrior,83.3112,81.2515,26.2336,1.6230,7.5807,1.4179,200,49.6813,42.7754,137.2603,49.5060,94.7884,40.1816,0.0039,0.0103,Population structure converged. Difference: 0.0394
5,0,44.8772,32.3191,Warrior,80.1350,71.2319,24.8592,18.3872,5.3867,1.4740,200,57.5348,561.8331,381.4807,381.8507,321.9302,470.7346,0.0329,0.0206,Population structure converged. Difference: 0.0420
5,1,49.1306,38.4007,Warrior,85.8012,76.2686,26.6169,5.5457,5.7676,1.4740,200,57.5348,405.0592,278.6046,240.1884,235.6101,308.0686,0.0185,0.0206,Population structure converged. Difference: 0.0420
5,2,50.8903,42.6358,Warrior,61.1208,65.4811,60.2849,6.4280,6.6852,1.9137,200,57.5348,185.2788,266.7203,238.4011,47.0197,114.5215,0.0200,0.0206,Population structure converged. Difference: 0.0420
5,3,54.6218,45.7927,Warrior,69.7250,87.0052,30.3639,6.3264,6.5795,1.9137,200,57.5348,107.1416,237.5625,233.7633,28.5541,39.7166,0.0227,0.0206,Population structure converged. Difference: 0.0420
5,4,57.4521,49.5808,Warrior,84.8364,75.4110,30.1644,9.0413,0.5468,1.9137,200,57.5348,76.4923,130.8920,148.1625,28.1674,13.8037,0.0435,0.0206,Population structure converged. Difference: 0.0420
5,5,57.4677,53.1992,Warrior,85.5235,76.0218,28.7890,9.1145,0.5512,1.9137,200,57.5348,66.2346,91.3554,110.3507,10.5249,3.8742,0.0355,0.0206,Population structure converged. Difference: 0.0420
5,6,57.5348,55.2142,Warrior,74.9360,88.0830,30.7400,5.6913,0.5496,1.9137,200,57.5348,52.9232,60.0294,38.3311,4.0092,4.7367,0.0160,0.0206,Population structure converged. Difference: 0.0420
6,0,47.8983,33.4176,Warrior,66.8877,58.1580,59.4033,12.0115,3.5395,1.8318,200,55.4183,319.8267,326.2773,412.0248,375.8181,459.3586,0.0385,0.0281,Population structure converged. Difference: 0.0386
6,1,48.0037,40.3637,Warrior,61.3515,58.5551,60.5732,15.8047,3.7156,1.9312,200,55.4183,159.5416,175.5058,255.4695,198.9149,171.4908,0.0240,0.0281,Population structure converged. Difference: 0.0386
6,2,49.2713,44.5384,Warrior,64.1609,56.1134,63.1847,12.7761,3.7648,1.9312,200,55.4183,79.1706,41.6087,67.1821,63.7210,76.3414,0.0085,0.0281,Population structure converged. Difference: 0.0386
6,3,51.3566,46.7370,Warrior,89.9573,71.4509,14.3093,20.4161,3.8664,1.9312,200,55.4183,24.8785,22.2656,88.7792,9.4535,26.8404,0.0044,0.0281,Population structure converged. Difference: 0.0386
6,4,52.5331,47.9968,Warrior,76.4518,54.0180,55.1746,11.1565,3.1992,1.9312,200,55.4183,22.6003,39.1105,140.4035,5.2250,7.8105,0.0033,0.0281,Population structure converged. Difference: 0.0386
