Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.5540,32.6902,Warrior,55.1240,71.3850,45.4556,23.6482,4.3872,1.9662,200,57.6359,285.4126,292.2405,280.5358,304.3391,488.6359,0.0429,0.0541,Population structure converged. Difference: 0.0097
1,1,46.5092,37.9985,Warrior,65.0132,59.0116,47.6720,24.8013,3.5018,1.8797,200,57.6359,163.8298,183.0384,172.6433,137.0771,405.4823,0.0443,0.0541,Population structure converged. Difference: 0.0097
1,2,51.8783,42.5055,Warrior,83.8748,76.1321,17.2709,18.2044,4.5178,1.8797,200,57.6359,48.8548,82.3931,46.5155,59.1345,94.1866,0.0145,0.0541,Population structure converged. Difference: 0.0097
1,3,53.4042,45.5307,Warrior,73.1951,62.9681,51.1188,8.7755,3.9425,1.8797,200,57.6359,112.0502,38.9609,129.5202,30.2144,29.6615,0.0021,0.0541,Population structure converged. Difference: 0.0097
1,4,53.4042,48.5293,Warrior,73.1951,62.9681,51.1188,8.7755,3.9425,1.8797,200,57.6359,135.6958,45.2912,199.0146,21.3866,15.4197,0.0013,0.0541,Population structure converged. Difference: 0.0097
1,5,54.7032,51.0864,Warrior,74.9405,68.0225,45.6737,7.8407,3.5226,1.8797,200,57.6359,66.9621,43.1351,183.6511,17.8479,4.3298,0.0006,0.0541,Population structure converged. Difference: 0.0097
1,6,54.9568,52.0775,Warrior,81.6380,84.9138,19.2631,9.7877,4.3973,1.8797,200,57.6359,37.3115,54.9327,233.1803,24.5377,3.4051,0.0005,0.0541,Population structure converged. Difference: 0.0097
1,7,55.5104,53.0470,Warrior,83.7055,62.8411,42.8041,7.3481,3.3012,1.8797,200,57.6359,37.7690,57.1438,230.7116,20.2451,3.1277,0.0004,0.0541,Population structure converged. Difference: 0.0097
1,8,55.5694,54.1277,Warrior,85.2712,79.2453,22.2454,9.1343,4.1037,1.8797,200,57.6359,28.6705,67.0801,134.8327,4.7161,0.1733,0.0003,0.0541,Population structure converged. Difference: 0.0097
1,9,55.6869,54.6901,Warrior,82.5092,85.8200,19.4687,8.4195,3.7826,1.8797,200,57.6359,27.3939,83.8253,157.9946,2.1851,0.2436,0.0000,0.0541,Population structure converged. Difference: 0.0097
1,10,55.9506,55.0493,Warrior,88.8796,80.6749,18.3015,7.6161,4.5279,1.8797,200,57.6359,22.9996,76.2005,150.1131,1.1987,0.2565,0.0000,0.0541,Population structure converged. Difference: 0.0097
