Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.4584,34.3904,Warrior,56.2422,58.7985,56.0625,9.2909,19.6059,1.8824,200,45.9641,275.6783,395.8306,486.8215,378.6171,311.9373,0.0297,0.0210,Population structure converged. Difference: 0.0089
1,1,45.8379,42.8281,Warrior,56.2422,58.7985,56.0625,9.2909,19.6059,1.9268,200,45.9641,30.2268,111.2373,184.1908,110.6566,64.9033,0.0140,0.0210,Population structure converged. Difference: 0.0089
1,2,45.8379,45.3129,Warrior,56.2422,58.7985,56.0625,9.2909,19.6059,1.9268,200,45.9641,11.8434,3.2089,34.8104,3.2233,1.7220,0.0008,0.0210,Population structure converged. Difference: 0.0089
1,3,45.9641,45.5571,Warrior,56.3441,58.9051,56.3407,9.1345,19.2757,1.9268,200,45.9641,0.0020,0.0022,0.0028,0.0023,0.0096,0.0003,0.0210,Population structure converged. Difference: 0.0089
2,0,47.1847,36.7013,Warrior,65.6348,64.3552,41.7710,0.4950,27.7439,1.8384,200,57.7784,242.9882,431.1228,347.9150,319.5694,145.1828,0.0288,0.0222,Population structure converged. Difference: 0.0078
2,1,50.9990,43.9449,Warrior,111.1010,53.0115,27.4430,0.8623,7.5822,1.8419,200,57.7784,71.0443,233.2766,237.0206,156.7769,71.8542,0.0147,0.0222,Population structure converged. Difference: 0.0078
2,2,57.0432,46.8207,Warrior,81.4280,79.8405,29.6178,0.9306,8.1830,1.8771,200,57.7784,102.0726,124.5802,176.4737,33.4814,83.9162,0.0058,0.0222,Population structure converged. Difference: 0.0078
2,3,57.3025,51.2885,Warrior,84.5382,77.7463,28.8409,0.9062,7.9684,1.8771,200,57.7784,129.9518,128.6577,112.3192,19.0440,133.9907,0.0023,0.0222,Population structure converged. Difference: 0.0078
2,4,57.7007,55.2332,Warrior,82.2056,80.6029,29.9006,0.6611,6.6298,1.8771,200,57.7784,77.0369,92.8353,38.8398,4.8510,41.9576,0.0003,0.0222,Population structure converged. Difference: 0.0078
2,5,57.7784,56.8862,Warrior,84.7022,78.6203,29.1651,0.6811,6.8312,1.8771,200,57.7784,12.2622,15.7592,12.0083,0.0154,6.1255,0.0001,0.0222,Population structure converged. Difference: 0.0078
2,6,57.7784,57.3333,Warrior,84.7022,78.6203,29.1651,0.6811,6.8312,1.8771,200,57.7784,3.4135,5.7487,9.6149,0.0161,0.3618,0.0000,0.0222,Population structure converged. Difference: 0.0078
3,0,47.7536,33.5872,Warrior,73.4110,65.8688,41.2603,5.4585,14.0014,1.9972,200,47.7536,399.8273,409.2753,286.6063,393.0543,385.9807,0.0562,0.0126,Population structure converged. Difference: 0.0000
3,1,47.7536,43.3526,Warrior,73.4110,65.8688,41.2603,5.4585,14.0014,1.9972,200,47.7536,155.9489,135.4181,65.5487,128.9679,136.0961,0.0370,0.0126,Population structure converged. Difference: 0.0000
3,2,47.7536,47.2057,Warrior,73.4110,65.8688,41.2603,5.4585,14.0014,1.9972,200,47.7536,17.6818,32.1545,7.9484,10.8831,20.7199,0.0032,0.0126,Population structure converged. Difference: 0.0000
3,3,47.7536,47.7536,Warrior,73.4110,65.8688,41.2603,5.4585,14.0014,1.9972,200,47.7536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126,Population structure converged. Difference: 0.0000
4,0,51.3586,34.7067,Warrior,72.3708,52.8283,55.2379,0.9258,18.6373,1.8956,200,56.1033,369.9259,358.4754,541.5350,392.1411,397.5662,0.0359,0.0242,Population structure converged. Difference: 0.0086
4,1,53.0914,44.5600,Warrior,74.7023,59.7167,48.3914,0.8110,16.3787,1.8859,200,56.1033,236.9789,138.9976,549.8102,148.8634,84.4176,0.0130,0.0242,Population structure converged. Difference: 0.0086
4,2,54.4623,50.0610,Warrior,72.7434,60.3372,57.8382,1.5603,7.5209,1.8859,200,56.1033,49.6329,56.9054,235.4028,49.4489,24.8765,0.0001,0.0242,Population structure converged. Difference: 0.0086
4,3,54.7716,51.8931,Warrior,79.6472,54.3436,56.8222,0.9523,8.2347,1.8859,200,56.1033,7.4864,9.6808,27.6652,3.5525,12.6662,0.0000,0.0242,Population structure converged. Difference: 0.0086
4,4,55.9849,52.8791,Warrior,78.1675,62.4379,50.5965,0.8486,7.9495,1.8859,200,56.1033,8.4863,8.6811,37.3383,0.0764,20.0465,0.0000,0.0242,Population structure converged. Difference: 0.0086
4,5,55.9849,53.9871,Warrior,78.1675,62.4379,50.5965,0.8486,7.9495,1.8859,200,56.1033,9.8656,9.0126,26.6056,0.0742,19.7865,0.0000,0.0242,Population structure converged. Difference: 0.0086
4,6,56.0855,54.9685,Warrior,80.0773,59.7070,51.1570,0.8574,8.2014,1.8956,200,56.1033,8.4347,11.7244,13.6659,0.0752,8.6629,0.0000,0.0242,Population structure converged. Difference: 0.0086
4,7,56.1033,55.6227,Warrior,77.6860,63.0127,51.0623,0.9428,7.2962,1.8859,200,56.1033,5.8368,7.2880,3.8748,0.0375,0.7942,0.0000,0.0242,Population structure converged. Difference: 0.0086
5,0,47.2011,33.8282,Warrior,66.3629,50.7232,54.7264,16.3963,11.7911,1.9032,200,56.6469,252.9626,315.3822,418.3171,434.0804,344.5207,0.0390,0.0357,Population structure converged. Difference: 0.0083
5,1,52.8233,41.7198,Warrior,72.9318,55.7440,60.1434,10.2275,0.9533,1.9032,200,56.6469,47.7748,127.9862,140.9377,97.8509,196.7002,0.0376,0.0357,Population structure converged. Difference: 0.0083
5,2,53.0837,46.7247,Warrior,73.1050,55.8765,60.5790,9.5494,0.8901,1.9032,200,56.6469,30.7278,61.0961,59.3342,21.9801,66.2738,0.0399,0.0357,Population structure converged. Difference: 0.0083
5,3,54.3840,50.8697,Warrior,81.7668,62.4969,41.2104,13.4570,1.0688,1.9032,200,56.6469,20.7087,61.4009,35.0864,10.4592,21.3413,0.0139,0.0357,Population structure converged. Difference: 0.0083
5,4,55.1145,52.5117,Warrior,82.3697,62.9577,41.9211,11.6642,1.0873,1.9032,200,56.6469,20.7366,86.9464,57.8195,1.9407,4.3851,0.0017,0.0357,Population structure converged. Difference: 0.0083
5,5,55.5392,53.3226,Warrior,82.5765,63.1158,42.6042,10.4067,1.2968,1.9032,200,56.6469,27.6195,143.0450,102.2982,2.2710,0.0147,0.0000,0.0357,Population structure converged. Difference: 0.0083
5,6,55.8788,54.0012,Warrior,84.8881,64.8826,38.5142,10.7162,0.9989,1.9032,200,56.6469,57.3119,133.6777,62.0096,2.9673,0.0145,0.0000,0.0357,Population structure converged. Difference: 0.0083
5,7,56.3692,54.8600,Warrior,83.8071,64.0564,42.2387,8.8129,1.0849,1.9032,200,56.6469,32.7664,56.0945,13.3405,2.4211,0.0202,0.0000,0.0357,Population structure converged. Difference: 0.0083
