Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.5230,36.5825,Warrior,61.4169,44.8950,75.2067,3.5497,14.9317,1.8565,200,46.6721,183.5539,293.3557,595.5899,324.4400,266.0174,0.0405,0.0109,Population structure converged. Difference: 0.0444
1,1,46.6634,42.9042,Warrior,59.1670,53.7859,69.8758,3.2981,13.8733,1.8565,200,46.6721,29.8563,62.6143,270.4178,145.2640,106.3512,0.0130,0.0109,Population structure converged. Difference: 0.0444
1,2,46.6721,44.6878,Warrior,59.1933,53.7758,69.8627,3.2975,13.8707,1.8565,200,46.6721,6.1261,12.9805,36.9303,1.5750,19.3528,0.0021,0.0109,Population structure converged. Difference: 0.0444
2,0,52.1435,39.8977,Warrior,68.1407,64.5789,47.8716,3.1375,16.2714,1.9230,200,57.9457,450.5714,277.3145,252.9283,252.7224,364.0602,0.0338,0.0195,Population structure converged. Difference: 0.0289
2,1,52.5484,47.0937,Warrior,104.3317,64.3169,22.6617,3.3272,5.3626,1.9797,200,57.9457,176.9242,79.0978,121.4766,96.4097,119.2322,0.0104,0.0195,Population structure converged. Difference: 0.0289
2,2,55.0504,49.6283,Warrior,69.7224,69.3386,51.3999,3.4736,6.0655,1.9230,200,57.9457,106.2532,16.2294,104.5031,32.5427,62.5816,0.0029,0.0195,Population structure converged. Difference: 0.0289
2,3,57.5522,51.6847,Warrior,84.4692,77.6372,27.6413,3.7114,6.5409,1.9230,200,57.9457,96.1640,27.4497,75.2327,2.9176,42.3315,0.0007,0.0195,Population structure converged. Difference: 0.0289
2,4,57.9457,54.1078,Warrior,84.9635,78.0914,27.8030,3.7331,5.4090,1.9230,200,57.9457,105.5222,48.6196,124.1286,0.0850,30.0679,0.0007,0.0195,Population structure converged. Difference: 0.0289
2,5,57.9457,56.3206,Warrior,84.9635,78.0914,27.8030,3.7331,5.4090,1.9230,200,57.9457,57.3274,31.2422,102.7738,0.0682,7.9372,0.0003,0.0195,Population structure converged. Difference: 0.0289
3,0,50.2456,39.2850,Warrior,77.6355,60.1384,36.7289,9.6518,15.8454,1.8663,200,50.2456,450.6578,286.8304,205.0769,321.0267,278.2628,0.0382,0.0069,Population structure converged. Difference: 0.0356
3,1,50.2456,48.5187,Warrior,77.6355,60.1384,36.7289,9.6518,15.8454,1.8663,200,50.2456,109.6757,51.4674,71.8086,42.8648,75.3020,0.0065,0.0069,Population structure converged. Difference: 0.0356
4,0,53.7618,38.6649,Warrior,76.3720,62.1772,47.2849,12.6302,1.5357,1.8995,200,58.7072,151.1350,258.0443,314.8490,354.0788,252.9112,0.0357,0.0184,Population structure converged. Difference: 0.0393
4,1,58.6595,47.5551,Warrior,83.0020,67.5748,45.2621,2.4921,1.6690,1.8995,200,58.7072,75.5075,55.4164,103.3618,88.4160,261.8434,0.0107,0.0184,Population structure converged. Difference: 0.0393
4,2,58.7041,53.1074,Warrior,83.0573,67.6199,45.2923,2.4938,1.5367,1.8995,200,58.7072,26.9267,36.0301,27.1425,44.5334,135.0266,0.0042,0.0184,Population structure converged. Difference: 0.0393
4,3,58.7072,56.4849,Warrior,83.0706,67.6307,45.2693,2.4925,1.5369,1.8995,200,58.7072,13.8251,19.8754,11.1799,21.3037,38.1816,0.0001,0.0184,Population structure converged. Difference: 0.0393
5,0,46.1676,34.2945,Warrior,69.9111,50.4891,41.3495,4.8806,33.3697,1.9204,200,54.4620,336.2897,328.6577,251.8291,309.8039,339.4577,0.0485,0.0156,Population structure converged. Difference: 0.0363
5,1,47.3449,41.5951,Warrior,66.6581,59.0615,38.6967,9.2278,26.3559,1.9204,200,54.4620,69.9883,127.4346,102.4453,117.4011,67.7265,0.0301,0.0156,Population structure converged. Difference: 0.0363
5,2,53.8080,44.4804,Warrior,69.7475,71.1946,45.7252,10.9038,2.4289,1.9204,200,54.4620,26.0155,68.4129,45.4108,64.0455,78.4079,0.0126,0.0156,Population structure converged. Difference: 0.0363
5,3,54.4620,48.5181,Warrior,72.3949,73.8969,39.8694,11.3177,2.5211,1.9204,200,54.4620,16.3854,83.7160,28.2981,24.9857,181.7288,0.0044,0.0156,Population structure converged. Difference: 0.0363
5,4,54.4620,52.5550,Warrior,72.3949,73.8969,39.8694,11.3177,2.5211,1.9204,200,54.4620,4.7724,44.2340,8.2173,7.4244,107.1665,0.0015,0.0156,Population structure converged. Difference: 0.0363
6,0,52.4623,39.3208,Warrior,88.2310,51.7802,41.2706,6.0539,12.6642,1.9295,200,54.7572,775.1451,287.7439,433.8068,336.5470,434.6772,0.0374,0.0168,Population structure converged. Difference: 0.0470
6,1,52.6924,48.0260,Warrior,83.4643,51.6793,47.1496,5.7268,11.9800,1.9295,200,54.7572,270.3907,106.8066,307.9337,90.5712,125.2207,0.0118,0.0168,Population structure converged. Difference: 0.0470
6,2,53.6049,50.2971,Warrior,91.5460,78.5067,10.6250,5.5947,13.7276,1.9295,200,54.7572,125.0086,58.9627,155.1495,21.5089,41.2389,0.0028,0.0168,Population structure converged. Difference: 0.0470
6,3,54.3955,51.5341,Warrior,78.4781,67.3001,36.8438,5.4045,11.9733,1.9295,200,54.7572,58.8321,76.1664,145.0955,0.8279,3.6942,0.0009,0.0168,Population structure converged. Difference: 0.0470
6,4,54.7572,52.2988,Warrior,79.7280,63.6151,41.1886,5.0028,10.4654,1.9295,200,54.7572,42.7171,103.8134,143.4193,0.3217,2.1834,0.0007,0.0168,Population structure converged. Difference: 0.0470
7,0,49.5218,38.3367,Warrior,83.3593,57.7512,36.9818,0.4660,21.4417,1.9796,200,50.6944,321.2873,165.9353,409.7976,322.7748,169.3313,0.0463,0.0136,Population structure converged. Difference: 0.0445
7,1,49.6639,45.3419,Warrior,83.5689,57.8964,37.0748,1.8389,19.6210,1.9796,200,50.6944,98.1633,56.9438,169.8419,95.6217,39.9924,0.0212,0.0136,Population structure converged. Difference: 0.0445
7,2,50.6944,47.3244,Warrior,82.4633,60.2710,38.5954,1.5999,17.0705,1.9796,200,50.6944,61.6977,66.5067,172.4476,27.8616,25.6260,0.0098,0.0136,Population structure converged. Difference: 0.0445
7,3,50.6944,48.5356,Warrior,82.4633,60.2710,38.5954,1.5999,17.0705,1.9796,200,50.6944,27.0505,49.6708,92.5226,31.3996,25.4075,0.0070,0.0136,Population structure converged. Difference: 0.0445
8,0,48.2905,35.6360,Warrior,80.6142,85.3741,14.1765,17.0077,2.8276,1.8036,200,52.2163,221.7278,254.7722,264.7137,196.0696,423.8334,0.0219,0.0199,Population structure converged. Difference: 0.0275
8,1,48.2905,42.5407,Warrior,80.6142,85.3741,14.1765,17.0077,2.8276,1.8036,200,52.2163,109.9353,131.4896,211.4704,45.0919,120.2845,0.0102,0.0199,Population structure converged. Difference: 0.0275
8,2,50.1976,45.7157,Warrior,73.5152,86.3366,17.0695,20.4784,2.6004,1.8658,200,52.2163,106.8582,114.5563,248.8550,10.8049,70.1487,0.0035,0.0199,Population structure converged. Difference: 0.0275
8,3,52.1973,48.0103,Warrior,80.9079,85.6852,14.2282,17.0696,2.1091,1.8658,200,52.2163,47.2438,39.4561,107.6888,4.3754,0.9951,0.0004,0.0199,Population structure converged. Difference: 0.0275
8,4,52.1973,49.2500,Warrior,80.9079,85.6852,14.2282,17.0696,2.1091,1.8658,200,52.2163,26.0844,16.4262,39.1412,2.5704,0.9779,0.0008,0.0199,Population structure converged. Difference: 0.0275
8,5,52.2163,50.8170,Warrior,80.9539,85.7339,14.1846,17.0173,2.1103,1.8658,200,52.2163,7.5617,3.9574,0.8506,0.9531,0.0689,0.0006,0.0199,Population structure converged. Difference: 0.0275
