Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.4287,33.7585,Warrior,77.6710,87.3596,15.8521,17.9716,1.1457,1.4809,200,52.0382,279.6551,481.4366,319.5625,304.6462,318.2448,0.0322,0.0333,Population structure converged. Difference: 0.0427
1,1,50.4198,40.2555,Warrior,74.9971,84.3521,24.9958,14.5487,1.1063,1.8223,200,52.0382,152.2598,254.8961,107.6002,88.2559,264.3540,0.0371,0.0333,Population structure converged. Difference: 0.0427
1,2,51.7426,44.7459,Warrior,77.8270,87.5350,22.1772,11.3128,1.1480,1.8223,200,52.0382,80.3316,136.5945,42.2316,48.5699,89.3665,0.0410,0.0333,Population structure converged. Difference: 0.0427
1,3,51.7426,48.0994,Warrior,77.8270,87.5350,22.1772,11.3128,1.1480,1.8223,200,52.0382,79.0145,72.1849,23.4629,23.6777,15.6848,0.0226,0.0333,Population structure converged. Difference: 0.0427
1,4,52.0382,49.9095,Warrior,86.3692,77.9286,22.8187,11.6400,1.2435,1.9844,200,52.0382,53.3566,43.8064,11.0106,15.9948,0.0070,0.0092,0.0333,Population structure converged. Difference: 0.0427
2,0,52.6858,37.6220,Warrior,72.1675,60.1424,49.1238,3.2181,15.3482,1.9248,200,52.6858,233.9798,289.5019,382.2789,374.5541,285.7636,0.0352,0.0274,Population structure converged. Difference: 0.0130
2,1,52.6858,49.1420,Warrior,72.1675,60.1424,49.1238,3.2181,15.3482,1.9248,200,52.6858,131.4519,70.6066,120.5993,114.8085,74.0381,0.0154,0.0274,Population structure converged. Difference: 0.0130
2,2,52.6858,52.0073,Warrior,72.1675,60.1424,49.1238,3.2181,15.3482,1.9248,200,52.6858,28.7170,15.4918,26.5299,12.6596,9.4795,0.0038,0.0274,Population structure converged. Difference: 0.0130
3,0,44.4399,33.1367,Warrior,59.8303,59.1739,39.7000,9.3942,31.9016,1.9369,200,47.3315,244.7181,305.7140,238.3845,458.2737,313.0094,0.0379,0.0421,Population structure converged. Difference: 0.0444
3,1,45.1372,39.1313,Warrior,62.1758,51.2548,49.3823,4.0350,33.1522,1.9369,200,47.3315,133.9297,161.6652,64.8055,216.7748,257.3280,0.0393,0.0421,Population structure converged. Difference: 0.0444
3,2,45.6857,42.3351,Warrior,61.2694,60.5972,40.6549,3.5956,33.8829,1.9369,200,47.3315,49.2482,79.2699,30.7949,71.4611,32.0764,0.0133,0.0421,Population structure converged. Difference: 0.0444
3,3,46.4361,43.7837,Warrior,59.9284,63.5707,42.6499,3.8024,30.0486,1.9369,200,47.3315,36.6639,52.3950,18.4270,22.2889,13.2983,0.0021,0.0421,Population structure converged. Difference: 0.0444
3,4,46.9623,44.6828,Warrior,69.1886,51.5760,44.5655,3.8308,30.8390,1.9369,200,47.3315,14.3726,30.0974,15.4693,22.1406,5.7356,0.0012,0.0421,Population structure converged. Difference: 0.0444
3,5,47.3315,45.3180,Warrior,60.8479,64.5461,43.3042,3.5202,27.7816,1.9369,200,47.3315,11.2641,30.8222,15.3757,20.4625,6.5222,0.0005,0.0421,Population structure converged. Difference: 0.0444
4,0,45.5735,35.1569,Warrior,71.5961,37.6956,63.8323,6.2049,20.6712,1.8671,200,52.4559,310.7834,263.4426,374.9236,377.0740,245.5483,0.0417,0.0505,Population structure converged. Difference: 0.0235
4,1,48.8150,42.7140,Warrior,65.0971,68.1351,39.6820,3.9208,23.1650,1.8671,200,52.4559,129.1546,71.2590,143.3028,145.4757,82.1014,0.0127,0.0505,Population structure converged. Difference: 0.0235
4,2,48.8150,45.2989,Warrior,65.0971,68.1351,39.6820,3.9208,23.1650,1.8671,200,52.4559,30.9278,24.6228,26.8655,14.2918,8.8126,0.0015,0.0505,Population structure converged. Difference: 0.0235
4,3,52.1196,46.1742,Warrior,68.7598,71.9687,41.9146,4.1414,13.2156,1.8671,200,52.4559,19.0436,60.4242,51.3475,2.4111,12.1943,0.0000,0.0505,Population structure converged. Difference: 0.0235
4,4,52.1196,47.5602,Warrior,68.7598,71.9687,41.9146,4.1414,13.2156,1.8671,200,52.4559,35.2237,179.7918,121.9896,1.2134,20.4812,0.0000,0.0505,Population structure converged. Difference: 0.0235
4,5,52.4559,49.5839,Warrior,72.4928,66.8172,42.9177,4.2405,13.5319,1.8671,200,52.4559,38.8013,186.7290,105.8014,1.4599,19.2661,0.0000,0.0505,Population structure converged. Difference: 0.0235
4,6,52.4559,51.2500,Warrior,72.4928,66.8172,42.9177,4.2405,13.5319,1.8671,200,52.4559,22.2997,70.3705,32.2957,0.5093,9.8590,0.0000,0.0505,Population structure converged. Difference: 0.0235
5,0,48.0727,34.0393,Warrior,66.4676,63.5684,49.7184,13.3600,6.8855,1.8364,200,55.4819,173.0006,309.7605,592.0358,283.4883,437.8988,0.0301,0.0525,Population structure converged. Difference: 0.0369
5,1,50.0660,41.1216,Warrior,66.4676,63.5684,49.7184,13.3600,6.8855,1.8795,200,55.4819,74.2102,160.3934,395.3785,102.6466,250.4599,0.0096,0.0525,Population structure converged. Difference: 0.0369
5,2,50.0660,46.0068,Warrior,66.4676,63.5684,49.7184,13.3600,6.8855,1.8795,200,55.4819,32.3410,45.7417,138.8956,15.7204,56.1145,0.0032,0.0525,Population structure converged. Difference: 0.0369
5,3,52.4436,48.0951,Warrior,70.2415,65.6961,56.2148,0.5544,7.2933,1.8364,200,55.4819,9.4413,14.2675,27.8543,6.2503,0.2812,0.0033,0.0525,Population structure converged. Difference: 0.0369
5,4,55.1021,49.3423,Warrior,71.0146,67.9170,53.1196,0.5923,7.3565,1.8795,200,55.4819,5.0280,7.6112,14.4821,15.7616,0.2215,0.0053,0.0525,Population structure converged. Difference: 0.0369
5,5,55.4819,51.1214,Warrior,73.4836,66.3765,51.9147,0.6129,7.6123,1.8795,200,55.4819,5.4321,3.7430,10.9106,39.3112,0.1715,0.0021,0.0525,Population structure converged. Difference: 0.0369
5,6,55.4819,53.5059,Warrior,73.4836,66.3765,51.9147,0.6129,7.6123,1.8795,200,55.4819,5.2221,3.1287,8.2827,23.1284,0.0864,0.0003,0.0525,Population structure converged. Difference: 0.0369
6,0,49.3885,34.3240,Warrior,66.4610,71.3732,48.7275,4.1008,9.3374,1.9866,200,52.5025,336.5240,391.9230,536.8593,372.5870,418.0529,0.0455,0.0727,Population structure converged. Difference: 0.0355
