Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.5665,30.6607,Warrior,55.2136,67.0445,72.3047,3.1881,2.2492,1.9858,200,50.5997,533.1093,396.2763,410.6397,500.4848,426.3813,0.0396,0.0689,Population structure converged. Difference: 0.0095
1,1,45.5665,33.9698,Warrior,55.2136,67.0445,72.3047,3.1881,2.2492,1.9858,200,50.5997,584.5060,280.7336,301.3007,521.9828,479.9654,0.0348,0.0689,Population structure converged. Difference: 0.0095
1,2,46.2224,38.0172,Warrior,81.4225,60.1018,54.1016,1.7225,2.6516,1.7032,200,50.5997,466.8340,166.2560,250.1689,298.4278,409.3510,0.0219,0.0689,Population structure converged. Difference: 0.0095
1,3,48.0433,42.1100,Warrior,93.4465,49.3404,53.2116,2.3462,1.6553,1.7600,200,50.5997,210.6792,65.3491,86.1002,78.5456,136.7185,0.0092,0.0689,Population structure converged. Difference: 0.0095
1,4,48.0433,43.0027,Warrior,93.4465,49.3404,53.2116,2.3462,1.6553,1.7600,200,50.5997,135.2867,56.3187,55.6456,29.1487,81.6438,0.0055,0.0689,Population structure converged. Difference: 0.0095
1,5,48.0433,44.3467,Warrior,93.4465,49.3404,53.2116,2.3462,1.6553,1.7600,200,50.5997,43.9561,22.1007,49.0271,13.9565,16.9759,0.0031,0.0689,Population structure converged. Difference: 0.0095
1,6,48.3633,44.8667,Warrior,97.7713,51.6240,46.4088,2.4548,1.7411,1.7600,200,50.5997,32.4950,14.8204,48.7586,10.7509,5.0195,0.0053,0.0689,Population structure converged. Difference: 0.0095
1,7,48.6229,45.4547,Warrior,95.5119,52.7649,47.4345,2.5091,1.7796,1.7600,200,50.5997,31.4799,18.9133,42.0136,6.8324,3.2044,0.0044,0.0689,Population structure converged. Difference: 0.0095
1,8,48.6229,46.1385,Warrior,95.5119,52.7649,47.4345,2.5091,1.7796,1.7600,200,50.5997,22.2536,21.1270,24.5615,6.7495,3.2093,0.0038,0.0689,Population structure converged. Difference: 0.0095
1,9,49.8645,47.1061,Warrior,94.2502,60.2750,41.4389,2.3664,1.6695,1.7600,200,50.5997,13.6462,13.2659,19.9586,0.1333,0.1016,0.0033,0.0689,Population structure converged. Difference: 0.0095
