Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,54.7551,37.5234,Warrior,77.4454,59.3768,54.7441,5.4710,2.9626,1.8774,200,57.5124,718.7212,429.0067,482.5244,291.1112,344.0130,0.0351,0.0221,Population structure converged. Difference: 0.0494
1,1,56.3637,49.2595,Warrior,82.7685,63.4579,46.0093,4.5981,3.1662,1.8774,200,57.5124,473.4031,190.9471,249.2034,134.4172,145.7345,0.0132,0.0221,Population structure converged. Difference: 0.0494
1,2,57.2762,53.6950,Warrior,86.4784,66.3023,40.4013,4.0376,2.7803,1.8774,200,57.5124,109.5477,60.2840,162.4158,15.5776,47.6467,0.0010,0.0221,Population structure converged. Difference: 0.0494
1,3,57.5124,54.8072,Warrior,88.9289,68.1899,35.8923,3.5870,3.4019,1.8774,200,57.5124,57.4491,79.3816,294.0323,6.1655,0.2018,0.0000,0.0221,Population structure converged. Difference: 0.0494
2,0,51.2825,33.5611,Warrior,80.4445,69.6561,48.6974,0.5504,0.6516,1.4609,200,60.8096,309.0163,324.7963,475.3281,333.6213,342.9122,0.0293,0.0324,Population structure converged. Difference: 0.0284
2,1,52.9987,41.8661,Warrior,61.6941,80.5806,56.3349,0.6367,0.7538,1.8582,200,60.8096,212.3825,193.1948,263.0234,288.2196,211.6266,0.0340,0.0324,Population structure converged. Difference: 0.0284
2,2,57.0529,48.7910,Warrior,115.4518,79.9858,3.2391,0.7545,0.5689,1.9318,200,60.8096,106.9536,132.5574,124.0256,97.8317,183.4873,0.0437,0.0324,Population structure converged. Difference: 0.0284
2,3,60.4551,52.1880,Warrior,87.1189,75.4354,35.8541,0.4447,1.1469,1.9318,200,60.8096,171.0036,156.4136,291.6231,26.2708,95.0938,0.0490,0.0324,Population structure converged. Difference: 0.0284
2,4,60.7853,56.2137,Warrior,87.3415,75.6282,35.9458,0.4458,0.6387,1.9247,200,60.8096,260.3219,188.0714,413.5585,8.9046,35.6856,0.0227,0.0324,Population structure converged. Difference: 0.0284
2,5,60.8096,59.1279,Warrior,90.2516,73.6746,35.0173,0.4343,0.6222,1.9247,200,60.8096,123.0983,78.3034,210.7097,0.0401,8.5627,0.0005,0.0324,Population structure converged. Difference: 0.0284
