Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.6027,32.0200,Warrior,68.3605,55.3195,54.7287,10.9525,10.6388,1.9429,200,58.2338,458.8202,418.0185,358.7817,613.2453,366.6913,0.0495,0.0230,Population structure converged. Difference: 0.0437
1,1,54.5320,37.7543,Warrior,83.2917,67.4024,32.5608,3.7825,12.9625,1.9429,200,58.2338,344.6070,247.9399,305.5530,463.2688,252.9729,0.0494,0.0230,Population structure converged. Difference: 0.0437
1,2,57.9955,42.0758,Warrior,87.8167,71.0642,34.3298,3.9880,2.8014,1.9429,200,58.2338,284.7231,250.7171,255.2164,362.5203,211.5156,0.0289,0.0230,Population structure converged. Difference: 0.0437
1,3,58.1073,46.0378,Warrior,88.6923,71.7727,32.8855,3.8202,2.8293,1.9429,200,58.2338,141.6589,209.3044,211.6238,240.9039,204.7726,0.0223,0.0230,Population structure converged. Difference: 0.0437
1,4,58.3062,50.4994,Warrior,90.7107,73.4061,29.5560,3.4334,2.8937,1.9429,200,58.2338,86.7964,162.9877,123.2002,69.0177,167.9667,0.0123,0.0230,Population structure converged. Difference: 0.0437
1,5,59.1573,53.5480,Warrior,89.1010,72.1035,34.8318,1.1213,2.8423,1.9429,200,58.2338,62.3138,117.1668,98.2926,44.6081,93.9021,0.0095,0.0230,Population structure converged. Difference: 0.0437
1,6,58.2338,55.7948,Warrior,90.1775,72.9746,30.3506,3.5257,2.9715,1.9429,200,58.2338,19.2802,58.7586,34.6179,27.7993,23.8228,0.0029,0.0230,Population structure converged. Difference: 0.0437
2,0,53.7444,35.1072,Warrior,72.6257,68.2389,44.3160,2.7611,12.0583,1.8762,200,54.1954,442.4635,712.0569,439.7039,478.7446,528.5037,0.0381,0.0170,Population structure converged. Difference: 0.0324
2,1,53.7444,43.7978,Warrior,72.6257,68.2389,44.3160,2.7611,12.0583,1.8762,200,54.1954,274.0988,478.7457,226.8911,360.6779,303.2228,0.0232,0.0170,Population structure converged. Difference: 0.0324
2,2,54.6596,49.7818,Warrior,79.6582,64.4714,41.8692,2.6087,11.3926,1.8762,200,54.1954,73.1135,264.7150,73.6168,172.6456,55.7013,0.0068,0.0170,Population structure converged. Difference: 0.0324
2,3,54.2603,50.5766,Warrior,78.3787,63.4358,43.6041,2.7168,11.8646,1.8762,200,54.1954,48.7323,196.3552,58.9930,158.4247,35.9846,0.0061,0.0170,Population structure converged. Difference: 0.0324
2,4,54.1954,52.4964,Warrior,73.8309,69.3714,42.5641,2.6520,11.5816,1.8762,200,54.1954,23.3248,63.3926,37.0519,41.3798,10.9695,0.0028,0.0170,Population structure converged. Difference: 0.0324
3,0,47.7768,32.6385,Warrior,78.8017,58.4123,36.6831,15.8771,10.2258,1.9785,200,47.7768,534.5068,327.4272,363.1974,398.5301,337.9252,0.0441,0.0128,Population structure converged. Difference: 0.0491
3,1,47.7768,38.0943,Warrior,78.8017,58.4123,36.6831,15.8771,10.2258,1.9785,200,47.7768,495.2542,259.1542,211.3706,248.4411,255.8243,0.0434,0.0128,Population structure converged. Difference: 0.0491
3,2,47.7768,43.2435,Warrior,78.8017,58.4123,36.6831,15.8771,10.2258,1.9785,200,47.7768,233.8037,129.5814,117.8610,124.8672,160.8758,0.0292,0.0128,Population structure converged. Difference: 0.0491
3,3,47.7768,45.5396,Warrior,78.8017,58.4123,36.6831,15.8771,10.2258,1.9785,200,47.7768,88.3905,79.3487,43.9398,104.3263,70.8397,0.0133,0.0128,Population structure converged. Difference: 0.0491
4,0,48.7182,31.3864,Warrior,87.7947,76.5307,5.1063,12.6454,17.9230,1.9510,200,52.8380,331.7771,577.9724,437.4641,346.9768,363.4777,0.0362,0.0351,Population structure converged. Difference: 0.0396
4,1,48.8606,36.8549,Warrior,87.3095,76.1078,6.1833,12.5755,17.8239,1.9510,200,52.8380,393.2510,474.2048,478.6374,263.4621,272.9088,0.0359,0.0351,Population structure converged. Difference: 0.0396
4,2,48.8753,41.3749,Warrior,87.3547,76.1473,6.1524,12.5125,17.8332,1.9510,200,52.8380,326.1218,386.5983,360.7696,174.8956,207.6936,0.0334,0.0351,Population structure converged. Difference: 0.0396
4,3,49.9931,45.1157,Warrior,75.6738,65.9650,30.9158,15.0085,12.4369,1.9510,200,52.8380,176.4090,253.9155,167.0295,109.2782,128.5778,0.0149,0.0351,Population structure converged. Difference: 0.0396
4,4,50.4310,46.9349,Warrior,74.2892,64.7580,34.9566,10.7540,15.2422,1.9510,200,52.8380,87.8891,98.1295,93.4147,33.4490,56.9087,0.0056,0.0351,Population structure converged. Difference: 0.0396
4,5,51.7762,47.6928,Warrior,77.9433,67.9433,31.0341,9.5473,13.5319,1.9510,200,52.8380,45.8608,64.3714,59.2394,23.3499,25.4414,0.0039,0.0351,Population structure converged. Difference: 0.0396
4,6,51.7762,48.2984,Warrior,77.9433,67.9433,31.0341,9.5473,13.5319,1.9510,200,52.8380,21.0941,27.1693,67.3991,6.8871,3.3963,0.0031,0.0351,Population structure converged. Difference: 0.0396
4,7,52.6020,48.8281,Warrior,80.3838,70.0706,28.4145,8.7414,12.3897,1.9510,200,52.8380,13.5518,20.8490,77.1063,1.4493,3.4240,0.0003,0.0351,Population structure converged. Difference: 0.0396
4,8,52.6020,49.4124,Warrior,80.3838,70.0706,28.4145,8.7414,12.3897,1.9510,200,52.8380,20.6963,20.6385,121.9808,2.5244,5.4151,0.0000,0.0351,Population structure converged. Difference: 0.0396
4,9,52.8380,50.0980,Warrior,76.6692,76.5385,26.8355,8.2557,11.7012,1.9510,200,52.8380,23.2517,22.6377,149.2948,3.5474,6.9791,0.0000,0.0351,Population structure converged. Difference: 0.0396
4,10,52.8380,50.8261,Warrior,76.6692,76.5385,26.8355,8.2557,11.7012,1.9510,200,52.8380,24.8002,25.2276,136.2957,3.0490,5.6209,0.0000,0.0351,Population structure converged. Difference: 0.0396
5,0,50.1969,33.3639,Warrior,93.3337,61.7464,33.6039,2.9992,8.3168,1.7904,200,56.6902,612.3707,968.0960,480.4245,452.5984,625.5630,0.0494,0.0293,Population structure converged. Difference: 0.0383
