Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.5121,32.9240,Warrior,81.8897,58.8891,12.7204,28.9098,17.5910,1.8936,200,50.8139,256.7542,345.3758,462.8497,304.6304,339.8640,0.0408,0.0179,Population structure converged. Difference: 0.0468
1,1,48.9450,38.6706,Warrior,68.5620,49.3049,59.7437,7.8466,14.5429,1.8936,200,50.8139,145.2451,156.7886,365.4298,109.7593,145.6709,0.0314,0.0179,Population structure converged. Difference: 0.0468
1,2,49.8811,42.5823,Warrior,75.0574,46.8683,56.7913,7.4588,13.8242,1.8936,200,50.8139,108.3014,71.8839,387.1156,70.2046,39.7818,0.0129,0.0179,Population structure converged. Difference: 0.0468
1,3,50.1188,46.9622,Warrior,75.3910,47.0767,57.0437,7.4920,12.9966,1.8936,200,50.8139,51.4290,38.3595,172.0521,51.4079,2.5972,0.0000,0.0179,Population structure converged. Difference: 0.0468
1,4,50.8139,48.5401,Warrior,80.0691,57.5799,36.2039,9.1635,16.9837,1.8936,200,50.8139,25.5711,19.7332,28.6396,12.6133,1.2976,0.0000,0.0179,Population structure converged. Difference: 0.0468
2,0,47.1748,33.7283,Warrior,74.0411,41.8103,59.1403,8.5443,16.4639,1.9536,200,53.1789,220.5415,333.7571,286.4793,290.6939,410.7768,0.0433,0.0276,Population structure converged. Difference: 0.0446
2,1,48.3516,42.1114,Warrior,69.1874,67.7859,31.8264,13.3089,17.8914,1.9536,200,53.1789,88.9305,143.1367,156.1683,88.9131,155.5865,0.0234,0.0276,Population structure converged. Difference: 0.0446
2,2,49.7831,45.5208,Warrior,69.1215,54.4205,57.3521,8.2860,10.8199,1.9536,200,53.1789,42.0890,55.2693,90.8630,18.8817,28.1078,0.0034,0.0276,Population structure converged. Difference: 0.0446
2,3,50.1193,46.7996,Warrior,70.2705,71.2728,33.4635,13.9935,10.9997,1.9536,200,53.1789,43.1526,86.8168,109.0138,16.0385,18.7440,0.0003,0.0276,Population structure converged. Difference: 0.0446
2,4,50.5269,47.6662,Warrior,73.6581,52.5341,55.3642,7.9988,10.4448,1.9536,200,53.1789,33.7112,88.2875,137.9598,15.5201,17.0948,0.0003,0.0276,Population structure converged. Difference: 0.0446
2,5,52.8000,48.8027,Warrior,77.3184,70.3100,33.0115,8.3962,10.9639,1.9536,200,53.1789,18.2166,62.9747,109.2900,9.5740,8.7568,0.0000,0.0276,Population structure converged. Difference: 0.0446
2,6,53.1469,49.6866,Warrior,77.7321,70.6861,33.1881,7.9771,10.4166,1.9536,200,53.1789,15.8666,61.5921,103.0773,8.5204,6.8561,0.0000,0.0276,Population structure converged. Difference: 0.0446
2,7,53.1789,50.9107,Warrior,77.7701,70.7207,33.2044,7.9386,10.3662,1.9536,200,53.1789,15.8436,55.8484,96.7847,4.5946,4.9188,0.0000,0.0276,Population structure converged. Difference: 0.0446
3,0,48.3284,35.1161,Warrior,65.4462,63.0680,40.1143,1.4850,29.8866,1.9332,200,52.8117,279.6007,365.3734,310.1619,364.2032,253.8284,0.0395,0.0307,Population structure converged. Difference: 0.0293
3,1,49.7180,43.6856,Warrior,68.8092,65.3393,36.9526,1.3679,27.5310,1.9332,200,52.8117,46.5707,164.4568,92.1245,81.2568,43.0445,0.0194,0.0307,Population structure converged. Difference: 0.0293
3,2,52.3961,46.5959,Warrior,67.7235,72.0518,40.7489,1.5085,17.9673,1.9332,200,52.8117,12.7514,69.1291,28.4167,15.4488,11.7090,0.0021,0.0307,Population structure converged. Difference: 0.0293
3,3,52.6424,47.6506,Warrior,70.8012,67.2307,41.9285,1.5521,18.4875,1.9332,200,52.8117,12.5191,15.1394,1.1297,6.8676,9.6167,0.0000,0.0307,Population structure converged. Difference: 0.0293
3,4,52.7778,49.4205,Warrior,71.7299,68.8565,38.9418,1.4416,19.0302,1.9332,200,52.8117,17.7272,9.0551,2.7385,0.0045,24.5622,0.0000,0.0307,Population structure converged. Difference: 0.0293
3,5,52.8117,51.3083,Warrior,71.3819,70.1504,38.1187,1.4111,18.9379,1.9332,200,52.8117,12.1139,7.0180,2.3353,0.0048,19.1625,0.0000,0.0307,Population structure converged. Difference: 0.0293
4,0,48.5934,35.3536,Warrior,78.0519,43.4407,62.3248,8.8185,7.3642,1.9668,200,53.2827,271.6242,403.7074,279.3674,297.7805,400.1609,0.0350,0.0259,Population structure converged. Difference: 0.0477
4,1,52.4784,43.5619,Warrior,75.5560,76.6644,31.0502,9.1164,7.6130,1.9668,200,53.2827,132.9921,190.8865,107.8737,145.3568,167.7278,0.0140,0.0259,Population structure converged. Difference: 0.0477
4,2,52.5021,47.1760,Warrior,75.9413,77.0554,30.1886,9.1629,7.6518,1.9668,200,53.2827,71.3896,77.9991,70.5000,29.2871,14.9696,0.0047,0.0259,Population structure converged. Difference: 0.0477
4,3,52.6243,49.4035,Warrior,75.7471,76.8583,31.1287,9.1395,7.1263,1.9668,200,53.2827,71.8430,72.2583,32.3460,13.9896,11.3651,0.0073,0.0259,Population structure converged. Difference: 0.0477
4,4,53.2827,50.8590,Warrior,83.0421,72.0526,29.1823,8.5680,7.1550,1.9668,200,53.2827,38.0628,33.0858,16.6616,8.5329,10.1081,0.0050,0.0259,Population structure converged. Difference: 0.0477
5,0,49.5912,33.4311,Warrior,89.7152,45.8571,42.2482,2.1301,20.0495,1.8711,200,56.8294,481.1282,219.3141,255.8271,312.4414,366.7988,0.0347,0.0157,Population structure converged. Difference: 0.0495
5,1,53.9336,41.3904,Warrior,97.1168,49.6404,45.7338,2.3058,5.2033,1.8645,200,56.8294,307.1461,178.0253,109.2911,212.4007,289.8123,0.0159,0.0157,Population structure converged. Difference: 0.0495
5,2,53.9745,47.8380,Warrior,95.0297,48.5735,48.4429,2.4424,5.5115,1.8711,200,56.8294,266.5383,108.5109,40.2050,86.6840,119.4730,0.0060,0.0157,Population structure converged. Difference: 0.0495
5,3,56.8294,52.0559,Warrior,86.2173,65.5748,40.6010,2.0470,5.5599,1.8711,200,56.8294,96.2494,66.5259,13.3921,12.6168,41.8011,0.0028,0.0157,Population structure converged. Difference: 0.0495
5,4,56.8294,54.1478,Warrior,86.2173,65.5748,40.6010,2.0470,5.5599,1.8711,200,56.8294,49.4113,52.8636,11.6546,0.4603,17.0633,0.0009,0.0157,Population structure converged. Difference: 0.0495
6,0,52.7203,35.3779,Warrior,69.8753,57.7180,59.5177,3.8197,9.0692,1.8960,200,54.4512,325.8244,424.1503,458.7659,440.7214,425.8992,0.0438,0.0130,Population structure converged. Difference: 0.0476
6,1,52.7524,43.8125,Warrior,76.7282,54.3059,54.9565,10.3177,3.6917,1.8960,200,54.4512,123.6236,151.0976,162.7491,197.1715,74.9191,0.0388,0.0130,Population structure converged. Difference: 0.0476
6,2,54.2862,49.5416,Warrior,71.7578,59.2729,61.1212,3.9226,3.9255,1.8960,200,54.4512,26.3319,31.1973,18.6942,13.6560,5.0790,0.0379,0.0130,Population structure converged. Difference: 0.0476
6,3,54.4512,51.9792,Warrior,72.9091,58.6441,60.4727,3.9855,3.9885,1.8960,200,54.4512,4.7549,4.2187,2.9924,2.9092,2.3212,0.0150,0.0130,Population structure converged. Difference: 0.0476
7,0,55.9481,38.5383,Warrior,82.8888,95.3962,10.2478,3.5160,7.9513,1.9017,200,56.0873,345.3793,392.3903,325.5693,556.1323,293.1141,0.0448,0.0097,Population structure converged. Difference: 0.0305
7,1,56.0873,50.8424,Warrior,79.9391,63.6683,45.3840,3.3403,7.6683,1.9017,200,56.0873,140.2654,198.7419,185.7889,130.0187,156.2894,0.0218,0.0097,Population structure converged. Difference: 0.0305
7,2,56.0873,54.4293,Warrior,79.9391,63.6683,45.3840,3.3403,7.6683,1.9017,200,56.0873,59.3845,95.9146,90.7147,28.2803,29.7266,0.0064,0.0097,Population structure converged. Difference: 0.0305
8,0,54.2010,36.7478,Warrior,83.3420,70.5972,27.5363,3.0097,15.5149,1.8882,200,54.5410,449.3655,442.0439,322.1385,467.3958,356.4673,0.0389,0.0101,Population structure converged. Difference: 0.0382
8,1,54.5410,48.7090,Warrior,83.7724,70.9618,27.6785,3.0253,14.5621,1.8882,200,54.5410,230.7569,164.4085,98.4658,309.8182,96.5798,0.0144,0.0101,Population structure converged. Difference: 0.0382
8,2,54.5410,52.5342,Warrior,83.7724,70.9618,27.6785,3.0253,14.5621,1.8882,200,54.5410,129.3068,51.3846,35.8198,67.8972,51.3295,0.0043,0.0101,Population structure converged. Difference: 0.0382
