Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.7551,33.7642,Warrior,78.4252,80.2748,13.1696,24.8447,3.2857,1.9408,200,59.2864,537.7127,674.8520,373.4550,592.4562,459.8373,0.0443,0.0237,Population structure converged. Difference: 0.0248
1,1,57.9086,41.0950,Warrior,75.2468,74.5763,46.4457,0.2265,3.5047,1.9408,200,59.2864,315.7473,435.1796,358.1991,461.8680,187.5416,0.0451,0.0237,Population structure converged. Difference: 0.0248
1,2,58.9319,48.0327,Warrior,89.8162,89.0159,16.7142,0.2704,4.1833,1.9408,200,59.2864,147.2673,217.1594,332.0247,235.8185,89.9618,0.0528,0.0237,Population structure converged. Difference: 0.0248
1,3,59.1814,53.3850,Warrior,90.1418,89.3386,16.7748,0.2273,3.5174,1.9408,200,59.2864,76.2775,76.0037,302.7701,73.4833,51.5460,0.0429,0.0237,Population structure converged. Difference: 0.0248
1,4,59.1973,56.0489,Warrior,90.1621,89.3588,16.7786,0.2079,3.4926,1.9408,200,59.2864,66.8034,75.0990,296.7487,17.7376,32.3140,0.0244,0.0237,Population structure converged. Difference: 0.0248
1,5,59.2864,57.8504,Warrior,82.6702,78.5445,35.1787,0.2489,3.3577,1.9408,200,59.2864,59.8771,64.0999,240.2780,5.3577,8.5329,0.0074,0.0237,Population structure converged. Difference: 0.0248
2,0,50.5322,34.4758,Warrior,82.1440,52.7141,44.6255,19.3741,1.1423,1.8886,200,54.1116,448.5105,401.9918,328.7871,276.1761,379.4206,0.0433,0.0255,Population structure converged. Difference: 0.0486
2,1,51.2454,41.2300,Warrior,82.3349,52.8366,46.3308,17.3527,1.1449,1.8886,200,54.1116,300.9157,226.2221,218.4242,155.1925,258.9189,0.0283,0.0255,Population structure converged. Difference: 0.0486
2,2,52.9866,46.7786,Warrior,70.5873,64.5202,50.9532,12.5896,1.3498,1.9055,200,54.1116,152.0793,124.8339,79.9403,60.7520,135.1638,0.0074,0.0255,Population structure converged. Difference: 0.0486
2,3,53.1886,48.7399,Warrior,85.0284,54.5651,46.1925,13.0317,1.1824,1.8886,200,54.1116,108.1414,63.1020,51.2349,35.1378,56.3489,0.0018,0.0255,Population structure converged. Difference: 0.0486
2,4,53.1295,49.9431,Warrior,82.3729,52.8610,50.8539,12.5651,1.3472,1.9055,200,54.1116,71.0597,21.5835,25.1816,7.7648,40.4474,0.0000,0.0255,Population structure converged. Difference: 0.0486
2,5,53.8812,50.6253,Warrior,78.2297,58.4261,50.2210,11.8524,1.2708,1.9055,200,54.1116,56.0560,18.3467,19.3983,6.7905,28.8476,0.0001,0.0255,Population structure converged. Difference: 0.0486
