Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.6968,28.0955,Warrior,66.3000,61.1078,50.4576,3.0866,19.0480,1.9562,200,56.2757,477.8219,463.3223,662.4865,459.5977,348.0710,0.0465,0.0470,Population structure converged. Difference: 0.0098
1,1,49.6968,32.5456,Warrior,66.3000,61.1078,50.4576,3.0866,19.0480,1.9562,200,56.2757,299.6301,440.4152,659.7247,369.4157,354.4949,0.0439,0.0470,Population structure converged. Difference: 0.0098
1,2,49.6968,36.1504,Warrior,66.3000,61.1078,50.4576,3.0866,19.0480,1.9562,200,56.2757,211.3795,353.0943,544.3961,334.5012,287.1134,0.0515,0.0470,Population structure converged. Difference: 0.0098
1,3,51.5407,40.7261,Warrior,68.4166,63.0586,52.0684,3.1851,13.2712,1.9562,200,56.2757,92.9205,336.4084,355.0872,317.4449,197.5091,0.0391,0.0470,Population structure converged. Difference: 0.0098
1,4,51.7640,43.7969,Warrior,68.9188,63.5216,51.3351,3.1403,13.0843,1.9562,200,56.2757,54.6322,262.7273,239.2556,256.9139,181.2252,0.0229,0.0470,Population structure converged. Difference: 0.0098
1,5,51.7831,45.5571,Warrior,68.9373,63.5386,51.3488,3.0874,13.0878,1.9562,200,56.2757,46.8648,161.9448,193.1070,157.4600,161.6470,0.0121,0.0470,Population structure converged. Difference: 0.0098
1,6,55.4376,46.8149,Warrior,73.7945,68.0154,52.5874,3.4355,2.1673,1.9562,200,56.2757,39.2801,98.1956,64.4362,116.5269,36.6018,0.0143,0.0470,Population structure converged. Difference: 0.0098
1,7,55.6916,48.3778,Warrior,74.5933,68.7516,50.9916,3.4727,2.1907,1.9562,200,56.2757,33.9321,32.3579,40.8027,70.9080,24.7330,0.0100,0.0470,Population structure converged. Difference: 0.0098
1,8,55.6916,50.2975,Warrior,74.5933,68.7516,50.9916,3.4727,2.1907,1.9562,200,56.2757,29.8651,22.9807,22.0389,50.7420,50.7988,0.0036,0.0470,Population structure converged. Difference: 0.0098
1,9,55.7771,52.2754,Warrior,77.1173,64.3609,53.1437,3.1132,2.2649,1.9562,200,56.2757,19.4762,11.3816,17.0839,6.5548,65.4207,0.0033,0.0470,Population structure converged. Difference: 0.0098
1,10,55.8945,53.4011,Warrior,77.5359,64.7103,52.3594,3.2038,2.1905,1.9562,200,56.2757,15.2871,8.6028,4.3031,0.0525,57.4634,0.0000,0.0470,Population structure converged. Difference: 0.0098
1,11,55.9520,54.2202,Warrior,76.4500,67.4041,50.5334,3.4415,2.1710,1.9562,200,56.2757,11.5671,7.5053,4.9157,0.0497,41.2422,0.0000,0.0470,Population structure converged. Difference: 0.0098
1,12,55.9877,54.4544,Warrior,79.5882,62.9319,51.9638,3.1787,2.3374,1.9562,200,56.2757,12.3380,6.9573,3.6131,0.0477,33.1916,0.0000,0.0470,Population structure converged. Difference: 0.0098
1,13,56.1367,55.0340,Warrior,77.4784,66.5654,50.5863,3.0945,2.2755,1.9562,200,56.2757,8.4265,5.1576,2.9901,0.0392,16.3084,0.0000,0.0470,Population structure converged. Difference: 0.0098
1,14,56.1459,55.3301,Warrior,76.8767,67.9620,49.6946,3.2712,2.1955,1.9562,200,56.2757,6.0129,3.5903,2.8770,0.0362,8.5365,0.0000,0.0470,Population structure converged. Difference: 0.0098
