Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.1631,34.8756,Warrior,75.4403,73.9756,19.7312,5.5702,25.2827,1.9514,200,53.1405,641.1770,386.2444,412.2134,437.0238,344.3086,0.0311,0.0170,Population structure converged. Difference: 0.0450
1,1,50.2667,43.0794,Warrior,103.8419,63.8633,12.1922,3.4419,16.6607,1.9514,200,53.1405,396.1081,111.2603,167.5666,198.0304,67.9149,0.0143,0.0170,Population structure converged. Difference: 0.0450
1,2,52.4181,46.9070,Warrior,83.4352,81.8152,13.5547,3.8265,17.3684,1.9514,200,53.1405,214.5955,103.2807,27.7815,72.3642,36.1139,0.0111,0.0170,Population structure converged. Difference: 0.0450
1,3,52.5963,48.7809,Warrior,79.7257,78.1778,20.8520,3.6374,17.6071,1.9514,200,53.1405,159.9556,79.5136,23.0885,17.7221,21.7107,0.0058,0.0170,Population structure converged. Difference: 0.0450
1,4,53.1405,50.8528,Warrior,80.7854,79.2170,20.2904,3.5579,16.1492,1.9514,200,53.1405,110.3900,70.0362,11.0338,4.0091,10.8263,0.0023,0.0170,Population structure converged. Difference: 0.0450
2,0,47.3494,40.2386,Warrior,64.2034,74.9091,44.4143,6.9442,9.5291,1.8007,200,55.7001,197.2076,338.9914,241.3315,329.3473,101.8218,0.0253,0.0290,Population structure converged. Difference: 0.0401
2,1,50.9209,45.4701,Warrior,78.3538,50.4535,59.7182,0.8630,10.6115,1.8350,200,55.7001,52.6920,109.4753,43.3262,74.1637,16.6344,0.0064,0.0290,Population structure converged. Difference: 0.0401
2,2,51.2871,46.9743,Warrior,65.0294,55.9799,66.2594,0.9576,11.7738,1.9281,200,55.7001,33.4999,70.2180,48.6445,5.6927,19.5220,0.0015,0.0290,Population structure converged. Difference: 0.0401
2,3,53.7231,48.4171,Warrior,65.6164,76.5576,44.9798,0.9662,11.8800,1.9281,200,55.7001,65.4340,73.0286,100.0205,7.4390,55.7384,0.0018,0.0290,Population structure converged. Difference: 0.0401
2,4,53.7231,50.1164,Warrior,65.6164,76.5576,44.9798,0.9662,11.8800,1.9281,200,55.7001,60.5445,81.9255,95.1681,4.7128,52.2401,0.0021,0.0290,Population structure converged. Difference: 0.0401
2,5,55.6858,51.4830,Warrior,73.6624,71.9738,42.2866,0.9084,11.1687,1.9281,200,55.7001,49.4500,108.8006,75.0950,1.9446,23.0562,0.0021,0.0290,Population structure converged. Difference: 0.0401
2,6,55.7001,52.4993,Warrior,73.5952,71.9081,42.5222,0.8159,11.1586,1.9281,200,55.7001,37.7400,120.1985,77.0519,1.7191,10.9610,0.0017,0.0290,Population structure converged. Difference: 0.0401
2,7,55.7001,53.5514,Warrior,73.5952,71.9081,42.5222,0.8159,11.1586,1.9281,200,55.7001,29.5830,93.3493,55.6729,1.7934,4.8194,0.0009,0.0290,Population structure converged. Difference: 0.0401
