Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.6794,32.8583,Warrior,73.5119,52.0258,46.4181,16.8124,11.2317,1.8655,200,54.0997,365.5857,369.0513,591.3403,367.0560,426.1912,0.0373,0.0254,Population structure converged. Difference: 0.0350
1,1,50.0795,40.0153,Warrior,67.4337,67.3842,45.3739,16.6693,3.1388,1.8714,200,54.0997,169.6752,327.8925,364.0505,90.3314,180.4233,0.0260,0.0254,Population structure converged. Difference: 0.0350
1,2,50.9158,45.7238,Warrior,66.1734,70.1221,47.2175,13.2207,3.2663,1.8714,200,54.0997,99.5252,127.6875,128.6040,29.4835,70.6885,0.0094,0.0254,Population structure converged. Difference: 0.0350
1,3,53.2256,48.1472,Warrior,75.6503,70.6396,38.0828,13.1510,2.4763,1.8714,200,54.0997,72.0252,109.7721,130.4979,8.1097,31.0098,0.0028,0.0254,Population structure converged. Difference: 0.0350
1,4,53.9291,49.7960,Warrior,86.0768,60.9182,40.6081,11.3701,1.0268,1.8655,200,54.0997,39.8659,71.6650,68.1025,6.6355,13.1649,0.0008,0.0254,Population structure converged. Difference: 0.0350
1,5,54.0130,51.1590,Warrior,86.2069,61.0103,40.6694,11.3873,0.7262,1.8655,200,54.0997,36.1509,47.4482,52.4085,3.8472,5.2912,0.0001,0.0254,Population structure converged. Difference: 0.0350
1,6,54.0997,52.2725,Warrior,87.3921,61.8491,38.4789,11.5438,0.7362,1.8655,200,54.0997,31.8272,34.7349,47.4500,2.3021,2.9268,0.0000,0.0254,Population structure converged. Difference: 0.0350
2,0,44.6888,34.1649,Warrior,70.6875,45.8084,55.5000,8.8853,19.1187,1.8171,200,49.0703,469.6618,312.8535,529.4148,183.7678,262.1369,0.0370,0.0212,Population structure converged. Difference: 0.0389
2,1,47.3748,39.6871,Warrior,79.0609,51.2347,46.3283,7.4169,15.9592,1.8171,200,49.0703,366.3540,155.6613,434.3688,84.5737,108.6519,0.0150,0.0212,Population structure converged. Difference: 0.0389
2,2,47.3748,42.8227,Warrior,79.0609,51.2347,46.3283,7.4169,15.9592,1.8171,200,49.0703,136.6554,107.7830,407.8850,40.8831,44.6261,0.0063,0.0212,Population structure converged. Difference: 0.0389
2,3,48.7181,44.4162,Warrior,73.3772,63.3308,42.0663,6.7346,14.4910,1.8171,200,49.0703,108.8370,118.7630,450.2620,19.9341,22.1853,0.0006,0.0212,Population structure converged. Difference: 0.0389
2,4,48.7181,45.9526,Warrior,73.3772,63.3308,42.0663,6.7346,14.4910,1.8171,200,49.0703,48.7413,139.4338,360.8772,13.3480,8.8829,0.0003,0.0212,Population structure converged. Difference: 0.0389
2,5,49.0703,46.6595,Warrior,74.7235,64.4928,39.9152,6.3902,14.4783,1.8171,200,49.0703,42.2275,110.8855,281.5084,10.8225,5.3563,0.0006,0.0212,Population structure converged. Difference: 0.0389
2,6,49.0703,47.2340,Warrior,74.7235,64.4928,39.9152,6.3902,14.4783,1.8171,200,49.0703,39.2935,101.6685,209.9542,10.4294,3.9665,0.0010,0.0212,Population structure converged. Difference: 0.0389
3,0,49.9327,38.9413,Warrior,90.2278,73.7240,14.0595,10.3344,11.6543,1.9766,200,57.6342,416.7633,652.5418,453.1817,232.5501,313.3912,0.0514,0.0222,Population structure converged. Difference: 0.0412
3,1,53.7978,45.7922,Warrior,97.1552,62.2429,24.2585,8.8952,7.4483,1.9245,200,57.6342,167.2386,330.6488,220.2416,36.7846,125.0956,0.0464,0.0222,Population structure converged. Difference: 0.0412
3,2,55.3244,48.4810,Warrior,92.2229,59.0830,35.8817,5.7422,7.0701,1.9245,200,57.6342,114.6574,171.8817,133.5715,16.0474,56.1970,0.0318,0.0222,Population structure converged. Difference: 0.0412
3,3,57.6342,51.4770,Warrior,87.9184,70.8340,31.8753,5.1010,4.2713,1.9245,200,57.6342,92.4268,119.3213,114.9144,3.5479,34.8230,0.0131,0.0222,Population structure converged. Difference: 0.0412
3,4,57.6342,53.9955,Warrior,87.9184,70.8340,31.8753,5.1010,4.2713,1.9245,200,57.6342,67.2288,120.3424,71.3728,3.7652,11.4125,0.0029,0.0222,Population structure converged. Difference: 0.0412
3,5,57.6342,55.3513,Warrior,87.9184,70.8340,31.8753,5.1010,4.2713,1.9245,200,57.6342,44.7315,92.9234,47.2364,2.7823,3.8880,0.0002,0.0222,Population structure converged. Difference: 0.0412
4,0,44.1690,33.2297,Warrior,82.6079,64.4128,7.1544,16.4884,29.3364,1.9036,200,56.8693,345.8519,463.9553,476.2620,308.9392,265.5409,0.0354,0.0241,Population structure converged. Difference: 0.0348
4,1,48.0585,38.6168,Warrior,88.9183,69.3334,7.7010,17.7480,16.2993,1.9036,200,56.8693,330.4656,323.3841,378.2766,116.4846,113.0681,0.0337,0.0241,Population structure converged. Difference: 0.0348
4,2,48.0585,42.2302,Warrior,88.9183,69.3334,7.7010,17.7480,16.2993,1.9036,200,56.8693,204.7333,286.6202,210.6798,17.6735,28.5868,0.0457,0.0241,Population structure converged. Difference: 0.0348
4,3,54.8026,45.4928,Warrior,76.9934,60.0350,50.4926,4.2330,8.2459,1.9036,200,56.8693,124.3418,169.8089,116.9329,8.7232,26.3751,0.0254,0.0241,Population structure converged. Difference: 0.0348
4,4,55.9476,48.8178,Warrior,80.3879,62.6818,45.6486,3.8269,7.4549,1.9036,200,56.8693,57.2367,140.2436,352.1959,36.4642,24.7195,0.0035,0.0241,Population structure converged. Difference: 0.0348
4,5,56.8693,53.0234,Warrior,78.6453,70.8209,40.5196,3.3969,6.6172,1.9036,200,56.8693,49.0344,114.9269,380.7996,29.4140,18.8944,0.0000,0.0241,Population structure converged. Difference: 0.0348
4,6,56.8693,54.9543,Warrior,78.6453,70.8209,40.5196,3.3969,6.6172,1.9036,200,56.8693,36.7042,112.4711,279.1816,6.4089,3.7712,0.0000,0.0241,Population structure converged. Difference: 0.0348
5,0,46.3075,36.7712,Warrior,67.5358,43.5379,57.0823,4.1687,27.6754,1.9119,200,46.3075,290.3169,229.9031,334.7765,361.1744,179.1315,0.0412,0.0065,Population structure converged. Difference: 0.0396
5,1,46.3075,44.5451,Warrior,67.5358,43.5379,57.0823,4.1687,27.6754,1.9119,200,46.3075,46.1272,68.1347,47.4515,67.4272,48.7830,0.0107,0.0065,Population structure converged. Difference: 0.0396
6,0,45.7395,35.1580,Warrior,57.1972,61.7671,49.7297,13.4193,17.8867,1.9347,200,55.3331,312.8120,226.5159,404.8915,302.6099,312.5273,0.0426,0.0243,Population structure converged. Difference: 0.0406
6,1,47.7301,40.2367,Warrior,70.4878,53.1015,57.3488,4.9297,14.1322,1.9834,200,55.3331,287.7899,163.4082,360.5378,127.4025,144.0593,0.0341,0.0243,Population structure converged. Difference: 0.0406
6,2,51.0819,42.8328,Warrior,74.7385,65.6501,43.4567,6.2419,9.9127,1.9779,200,55.3331,250.6042,107.5446,359.1391,81.8967,65.3821,0.0259,0.0243,Population structure converged. Difference: 0.0406
6,3,53.3678,45.9402,Warrior,87.2063,68.3223,23.7388,5.3617,15.3709,1.9347,200,55.3331,119.6249,87.0288,243.8995,62.3447,34.4385,0.0148,0.0243,Population structure converged. Difference: 0.0406
