Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,55.2232,32.3382,Warrior,110.8141,74.4636,8.6017,6.0946,0.0260,1.8755,200,59.4118,1034.1387,401.9749,643.6966,389.0251,569.2307,0.0287,0.1012,Population structure converged. Difference: 0.0071
1,1,55.2232,40.7893,Warrior,110.8141,74.4636,8.6017,6.0946,0.0260,1.8755,200,59.4118,1180.8278,473.1569,674.2120,343.4801,643.3732,0.0256,0.1012,Population structure converged. Difference: 0.0071
1,2,58.2921,47.1558,Warrior,96.8789,65.0996,35.0904,2.9083,0.0227,1.8755,200,59.4118,980.1033,370.6480,509.0398,178.6657,637.5411,0.0123,0.1012,Population structure converged. Difference: 0.0071
1,3,58.2921,51.0519,Warrior,96.8789,65.0996,35.0904,2.9083,0.0227,1.8755,200,59.4118,442.9965,187.0441,195.1365,162.4905,313.9845,0.0045,0.1012,Population structure converged. Difference: 0.0071
1,4,58.2921,54.0334,Warrior,96.8789,65.0996,35.0904,2.9083,0.0227,1.8755,200,59.4118,125.3328,87.0179,129.6681,19.2421,54.7269,0.0032,0.1012,Population structure converged. Difference: 0.0071
1,5,59.1643,54.5031,Warrior,93.3386,72.7603,31.2876,2.5931,0.0203,1.8755,200,59.4118,97.8838,71.2621,109.2130,13.4752,45.7341,0.0013,0.1012,Population structure converged. Difference: 0.0071
1,6,59.1643,55.1802,Warrior,93.3386,72.7603,31.2876,2.5931,0.0203,1.8755,200,59.4118,79.5640,67.5843,145.3144,10.3835,23.2223,0.0007,0.1012,Population structure converged. Difference: 0.0071
1,7,59.2071,56.0336,Warrior,94.0731,73.3328,30.0755,2.4927,0.0260,1.8755,200,59.4118,69.7850,40.7316,147.7960,5.7152,9.4734,0.0004,0.1012,Population structure converged. Difference: 0.0071
1,8,59.2414,56.8807,Warrior,92.5505,73.8348,31.0234,2.5712,0.0201,1.8755,200,59.4118,58.9499,38.2060,149.7578,3.0979,0.0000,0.0000,0.1012,Population structure converged. Difference: 0.0071
1,9,59.4118,57.3165,Warrior,89.2765,78.1626,30.0612,2.4803,0.0194,1.8755,200,59.4118,45.1474,29.6208,111.3458,3.0787,0.0000,0.0000,0.1012,Population structure converged. Difference: 0.0071
1,10,59.4118,57.7307,Warrior,89.2765,78.1626,30.0612,2.4803,0.0194,1.8755,200,59.4118,49.9483,27.9059,93.2946,2.9950,0.0000,0.0000,0.1012,Population structure converged. Difference: 0.0071
1,11,59.4118,58.1731,Warrior,89.2765,78.1626,30.0612,2.4803,0.0194,1.8755,200,59.4118,34.9476,25.3890,66.3337,2.6132,0.0000,0.0000,0.1012,Population structure converged. Difference: 0.0071
1,12,59.4118,58.5981,Warrior,89.2765,78.1626,30.0612,2.4803,0.0194,1.8755,200,59.4118,27.1406,16.7301,44.3477,1.8909,0.0000,0.0000,0.1012,Population structure converged. Difference: 0.0071
1,13,59.4118,58.6100,Warrior,89.2765,78.1626,30.0612,2.4803,0.0194,1.8755,200,59.4118,30.5520,19.7500,39.8698,1.8202,0.0000,0.0000,0.1012,Population structure converged. Difference: 0.0071
1,14,59.4118,58.7891,Warrior,89.2765,78.1626,30.0612,2.4803,0.0194,1.8755,200,59.4118,24.6728,17.4019,31.4724,1.8209,0.0000,0.0000,0.1012,Population structure converged. Difference: 0.0071
1,15,59.4118,58.9953,Warrior,89.2765,78.1626,30.0612,2.4803,0.0194,1.8755,200,59.4118,19.0939,15.8475,18.9899,1.0908,0.0000,0.0000,0.1012,Population structure converged. Difference: 0.0071
2,0,50.2261,31.4184,Warrior,66.4441,55.4586,56.9260,2.3717,18.7996,1.9042,200,58.7688,473.2733,526.1885,617.6251,573.7916,504.0869,0.0490,0.0750,Population structure converged. Difference: 0.0093
2,1,54.5549,36.7637,Warrior,70.9630,60.0346,61.6230,2.5674,4.8120,1.9042,200,58.7688,382.8806,410.6965,476.6610,462.2887,456.3229,0.0445,0.0750,Population structure converged. Difference: 0.0093
2,2,55.1286,40.7202,Warrior,74.4896,58.2147,59.7550,2.4896,5.0511,1.9042,200,58.7688,220.6240,345.6714,340.0476,290.3326,371.7000,0.0391,0.0750,Population structure converged. Difference: 0.0093
2,3,56.3887,45.5537,Warrior,78.1830,67.5528,44.0594,4.9031,5.3016,1.9042,200,58.7688,134.9267,247.6515,299.5548,141.4068,290.7011,0.0249,0.0750,Population structure converged. Difference: 0.0093
2,4,56.9529,49.3073,Warrior,74.4585,77.4879,39.5865,2.9459,5.5212,1.9042,200,58.7688,78.9220,125.4982,189.2321,95.2608,120.2101,0.0097,0.0750,Population structure converged. Difference: 0.0093
2,5,57.8269,51.7821,Warrior,78.6888,82.8090,30.5363,2.6300,5.3359,1.9042,200,58.7688,45.1744,104.8809,141.7643,51.2724,56.4842,0.0061,0.0750,Population structure converged. Difference: 0.0093
