Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.7247,31.3854,Warrior,74.2695,76.7975,33.6177,14.7293,0.5859,1.4594,200,56.4637,434.2339,382.1502,513.4574,308.2136,406.1021,0.0418,0.0524,Population structure converged. Difference: 0.0096
1,1,47.8830,35.8141,Warrior,75.5431,78.1144,34.1942,11.5523,0.5960,1.4594,200,56.4637,320.1577,350.2915,447.2617,236.4661,361.9877,0.0448,0.0524,Population structure converged. Difference: 0.0096
1,2,48.1442,40.1796,Warrior,90.3295,66.5633,30.7639,11.8711,0.4722,1.4594,200,56.4637,141.3831,228.5979,344.0938,139.0923,249.2534,0.0296,0.0524,Population structure converged. Difference: 0.0096
1,3,48.2080,43.4694,Warrior,75.9243,78.5086,34.3668,10.7718,0.4285,1.4594,200,56.4637,78.2420,152.1478,264.4379,69.4115,111.9296,0.0170,0.0524,Population structure converged. Difference: 0.0096
1,4,48.2080,45.2884,Warrior,75.9243,78.5086,34.3668,10.7718,0.4285,1.4594,200,56.4637,58.5623,141.5481,156.1208,21.6781,36.8969,0.0079,0.0524,Population structure converged. Difference: 0.0096
1,5,48.6877,46.4625,Warrior,84.3636,72.4108,31.6975,11.0871,0.4411,1.4594,200,56.4637,27.2562,91.3852,79.7774,15.8951,23.5984,0.0080,0.0524,Population structure converged. Difference: 0.0096
1,6,48.7317,47.2910,Warrior,84.3979,72.4480,31.7137,10.8981,0.5424,1.4594,200,56.4637,22.3027,21.2098,53.2646,13.4239,27.5987,0.0116,0.0524,Population structure converged. Difference: 0.0096
1,7,55.6632,47.7541,Warrior,76.2651,77.5315,33.9390,11.6628,0.6017,1.9118,200,56.4637,26.8678,15.0335,39.8841,4.4129,61.2188,0.0263,0.0524,Population structure converged. Difference: 0.0096
1,8,55.6632,48.8588,Warrior,76.2651,77.5315,33.9390,11.6628,0.6017,1.9118,200,56.4637,30.7048,13.5990,23.5903,3.7915,55.7053,0.0387,0.0524,Population structure converged. Difference: 0.0096
1,9,56.2681,50.4480,Warrior,84.0536,72.1448,31.5810,11.6210,0.5995,1.9118,200,56.4637,33.3875,12.0006,16.9907,1.0798,52.6040,0.0509,0.0524,Population structure converged. Difference: 0.0096
1,10,56.2681,52.9395,Warrior,84.0536,72.1448,31.5810,11.6210,0.5995,1.9118,200,56.4637,19.4468,8.7656,9.6260,0.8601,33.9406,0.0417,0.0524,Population structure converged. Difference: 0.0096
1,11,56.3827,54.6168,Warrior,81.8480,75.4978,30.7523,11.3161,0.5859,1.9118,200,56.4637,9.6369,6.1125,3.5411,0.2838,11.3702,0.0218,0.0524,Population structure converged. Difference: 0.0096
