Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.8611,31.2546,Warrior,85.1325,72.4741,36.0319,3.0360,3.3255,1.7192,200,58.9568,443.5406,389.3071,290.7437,384.9094,502.4972,0.0342,0.1285,Population structure converged. Difference: 0.0090
1,1,48.3132,34.5531,Warrior,85.7274,72.9805,36.2837,1.6598,3.3488,1.7192,200,58.9568,401.3870,393.0890,269.1717,380.7902,433.3497,0.0296,0.1285,Population structure converged. Difference: 0.0090
1,2,48.3132,38.8898,Warrior,85.7274,72.9805,36.2837,1.6598,3.3488,1.7192,200,58.9568,355.9672,367.9287,226.5129,301.3575,405.6147,0.0227,0.1285,Population structure converged. Difference: 0.0090
1,3,48.9431,41.0374,Warrior,55.9953,94.9573,41.6873,3.5125,3.8475,1.8483,200,58.9568,302.1077,338.6001,135.5832,240.0690,357.2657,0.0183,0.1285,Population structure converged. Difference: 0.0090
1,4,55.2410,42.8289,Warrior,74.3070,82.8825,36.3863,3.0659,3.3582,1.8483,200,58.9568,218.8688,326.6889,110.1598,143.1989,283.3490,0.0154,0.1285,Population structure converged. Difference: 0.0090
1,5,55.2410,45.0842,Warrior,74.3070,82.8825,36.3863,3.0659,3.3582,1.8483,200,58.9568,161.0533,241.1165,75.2067,103.1939,208.3142,0.0169,0.1285,Population structure converged. Difference: 0.0090
1,6,55.2410,47.5746,Warrior,74.3070,82.8825,36.3863,3.0659,3.3582,1.8483,200,58.9568,105.3320,131.8396,36.4984,67.3632,102.0966,0.0125,0.1285,Population structure converged. Difference: 0.0090
1,7,55.2743,48.8943,Warrior,74.4501,83.0421,36.1013,3.0419,3.3647,1.8483,200,58.9568,69.3416,125.2319,39.3870,36.8075,66.5530,0.0142,0.1285,Population structure converged. Difference: 0.0090
1,8,56.2008,49.9453,Warrior,84.9197,72.4259,35.9418,3.3162,3.3964,1.8483,200,58.9568,40.3519,113.6836,41.9227,29.3690,60.0353,0.0146,0.1285,Population structure converged. Difference: 0.0090
1,9,56.2008,51.3809,Warrior,84.9197,72.4259,35.9418,3.3162,3.3964,1.8483,200,58.9568,28.1238,77.1437,36.5741,14.3793,37.9246,0.0131,0.1285,Population structure converged. Difference: 0.0090
1,10,56.2008,52.4659,Warrior,84.9197,72.4259,35.9418,3.3162,3.3964,1.8483,200,58.9568,28.1672,42.3009,14.3669,14.2049,16.1658,0.0101,0.1285,Population structure converged. Difference: 0.0090
1,11,56.7599,52.7584,Warrior,82.1817,75.1918,37.8594,1.7318,3.0353,1.8483,200,58.9568,28.2141,41.1158,9.5910,14.0817,9.8887,0.0107,0.1285,Population structure converged. Difference: 0.0090
1,12,56.3321,52.9174,Warrior,85.6768,72.9374,34.8512,3.1186,3.4160,1.8483,200,58.9568,27.5008,31.8027,10.8274,11.6630,5.6102,0.0097,0.1285,Population structure converged. Difference: 0.0090
1,13,56.3321,53.2341,Warrior,85.6768,72.9374,34.8512,3.1186,3.4160,1.8483,200,58.9568,27.3105,27.7997,10.4477,0.1558,4.4896,0.0089,0.1285,Population structure converged. Difference: 0.0090
1,14,56.3321,53.8015,Warrior,85.6768,72.9374,34.8512,3.1186,3.4160,1.8483,200,58.9568,24.8748,21.9825,8.0925,0.1482,8.4894,0.0075,0.1285,Population structure converged. Difference: 0.0090
1,15,56.3234,54.2259,Warrior,84.9397,72.3099,36.4098,2.9888,3.3518,1.8483,200,58.9568,18.6959,18.9205,4.6087,0.0740,0.7301,0.0072,0.1285,Population structure converged. Difference: 0.0090
1,16,58.5357,53.9628,Warrior,83.2762,70.8938,39.5092,3.0114,3.3094,1.9155,200,58.9568,17.7443,19.4311,7.1837,0.1143,1.0105,0.0097,0.1285,Population structure converged. Difference: 0.0090
1,17,58.5840,54.4696,Warrior,79.7205,79.3436,34.8327,2.9350,3.1681,1.9155,200,58.9568,15.7921,18.5453,8.9286,0.1248,1.0022,0.0095,0.1285,Population structure converged. Difference: 0.0090
1,18,58.7842,54.8240,Warrior,81.7520,77.9126,34.2045,2.8820,3.2489,1.9155,200,58.9568,13.6719,15.5425,7.1382,0.0311,0.0144,0.0091,0.1285,Population structure converged. Difference: 0.0090
1,19,58.6793,55.0983,Warrior,80.6418,78.6079,34.6294,2.9162,3.2047,1.9155,200,58.9568,17.3215,16.3097,8.8948,0.0439,0.0157,0.0056,0.1285,Population structure converged. Difference: 0.0090
1,20,58.8764,55.4069,Warrior,85.6947,72.9526,35.1413,2.9593,3.2521,1.9155,200,58.9568,13.8874,14.5066,6.0142,0.0417,0.0211,0.0060,0.1285,Population structure converged. Difference: 0.0090
1,21,58.9099,55.7061,Warrior,85.7335,72.9857,35.1572,2.9175,3.2062,1.9155,200,58.9568,13.2357,14.7520,4.5262,0.0304,0.0213,0.0044,0.1285,Population structure converged. Difference: 0.0090
1,22,58.9099,56.2335,Warrior,85.7335,72.9857,35.1572,2.9175,3.2062,1.9155,200,58.9568,13.9920,16.5734,4.2443,0.0164,0.0193,0.0041,0.1285,Population structure converged. Difference: 0.0090
1,23,58.9099,56.6147,Warrior,85.7335,72.9857,35.1572,2.9175,3.2062,1.9155,200,58.9568,12.8647,13.3725,3.7594,0.0163,0.0210,0.0038,0.1285,Population structure converged. Difference: 0.0090
1,24,58.9099,56.9711,Warrior,85.7335,72.9857,35.1572,2.9175,3.2062,1.9155,200,58.9568,11.8074,12.2020,3.9121,0.0182,0.0212,0.0029,0.1285,Population structure converged. Difference: 0.0090
1,25,58.9099,57.3309,Warrior,85.7335,72.9857,35.1572,2.9175,3.2062,1.9155,200,58.9568,11.2874,10.8625,3.3776,0.0228,0.0246,0.0024,0.1285,Population structure converged. Difference: 0.0090
1,26,58.9099,57.6992,Warrior,85.7335,72.9857,35.1572,2.9175,3.2062,1.9155,200,58.9568,11.8166,9.9161,3.7309,0.0219,0.0259,0.0010,0.1285,Population structure converged. Difference: 0.0090
1,27,58.9169,57.6729,Warrior,85.7422,72.9931,35.1608,2.9178,3.1861,1.9155,200,58.9568,12.1552,9.6189,3.3681,0.0187,0.0265,0.0010,0.1285,Population structure converged. Difference: 0.0090
1,28,58.9039,57.8934,Warrior,84.2178,74.0815,35.6851,2.8660,3.1496,1.9155,200,58.9568,9.4517,8.8237,2.8878,0.0160,0.0208,0.0008,0.1285,Population structure converged. Difference: 0.0090
1,29,58.9219,58.0786,Warrior,86.2738,73.7154,33.7440,2.9879,3.2789,1.9155,200,58.9568,9.7317,9.0911,2.6618,0.0152,0.0226,0.0007,0.1285,Population structure converged. Difference: 0.0090
1,30,58.9219,58.2386,Warrior,86.2738,73.7154,33.7440,2.9879,3.2789,1.9155,200,58.9568,7.7023,7.0792,2.3897,0.0124,0.0211,0.0005,0.1285,Population structure converged. Difference: 0.0090
1,31,58.9468,58.3272,Warrior,82.9406,77.2428,33.9104,2.8955,3.0106,1.9155,200,58.9568,7.1146,6.8639,2.1765,0.0114,0.0172,0.0004,0.1285,Population structure converged. Difference: 0.0090
1,32,58.9568,58.3529,Warrior,83.0390,77.1812,33.8834,2.8932,3.0031,1.9155,200,58.9568,7.6836,6.7188,1.7573,0.0112,0.0203,0.0004,0.1285,Population structure converged. Difference: 0.0090
1,33,58.9568,58.4301,Warrior,83.0390,77.1812,33.8834,2.8932,3.0031,1.9155,200,58.9568,7.3644,6.4345,1.7127,0.0110,0.0186,0.0003,0.1285,Population structure converged. Difference: 0.0090
2,0,44.7700,27.0792,Warrior,58.4106,55.3706,57.9930,14.1794,14.0463,1.8608,200,57.0755,405.0942,438.6265,494.3850,458.2798,535.6670,0.0440,0.1225,Population structure converged. Difference: 0.0093
2,1,47.4372,29.4178,Warrior,70.0342,54.2818,43.8061,16.0141,15.8638,1.8820,200,57.0755,354.3017,403.1566,487.8126,427.5657,428.6233,0.0423,0.1225,Population structure converged. Difference: 0.0093
2,2,47.4463,32.8101,Warrior,69.9957,54.3618,43.7820,16.0053,15.8551,1.8820,200,57.0755,359.4507,367.5830,311.6159,268.1365,408.6096,0.0416,0.1225,Population structure converged. Difference: 0.0093
2,3,48.6703,36.2566,Warrior,71.5187,55.4324,44.7346,14.2239,14.0904,1.8820,200,57.0755,277.0613,287.6016,287.8985,209.4648,282.6094,0.0454,0.1225,Population structure converged. Difference: 0.0093
2,4,49.8951,39.8893,Warrior,66.2274,78.8935,28.8955,6.7641,19.2195,1.8820,200,57.0755,156.9044,291.6739,287.2261,132.6414,193.7885,0.0364,0.1225,Population structure converged. Difference: 0.0093
2,5,49.8951,41.4448,Warrior,66.2274,78.8935,28.8955,6.7641,19.2195,1.8820,200,57.0755,134.3548,303.0844,307.4088,89.3277,194.1535,0.0304,0.1225,Population structure converged. Difference: 0.0093
2,6,55.2807,43.1891,Warrior,72.3303,86.1636,31.5583,7.3874,2.5605,1.8820,200,57.0755,78.7890,373.2757,343.6086,69.3972,161.1166,0.0259,0.1225,Population structure converged. Difference: 0.0093
2,7,55.2807,45.6163,Warrior,72.3303,86.1636,31.5583,7.3874,2.5605,1.8820,200,57.0755,56.1737,277.7692,294.1204,43.6802,73.1999,0.0176,0.1225,Population structure converged. Difference: 0.0093
2,8,56.0796,46.5715,Warrior,84.0568,69.6185,35.2393,8.2490,2.8365,1.8820,200,57.0755,69.9899,261.2633,266.1071,38.6161,77.8776,0.0176,0.1225,Population structure converged. Difference: 0.0093
2,9,56.5892,47.8135,Warrior,86.1320,71.3372,32.3374,7.5697,2.6237,1.8820,200,57.0755,57.6718,228.4330,208.1906,40.5298,53.2843,0.0186,0.1225,Population structure converged. Difference: 0.0093
2,10,56.6098,49.1446,Warrior,86.2224,71.4121,32.2106,7.5401,2.6148,1.8820,200,57.0755,67.3867,199.6432,196.5980,29.2480,68.3242,0.0094,0.1225,Population structure converged. Difference: 0.0093
2,11,56.8267,50.4819,Warrior,81.4380,79.8751,29.2550,7.0042,2.4277,1.8820,200,57.0755,69.8283,185.1309,159.6295,27.2545,55.8956,0.0042,0.1225,Population structure converged. Difference: 0.0093
2,12,56.8267,51.2734,Warrior,81.4380,79.8751,29.2550,7.0042,2.4277,1.8820,200,57.0755,70.7218,163.0729,150.4114,25.2521,51.9113,0.0058,0.1225,Population structure converged. Difference: 0.0093
2,13,56.9228,52.9986,Warrior,85.9727,74.5218,29.8741,7.1524,2.4790,1.8820,200,57.0755,50.7204,111.0526,97.9063,23.5154,29.2101,0.0035,0.1225,Population structure converged. Difference: 0.0093
2,14,56.8191,52.8710,Warrior,81.4283,79.8656,29.2515,7.0034,2.4512,1.8820,200,57.0755,55.6548,93.8838,84.1343,22.0701,31.5322,0.0052,0.1225,Population structure converged. Difference: 0.0093
2,15,56.8191,53.4598,Warrior,81.4283,79.8656,29.2515,7.0034,2.4512,1.8820,200,57.0755,46.4027,67.7876,73.2697,16.8556,29.2292,0.0035,0.1225,Population structure converged. Difference: 0.0093
2,16,56.9515,53.7596,Warrior,82.5890,79.1829,28.9062,6.9207,2.4011,1.8820,200,57.0755,51.5664,58.5917,60.1268,12.4178,26.8468,0.0018,0.1225,Population structure converged. Difference: 0.0093
2,17,56.9515,54.1467,Warrior,82.5890,79.1829,28.9062,6.9207,2.4011,1.8820,200,57.0755,36.5725,72.3974,66.0360,19.2388,22.6896,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,18,56.9281,54.5577,Warrior,82.0095,78.6272,30.1069,6.8721,2.3843,1.8820,200,57.0755,32.7271,52.9336,49.1112,15.6310,17.9858,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,19,56.9593,54.8477,Warrior,84.4726,75.2882,30.8481,7.1674,2.2237,1.8820,200,57.0755,30.7689,39.4738,31.5743,11.0182,13.4160,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,20,56.9593,54.9680,Warrior,84.4726,75.2882,30.8481,7.1674,2.2237,1.8820,200,57.0755,25.5681,36.8863,33.0269,7.5020,12.6394,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,21,56.9463,54.9753,Warrior,82.8900,77.6207,30.1304,6.9131,2.4458,1.8820,200,57.0755,24.3738,39.5976,28.5638,9.5312,15.3754,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,22,56.9362,55.1876,Warrior,82.9437,71.9798,36.2866,6.5258,2.2641,1.8820,200,57.0755,21.3825,29.4229,35.4553,7.5719,13.5173,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,23,56.9802,55.4366,Warrior,84.0589,76.3055,30.2420,6.9387,2.4549,1.8820,200,57.0755,19.0082,26.0770,25.9094,7.0427,11.0820,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,24,57.1692,55.7602,Warrior,84.2750,76.5017,30.3198,6.6088,2.2947,1.8820,200,57.0755,15.7144,22.2095,16.8752,7.0167,6.3663,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,25,57.1289,56.1744,Warrior,83.8761,74.0979,33.2884,6.4870,2.2507,1.8820,200,57.0755,10.7507,8.6805,6.9372,3.8559,1.1113,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,26,56.9819,56.0721,Warrior,82.7226,74.7752,33.4891,6.6386,2.3746,1.8820,200,57.0755,10.4898,7.9694,6.3595,6.9914,1.1111,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,27,57.0742,56.2445,Warrior,83.0310,77.7527,30.1817,6.6544,2.3802,1.8820,200,57.0755,9.4905,5.5408,5.7091,1.9515,1.1146,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,28,57.1669,56.2733,Warrior,84.2480,76.9437,29.8676,6.5852,2.3555,1.8820,200,57.0755,8.6626,5.1699,6.3963,2.3805,1.1194,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,29,57.1669,56.3783,Warrior,84.2480,76.9437,29.8676,6.5852,2.3555,1.8820,200,57.0755,6.7271,4.9550,5.7887,1.3120,1.1189,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,30,57.1416,56.4952,Warrior,82.6430,77.8364,30.7502,6.4597,2.3106,1.8820,200,57.0755,5.3926,3.9085,4.7557,0.9490,0.0487,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,31,57.1416,56.5064,Warrior,82.6430,77.8364,30.7502,6.4597,2.3106,1.8820,200,57.0755,5.0522,4.1901,4.2297,0.9172,0.0473,0.0000,0.1225,Population structure converged. Difference: 0.0093
2,32,57.0755,56.5509,Warrior,84.7479,74.8681,31.2552,6.6768,2.4520,1.8820,200,57.0755,4.1735,4.2543,3.9760,0.5295,0.0418,0.0000,0.1225,Population structure converged. Difference: 0.0093
3,0,45.9121,28.3375,Warrior,59.1845,62.4070,51.0597,17.7169,9.6319,1.9541,200,57.2241,389.0694,425.2513,307.1486,414.1579,441.0964,0.0472,0.2539,Population structure converged. Difference: 0.0098
3,1,46.3504,31.3712,Warrior,59.6298,62.8765,51.4439,21.5230,4.5268,1.9390,200,57.2241,270.4459,442.1830,294.6122,381.0424,468.9887,0.0564,0.2539,Population structure converged. Difference: 0.0098
3,2,47.5241,33.8124,Warrior,74.5099,47.6831,51.8199,16.8348,9.1523,1.9541,200,57.2241,270.8892,355.7515,244.3020,399.8023,444.7685,0.0513,0.2539,Population structure converged. Difference: 0.0098
3,3,52.8843,37.3346,Warrior,75.6369,56.5561,51.7875,9.5630,6.4564,1.9212,200,57.2241,200.6672,290.1882,215.8080,365.5683,307.8461,0.0503,0.2539,Population structure converged. Difference: 0.0098
3,4,53.1424,40.0933,Warrior,74.1744,59.3298,50.7861,9.3781,6.3316,1.9212,200,57.2241,210.0950,270.6638,185.8726,243.3532,214.8156,0.0495,0.2539,Population structure converged. Difference: 0.0098
3,5,54.6190,43.4477,Warrior,90.5287,74.3494,17.8073,10.3361,6.9784,1.9212,200,57.2241,224.5279,139.5378,133.0763,151.3997,128.8832,0.0443,0.2539,Population structure converged. Difference: 0.0098
3,6,54.2387,45.3822,Warrior,81.7218,80.3307,19.2399,11.1677,7.5398,1.9212,200,57.2241,144.8761,118.6961,127.7843,129.0014,121.0943,0.0315,0.2539,Population structure converged. Difference: 0.0098
3,7,54.3741,47.6889,Warrior,83.2013,79.3260,18.9993,11.0280,7.4455,1.9212,200,57.2241,118.9093,64.2243,125.4047,65.2655,11.8544,0.0152,0.2539,Population structure converged. Difference: 0.0098
3,8,54.5693,48.6079,Warrior,82.1669,80.7683,19.3447,11.2285,6.4916,1.9212,200,57.2241,127.6015,60.8363,113.2507,52.6283,6.2790,0.0064,0.2539,Population structure converged. Difference: 0.0098
3,9,54.5693,50.0364,Warrior,82.1669,80.7683,19.3447,11.2285,6.4916,1.9212,200,57.2241,95.8670,57.5060,103.5354,34.9668,7.4158,0.0002,0.2539,Population structure converged. Difference: 0.0098
