Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.3779,34.3296,Warrior,75.4121,95.0558,10.5263,10.1591,8.8467,1.8107,200,48.7317,236.1926,553.7816,205.4768,291.0098,339.3084,0.0297,0.0104,Population structure converged. Difference: 0.0434
1,1,48.3779,41.7829,Warrior,75.4121,95.0558,10.5263,10.1591,8.8467,1.8107,200,48.7317,141.7472,608.3079,348.2686,103.0614,90.5852,0.0320,0.0104,Population structure converged. Difference: 0.0434
1,2,48.7317,46.7065,Warrior,77.2787,93.6317,10.3686,10.0069,8.7142,1.8107,200,48.7317,69.0046,284.5704,213.5891,19.4048,31.8398,0.0139,0.0104,Population structure converged. Difference: 0.0434
2,0,47.3140,34.4370,Warrior,81.9987,51.7812,35.4257,23.0801,7.7143,1.8769,200,56.3783,335.7700,432.9647,277.9321,349.3197,350.5213,0.0401,0.0136,Population structure converged. Difference: 0.0477
2,1,55.5389,41.5477,Warrior,94.1249,59.4388,36.1570,1.4242,8.8552,1.8769,200,56.3783,150.2861,143.4772,95.2845,142.7063,167.5810,0.0411,0.0136,Population structure converged. Difference: 0.0477
2,2,56.3314,48.8988,Warrior,87.8245,63.6618,38.7259,1.5254,8.2624,1.8769,200,56.3783,89.8260,48.5313,53.1974,156.5808,58.9597,0.0142,0.0136,Population structure converged. Difference: 0.0477
2,3,56.3783,53.8116,Warrior,88.9673,64.4901,36.6274,1.5452,8.3699,1.8769,200,56.3783,32.5833,13.6083,21.8254,82.4331,6.3095,0.0026,0.0136,Population structure converged. Difference: 0.0477
3,0,45.0769,36.9776,Warrior,65.5121,54.1275,38.3406,8.9048,33.1151,1.9206,200,54.4463,305.2689,214.7498,175.2746,212.9472,419.5036,0.0391,0.0174,Population structure converged. Difference: 0.0475
3,1,51.2794,42.6101,Warrior,89.4847,41.4909,55.8212,9.7005,3.5028,1.9206,200,54.4463,62.1308,67.2034,60.6854,61.7972,110.0494,0.0157,0.0174,Population structure converged. Difference: 0.0475
3,2,53.8707,45.5127,Warrior,76.4639,63.1761,44.7501,11.4686,4.1412,1.9206,200,54.4463,97.9976,42.9135,76.6035,45.4368,134.8994,0.0001,0.0174,Population structure converged. Difference: 0.0475
3,3,54.0559,49.7628,Warrior,76.7088,63.3785,44.8934,11.5053,3.5140,1.9206,200,54.4463,112.2038,73.5063,56.0230,21.3626,100.3326,0.0001,0.0174,Population structure converged. Difference: 0.0475
3,4,54.4463,51.9790,Warrior,84.0150,59.3146,42.0148,10.7676,3.8881,1.9206,200,54.4463,59.7504,90.7075,39.8014,9.6715,27.1315,0.0000,0.0174,Population structure converged. Difference: 0.0475
4,0,55.7437,41.1092,Warrior,80.5730,83.5707,26.6675,2.8189,6.3700,1.8557,200,55.8218,472.0170,581.6081,429.7023,247.2848,428.8038,0.0256,0.0122,Population structure converged. Difference: 0.0461
4,1,55.7437,50.9655,Warrior,80.5730,83.5707,26.6675,2.8189,6.3700,1.8557,200,55.8218,73.1605,109.5461,88.6925,33.9265,54.5959,0.0059,0.0122,Population structure converged. Difference: 0.0461
4,2,55.8218,53.3625,Warrior,81.5488,82.7924,26.4191,2.7926,6.4471,1.8557,200,55.8218,7.7891,15.9536,52.7661,28.3319,9.6664,0.0000,0.0122,Population structure converged. Difference: 0.0461
5,0,44.3838,34.5115,Warrior,67.6178,63.6659,35.0452,13.5342,20.1369,1.9905,200,56.5219,458.9517,421.4044,381.2120,271.2809,346.1911,0.0402,0.0218,Population structure converged. Difference: 0.0401
5,1,48.6000,39.6642,Warrior,72.8773,61.1365,33.6529,12.9965,19.3368,1.8843,200,56.5219,350.5844,419.2617,392.7399,114.2952,158.6011,0.0466,0.0218,Population structure converged. Difference: 0.0401
