Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,54.4029,33.9294,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.9841,200,57.9297,591.7165,547.6450,546.3571,447.9544,445.3040,0.0420,0.0285,Population structure converged. Difference: 0.0092
1,1,54.4029,42.9720,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.9841,200,57.9297,490.9303,685.2088,593.9528,325.3268,380.0278,0.0378,0.0285,Population structure converged. Difference: 0.0092
1,2,54.4029,50.4603,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.9841,200,57.9297,190.3711,482.1808,297.4608,184.3109,132.9894,0.0244,0.0285,Population structure converged. Difference: 0.0092
1,3,57.9297,53.3272,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.8777,200,57.9297,46.4342,150.6630,72.6788,56.1975,14.8581,0.0092,0.0285,Population structure converged. Difference: 0.0092
1,4,57.9297,54.2805,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.8777,200,57.9297,10.7206,7.6285,6.9334,11.6282,4.2567,0.0002,0.0285,Population structure converged. Difference: 0.0092
1,5,57.9297,54.5087,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.8777,200,57.9297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0003,0.0285,Population structure converged. Difference: 0.0092
1,6,57.9297,54.7556,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.8777,200,57.9297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0010,0.0285,Population structure converged. Difference: 0.0092
1,7,57.9297,55.3904,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.8777,200,57.9297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0023,0.0285,Population structure converged. Difference: 0.0092
1,8,57.9297,56.5190,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.8777,200,57.9297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0027,0.0285,Population structure converged. Difference: 0.0092
1,9,57.9297,57.4007,Warrior,92.9317,93.8211,8.7151,1.7414,2.7907,1.8777,200,57.9297,0.0000,0.0000,0.0000,0.0000,0.0000,0.0015,0.0285,Population structure converged. Difference: 0.0092
2,0,44.1055,29.9320,Warrior,89.6985,44.1641,49.5110,10.2246,6.4018,1.4187,200,57.2268,540.6450,540.9095,366.0988,427.4426,381.3334,0.0414,0.0518,Population structure converged. Difference: 0.0078
2,1,47.3894,33.5550,Warrior,79.3900,39.0886,61.0276,12.6029,7.8909,1.8698,200,57.2268,502.3570,467.8848,347.4032,325.7692,371.4171,0.0501,0.0518,Population structure converged. Difference: 0.0078
2,2,50.1868,38.0894,Warrior,62.9241,57.0009,75.6740,3.5472,0.8539,1.8676,200,57.2268,431.5001,265.5635,295.6873,214.7828,334.7596,0.0477,0.0518,Population structure converged. Difference: 0.0078
2,3,51.4717,42.8081,Warrior,92.2577,45.4241,50.9236,10.5163,0.8783,1.8676,200,57.2268,246.0426,128.8564,227.0371,93.3464,204.7739,0.0518,0.0518,Population structure converged. Difference: 0.0078
2,4,54.6260,46.1957,Warrior,71.8108,65.0510,58.1155,4.0482,0.9745,1.8676,200,57.2268,141.1436,88.3212,121.8109,38.0597,121.8931,0.0407,0.0518,Population structure converged. Difference: 0.0078
2,5,54.7225,49.2672,Warrior,80.3783,58.2697,52.0572,3.6262,5.6685,1.8698,200,57.2268,102.0695,65.6553,93.6913,20.5473,57.1401,0.0173,0.0518,Population structure converged. Difference: 0.0078
2,6,55.8697,51.1739,Warrior,82.1006,59.5570,53.2073,4.1388,0.9963,1.8676,200,57.2268,69.6118,65.7165,57.7459,19.5501,27.9466,0.0060,0.0518,Population structure converged. Difference: 0.0078
2,7,55.8697,53.1827,Warrior,82.1006,59.5570,53.2073,4.1388,0.9963,1.8676,200,57.2268,37.3778,56.1190,31.9056,13.9599,6.8492,0.0041,0.0518,Population structure converged. Difference: 0.0078
2,8,56.5436,54.4330,Warrior,88.5733,62.4155,42.8161,4.9932,1.2020,1.8676,200,57.2268,18.7629,23.1383,17.0890,7.0584,5.2398,0.0020,0.0518,Population structure converged. Difference: 0.0078
2,9,56.5436,55.1192,Warrior,88.5733,62.4155,42.8161,4.9932,1.2020,1.8676,200,57.2268,14.0049,6.0749,10.8076,4.6443,3.3489,0.0000,0.0518,Population structure converged. Difference: 0.0078
2,10,56.5436,55.5536,Warrior,88.5733,62.4155,42.8161,4.9932,1.2020,1.8676,200,57.2268,14.8470,4.2569,9.2240,0.6744,1.1094,0.0000,0.0518,Population structure converged. Difference: 0.0078
2,11,56.5532,55.8704,Warrior,84.9901,64.4811,44.2330,5.1584,1.1374,1.8676,200,57.2268,15.8097,3.2601,17.8383,0.1925,0.4037,0.0000,0.0518,Population structure converged. Difference: 0.0078
2,12,57.1865,56.1278,Warrior,89.3101,62.9346,43.1722,3.6472,0.9359,1.8676,200,57.2268,19.3126,2.5434,28.4145,0.3323,0.1871,0.0000,0.0518,Population structure converged. Difference: 0.0078
2,13,57.1865,56.3742,Warrior,89.3101,62.9346,43.1722,3.6472,0.9359,1.8676,200,57.2268,14.1396,1.7882,23.5246,0.3089,0.1783,0.0000,0.0518,Population structure converged. Difference: 0.0078
2,14,57.1865,56.4876,Warrior,89.3101,62.9346,43.1722,3.6472,0.9359,1.8676,200,57.2268,9.4701,1.3454,15.4790,0.2642,0.1780,0.0000,0.0518,Population structure converged. Difference: 0.0078
2,15,57.2268,56.6122,Warrior,83.8524,66.0181,45.2874,3.7852,1.0569,1.8698,200,57.2268,5.3899,2.1750,8.7233,0.3009,0.0105,0.0000,0.0518,Population structure converged. Difference: 0.0078
2,16,57.2268,56.7862,Warrior,83.8524,66.0181,45.2874,3.7852,1.0569,1.8698,200,57.2268,3.8740,2.0397,3.4263,0.3399,0.0128,0.0000,0.0518,Population structure converged. Difference: 0.0078
3,0,48.2831,32.1624,Warrior,97.7684,65.0351,32.6784,3.8586,0.6595,1.5311,200,59.9229,522.7706,420.3826,521.7038,378.3331,439.6756,0.0384,0.0429,Population structure converged. Difference: 0.0098
3,1,48.2831,38.3241,Warrior,97.7684,65.0351,32.6784,3.8586,0.6595,1.5311,200,59.9229,611.4569,368.9941,427.2956,263.4830,434.6985,0.0379,0.0429,Population structure converged. Difference: 0.0098
3,2,51.2986,44.5575,Warrior,97.7684,65.0351,32.6784,3.8586,0.6595,1.7797,200,59.9229,348.9229,151.7528,114.6851,119.1321,301.4147,0.0162,0.0429,Population structure converged. Difference: 0.0098
3,3,51.2986,47.4322,Warrior,97.7684,65.0351,32.6784,3.8586,0.6595,1.7797,200,59.9229,130.6339,41.0299,59.7802,22.1885,97.8252,0.0082,0.0429,Population structure converged. Difference: 0.0098
3,4,51.6995,48.4439,Warrior,82.2239,76.8976,35.9131,4.2406,0.7248,1.7797,200,59.9229,45.3654,21.1736,40.1447,9.4016,9.9471,0.0086,0.0429,Population structure converged. Difference: 0.0098
3,5,52.1511,49.2076,Warrior,98.9607,65.8282,33.0769,1.4400,0.6942,1.7797,200,59.9229,44.2942,35.1286,36.3319,6.9400,9.0449,0.0150,0.0429,Population structure converged. Difference: 0.0098
3,6,55.4498,50.4164,Warrior,77.8501,72.8071,34.0027,2.6780,12.6621,1.9165,200,59.9229,45.5552,30.1929,41.2384,0.3140,9.2077,0.0136,0.0429,Population structure converged. Difference: 0.0098
3,7,56.5103,51.2930,Warrior,76.6593,62.7167,54.7641,5.0045,0.8554,1.9165,200,59.9229,52.9996,35.9862,20.3118,0.3137,7.9668,0.0082,0.0429,Population structure converged. Difference: 0.0098
3,8,58.5589,52.2977,Warrior,80.2110,75.0151,39.3353,4.6447,0.7939,1.9165,200,59.9229,56.6153,40.6752,27.8055,0.5873,22.5941,0.0077,0.0429,Population structure converged. Difference: 0.0098
3,9,59.0289,54.0013,Warrior,82.1955,76.8710,35.9007,4.2391,0.7936,1.9165,200,59.9229,58.8337,29.8268,48.4151,0.9529,31.8603,0.0067,0.0429,Population structure converged. Difference: 0.0098
3,10,59.5043,55.8115,Warrior,81.9875,77.8675,36.3661,2.8641,0.9148,1.9165,200,59.9229,41.3515,32.7647,72.8725,1.0634,31.5081,0.0028,0.0429,Population structure converged. Difference: 0.0098
3,11,59.6167,57.2800,Warrior,82.9679,78.7986,34.4093,2.8984,0.9258,1.9165,200,59.9229,37.6712,34.7743,63.4891,0.6951,16.4621,0.0012,0.0429,Population structure converged. Difference: 0.0098
3,12,59.6167,58.3274,Warrior,82.9679,78.7986,34.4093,2.8984,0.9258,1.9165,200,59.9229,26.1195,24.5365,26.6911,0.5349,7.0591,0.0006,0.0429,Population structure converged. Difference: 0.0098
3,13,59.7968,59.0961,Warrior,90.2607,71.7604,34.4331,2.9004,0.6454,1.9165,200,59.9229,14.5762,15.2805,5.6283,0.5690,1.3038,0.0000,0.0429,Population structure converged. Difference: 0.0098
3,14,59.9229,59.3394,Warrior,86.6562,76.4408,33.3798,2.8116,0.7115,1.9165,200,59.9229,13.5221,12.8973,2.5215,0.5701,1.3030,0.0000,0.0429,Population structure converged. Difference: 0.0098
4,0,51.9439,33.8082,Warrior,89.3725,45.4134,49.8569,3.1931,12.1642,1.9410,200,59.2935,419.8748,448.5763,471.8314,416.4458,460.4393,0.0417,0.0374,Population structure converged. Difference: 0.0080
4,1,52.0545,40.7990,Warrior,80.2375,49.1633,53.9738,3.4568,13.1686,1.9410,200,59.2935,360.3728,434.2256,502.7200,229.2900,305.5204,0.0430,0.0374,Population structure converged. Difference: 0.0080
4,2,55.2007,46.7554,Warrior,107.7676,83.9571,0.2793,7.3443,0.6518,1.9410,200,59.2935,293.3496,260.9952,402.1721,61.6600,174.3706,0.0477,0.0374,Population structure converged. Difference: 0.0080
4,3,55.4178,49.7806,Warrior,94.8871,48.2156,52.9333,3.3901,0.5739,1.9410,200,59.2935,187.4241,171.1266,291.8703,25.3053,56.4771,0.0386,0.0374,Population structure converged. Difference: 0.0080
4,4,57.5826,51.6687,Warrior,85.5800,66.6717,41.3984,5.8322,0.5176,1.9410,200,59.2935,158.8921,198.4306,364.3857,6.8184,43.1980,0.0179,0.0374,Population structure converged. Difference: 0.0080
4,5,57.5826,53.3804,Warrior,85.5800,66.6717,41.3984,5.8322,0.5176,1.9410,200,59.2935,146.1667,210.1131,404.6777,4.6932,54.8013,0.0030,0.0374,Population structure converged. Difference: 0.0080
4,6,57.8896,55.1105,Warrior,82.5624,64.3208,49.4191,3.1651,0.5327,1.9410,200,59.2935,129.1768,186.9546,446.8647,3.4783,31.3950,0.0024,0.0374,Population structure converged. Difference: 0.0080
4,7,59.0007,56.1327,Warrior,87.4680,68.1426,41.2204,2.6400,0.5290,1.9410,200,59.2935,83.7193,79.1808,256.7399,3.1016,20.8634,0.0024,0.0374,Population structure converged. Difference: 0.0080
4,8,59.0007,57.0225,Warrior,87.4680,68.1426,41.2204,2.6400,0.5290,1.9410,200,59.2935,42.9348,37.7192,123.1909,2.3428,8.9172,0.0000,0.0374,Population structure converged. Difference: 0.0080
4,9,59.2806,57.5606,Warrior,90.0427,70.1484,36.6589,2.6916,0.4583,1.9410,200,59.2935,27.8444,21.2390,55.3916,2.2404,4.2114,0.0000,0.0374,Population structure converged. Difference: 0.0080
4,10,59.2806,58.1533,Warrior,90.0427,70.1484,36.6589,2.6916,0.4583,1.9410,200,59.2935,14.4552,12.4448,38.8586,2.1680,0.0011,0.0000,0.0374,Population structure converged. Difference: 0.0080
4,11,59.2935,58.6089,Warrior,88.6087,71.0632,37.1370,2.7267,0.4643,1.9410,200,59.2935,6.2091,3.5384,12.6474,1.3212,0.0009,0.0000,0.0374,Population structure converged. Difference: 0.0080
4,12,59.2935,58.8257,Warrior,88.6087,71.0632,37.1370,2.7267,0.4643,1.9410,200,59.2935,2.9125,2.9059,7.9728,1.1036,0.0011,0.0000,0.0374,Population structure converged. Difference: 0.0080
5,0,49.1649,31.6384,Warrior,64.3683,54.7269,67.1627,13.6199,0.1221,1.8972,200,56.1439,334.1468,340.5836,393.9362,302.0203,294.9751,0.0374,0.0460,Population structure converged. Difference: 0.0090
5,1,52.6457,37.4472,Warrior,94.0825,52.9812,37.8745,14.9279,0.1338,1.8972,200,56.1439,218.0585,270.3687,244.2447,231.3783,287.2731,0.0325,0.0460,Population structure converged. Difference: 0.0090
5,2,53.2484,43.1934,Warrior,94.8310,53.4027,38.1758,13.4697,0.1208,1.8972,200,56.1439,159.5577,158.0629,192.5938,66.0304,220.5554,0.0194,0.0460,Population structure converged. Difference: 0.0090
5,3,54.2608,47.2557,Warrior,78.6005,66.8274,39.6384,14.8011,0.1327,1.9274,200,56.1439,172.4762,69.7002,182.0943,37.0147,102.5765,0.0039,0.0460,Population structure converged. Difference: 0.0090
5,4,54.3733,50.2302,Warrior,78.7112,66.9215,39.6942,14.5427,0.1304,1.9274,200,56.1439,151.0989,51.8375,161.2804,10.7704,57.8185,0.0003,0.0460,Population structure converged. Difference: 0.0090
5,5,54.8449,52.1015,Warrior,79.6208,67.6949,38.8443,13.7056,0.1344,1.9274,200,56.1439,118.5569,49.0082,81.4711,3.6614,24.8582,0.0002,0.0460,Population structure converged. Difference: 0.0090
5,6,54.9174,53.2065,Warrior,89.7961,61.1861,36.1489,12.7545,0.1144,1.8972,200,56.1439,70.9742,43.1258,41.4424,1.0382,9.5922,0.0002,0.0460,Population structure converged. Difference: 0.0090
5,7,54.9174,53.9199,Warrior,89.7961,61.1861,36.1489,12.7545,0.1144,1.8972,200,56.1439,30.1531,28.9417,18.2184,0.7825,2.2762,0.0002,0.0460,Population structure converged. Difference: 0.0090
5,8,55.9538,54.3163,Warrior,80.2658,68.2432,40.4782,10.9027,0.1101,1.9274,200,56.1439,12.6463,12.5816,9.9481,0.6318,0.0000,0.0002,0.0460,Population structure converged. Difference: 0.0090
5,9,55.9538,54.5670,Warrior,80.2658,68.2432,40.4782,10.9027,0.1101,1.9274,200,56.1439,11.2320,7.3895,8.9780,0.7346,0.0000,0.0002,0.0460,Population structure converged. Difference: 0.0090
5,10,55.9538,54.7960,Warrior,80.2658,68.2432,40.4782,10.9027,0.1101,1.9274,200,56.1439,12.1295,5.6759,9.1995,0.9390,0.0001,0.0001,0.0460,Population structure converged. Difference: 0.0090
5,11,56.1439,55.0543,Warrior,84.5177,65.8114,39.0357,10.5142,0.1210,1.8972,200,56.1439,12.0952,5.1099,2.1132,1.2041,0.0001,0.0002,0.0460,Population structure converged. Difference: 0.0090
5,12,56.1439,55.3243,Warrior,84.5177,65.8114,39.0357,10.5142,0.1210,1.8972,200,56.1439,12.6339,5.4518,2.9147,1.3640,0.0001,0.0002,0.0460,Population structure converged. Difference: 0.0090
5,13,56.1439,55.6455,Warrior,84.5177,65.8114,39.0357,10.5142,0.1210,1.8972,200,56.1439,9.6113,5.3144,2.6737,1.0188,0.0001,0.0002,0.0460,Population structure converged. Difference: 0.0090
6,0,49.7155,32.4031,Warrior,90.1885,39.3337,52.8733,6.4218,11.1826,1.9376,200,54.3769,625.9647,369.3182,441.6946,405.3910,431.4756,0.0406,0.0644,Population structure converged. Difference: 0.0087
6,1,49.7155,39.5103,Warrior,90.1885,39.3337,52.8733,6.4218,11.1826,1.9376,200,54.3769,499.0358,293.4353,332.1758,361.9686,423.7417,0.0511,0.0644,Population structure converged. Difference: 0.0087
6,2,49.7155,46.1984,Warrior,90.1885,39.3337,52.8733,6.4218,11.1826,1.9376,200,54.3769,275.4234,108.5415,112.3332,108.6993,240.6463,0.0303,0.0644,Population structure converged. Difference: 0.0087
6,3,50.3981,48.6516,Warrior,63.2311,63.7698,54.7649,6.6515,11.5827,1.9376,200,54.3769,94.8245,33.3567,31.3472,37.7302,51.8799,0.0085,0.0644,Population structure converged. Difference: 0.0087
6,4,53.3502,49.6912,Warrior,79.4762,56.1954,48.2600,5.8615,10.2069,1.9376,200,54.3769,25.0642,19.3348,1.1566,0.0190,0.3279,0.0022,0.0644,Population structure converged. Difference: 0.0087
6,5,53.3502,49.8428,Warrior,79.4762,56.1954,48.2600,5.8615,10.2069,1.9376,200,54.3769,24.2734,25.2013,0.9575,0.0114,0.0351,0.0000,0.0644,Population structure converged. Difference: 0.0087
6,6,53.3502,50.0857,Warrior,79.4762,56.1954,48.2600,5.8615,10.2069,1.9376,200,54.3769,56.0264,56.0287,3.5420,0.0356,0.1394,0.0000,0.0644,Population structure converged. Difference: 0.0087
6,7,53.3502,50.6940,Warrior,79.4762,56.1954,48.2600,5.8615,10.2069,1.9376,200,54.3769,84.8333,88.9630,6.5482,0.0623,0.2824,0.0000,0.0644,Population structure converged. Difference: 0.0087
6,8,53.7208,51.7773,Warrior,81.2724,55.8075,47.9269,5.8210,9.1722,1.9376,200,54.3769,84.3568,71.5193,10.9707,0.1398,0.5600,0.0000,0.0644,Population structure converged. Difference: 0.0087
6,9,54.3769,52.5667,Warrior,77.3385,62.0132,46.4685,5.4761,8.7037,1.9376,200,54.3769,45.4718,36.8987,8.2440,0.1369,0.5569,0.0000,0.0644,Population structure converged. Difference: 0.0087
6,10,54.3769,53.0182,Warrior,77.3385,62.0132,46.4685,5.4761,8.7037,1.9376,200,54.3769,22.8113,24.2496,4.0887,0.0974,0.4406,0.0000,0.0644,Population structure converged. Difference: 0.0087
