Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.4490,31.1157,Warrior,71.4534,80.1291,9.6486,25.6565,13.1124,1.9322,200,54.8329,385.4682,574.8687,534.8580,438.9442,408.9057,0.0395,0.0256,Population structure converged. Difference: 0.0490
1,1,48.4578,38.2011,Warrior,88.0712,81.9976,9.8736,4.8352,15.2224,1.9930,200,54.8329,222.9243,326.0427,450.8607,203.2561,212.3146,0.0351,0.0256,Population structure converged. Difference: 0.0490
1,2,51.1796,41.8152,Warrior,61.3634,68.8140,55.0301,3.5317,11.2608,1.9322,200,54.8329,139.4794,197.1574,437.5128,186.7309,114.4331,0.0348,0.0256,Population structure converged. Difference: 0.0490
1,3,53.6893,45.1263,Warrior,71.4298,66.5038,46.0460,2.9551,13.0653,1.9322,200,54.8329,104.4425,117.5032,369.2931,150.4498,47.5163,0.0237,0.0256,Population structure converged. Difference: 0.0490
1,4,54.7878,48.0509,Warrior,82.6796,91.0410,10.9625,3.1931,12.1238,1.9322,200,54.8329,100.0149,68.2369,395.6790,120.2286,22.4030,0.0101,0.0256,Population structure converged. Difference: 0.0490
1,5,54.6612,50.4866,Warrior,71.3640,73.3799,41.3554,2.6541,11.2467,1.9322,200,54.8329,62.0547,72.7086,358.0635,68.2324,17.2949,0.0045,0.0256,Population structure converged. Difference: 0.0490
1,6,54.8329,52.2721,Warrior,90.0996,83.8860,10.1010,4.9465,10.9669,1.9322,200,54.8329,40.2607,52.8113,222.1532,24.1631,9.9388,0.0009,0.0256,Population structure converged. Difference: 0.0490
2,0,51.4115,31.4077,Warrior,87.2663,42.7585,55.7093,4.8786,9.3874,1.8868,200,52.7105,503.8507,287.1587,620.1084,452.1995,416.2402,0.0299,0.0187,Population structure converged. Difference: 0.0335
2,1,52.0737,40.1158,Warrior,84.1019,45.9775,55.6658,4.8748,9.3801,1.8868,200,52.7105,392.1827,208.0385,485.8702,415.4045,270.3301,0.0219,0.0187,Population structure converged. Difference: 0.0335
2,2,52.7105,45.3701,Warrior,83.8656,48.5366,53.5383,4.6885,9.3710,1.8868,200,52.7105,310.5842,91.9507,235.9416,240.2933,140.8517,0.0175,0.0187,Population structure converged. Difference: 0.0335
2,3,52.7105,49.9526,Warrior,83.8656,48.5366,53.5383,4.6885,9.3710,1.8868,200,52.7105,96.8489,30.0184,31.4514,67.9876,18.5229,0.0051,0.0187,Population structure converged. Difference: 0.0335
2,4,52.7105,51.0042,Warrior,83.8656,48.5366,53.5383,4.6885,9.3710,1.8868,200,52.7105,32.3995,11.2203,9.5541,19.2170,13.3275,0.0032,0.0187,Population structure converged. Difference: 0.0335
3,0,50.0702,35.9639,Warrior,86.5069,85.3537,15.4331,7.4752,5.2312,1.7890,200,50.2919,397.1508,525.2647,350.3121,376.5225,518.0373,0.0377,0.0110,Population structure converged. Difference: 0.0468
3,1,50.2919,44.3436,Warrior,79.0809,75.4858,33.8176,6.8335,4.7821,1.7890,200,50.2919,333.6725,406.4234,314.1557,212.4363,266.4004,0.0217,0.0110,Population structure converged. Difference: 0.0468
3,2,50.2919,48.0449,Warrior,79.0809,75.4858,33.8176,6.8335,4.7821,1.7890,200,50.2919,138.0929,175.0372,236.8921,120.6409,63.9497,0.0107,0.0110,Population structure converged. Difference: 0.0468
4,0,48.0084,32.7866,Warrior,74.9477,69.5857,27.7719,16.4330,11.2618,1.8334,200,50.7726,375.4777,278.7632,312.7962,279.2967,436.7788,0.0333,0.0216,Population structure converged. Difference: 0.0383
4,1,50.1349,38.7892,Warrior,77.5658,73.3753,29.2844,17.3280,2.4465,1.8334,200,50.7726,290.9992,260.1093,208.4124,109.3142,313.9021,0.0336,0.0216,Population structure converged. Difference: 0.0383
4,2,50.7397,42.8092,Warrior,79.2777,74.9947,27.1576,16.0695,2.5005,1.8334,200,50.7726,173.5500,176.1825,121.1627,73.9703,181.8201,0.0300,0.0216,Population structure converged. Difference: 0.0383
4,3,50.7683,46.5448,Warrior,78.2830,74.0537,29.5551,15.8679,2.2404,1.8334,200,50.7726,56.9280,106.9487,61.6281,31.3251,49.9621,0.0240,0.0216,Population structure converged. Difference: 0.0383
4,4,50.7688,48.1590,Warrior,78.2962,74.0662,29.5263,15.8706,2.2408,1.8334,200,50.7726,23.9180,38.5772,8.0177,13.7497,42.1599,0.0112,0.0216,Population structure converged. Difference: 0.0383
4,5,50.7726,48.8988,Warrior,83.7893,71.4050,26.0424,16.2367,2.5265,1.8334,200,50.7726,16.0495,16.4369,1.4501,10.4590,35.6704,0.0078,0.0216,Population structure converged. Difference: 0.0383
5,0,48.8625,32.7227,Warrior,75.4388,63.1036,29.5747,2.3371,29.5458,1.9471,200,56.0697,624.1955,454.3874,469.0011,457.6948,350.5189,0.0375,0.0261,Population structure converged. Difference: 0.0342
5,1,53.2167,38.7118,Warrior,76.4676,63.9641,41.4726,3.7218,14.3739,1.9471,200,56.0697,620.5547,401.3711,349.1419,192.3525,230.8404,0.0404,0.0261,Population structure converged. Difference: 0.0342
5,2,54.0165,44.0615,Warrior,81.9072,68.5144,31.6786,2.5034,15.3964,1.9471,200,56.0697,394.1810,320.5551,231.0699,77.4005,146.4657,0.0311,0.0261,Population structure converged. Difference: 0.0342
5,3,55.5626,48.2001,Warrior,91.8090,65.2457,30.5786,2.7621,9.6046,1.9471,200,56.0697,227.7285,226.5745,134.7444,26.5688,99.5890,0.0215,0.0261,Population structure converged. Difference: 0.0342
