Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,53.1426,37.1274,Warrior,72.7951,67.0106,42.4691,8.3611,9.3640,1.8914,200,53.1426,362.9791,399.1634,345.2124,412.8391,502.9784,0.0369,0.0139,Population structure converged. Difference: 0.0159
1,1,53.1426,45.5921,Warrior,72.7951,67.0106,42.4691,8.3611,9.3640,1.8914,200,53.1426,197.0464,228.4503,212.3788,388.1052,274.8563,0.0197,0.0139,Population structure converged. Difference: 0.0159
1,2,53.1426,50.0348,Warrior,72.7951,67.0106,42.4691,8.3611,9.3640,1.8914,200,53.1426,73.2891,95.2792,113.3672,111.5206,109.0976,0.0099,0.0139,Population structure converged. Difference: 0.0159
1,3,53.1426,52.3120,Warrior,72.7951,67.0106,42.4691,8.3611,9.3640,1.8914,200,53.1426,34.3455,18.7443,3.0748,20.9720,9.3886,0.0026,0.0139,Population structure converged. Difference: 0.0159
2,0,54.5791,37.4492,Warrior,87.3068,86.9279,9.6483,4.3947,11.7223,1.8914,200,57.9394,473.8120,614.8750,464.4556,431.1360,498.2030,0.0323,0.0171,Population structure converged. Difference: 0.0417
2,1,57.8586,45.8366,Warrior,91.8750,91.4763,10.1532,4.6246,1.8709,1.8914,200,57.9394,395.8756,545.0205,414.4896,250.7256,287.5596,0.0254,0.0171,Population structure converged. Difference: 0.0417
2,2,57.8960,51.1836,Warrior,92.2138,91.8136,9.6839,4.4109,1.8778,1.8914,200,57.9394,219.6890,265.1828,230.0017,113.1171,46.5970,0.0123,0.0171,Population structure converged. Difference: 0.0417
2,3,57.9394,53.5220,Warrior,91.6758,91.2780,10.6612,4.4205,1.9645,1.8914,200,57.9394,150.7808,195.7925,108.5043,32.3029,40.1903,0.0043,0.0171,Population structure converged. Difference: 0.0417
2,4,57.9394,55.6187,Warrior,91.6758,91.2780,10.6612,4.4205,1.9645,1.8914,200,57.9394,41.0575,68.3785,0.5795,3.9763,28.8242,0.0000,0.0171,Population structure converged. Difference: 0.0417
3,0,46.9566,32.0701,Warrior,70.2381,70.3371,23.1131,29.1664,7.1453,1.9091,200,53.6363,266.3168,364.9968,373.8940,277.6453,425.6881,0.0337,0.0214,Population structure converged. Difference: 0.0398
3,1,48.2330,37.7511,Warrior,70.5963,70.6958,23.2310,12.8173,22.6596,1.9091,200,53.6363,186.3931,265.0267,326.3194,181.6270,377.3916,0.0261,0.0214,Population structure converged. Difference: 0.0398
3,2,53.3312,42.7668,Warrior,77.4120,77.5211,25.4738,14.0547,5.5384,1.8937,200,53.6363,118.9925,217.5991,314.2071,116.9249,214.1216,0.0075,0.0214,Population structure converged. Difference: 0.0398
3,3,53.5812,46.8238,Warrior,77.4120,77.5211,25.4738,14.0547,5.5384,1.9091,200,53.6363,104.4290,135.5167,251.9050,107.9354,45.3196,0.0013,0.0214,Population structure converged. Difference: 0.0398
3,4,53.6363,49.6530,Warrior,79.8094,76.0051,24.9756,13.7798,5.4301,1.8937,200,53.6363,58.6822,98.8644,141.3214,97.0101,11.3223,0.0013,0.0214,Population structure converged. Difference: 0.0398
3,5,53.6363,51.5837,Warrior,79.8094,76.0051,24.9756,13.7798,5.4301,1.8937,200,53.6363,24.9477,57.7243,73.7248,39.8532,1.2257,0.0001,0.0214,Population structure converged. Difference: 0.0398
4,0,51.3561,34.9466,Warrior,89.8060,75.1659,30.9965,1.9983,2.0333,1.7644,200,59.6461,733.7645,688.3215,315.0604,558.4953,545.9980,0.0282,0.0239,Population structure converged. Difference: 0.0403
4,1,51.3561,44.1421,Warrior,89.8060,75.1659,30.9965,1.9983,2.0333,1.7644,200,59.6461,397.0760,456.4176,126.3617,339.4874,227.9694,0.0163,0.0239,Population structure converged. Difference: 0.0403
4,2,56.8128,49.0187,Warrior,80.0542,67.8493,46.1003,2.9720,3.0241,1.9529,200,59.6461,159.6607,94.0035,61.7296,125.4456,120.8614,0.0070,0.0239,Population structure converged. Difference: 0.0403
4,3,59.1505,51.3741,Warrior,81.6470,79.7144,34.1915,2.2043,2.2429,1.8978,200,59.6461,54.2987,53.6990,48.3440,54.9490,16.6215,0.0047,0.0239,Population structure converged. Difference: 0.0403
4,4,59.6461,53.7346,Warrior,89.8060,75.1659,30.9965,1.9983,2.0333,1.8978,200,59.6461,52.7922,43.5379,41.1910,27.3473,1.9487,0.0077,0.0239,Population structure converged. Difference: 0.0403
4,5,59.6461,55.9402,Warrior,89.8060,75.1659,30.9965,1.9983,2.0333,1.8978,200,59.6461,40.0508,40.6266,37.8666,17.9321,0.7509,0.0062,0.0239,Population structure converged. Difference: 0.0403
4,6,59.6461,57.3365,Warrior,89.8060,75.1659,30.9965,1.9983,2.0333,1.8978,200,59.6461,33.3505,41.1224,34.8381,13.7297,0.5770,0.0034,0.0239,Population structure converged. Difference: 0.0403
5,0,50.3729,32.1453,Warrior,63.0658,56.1601,66.1402,2.0779,12.5560,1.9219,200,51.4272,357.6597,347.7828,379.0957,509.4156,353.9816,0.0412,0.0173,Population structure converged. Difference: 0.0451
5,1,50.3729,39.7881,Warrior,63.0658,56.1601,66.1402,2.0779,12.5560,1.9219,200,51.4272,133.2395,194.4632,366.0358,305.7172,233.5549,0.0338,0.0173,Population structure converged. Difference: 0.0451
5,2,50.3729,45.4756,Warrior,63.0658,56.1601,66.1402,2.0779,12.5560,1.9219,200,51.4272,30.5103,73.2265,183.7159,144.0710,112.5108,0.0223,0.0173,Population structure converged. Difference: 0.0451
5,3,50.4259,47.9488,Warrior,63.1750,56.2574,65.9083,2.0815,12.5778,1.9219,200,51.4272,19.2859,30.1665,114.1359,72.3854,73.8763,0.0173,0.0173,Population structure converged. Difference: 0.0451
