Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.4897,28.2739,Warrior,75.4155,68.8772,23.2552,7.7814,24.6707,1.9062,200,51.1473,614.4657,544.3539,423.9197,553.5906,352.2676,0.0403,0.1015,Population structure converged. Difference: 0.0083
1,1,49.4897,32.3289,Warrior,75.4155,68.8772,23.2552,7.7814,24.6707,1.9062,200,51.1473,515.0608,609.3672,376.7923,496.4544,337.5151,0.0399,0.1015,Population structure converged. Difference: 0.0083
1,2,49.6102,37.2528,Warrior,76.4940,68.2809,23.0539,7.7140,24.4571,1.9062,200,51.1473,391.1673,534.9704,299.9959,360.6072,258.9998,0.0295,0.1015,Population structure converged. Difference: 0.0083
1,3,49.6102,41.3555,Warrior,76.4940,68.2809,23.0539,7.7140,24.4571,1.9062,200,51.1473,265.6390,364.5509,177.3235,371.4497,195.1306,0.0232,0.1015,Population structure converged. Difference: 0.0083
1,4,49.8754,42.6501,Warrior,76.3356,69.7175,22.5203,7.5355,23.8911,1.9062,200,51.1473,200.8444,262.0856,132.9093,258.4152,136.7265,0.0189,0.1015,Population structure converged. Difference: 0.0083
1,5,51.0434,44.7339,Warrior,77.7883,71.0443,22.9489,7.6789,20.5396,1.9062,200,51.1473,161.9397,180.1102,127.6091,234.1575,73.0182,0.0161,0.1015,Population structure converged. Difference: 0.0083
1,6,51.0434,46.8550,Warrior,77.7883,71.0443,22.9489,7.6789,20.5396,1.9062,200,51.1473,72.2152,83.8816,80.8776,51.0381,32.1733,0.0123,0.1015,Population structure converged. Difference: 0.0083
1,7,51.0434,47.2515,Warrior,77.7883,71.0443,22.9489,7.6789,20.5396,1.9062,200,51.1473,85.5937,76.0054,83.1796,14.6861,24.8302,0.0132,0.1015,Population structure converged. Difference: 0.0083
1,8,51.1031,47.7171,Warrior,77.1768,72.0580,22.7685,7.6185,20.3781,1.9062,200,51.1473,61.6448,99.5608,87.9745,8.4729,22.4816,0.0114,0.1015,Population structure converged. Difference: 0.0083
1,9,51.1031,48.2423,Warrior,77.1768,72.0580,22.7685,7.6185,20.3781,1.9062,200,51.1473,42.1262,88.0887,86.3787,4.5940,17.4140,0.0114,0.1015,Population structure converged. Difference: 0.0083
1,10,51.1031,48.7926,Warrior,77.1768,72.0580,22.7685,7.6185,20.3781,1.9062,200,51.1473,49.2750,59.8440,58.8436,2.9273,10.3132,0.0055,0.1015,Population structure converged. Difference: 0.0083
1,11,51.1031,49.5488,Warrior,77.1768,72.0580,22.7685,7.6185,20.3781,1.9062,200,51.1473,11.2680,28.6217,56.1639,2.0481,3.0258,0.0000,0.1015,Population structure converged. Difference: 0.0083
1,12,51.1031,49.7199,Warrior,77.1768,72.0580,22.7685,7.6185,20.3781,1.9062,200,51.1473,10.7483,46.0185,61.5002,1.0635,3.0763,0.0000,0.1015,Population structure converged. Difference: 0.0083
1,13,51.1031,49.9725,Warrior,77.1768,72.0580,22.7685,7.6185,20.3781,1.9062,200,51.1473,8.1709,5.0623,12.6033,0.8542,3.0618,0.0000,0.1015,Population structure converged. Difference: 0.0083
1,14,51.1485,50.0872,Warrior,78.5254,70.1103,23.4154,7.4198,20.5292,1.9062,200,51.1473,4.9924,4.7087,3.1317,0.8645,2.8808,0.0000,0.1015,Population structure converged. Difference: 0.0083
1,15,51.1485,50.2002,Warrior,78.5254,70.1103,23.4154,7.4198,20.5292,1.9062,200,51.1473,3.9602,4.8678,1.5828,0.6946,2.7436,0.0000,0.1015,Population structure converged. Difference: 0.0083
1,16,51.1600,50.3469,Warrior,77.9949,71.1220,22.9825,7.5268,20.3737,1.9062,200,51.1473,2.6349,3.1959,0.5737,0.5059,2.6669,0.0000,0.1015,Population structure converged. Difference: 0.0083
1,17,51.1420,50.4373,Warrior,78.5171,70.1029,23.4129,7.4190,20.5481,1.9062,200,51.1473,2.4144,2.6026,0.6221,0.5121,2.3988,0.0000,0.1015,Population structure converged. Difference: 0.0083
1,18,51.1420,50.6176,Warrior,78.5171,70.1029,23.4129,7.4190,20.5481,1.9062,200,51.1473,2.8052,2.1199,0.5721,0.2491,2.0876,0.0000,0.1015,Population structure converged. Difference: 0.0083
1,19,51.1473,50.7287,Warrior,77.9602,70.8598,23.2468,7.3672,20.5660,1.9062,200,51.1473,1.8306,1.9368,0.4017,0.2670,1.3908,0.0000,0.1015,Population structure converged. Difference: 0.0083
2,0,48.1613,30.6031,Warrior,99.9590,68.6199,19.8903,7.6542,3.8766,1.4388,200,59.6665,539.2764,356.5429,404.9741,509.8488,515.4845,0.0385,0.0955,Population structure converged. Difference: 0.0091
2,1,48.1613,34.0153,Warrior,99.9590,68.6199,19.8903,7.6542,3.8766,1.4388,200,59.6665,494.0027,332.3443,317.4738,504.0215,423.0876,0.0375,0.0955,Population structure converged. Difference: 0.0091
2,2,48.1613,37.1112,Warrior,99.9590,68.6199,19.8903,7.6542,3.8766,1.4388,200,59.6665,486.8335,271.6299,285.3065,398.0988,409.2847,0.0371,0.0955,Population structure converged. Difference: 0.0091
2,3,48.7744,39.8961,Warrior,90.0097,61.7899,37.8173,6.8923,3.4908,1.4388,200,59.6665,437.0748,218.8150,252.2055,282.8734,324.5720,0.0296,0.0955,Population structure converged. Difference: 0.0091
2,4,53.3661,42.0803,Warrior,64.6736,62.6867,68.1198,0.4294,4.0905,1.8982,200,59.6665,302.0064,151.7279,197.3618,164.4969,256.7241,0.0226,0.0955,Population structure converged. Difference: 0.0091
