Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.5921,34.8091,Warrior,79.0312,102.0745,9.0407,7.0203,2.8333,1.8367,200,53.6890,364.2662,786.7711,730.2824,330.6945,332.9652,0.0371,0.0216,Population structure converged. Difference: 0.0094
1,1,52.7774,46.4226,Warrior,86.0092,88.0333,12.4204,9.6446,3.8925,1.8367,200,53.6890,169.1738,952.1939,733.7078,81.7501,124.4111,0.0157,0.0216,Population structure converged. Difference: 0.0094
1,2,53.3865,51.5888,Warrior,83.1603,98.8517,8.7553,6.7986,2.4341,1.8367,200,53.6890,54.3305,207.8560,170.6215,2.1778,49.8828,0.0011,0.0216,Population structure converged. Difference: 0.0094
1,3,53.3966,52.6063,Warrior,83.2359,98.7832,8.7492,6.7939,2.4378,1.8367,200,53.6890,1.1858,3.9162,0.5544,0.8903,0.0253,0.0000,0.0216,Population structure converged. Difference: 0.0094
1,4,53.4172,52.7050,Warrior,81.6237,94.8214,13.3781,7.2506,2.9263,1.8367,200,53.6890,2.0137,2.6504,0.7601,0.1827,0.0348,0.0000,0.0216,Population structure converged. Difference: 0.0094
1,5,53.5815,52.8292,Warrior,82.5769,94.1396,13.2819,7.1257,2.8759,1.8367,200,53.6890,3.2707,3.3301,0.9472,0.1822,0.0373,0.0000,0.0216,Population structure converged. Difference: 0.0094
1,6,53.6890,53.0317,Warrior,83.3855,93.4913,13.1904,7.0766,2.8561,1.8367,200,53.6890,3.7018,3.6995,1.4241,0.0911,0.0385,0.0000,0.0216,Population structure converged. Difference: 0.0094
1,7,53.6890,53.1883,Warrior,83.3855,93.4913,13.1904,7.0766,2.8561,1.8367,200,53.6890,2.4489,3.7645,1.8143,0.0177,0.0366,0.0000,0.0216,Population structure converged. Difference: 0.0094
2,0,52.8926,39.6669,Warrior,69.8954,69.9725,44.5685,1.5356,14.0280,1.8693,200,56.8176,256.3640,232.4178,341.6317,299.7367,222.1891,0.0374,0.0252,Population structure converged. Difference: 0.0076
2,1,54.9880,47.3912,Warrior,81.2137,57.5408,52.8777,2.3651,6.0027,1.8693,200,56.8176,29.6253,82.8304,151.2381,36.1307,95.6109,0.0145,0.0252,Population structure converged. Difference: 0.0076
2,2,56.2664,51.6891,Warrior,79.7654,68.4477,43.5973,2.2939,5.8957,1.8693,200,56.8176,15.7018,62.3848,27.0179,5.3314,43.9999,0.0027,0.0252,Population structure converged. Difference: 0.0076
2,3,56.2664,53.6135,Warrior,79.7654,68.4477,43.5973,2.2939,5.8957,1.8693,200,56.8176,31.0668,34.9500,14.5203,1.2019,18.0726,0.0000,0.0252,Population structure converged. Difference: 0.0076
2,4,56.5669,54.7225,Warrior,79.8982,68.8391,43.8465,1.5107,5.9055,1.8693,200,56.8176,30.7511,30.8158,14.1697,0.1471,13.5495,0.0000,0.0252,Population structure converged. Difference: 0.0076
2,5,56.7612,55.7225,Warrior,82.2574,67.4868,42.9852,1.4811,5.7895,1.8693,200,56.8176,15.0509,21.5486,8.2160,0.1003,3.6981,0.0000,0.0252,Population structure converged. Difference: 0.0076
2,6,56.8164,56.2339,Warrior,82.7972,67.4501,42.5072,1.4972,5.7483,1.8693,200,56.8176,4.7949,10.2840,3.3170,0.1462,0.0209,0.0000,0.0252,Population structure converged. Difference: 0.0076
2,7,56.8176,56.3903,Warrior,82.7820,67.4745,42.4994,1.4969,5.7472,1.8693,200,56.8176,1.7980,4.6447,1.5363,0.1539,0.0125,0.0000,0.0252,Population structure converged. Difference: 0.0076
3,0,51.9486,41.4425,Warrior,71.7385,55.1415,58.5238,5.8586,8.7376,1.9432,200,55.2112,318.2230,413.6294,293.5260,236.1092,310.6646,0.0308,0.0316,Population structure converged. Difference: 0.0073
3,1,53.3299,49.3393,Warrior,71.3697,72.8284,39.2560,7.8533,8.6927,1.9432,200,55.2112,28.5809,68.3100,37.0275,46.1050,47.8313,0.0047,0.0316,Population structure converged. Difference: 0.0073
3,2,53.6454,50.9978,Warrior,83.1572,63.9185,33.2505,9.5454,10.1284,1.9110,200,55.2112,15.8343,18.3883,23.0137,0.4327,5.6170,0.0002,0.0316,Population structure converged. Difference: 0.0073
3,3,54.1668,51.7921,Warrior,83.7541,64.3772,33.4891,8.1785,10.2011,1.9110,200,55.2112,38.8995,16.2680,15.7448,0.5634,8.5481,0.0002,0.0316,Population structure converged. Difference: 0.0073
3,4,54.5312,52.8922,Warrior,84.2461,64.7555,33.6859,8.2266,9.0860,1.9110,200,55.2112,40.5830,24.7586,13.2891,0.6060,6.1265,0.0003,0.0316,Population structure converged. Difference: 0.0073
3,5,54.9711,53.4337,Warrior,80.8714,70.1730,32.3365,7.8970,8.7220,1.9110,200,55.2112,25.8569,21.8255,10.6356,0.6341,2.2131,0.0002,0.0316,Population structure converged. Difference: 0.0073
3,6,54.7675,53.8838,Warrior,84.5392,64.9808,33.8031,7.9245,8.7524,1.9110,200,55.2112,18.2802,15.2451,8.1332,0.5894,0.6721,0.0003,0.0316,Population structure converged. Difference: 0.0073
3,7,55.0422,54.1817,Warrior,79.3640,71.6580,32.7161,7.7271,8.5348,1.9110,200,55.2112,10.3621,10.6906,6.6133,0.5226,0.2426,0.0002,0.0316,Population structure converged. Difference: 0.0073
3,8,55.0859,54.4451,Warrior,80.6439,68.0636,35.3523,7.0360,8.9042,1.9110,200,55.2112,6.6677,7.4001,4.4734,0.2381,0.2239,0.0002,0.0316,Population structure converged. Difference: 0.0073
3,9,55.2016,54.6436,Warrior,80.8195,70.7810,32.3157,7.0994,8.9844,1.9110,200,55.2112,4.6504,6.8684,3.9700,0.1315,0.2022,0.0001,0.0316,Population structure converged. Difference: 0.0073
3,10,55.2112,54.8119,Warrior,80.9370,70.7112,32.2839,7.0924,8.9756,1.9110,200,55.2112,3.3479,5.7272,3.3611,0.1132,0.1596,0.0000,0.0316,Population structure converged. Difference: 0.0073
4,0,55.6569,37.8361,Warrior,77.7136,68.0249,50.6929,3.2131,0.3556,1.8480,200,55.6569,361.0504,353.3125,378.9583,433.1146,604.9396,0.0296,0.0112,Population structure converged. Difference: 0.0003
4,1,55.6569,49.4137,Warrior,77.7136,68.0249,50.6929,3.2131,0.3556,1.8480,200,55.6569,124.9458,226.1871,72.8439,76.1453,161.7015,0.0105,0.0112,Population structure converged. Difference: 0.0003
4,2,55.6569,54.9955,Warrior,77.7136,68.0249,50.6929,3.2131,0.3556,1.8480,200,55.6569,4.8452,56.3513,20.7377,2.2583,3.1005,0.0004,0.0112,Population structure converged. Difference: 0.0003
4,3,55.6569,55.6379,Warrior,77.7136,68.0249,50.6929,3.2131,0.3556,1.8480,200,55.6569,0.1010,0.3219,0.1792,0.0007,0.5042,0.0000,0.0112,Population structure converged. Difference: 0.0003
5,0,47.6459,38.4768,Warrior,59.5224,76.9260,36.2077,17.0310,10.3130,1.9352,200,54.6795,117.3417,515.0572,349.5254,211.8206,207.6181,0.0318,0.0503,Population structure converged. Difference: 0.0083
5,1,47.9107,43.8563,Warrior,66.7464,61.4174,41.1736,19.0980,11.5647,1.9352,200,54.6795,25.8412,166.1398,181.8819,57.8177,76.2849,0.0081,0.0503,Population structure converged. Difference: 0.0083
5,2,50.1050,45.7610,Warrior,61.3977,86.5753,30.7204,9.9633,11.3433,1.9156,200,54.6795,20.1523,59.1313,76.1108,46.8583,78.6834,0.0011,0.0503,Population structure converged. Difference: 0.0083
5,3,50.4525,47.4666,Warrior,62.1820,88.7695,31.4990,10.2159,7.3336,1.8794,200,54.6795,13.6181,66.2411,36.3723,22.8296,61.6441,0.0010,0.0503,Population structure converged. Difference: 0.0083
5,4,51.3142,48.8715,Warrior,63.0050,81.4268,38.3261,10.3363,6.9058,1.9352,200,54.6795,6.9119,66.4760,24.6100,16.4259,16.9127,0.0006,0.0503,Population structure converged. Difference: 0.0083
5,5,52.2482,49.8971,Warrior,64.0841,82.8215,36.9575,9.0335,7.1034,1.9156,200,54.6795,2.7578,34.4992,11.5598,7.1274,3.6624,0.0004,0.0503,Population structure converged. Difference: 0.0083
5,6,52.2482,50.3174,Warrior,64.0841,82.8215,36.9575,9.0335,7.1034,1.9156,200,54.6795,3.6924,30.4277,8.7260,5.0960,4.4432,0.0004,0.0503,Population structure converged. Difference: 0.0083
5,7,52.2509,50.7458,Warrior,64.0897,82.8288,36.9486,9.0313,7.1016,1.9156,200,54.6795,1.2630,16.4604,8.0631,0.5154,5.1869,0.0003,0.0503,Population structure converged. Difference: 0.0083
5,8,52.5330,51.3602,Warrior,68.4085,68.8265,45.3091,10.5401,6.9158,1.9156,200,54.6795,1.4959,13.0517,7.5750,0.5474,3.9344,0.0002,0.0503,Population structure converged. Difference: 0.0083
5,9,52.5330,51.8299,Warrior,68.4085,68.8265,45.3091,10.5401,6.9158,1.9156,200,54.6795,1.7528,16.6336,9.4469,0.4814,1.4826,0.0001,0.0503,Population structure converged. Difference: 0.0083
5,10,54.0699,52.0904,Warrior,72.6886,73.1327,37.7123,9.2180,7.2484,1.9156,200,54.6795,3.8619,21.0955,11.8192,0.4315,0.3422,0.0001,0.0503,Population structure converged. Difference: 0.0083
5,11,54.2245,52.4289,Warrior,73.0806,73.5271,37.1539,9.0815,7.1568,1.9156,200,54.6795,6.9381,36.8672,17.7813,0.3877,0.1000,0.0000,0.0503,Population structure converged. Difference: 0.0083
5,12,54.2245,52.9149,Warrior,73.0806,73.5271,37.1539,9.0815,7.1568,1.9156,200,54.6795,10.4024,41.4049,16.2317,0.4269,0.1251,0.0000,0.0503,Population structure converged. Difference: 0.0083
5,13,54.5106,53.4151,Warrior,74.9571,75.4151,33.1860,9.4426,6.9992,1.9156,200,54.6795,8.1079,24.6067,10.2308,0.3650,0.1017,0.0000,0.0503,Population structure converged. Difference: 0.0083
5,14,54.6164,53.8689,Warrior,75.3396,75.7999,32.4830,9.0577,7.3198,1.9156,200,54.6795,3.7859,11.3114,7.1275,0.0980,0.0590,0.0000,0.0503,Population structure converged. Difference: 0.0083
5,15,54.6385,54.0624,Warrior,76.2453,74.3068,32.8735,9.1665,7.4078,1.9156,200,54.6795,2.1470,4.0334,4.6024,0.0392,0.0517,0.0000,0.0503,Population structure converged. Difference: 0.0083
5,16,54.6795,54.2284,Warrior,76.2868,74.3473,32.8914,9.0626,7.4119,1.9156,200,54.6795,1.5761,2.0381,5.3507,0.0271,0.0362,0.0000,0.0503,Population structure converged. Difference: 0.0083
6,0,43.8082,34.6396,Warrior,59.4726,50.0021,54.3265,10.5626,25.6363,1.9559,200,49.9479,301.8110,288.4550,285.8665,276.8184,200.1724,0.0477,0.0359,Population structure converged. Difference: 0.0096
6,1,45.4025,39.8033,Warrior,57.7820,62.6291,47.5990,9.2546,22.7354,1.9559,200,49.9479,83.0455,220.8047,286.9239,52.0152,56.4802,0.0346,0.0359,Population structure converged. Difference: 0.0096
6,2,45.7740,42.7411,Warrior,58.9740,62.1041,47.2000,9.1770,22.5449,1.9559,200,49.9479,38.2051,177.4121,296.7847,27.9731,30.2189,0.0155,0.0359,Population structure converged. Difference: 0.0096
6,3,46.8211,43.9624,Warrior,69.0277,63.3574,31.0119,10.6805,25.9225,1.9529,200,49.9479,30.3029,108.5843,263.4338,19.6486,24.9211,0.0063,0.0359,Population structure converged. Difference: 0.0096
6,4,48.6556,44.9315,Warrior,70.1695,66.4546,32.3014,5.8789,25.1956,1.9529,200,49.9479,36.6166,83.9461,228.4419,16.8464,15.0603,0.0000,0.0359,Population structure converged. Difference: 0.0096
6,5,48.6556,45.9960,Warrior,70.1695,66.4546,32.3014,5.8789,25.1956,1.9529,200,49.9479,28.9843,73.5747,171.8662,7.1329,8.2355,0.0000,0.0359,Population structure converged. Difference: 0.0096
6,6,48.8240,46.9621,Warrior,70.0209,66.8531,32.7230,8.7954,21.6075,1.9529,200,49.9479,15.6799,57.2115,97.1187,4.3082,4.3963,0.0000,0.0359,Population structure converged. Difference: 0.0096
