Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.9050,38.8557,Warrior,91.3631,80.2019,7.5957,4.2160,16.6234,1.9269,200,52.9050,543.9314,583.5594,417.4784,479.1332,379.0281,0.0555,0.0129,Population structure converged. Difference: 0.0058
1,1,52.9050,47.1759,Warrior,91.3631,80.2019,7.5957,4.2160,16.6234,1.9269,200,52.9050,183.7105,232.7719,114.1249,181.5735,77.6377,0.0144,0.0129,Population structure converged. Difference: 0.0058
1,2,52.9050,50.8752,Warrior,91.3631,80.2019,7.5957,4.2160,16.6234,1.9269,200,52.9050,7.0247,3.4860,11.0631,0.0240,1.8123,0.0015,0.0129,Population structure converged. Difference: 0.0058
1,3,52.9050,51.8713,Warrior,91.3631,80.2019,7.5957,4.2160,16.6234,1.9269,200,52.9050,7.0247,3.4860,11.0631,0.0240,1.8123,0.0013,0.0129,Population structure converged. Difference: 0.0058
1,4,52.9050,52.6017,Warrior,91.3631,80.2019,7.5957,4.2160,16.6234,1.9269,200,52.9050,7.0247,3.4860,11.0631,0.0240,1.8123,0.0008,0.0129,Population structure converged. Difference: 0.0058
2,0,43.8791,32.1750,Warrior,56.4364,76.1483,28.5794,27.2155,11.6205,1.9178,200,50.0017,306.3608,325.8354,265.7081,232.8684,444.8600,0.0363,0.0302,Population structure converged. Difference: 0.0098
2,1,44.6408,38.8741,Warrior,52.3296,70.6070,48.4152,17.8733,10.7749,1.9178,200,50.0017,97.5693,272.6746,162.0688,83.3652,151.5106,0.0318,0.0302,Population structure converged. Difference: 0.0098
2,2,46.0864,42.1569,Warrior,65.6570,53.6129,47.0255,22.4834,11.2212,1.9178,200,50.0017,38.4170,244.2367,146.6574,22.0817,29.1728,0.0150,0.0302,Population structure converged. Difference: 0.0098
2,3,48.2378,43.8355,Warrior,63.5204,77.2461,28.9914,18.8678,11.3744,1.9178,200,50.0017,36.7373,210.5182,136.0920,14.4368,5.5910,0.0060,0.0302,Population structure converged. Difference: 0.0098
2,4,48.2453,45.1549,Warrior,73.8958,60.3403,32.1871,20.9476,12.6292,1.9178,200,50.0017,32.6818,145.9797,104.6630,11.2723,4.5015,0.0040,0.0302,Population structure converged. Difference: 0.0098
2,5,48.7051,46.5469,Warrior,68.4613,72.3143,27.1404,19.2467,12.8372,1.9178,200,50.0017,19.7105,126.1163,80.2935,7.5562,4.2677,0.0000,0.0302,Population structure converged. Difference: 0.0098
2,6,49.5986,47.6668,Warrior,69.8760,72.8507,27.4600,17.8711,11.9422,1.9178,200,50.0017,18.6738,71.6824,38.6346,3.8387,0.7265,0.0000,0.0302,Population structure converged. Difference: 0.0098
2,7,49.7739,48.1664,Warrior,69.6133,73.6593,27.7648,18.0695,10.8931,1.9178,200,50.0017,20.6648,53.4980,18.6575,2.2383,0.7843,0.0000,0.0302,Population structure converged. Difference: 0.0098
2,8,49.8764,48.7252,Warrior,70.2371,73.2272,27.6019,17.9635,10.9703,1.9178,200,50.0017,15.4415,29.7409,4.5080,0.9671,0.7004,0.0000,0.0302,Population structure converged. Difference: 0.0098
2,9,49.8937,49.2418,Warrior,70.0627,73.6617,27.4609,17.8717,10.9431,1.9178,200,50.0017,6.5826,14.8030,3.3221,0.7903,0.5650,0.0000,0.0302,Population structure converged. Difference: 0.0098
2,10,50.0017,49.5157,Warrior,69.9104,73.9737,27.8792,18.1440,10.0928,1.9178,200,50.0017,2.9430,5.2192,1.5302,0.4183,0.4354,0.0000,0.0302,Population structure converged. Difference: 0.0098
3,0,48.9657,38.4627,Warrior,72.7899,60.3750,35.4902,17.4486,13.8963,1.9195,200,48.9657,371.1472,234.1680,225.3769,287.7431,377.6253,0.0420,0.0113,Population structure converged. Difference: 0.0038
3,1,48.9657,46.5576,Warrior,72.7899,60.3750,35.4902,17.4486,13.8963,1.9195,200,48.9657,76.0113,83.6654,57.5311,60.7450,134.6934,0.0204,0.0113,Population structure converged. Difference: 0.0038
3,2,48.9657,48.4250,Warrior,72.7899,60.3750,35.4902,17.4486,13.8963,1.9195,200,48.9657,17.2410,31.5630,6.4658,20.7176,66.3081,0.0075,0.0113,Population structure converged. Difference: 0.0038
3,3,48.9657,48.7825,Warrior,72.7899,60.3750,35.4902,17.4486,13.8963,1.9195,200,48.9657,3.2897,1.8441,0.8916,7.4677,0.6249,0.0043,0.0113,Population structure converged. Difference: 0.0038
4,0,53.1922,35.3843,Warrior,68.3503,66.6526,51.1628,4.6618,9.1725,1.8915,200,58.6835,535.8392,326.4786,379.7235,459.1856,371.6050,0.0393,0.0254,Population structure converged. Difference: 0.0092
4,1,55.7974,46.2843,Warrior,93.0287,90.7180,5.0125,0.3565,10.8843,1.8915,200,58.6835,155.6035,140.0052,509.0176,103.8905,347.3929,0.0176,0.0254,Population structure converged. Difference: 0.0092
4,2,55.8207,52.0716,Warrior,74.7988,72.9409,41.1370,3.7483,7.3750,1.8915,200,58.6835,73.8374,89.1596,408.5457,36.1911,110.9832,0.0016,0.0254,Population structure converged. Difference: 0.0092
4,3,56.9234,53.9299,Warrior,77.1409,75.2248,38.1371,0.3012,9.1960,1.8915,200,58.6835,118.2383,130.4052,487.3936,4.3105,55.8956,0.0000,0.0254,Population structure converged. Difference: 0.0092
4,4,57.1134,55.4582,Warrior,85.4920,69.1305,35.0474,0.3276,10.0025,1.8915,200,58.6835,92.6492,106.0055,369.3828,3.0127,4.8383,0.0000,0.0254,Population structure converged. Difference: 0.0092
4,5,58.3452,55.9915,Warrior,82.2517,80.2087,30.5795,0.3615,6.5986,1.8915,200,58.6835,71.3060,96.1505,301.8496,2.3994,4.2262,0.0000,0.0254,Population structure converged. Difference: 0.0092
4,6,58.3702,56.5237,Warrior,82.2278,77.8588,33.0556,0.2610,6.5966,1.8915,200,58.6835,65.2989,69.3413,242.7248,2.0835,2.8342,0.0000,0.0254,Population structure converged. Difference: 0.0092
4,7,58.6504,57.2492,Warrior,86.8139,77.1010,29.3947,0.3475,6.3429,1.8915,200,58.6835,38.1050,52.0703,149.7640,1.6112,1.7152,0.0000,0.0254,Population structure converged. Difference: 0.0092
4,8,58.6519,57.7220,Warrior,84.9733,76.2080,32.3548,0.2555,6.2084,1.8915,200,58.6835,20.1361,38.1227,89.6222,0.8046,1.1671,0.0000,0.0254,Population structure converged. Difference: 0.0092
4,9,58.6835,58.1464,Warrior,86.8514,77.1343,29.4074,0.2612,6.3456,1.8915,200,58.6835,11.5459,12.9156,30.0173,0.0900,0.5769,0.0000,0.0254,Population structure converged. Difference: 0.0092
5,0,47.2178,37.3167,Warrior,74.5996,72.4463,14.0859,14.7896,24.0786,1.9248,200,47.4023,257.6978,385.3548,631.9347,236.0912,177.6199,0.0328,0.0126,Population structure converged. Difference: 0.0092
