Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.5946,42.7827,Warrior,69.7642,68.7438,38.7887,11.6438,11.0594,1.9085,200,56.1792,285.7949,192.2584,198.9278,189.4297,225.7480,0.0306,0.0230,Population structure converged. Difference: 0.0076
1,1,54.6031,47.7543,Warrior,72.6846,71.6214,40.4125,3.7591,11.5224,1.9085,200,56.1792,46.9554,35.8850,88.5165,12.1893,20.5787,0.0054,0.0230,Population structure converged. Difference: 0.0076
1,2,55.9420,50.4046,Warrior,76.2328,74.3359,36.2552,2.1364,11.0397,1.9085,200,56.1792,35.8655,57.0329,96.2733,16.7690,3.8530,0.0034,0.0230,Population structure converged. Difference: 0.0076
1,3,56.1175,53.3605,Warrior,78.1288,73.0278,35.6172,2.2736,10.9525,1.9085,200,56.1792,10.0805,41.5188,47.5885,12.5620,1.4264,0.0007,0.0230,Population structure converged. Difference: 0.0076
1,4,56.1175,54.8590,Warrior,78.1288,73.0278,35.6172,2.2736,10.9525,1.9085,200,56.1792,5.8464,7.5928,5.5366,4.9294,0.0667,0.0001,0.0230,Population structure converged. Difference: 0.0076
1,5,56.1663,55.3884,Warrior,77.8204,73.3824,35.7901,2.1090,10.8980,1.9085,200,56.1792,3.9915,3.3640,3.1018,0.4993,0.0633,0.0000,0.0230,Population structure converged. Difference: 0.0076
1,6,56.1663,55.5686,Warrior,77.8204,73.3824,35.7901,2.1090,10.8980,1.9085,200,56.1792,3.5657,2.5899,2.8738,0.3670,0.0661,0.0000,0.0230,Population structure converged. Difference: 0.0076
1,7,56.1792,55.7569,Warrior,78.1932,73.0880,35.6466,2.1107,10.9616,1.9085,200,56.1792,2.9220,2.0017,2.2441,0.2114,0.0657,0.0000,0.0230,Population structure converged. Difference: 0.0076
2,0,55.4695,39.8083,Warrior,72.0701,68.0658,54.2721,1.7651,3.8268,1.8727,200,55.9754,260.4647,315.7631,462.1513,247.1170,216.4464,0.0385,0.0121,Population structure converged. Difference: 0.0072
2,1,55.9426,52.0013,Warrior,74.8436,66.4639,52.9948,1.7236,3.9741,1.8727,200,55.9754,69.9585,67.9234,80.5262,20.2344,59.5144,0.0072,0.0121,Population structure converged. Difference: 0.0072
2,2,55.9722,54.9774,Warrior,74.8832,66.4991,53.0229,1.7661,3.8289,1.8727,200,55.9754,10.9073,8.5064,2.8757,1.8612,6.7747,0.0006,0.0121,Population structure converged. Difference: 0.0072
2,3,55.9754,55.5765,Warrior,74.9068,66.4849,53.0116,1.7666,3.8301,1.8727,200,55.9754,1.0892,0.4444,0.5194,0.0007,0.0037,0.0000,0.0121,Population structure converged. Difference: 0.0072
