Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.3456,35.5025,Warrior,71.5985,62.9581,45.3970,12.2146,7.8318,1.9465,200,53.7734,340.6877,384.2507,451.0885,264.8183,333.5944,0.0438,0.0140,Population structure converged. Difference: 0.0377
1,1,52.4199,43.1099,Warrior,75.9998,88.2090,15.9096,12.1141,7.7674,1.9465,200,53.7734,108.8425,225.0444,233.5061,75.2672,122.3519,0.0482,0.0140,Population structure converged. Difference: 0.0377
1,2,53.7734,48.5275,Warrior,79.1980,87.9736,15.8672,8.2981,8.6631,1.9465,200,53.7734,32.5544,142.0189,180.4144,6.1055,19.7618,0.0599,0.0140,Population structure converged. Difference: 0.0377
1,3,53.7734,51.8216,Warrior,79.1980,87.9736,15.8672,8.2981,8.6631,1.9465,200,53.7734,13.8585,132.0373,187.7279,1.6099,0.7516,0.0034,0.0140,Population structure converged. Difference: 0.0377
2,0,56.9908,38.0756,Warrior,88.5744,75.9706,25.3033,8.4114,1.7404,1.8898,200,58.5240,191.6920,278.1438,478.2584,333.3799,506.6855,0.0458,0.0122,Population structure converged. Difference: 0.0283
2,1,58.2267,49.6590,Warrior,90.0422,77.2295,25.7226,5.8047,1.2011,1.8898,200,58.5240,124.4474,119.7187,298.9843,41.5027,158.2819,0.0149,0.0122,Population structure converged. Difference: 0.0283
2,2,58.2267,54.4386,Warrior,90.0422,77.2295,25.7226,5.8047,1.2011,1.8898,200,58.5240,146.4633,99.0642,381.6706,3.8745,32.9080,0.0005,0.0122,Population structure converged. Difference: 0.0283
2,3,58.5240,56.9138,Warrior,90.3841,77.5228,25.8203,5.0472,1.2256,1.8898,200,58.5240,34.2606,48.6565,95.7522,1.5834,0.0776,0.0000,0.0122,Population structure converged. Difference: 0.0283
3,0,47.7992,34.5871,Warrior,60.9375,64.5793,51.3311,6.1918,16.9602,1.8569,200,52.3336,110.4220,440.0988,267.9631,238.2447,282.9598,0.0426,0.0127,Population structure converged. Difference: 0.0410
3,1,51.5860,42.3343,Warrior,64.9788,68.8621,54.7353,6.7527,4.6712,1.9578,200,52.3336,68.2591,265.3620,110.9643,90.1014,113.8511,0.0145,0.0127,Population structure converged. Difference: 0.0410
3,2,51.9915,47.0025,Warrior,66.0060,69.9507,52.4389,6.8595,4.7450,1.9578,200,52.3336,52.5936,122.8957,21.1638,11.6787,48.0241,0.0029,0.0127,Population structure converged. Difference: 0.0410
3,3,52.3336,50.2734,Warrior,66.2831,70.2444,52.7413,5.9663,4.7649,1.9578,200,52.3336,14.3961,19.9891,15.0648,0.2818,24.1664,0.0026,0.0127,Population structure converged. Difference: 0.0410
4,0,56.6644,38.6951,Warrior,97.9800,67.2055,25.8472,7.9732,0.9940,1.9332,200,56.6644,479.9044,383.0283,369.0696,204.9735,344.0189,0.0344,0.0088,Population structure converged. Difference: 0.0457
4,1,56.6644,49.2031,Warrior,97.9800,67.2055,25.8472,7.9732,0.9940,1.9332,200,56.6644,208.2008,127.9160,165.1640,43.7684,94.7861,0.0158,0.0088,Population structure converged. Difference: 0.0457
4,2,56.6644,54.1878,Warrior,97.9800,67.2055,25.8472,7.9732,0.9940,1.9332,200,56.6644,3.7373,1.6218,0.2399,0.0228,0.0004,0.0066,0.0088,Population structure converged. Difference: 0.0457
5,0,46.7903,34.5820,Warrior,70.9860,43.5816,66.0985,6.9754,12.3585,1.8419,200,46.7903,389.6328,187.2590,532.7678,401.0273,413.2561,0.0378,0.0084,Population structure converged. Difference: 0.0000
5,1,46.7903,44.3309,Warrior,70.9860,43.5816,66.0985,6.9754,12.3585,1.8419,200,46.7903,91.5141,59.7051,199.7028,119.4642,83.1087,0.0094,0.0084,Population structure converged. Difference: 0.0000
5,2,46.7903,46.7903,Warrior,70.9860,43.5816,66.0985,6.9754,12.3585,1.8419,200,46.7903,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0084,Population structure converged. Difference: 0.0000
6,0,46.2378,33.9713,Warrior,67.5515,53.6652,54.8701,2.6560,21.2572,1.8146,200,55.5455,156.4381,146.4806,253.3022,321.5923,227.1759,0.0308,0.0227,Population structure converged. Difference: 0.0077
6,1,45.0497,40.5586,Warrior,64.9151,47.5467,66.6283,2.3224,18.5875,1.8146,200,55.5455,40.8020,38.0062,150.5399,180.3665,65.6937,0.0077,0.0227,Population structure converged. Difference: 0.0077
6,2,48.5874,43.3079,Warrior,78.1941,42.5021,53.0144,2.7065,23.5828,1.9042,200,55.5455,29.2329,24.0460,56.9718,87.0338,42.8470,0.0020,0.0227,Population structure converged. Difference: 0.0077
6,3,55.5455,45.2562,Warrior,80.8727,55.6153,54.8305,3.1956,5.4859,1.9042,200,55.5455,24.2472,21.3950,36.8156,51.7061,19.0460,0.0020,0.0227,Population structure converged. Difference: 0.0077
6,4,55.5455,48.6489,Warrior,80.8727,55.6153,54.8305,3.1956,5.4859,1.9042,200,55.5455,37.6019,26.4841,28.2437,0.1137,35.4132,0.0024,0.0227,Population structure converged. Difference: 0.0077
6,5,55.5455,52.6919,Warrior,80.8727,55.6153,54.8305,3.1956,5.4859,1.9042,200,55.5455,29.9699,22.2269,14.2744,0.1347,53.2648,0.0012,0.0227,Population structure converged. Difference: 0.0077
6,6,55.5455,55.1204,Warrior,80.8727,55.6153,54.8305,3.1956,5.4859,1.9042,200,55.5455,3.0111,7.0189,3.0258,0.0227,16.3380,0.0000,0.0227,Population structure converged. Difference: 0.0077
7,0,54.8750,39.1196,Warrior,76.6685,59.1638,61.2121,2.1103,0.8453,1.8573,200,59.8033,227.0897,225.2989,364.5289,338.5962,283.0802,0.0506,0.0145,Population structure converged. Difference: 0.0341
7,1,57.8069,48.4737,Warrior,94.7981,73.1541,28.3934,2.6093,1.0452,1.8573,200,59.8033,77.1829,26.5565,247.5100,70.0730,101.7499,0.0430,0.0145,Population structure converged. Difference: 0.0341
7,2,59.7929,54.0154,Warrior,87.9019,78.5865,30.1577,2.3946,0.9593,1.9350,200,59.8033,64.7041,34.3603,141.9275,4.0649,16.7880,0.0149,0.0145,Population structure converged. Difference: 0.0341
7,3,59.7929,56.6092,Warrior,87.9019,78.5865,30.1577,2.3946,0.9593,1.9350,200,59.8033,48.0626,63.7689,166.4989,0.1213,4.5217,0.0015,0.0145,Population structure converged. Difference: 0.0341
7,4,59.8033,57.8338,Warrior,87.9138,78.5971,30.1617,2.3757,0.9517,1.9350,200,59.8033,49.3136,66.0846,122.3152,0.1064,3.0064,0.0015,0.0145,Population structure converged. Difference: 0.0341
8,0,47.4301,36.0933,Warrior,70.4499,69.0958,24.9985,22.1013,13.3546,1.8859,200,54.7635,179.7597,259.5623,379.3056,303.7194,255.2548,0.0437,0.0169,Population structure converged. Difference: 0.0300
8,1,51.4535,43.7394,Warrior,80.0785,48.4570,51.9439,6.8393,12.6814,1.9171,200,54.7635,29.5494,67.0502,197.3773,97.7684,78.1460,0.0179,0.0169,Population structure converged. Difference: 0.0300
8,2,53.3777,46.3741,Warrior,76.5490,75.0777,27.1627,7.4314,13.7793,1.9171,200,54.7635,23.3886,62.0192,122.3874,27.7733,12.7113,0.0008,0.0169,Population structure converged. Difference: 0.0300
8,3,54.1947,49.2467,Warrior,79.3487,74.3934,26.9151,6.7769,12.5658,1.9171,200,54.7635,44.8520,94.7713,179.6251,22.3150,5.7764,0.0007,0.0169,Population structure converged. Difference: 0.0300
