Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.2642,35.5598,Warrior,91.7628,34.1941,55.4745,5.2329,13.3356,1.9053,200,58.2225,257.2856,356.3956,453.9919,248.6684,369.0017,0.0291,0.0398,Population structure converged. Difference: 0.0307
1,1,52.9431,42.1936,Warrior,69.6247,64.0594,49.6852,4.6868,11.9439,1.9053,200,58.2225,250.5948,331.4112,378.4521,88.0408,222.2867,0.0036,0.0398,Population structure converged. Difference: 0.0307
1,2,54.1338,47.2156,Warrior,79.0295,59.7721,46.3599,4.5068,10.3317,1.8879,200,58.2225,196.9557,353.7691,253.4236,37.5780,136.3468,0.0021,0.0398,Population structure converged. Difference: 0.0307
1,3,54.3748,51.1081,Warrior,77.3709,62.7150,45.3870,4.4122,10.1149,1.8879,200,58.2225,104.9118,179.1214,109.4746,24.8588,14.4358,0.0005,0.0398,Population structure converged. Difference: 0.0307
1,4,57.6373,52.6824,Warrior,77.7439,82.4610,32.1469,5.6214,2.0268,1.9053,200,58.2225,48.8032,77.6337,60.7414,7.1204,4.7404,0.0002,0.0398,Population structure converged. Difference: 0.0307
1,5,57.6373,53.8349,Warrior,77.7439,82.4610,32.1469,5.6214,2.0268,1.9053,200,58.2225,31.5757,36.8535,27.2649,0.3178,6.3746,0.0001,0.0398,Population structure converged. Difference: 0.0307
1,6,57.9078,54.9614,Warrior,82.2566,75.6384,34.0129,5.9477,2.1445,1.9053,200,58.2225,23.9097,45.6688,37.4165,0.5232,14.7995,0.0001,0.0398,Population structure converged. Difference: 0.0307
1,7,58.2225,56.4904,Warrior,84.2272,70.7456,38.0487,4.7453,2.2331,1.9053,200,58.2225,20.3062,54.6237,40.6777,0.6625,14.0822,0.0001,0.0398,Population structure converged. Difference: 0.0307
2,0,46.7208,34.6430,Warrior,68.2827,73.5110,22.0173,29.1235,7.0655,1.9280,200,50.1020,283.1897,303.2443,417.7382,275.0210,331.6607,0.0411,0.0260,Population structure converged. Difference: 0.0379
2,1,48.9175,41.3674,Warrior,64.4307,69.3641,39.4238,18.3505,8.4309,1.9280,200,50.1020,110.2412,189.9897,180.4429,57.2703,130.4685,0.0285,0.0260,Population structure converged. Difference: 0.0379
2,2,49.9042,44.4267,Warrior,66.0906,71.1511,38.1582,17.7614,6.8386,1.9280,200,50.1020,58.0053,109.4809,81.8772,23.7234,14.6278,0.0119,0.0260,Population structure converged. Difference: 0.0379
2,3,49.9042,46.6320,Warrior,66.0906,71.1511,38.1582,17.7614,6.8386,1.9280,200,50.1020,25.1294,61.7762,59.0552,30.3088,4.5095,0.0025,0.0260,Population structure converged. Difference: 0.0379
2,4,50.1020,48.2736,Warrior,68.4575,68.5757,37.2202,17.3248,8.4218,1.9280,200,50.1020,9.6686,24.6865,44.0445,29.5677,2.5998,0.0024,0.0260,Population structure converged. Difference: 0.0379
3,0,46.9357,34.9195,Warrior,67.4742,50.4928,53.7785,5.0153,23.2391,1.9625,200,49.5892,272.8719,313.1427,223.8654,368.0708,277.5392,0.0452,0.0253,Population structure converged. Difference: 0.0384
3,1,47.9951,41.6957,Warrior,70.0367,52.4104,50.8415,4.7414,21.9700,1.9625,200,49.5892,193.3699,127.9538,94.9955,81.9415,98.8205,0.0233,0.0253,Population structure converged. Difference: 0.0384
3,2,48.8925,45.1576,Warrior,73.9488,55.3379,42.6064,5.6981,22.4087,1.8660,200,49.5892,85.9990,29.5287,63.8835,33.9952,25.7724,0.0074,0.0253,Population structure converged. Difference: 0.0384
3,3,49.6030,47.1658,Warrior,73.0169,54.6406,44.4624,4.9489,22.9313,1.9356,200,49.5892,7.4498,5.3100,36.3284,9.8632,2.2104,0.0015,0.0253,Population structure converged. Difference: 0.0384
3,4,49.5892,47.7545,Warrior,73.6166,55.0893,42.9564,5.7449,22.5928,1.9356,200,49.5892,6.6949,5.1518,22.5633,4.1934,2.7001,0.0016,0.0253,Population structure converged. Difference: 0.0384
4,0,48.7943,35.1302,Warrior,70.3579,43.5965,67.9818,8.5667,9.4971,1.9139,200,48.8656,357.9895,327.3381,552.5117,351.9474,472.1516,0.0443,0.0158,Population structure converged. Difference: 0.0052
